,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,0.9999375
2018-02-26,1.0012509163750696
2018-02-27,1.0045471041194838
2018-02-28,1.0036800315675807
2018-03-01,1.0036730816955701
2018-03-02,1.0079913604050326
2018-03-05,1.0107299897021684
2018-03-06,1.0155970879024085
2018-03-07,1.022125098093116
2018-03-08,1.0222614422660963
2018-03-09,1.0265634720410515
2018-03-12,1.0342063824919736
2018-03-13,1.037718665621791
2018-03-14,1.0399126927833782
2018-03-15,1.0428105742399758
2018-03-16,1.0463279279358004
2018-03-19,1.047707539771145
2018-03-20,1.0463670361979336
2018-03-21,1.0482741797885047
2018-03-22,1.0506697424695175
2018-03-23,1.0547551637387902
2018-03-26,1.0457679569473002
2018-03-27,1.0390466666457012
2018-03-28,1.0328474711193745
2018-03-29,1.0261633466807876
2018-03-30,1.0219599083922617
2018-04-02,1.01966749838138
2018-04-03,1.0212404918447897
2018-04-04,1.021195751859779
2018-04-05,1.0248094780828343
2018-04-06,1.0229717060489867
2018-04-09,1.0213811853101216
2018-04-10,1.020603133790309
2018-04-11,1.0188487028556221
2018-04-12,1.014837206846887
2018-04-13,1.0160589452061486
2018-04-16,1.0149592537530328
2018-04-17,1.0159133157378626
2018-04-18,1.0171518863385327
2018-04-19,1.0175388080380112
2018-04-20,1.0162882599821421
2018-04-23,1.0157275334633376
2018-04-24,1.017285924982787
2018-04-25,1.01732632239731
2018-04-26,1.016485897083705
2018-04-27,1.0183206163929035
2018-04-30,1.0185822590838545
2018-05-01,1.0182692840492429
2018-05-02,1.0168858980579671
2018-05-03,1.0165416855660632
2018-05-04,1.0177070834151305
2018-05-07,1.0172352744334971
2018-05-08,1.0162700761302828
2018-05-09,1.017078127590289
2018-05-10,1.0169132476249378
2018-05-11,1.0202970814456913
2018-05-14,1.0182255709482115
2018-05-15,1.0189746555673636
2018-05-16,1.0214617039866343
2018-05-17,1.0211766243056781
2018-05-18,1.0191382311388737
2018-05-21,1.018752318088998
2018-05-22,1.0186886460691174
2018-05-23,1.0178176630974975
2018-05-24,1.0161038545319514
2018-05-25,1.0132893817351774
2018-05-28,1.013226051148819
2018-05-29,1.0127730426792791
2018-05-30,1.0155488707038158
2018-05-31,1.0144443692812999
2018-06-01,1.0159588377277382
2018-06-04,1.0157194316708873
2018-06-05,1.0147533578754728
2018-06-06,1.0108482878345375
2018-06-07,1.010583738108549
2018-06-08,1.010583738108549
2018-06-11,1.010583738108549
2018-06-12,1.010583738108549
2018-06-13,1.010583738108549
2018-06-14,1.010583738108549
2018-06-15,1.010583738108549
2018-06-18,1.0105205766249172
2018-06-19,1.010353535660044
2018-06-20,1.0132709737022398
2018-06-21,1.0114611196062748
2018-06-22,1.0119715785146
2018-06-25,1.013775811013117
2018-06-26,1.0117061100903704
2018-06-27,1.011307352291978
2018-06-28,1.0059225549832456
2018-06-29,1.0021596072565353
2018-07-02,1.0042004711282297
2018-07-03,1.0089031194449536
2018-07-04,1.0060144185027353
2018-07-05,1.0067843619250227
2018-07-06,1.004084755964333
2018-07-09,1.0037920818323598
2018-07-10,1.009350427043328
2018-07-11,1.0116030100418691
2018-07-12,1.018533603500254
2018-07-13,1.0142446438944759
2018-07-16,1.012939749483099
2018-07-17,1.012384683868319
2018-07-18,1.0173340467922765
2018-07-19,1.0159587391959155
2018-07-20,1.0149696128085357
2018-07-23,1.0137566978909491
2018-07-24,1.0189913382884048
2018-07-25,1.0176620581504552
2018-07-26,1.0179257272572992
2018-07-27,1.0084524076653336
2018-07-30,1.0078835284969234
2018-07-31,1.0044403520505056
2018-08-01,1.0050625957112407
2018-08-02,1.0052959892006215
2018-08-03,1.0073944480463906
2018-08-06,1.0102211041764644
2018-08-07,1.0111512265813158
2018-08-08,1.0121668861456847
2018-08-09,1.0143416111910488
2018-08-10,1.01428771072691
2018-08-13,1.015857842260737
2018-08-14,1.0132205278550688
2018-08-15,1.0136842634588257
2018-08-16,1.0134198927003457
2018-08-17,1.0136957211919095
2018-08-20,1.012132924973671
2018-08-21,1.0104909325505889
2018-08-22,1.0091758712499908
2018-08-23,1.0088432070328788
2018-08-24,1.0088432070328788
2018-08-27,1.0088432070328788
2018-08-28,1.0088432070328788
2018-08-29,1.0088432070328788
2018-08-30,1.0087801543324393
2018-08-31,1.010567965956602
2018-09-03,1.0097884483811963
2018-09-04,1.0071569718806141
2018-09-05,1.0086764851592047
2018-09-06,1.0084594757979113
2018-09-07,1.0085337318678544
2018-09-10,1.0113892530241506
2018-09-11,1.0137221216836247
2018-09-12,1.015209515116952
2018-09-13,1.0171492498559365
2018-09-14,1.0165864724882994
2018-09-17,1.0176117976769241
2018-09-18,1.0195114833775591
2018-09-19,1.021088563371702
2018-09-20,1.021199418554586
2018-09-21,1.0159683434190583
2018-09-24,1.0156630292600046
2018-09-25,1.015821687110882
2018-09-26,1.0153855353410974
2018-09-27,1.0164739271227234
2018-09-28,1.0171575541110025
2018-10-01,1.0176630823968904
2018-10-02,1.0157091154527618
2018-10-03,1.0131980142233077
2018-10-04,1.0131980142233077
2018-10-05,1.0131346893474187
2018-10-08,1.0133708313656116
2018-10-09,1.0133708313656116
2018-10-10,1.0133708313656116
2018-10-11,1.0133708313656116
2018-10-12,1.0133074956886512
2018-10-15,1.0140410533732998
2018-10-16,1.0122391337524037
2018-10-17,1.0122391337524037
2018-10-18,1.0122391337524037
2018-10-19,1.0122391337524037
2018-10-22,1.0122391337524037
