,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,0.9998125
2018-01-31,0.9965601865293819
2018-02-01,0.9952573902798107
2018-02-02,0.9925331198438108
2018-02-05,0.9984748495442447
2018-02-06,1.003887143372997
2018-02-07,1.0025146693832026
2018-02-08,0.9987110523358743
2018-02-09,0.999415767041209
2018-02-12,0.9968060736027766
2018-02-13,0.9939000476279418
2018-02-14,0.9912969438615775
2018-02-15,0.9900717820673343
2018-02-16,0.9972398478593292
2018-02-19,0.999357305299303
2018-02-20,1.008529349171226
2018-02-21,1.0111167826774563
2018-02-22,1.012046593470005
2018-02-23,1.0107035446483068
2018-02-26,1.0136828622666223
2018-02-27,1.0212735356242004
2018-02-28,1.0173263623037052
2018-03-01,1.0153385033248734
2018-03-02,1.0260205362761283
2018-03-05,1.0289541473419983
2018-03-06,1.0362801966600599
2018-03-07,1.0473916166241608
2018-03-08,1.047939589440208
2018-03-09,1.0537015479218192
2018-03-12,1.0676080918798247
2018-03-13,1.0740296930830988
2018-03-14,1.0779731189838686
2018-03-15,1.0864519344129393
2018-03-16,1.0938418900006903
2018-03-19,1.0939077694891195
2018-03-20,1.0940119515714526
2018-03-21,1.0959829829751184
2018-03-22,1.0978847055063656
2018-03-23,1.0980509880624092
2018-03-26,1.0912191348323426
2018-03-27,1.0873101981671074
2018-03-28,1.0818627068678477
2018-03-29,1.0714207558694044
2018-03-30,1.0689846093717157
2018-04-02,1.0671244553473238
2018-04-03,1.0665281281858856
2018-04-04,1.0693505422858016
2018-04-05,1.07416015765769
2018-04-06,1.0721625943875264
2018-04-09,1.072637837910446
2018-04-10,1.0711574354172049
2018-04-11,1.0678106465219013
2018-04-12,1.0691083648019437
2018-04-13,1.0689837909870885
2018-04-16,1.0671314293096295
2018-04-17,1.0685212891609275
2018-04-18,1.0660307235112296
2018-04-19,1.0655691547998927
2018-04-20,1.0723890834687535
2018-04-23,1.0699150203358847
2018-04-24,1.0735545769454475
2018-04-25,1.070918774553753
2018-04-26,1.0728167454135296
2018-04-27,1.0788816729192088
2018-04-30,1.0790752695240426
2018-05-01,1.0789088600980656
2018-05-02,1.0722733442470094
2018-05-03,1.0719974593748018
2018-05-04,1.075108145468549
2018-05-07,1.0782669105997098
2018-05-08,1.0755299652603008
2018-05-09,1.0741473953542158
2018-05-10,1.077253784192881
2018-05-11,1.078862615133371
2018-05-14,1.0755843616631697
2018-05-15,1.0773951634615893
2018-05-16,1.0749234439076878
2018-05-17,1.07773856666348
2018-05-18,1.0774668429176881
2018-05-21,1.0777304251103352
2018-05-22,1.0785953138552569
2018-05-23,1.0774274149160603
2018-05-24,1.0788883162302374
2018-05-25,1.0727212447178558
2018-05-28,1.073023170695227
2018-05-29,1.0768270991813556
2018-05-30,1.0793376647096216
2018-05-31,1.081303450211384
2018-06-01,1.0799489533695665
2018-06-04,1.078153092539193
2018-06-05,1.0789532150058767
2018-06-06,1.0748823560707639
2018-06-07,1.075066032557551
2018-06-08,1.0812215411091308
2018-06-11,1.0795816899235084
2018-06-12,1.0792654135729913
2018-06-13,1.0789963202568753
2018-06-14,1.071315349270844
2018-06-15,1.0702261498559693
2018-06-18,1.075463011828025
2018-06-19,1.0799542660171568
2018-06-20,1.0865553630402582
2018-06-21,1.0876005651994578
2018-06-22,1.0901080912951946
2018-06-25,1.0990602324688714
2018-06-26,1.1000917108211163
2018-06-27,1.1053815057099567
2018-06-28,1.1060818938786943
2018-06-29,1.1040948936414334
2018-07-02,1.1104296340436066
2018-07-03,1.1112902593167695
2018-07-04,1.1036431961383033
2018-07-05,1.1104994379901063
2018-07-06,1.1078106340349145
2018-07-09,1.1030240489910665
2018-07-10,1.1090629370482663
2018-07-11,1.1091099064361074
2018-07-12,1.113630479897577
2018-07-13,1.1081823743880221
2018-07-16,1.102780928771183
2018-07-17,1.1021766324401245
2018-07-18,1.107564971721797
2018-07-19,1.1060676832707959
2018-07-20,1.1049908277947387
2018-07-23,1.1036703351987882
2018-07-24,1.1093692542137001
2018-07-25,1.1078563537567983
2018-07-26,1.106346604676435
2018-07-27,1.0993888521663993
2018-07-30,1.0967304561370042
2018-07-31,1.091382733890416
2018-08-01,1.0889711258504255
2018-08-02,1.0867721064894336
2018-08-03,1.087877769190591
2018-08-06,1.0919068367485134
2018-08-07,1.0891453633723398
2018-08-08,1.0921150013055856
2018-08-09,1.0903399182923452
2018-08-10,1.0931101868585476
2018-08-13,1.0955278042649623
2018-08-14,1.0951191678480194
2018-08-15,1.0931906507243936
2018-08-16,1.0892527024305927
2018-08-17,1.0900469648316404
2018-08-20,1.0938066541108207
2018-08-21,1.0909657511104174
2018-08-22,1.084889568920355
2018-08-23,1.081865791805975
2018-08-24,1.07886490374815
2018-08-27,1.0810628892340477
2018-08-28,1.0844906602798883
2018-08-29,1.0844545386848075
2018-08-30,1.0825087915832234
2018-08-31,1.0800096956819578
2018-09-03,1.0817179812112172
2018-09-04,1.0767079698825837
2018-09-05,1.0813859518092221
2018-09-06,1.0785040066797866
2018-09-07,1.0779962242731236
2018-09-10,1.0802597733598844
2018-09-11,1.0832475066706253
2018-09-12,1.0859223850058206
2018-09-13,1.0866326448812655
2018-09-14,1.0846273532603756
2018-09-17,1.0826704496601258
2018-09-18,1.0881200985292283
2018-09-19,1.0896321530819448
2018-09-20,1.0880218352128153
2018-09-21,1.0810304894909477
2018-09-24,1.0787458223273618
2018-09-25,1.0778948517342029
2018-09-26,1.077309210429833
2018-09-27,1.0825332020621232
2018-09-28,1.0849510504478614
2018-10-01,1.0889582447638526
2018-10-02,1.0847805100556125
2018-10-03,1.0832331717620496
2018-10-04,1.0816400420165422
2018-10-05,1.08125968850889
2018-10-08,1.0768417704624793
2018-10-09,1.0748047998694696
2018-10-10,1.076299486758695
2018-10-11,1.069674862782986
2018-10-12,1.0700704899919626
