,equity
2018-01-02,0.9999285714285714
2018-01-03,0.9985889718114692
2018-01-04,0.9977205159075753
2018-01-05,0.997559132409034
2018-01-08,0.9978618214371127
2018-01-09,0.9968480157909817
2018-01-10,0.9959271839004994
2018-01-11,0.9970739621663588
2018-01-12,0.9971284421146801
2018-01-15,0.9978174461767838
2018-01-16,0.9980855275834799
2018-01-17,0.9973912838728621
2018-01-18,0.9976851341292496
2018-01-19,0.9998636420128015
2018-01-22,0.9990302935090467
2018-01-23,0.9998238928945639
2018-01-24,0.9975744875908158
2018-01-25,0.9967546595700598
2018-01-26,0.9977910405161868
2018-01-29,0.9979512478609889
2018-01-30,0.9989672409011026
2018-01-31,0.9989129158225082
2018-02-01,0.9984650601579631
2018-02-02,0.9976335646365445
2018-02-05,1.0025382330424437
2018-02-06,1.0077247150731674
2018-02-07,1.0068397385864343
2018-02-08,1.005835512658296
2018-02-09,1.0078640053142076
2018-02-12,1.0081493820091134
2018-02-13,1.0057294441607234
2018-02-14,1.0039424527815004
2018-02-15,1.003695151004178
2018-02-16,1.0080973671782196
2018-02-19,1.0096455140316547
2018-02-20,1.0174162057089877
2018-02-21,1.0194716167405153
2018-02-22,1.0211478733729107
2018-02-23,1.0206893245184634
2018-02-26,1.0232335281272158
2018-02-27,1.0274402617498268
2018-02-28,1.0274089903740524
2018-03-01,1.0246517656189422
2018-03-02,1.031977485537776
2018-03-05,1.0330947788713687
2018-03-06,1.03726615051172
2018-03-07,1.0452717574484047
2018-03-08,1.0474659895451102
2018-03-09,1.0490126185771378
2018-03-12,1.0563872094332993
2018-03-13,1.058786030023344
2018-03-14,1.0601598018783034
2018-03-15,1.0644770959379286
2018-03-16,1.0681217040538085
2018-03-19,1.0688239340780064
2018-03-20,1.069119772184328
2018-03-21,1.0714143628427568
2018-03-22,1.074648553604434
2018-03-23,1.0761337649728462
2018-03-26,1.070469306634693
2018-03-27,1.0677684334974644
2018-03-28,1.0646737563103679
2018-03-29,1.0558055004464078
2018-03-30,1.0517596294616407
2018-04-02,1.042523037124207
2018-04-03,1.0467228376671434
2018-04-04,1.0514307507177423
2018-04-05,1.0523422534375366
2018-04-06,1.0573341133927479
2018-04-09,1.0913661815354105
2018-04-10,1.093973382664202
2018-04-11,1.089387681155665
2018-04-12,1.106887220530397
2018-04-13,1.1147411341804438
2018-04-16,1.121345665008855
2018-04-17,1.131877960409044
2018-04-18,1.134592307835136
2018-04-19,1.1301002743641049
2018-04-20,1.1412420143285338
2018-04-23,1.1380761837553277
2018-04-24,1.15486722437254
2018-04-25,1.1540892206146396
2018-04-26,1.1482717706286152
2018-04-27,1.1620375447283475
2018-04-30,1.1657211951862676
2018-05-01,1.1593158694646708
2018-05-02,1.1471370037865034
2018-05-03,1.1435573328743416
2018-05-04,1.1461917050886377
2018-05-07,1.1457368388240368
2018-05-08,1.1437211717030225
2018-05-09,1.1478453617855764
2018-05-10,1.1445594054243347
2018-05-11,1.1671813415039314
2018-05-14,1.1518397910966651
2018-05-15,1.163084966187697
2018-05-16,1.1820413031674022
2018-05-17,1.179399201697016
2018-05-18,1.174354715937373
2018-05-21,1.1756856014164607
2018-05-22,1.180489154226937
2018-05-23,1.1726658968027766
2018-05-24,1.16220568606217
2018-05-25,1.1420802123122045
2018-05-28,1.1525818842629916
2018-05-29,1.1617209821067556
2018-05-30,1.1531582252788612
2018-05-31,1.1538457883842845
2018-06-01,1.156520403970913
2018-06-04,1.169433607077752
2018-06-05,1.1681113926337023
2018-06-06,1.1771952410098319
2018-06-07,1.18504562425368
2018-06-08,1.2093553645401485
2018-06-11,1.1939956563099836
2018-06-12,1.2172945637459247
2018-06-13,1.2298545675400985
2018-06-14,1.2326029352653765
2018-06-15,1.2418307361244458
2018-06-18,1.2533751257007903
2018-06-19,1.2651227847414002
2018-06-20,1.270663715725921
2018-06-21,1.2794452187692453
2018-06-22,1.2864619862115034
2018-06-25,1.2948071947285442
2018-06-26,1.2880314639717958
2018-06-27,1.2941737990547046
2018-06-28,1.3071978397093516
2018-06-29,1.2970235089425657
2018-07-02,1.2989940474552302
2018-07-03,1.2809028961667572
2018-07-04,1.2708533228183911
2018-07-05,1.2908562857975507
2018-07-06,1.2977311745385376
2018-07-09,1.2835321229826449
2018-07-10,1.3067420988449068
2018-07-11,1.3056404846350549
2018-07-12,1.328609658946345
2018-07-13,1.3284628084438908
2018-07-16,1.317811045935917
2018-07-17,1.3252971670849507
2018-07-18,1.3395422649664899
2018-07-19,1.3436007924198143
2018-07-20,1.3380061929066436
2018-07-23,1.3639125327293173
2018-07-24,1.3887480490310107
2018-07-25,1.3891672645971316
2018-07-26,1.3650363676594268
2018-07-27,1.3378201620984018
2018-07-30,1.338511740785145
2018-07-31,1.349521841615828
2018-08-01,1.327762032732513
2018-08-02,1.3167130084058367
2018-08-03,1.3150598001469869
2018-08-06,1.336700435141208
2018-08-07,1.3374417771474614
2018-08-08,1.3430310057128696
2018-08-09,1.3256840248959576
2018-08-10,1.3281080144544424
2018-08-13,1.34061605486305
2018-08-14,1.3660020659487488
2018-08-15,1.4093269897496894
2018-08-16,1.4001238766660458
2018-08-17,1.3978441415313574
2018-08-20,1.3927537031225954
2018-08-21,1.397165092261293
2018-08-22,1.382547167309228
2018-08-23,1.3790362123825801
2018-08-24,1.3845662666817966
2018-08-27,1.3829151637465809
2018-08-28,1.3765964415922074
2018-08-29,1.3832033487903173
2018-08-30,1.3795759024322016
2018-08-31,1.36410659353908
2018-09-03,1.3711965749561794
2018-09-04,1.3823340342562194
2018-09-05,1.3882175502592402
2018-09-06,1.3952075993695399
2018-09-07,1.4037218437322445
2018-09-10,1.4125671310963834
2018-09-11,1.4164426298238924
2018-09-12,1.421868072398113
2018-09-13,1.4216671481112162
2018-09-14,1.4305266964429866
2018-09-17,1.420059630231895
2018-09-18,1.435417066760078
2018-09-19,1.4428465172772826
2018-09-20,1.4413887128673675
2018-09-21,1.4208769738400238
2018-09-24,1.4040387071211133
2018-09-25,1.4021036640565296
2018-09-26,1.3914135952671143
2018-09-27,1.406227880727806
2018-09-28,1.4088471215783815
2018-10-01,1.4275106997217197
2018-10-02,1.417561374905085
2018-10-03,1.4222814987650012
2018-10-04,1.4239463130902306
2018-10-05,1.4035930791647264
2018-10-08,1.4069150331693174
2018-10-09,1.405961979929651
2018-10-10,1.4067892122897414
2018-10-11,1.4081706461829193
2018-10-12,1.4117789220833208
2018-10-15,1.4112597165122354
2018-10-16,1.4018243606617293
2018-10-17,1.4271603322055328
2018-10-18,1.4350361549821076
2018-10-19,1.432757469585538
2018-10-22,1.4374906797521583
2018-10-23,1.429098293611236
2018-10-24,1.438006069773862
2018-10-25,1.4406044186980944
2018-10-26,1.4324594807851025
2018-10-29,1.4303187728068347
2018-10-30,1.4302718903510803
2018-10-31,1.4209407778343712
2018-11-01,1.4101251015171414
2018-11-02,1.3857533934815758
2018-11-05,1.3696547814204207
2018-11-06,1.3418931030788679
2018-11-07,1.3587417807973814
2018-11-08,1.3528205688758042
2018-11-09,1.366578064466426
2018-11-12,1.3674813184435315
2018-11-13,1.3638570231946843
2018-11-14,1.3531247850960877
2018-11-15,1.3401350299206378
2018-11-16,1.3251036693714249
2018-11-19,1.3182650100612046
2018-11-20,1.314994720579302
2018-11-21,1.33396390231471
2018-11-22,1.3319560650565136
2018-11-23,1.3359691330960137
2018-11-26,1.3522645977678223
2018-11-27,1.3444577933001767
2018-11-28,1.3466127130094039
2018-11-29,1.3515495756407745
2018-11-30,1.3479153986579202
2018-12-03,1.3555341431237007
2018-12-04,1.3635195473624337
2018-12-05,1.3731235768807104
2018-12-06,1.3738862023278904
2018-12-07,1.3801613578107859
2018-12-10,1.3850553092861784
2018-12-11,1.3988150309895122
2018-12-12,1.3934614901588316
2018-12-13,1.3932117177011645
2018-12-14,1.3937406895955744
2018-12-17,1.398615498114585
2018-12-18,1.4114513978531458
2018-12-19,1.413243363661159
2018-12-20,1.4247880625929943
2018-12-21,1.4041867566876132
2018-12-24,1.4103876253257788
2018-12-25,1.4151479266956097
2018-12-26,1.4243735614879864
2018-12-27,1.4414401122353675
2018-12-28,1.4529624271530475
2018-12-31,1.453522391617811
2019-01-01,1.4577313972880006
2019-01-02,1.4614227540162252
2019-01-03,1.4509920808187347
2019-01-04,1.4542330920668236
2019-01-07,1.4423364269445873
2019-01-08,1.4394212079767301
2019-01-09,1.4383848980924547
2019-01-10,1.444470341392256
2019-01-11,1.451675155820572
2019-01-14,1.4502118354791056
2019-01-15,1.4538237039782582
2019-01-16,1.4571011444885449
2019-01-17,1.4430082561334028
2019-01-18,1.4329534436687736
2019-01-21,1.4441027911220787
2019-01-22,1.4428113170402264
2019-01-23,1.46642886510611
2019-01-24,1.4541912508713715
2019-01-25,1.4312481432028392
2019-01-28,1.4069528744238713
2019-01-29,1.4019786556004228
2019-01-30,1.385427721938937
2019-01-31,1.3717582559978432
2019-02-01,1.3746259675321644
2019-02-04,1.3975589227961718
2019-02-05,1.392190520310079
2019-02-06,1.4085877483401001
2019-02-07,1.4228452447778537
2019-02-08,1.4150011710640595
2019-02-11,1.4016782828980239
2019-02-12,1.4083186226000017
2019-02-13,1.4153684695174313
2019-02-14,1.4217477072381133
2019-02-15,1.4073077178296178
2019-02-18,1.419438532446556
2019-02-19,1.421169234637763
2019-02-20,1.4265421385770398
2019-02-21,1.4755975581701917
2019-02-22,1.4787762981797654
2019-02-25,1.4794784000267858
2019-02-26,1.4538613726611096
2019-02-27,1.457706830988315
2019-02-28,1.4526403842760904
2019-03-01,1.4573296237394455
2019-03-04,1.4601106586147656
2019-03-05,1.4579747449968632
2019-03-06,1.4426868398332373
2019-03-07,1.420166627443696
2019-03-08,1.4281375213365488
2019-03-11,1.4230017848071657
2019-03-12,1.4146964672834792
2019-03-13,1.4071485394460743
2019-03-14,1.4294936570775103
2019-03-15,1.414204766201967
2019-03-18,1.3928536501838416
2019-03-19,1.3958726695927701
2019-03-20,1.3968712922918018
2019-03-21,1.3914105623662065
2019-03-22,1.3971316497243578
2019-03-25,1.4025660245793872
2019-03-26,1.4046323180276363
2019-03-27,1.406882709128426
2019-03-28,1.4052953810944246
2019-03-29,1.4035124845814562
2019-04-01,1.400650952369518
2019-04-02,1.4056154541698012
2019-04-03,1.4045018918955445
2019-04-04,1.408737495818225
2019-04-05,1.4142752111797199
2019-04-08,1.4212108064257667
2019-04-09,1.4301976474323412
2019-04-10,1.4267520572853416
2019-04-11,1.418913062531171
2019-04-12,1.418225881432165
2019-04-15,1.4128923859513043
2019-04-16,1.405887972041412
2019-04-17,1.408788556009183
2019-04-18,1.4085401111887554
2019-04-19,1.4100943915240787
2019-04-22,1.411332718501222
2019-04-23,1.4076337152161889
2019-04-24,1.4072118053745168
2019-04-25,1.4105907924869039
2019-04-26,1.4062813590965082
2019-04-29,1.4066261135530056
2019-04-30,1.4009523393122958
2019-05-01,1.4033152610033894
2019-05-02,1.3994501331798737
2019-05-03,1.4003583493911886
2019-05-06,1.3946205638607776
2019-05-07,1.4010905316680728
2019-05-08,1.4044938639797993
2019-05-09,1.403972637058734
2019-05-10,1.407426993616677
2019-05-13,1.420134863165991
2019-05-14,1.422057127779876
2019-05-15,1.425943276284014
2019-05-16,1.4274677576607118
2019-05-17,1.4234284300501068
2019-05-20,1.428032853981764
2019-05-21,1.430037548420962
2019-05-22,1.428659273557772
2019-05-23,1.420125863360766
2019-05-24,1.4286019615834302
2019-05-27,1.4206549454354351
2019-05-28,1.4156661604903367
2019-05-29,1.4163594104591635
2019-05-30,1.4222068253019118
2019-05-31,1.4162292099552523
2019-06-03,1.413462296957292
2019-06-04,1.4102159784424515
2019-06-05,1.413466725888449
2019-06-06,1.4115733797989853
2019-06-07,1.414347295610215
2019-06-10,1.4161478094876248
2019-06-11,1.4201871677273945
2019-06-12,1.4187172612340833
2019-06-13,1.4206352853198203
2019-06-14,1.4216316236155069
2019-06-17,1.4217231682297926
2019-06-18,1.4234054706052168
2019-06-19,1.4197233237460405
2019-06-20,1.4260586043109087
2019-06-21,1.4218180616822391
2019-06-24,1.4189570688496094
2019-06-25,1.4192951994134
2019-06-26,1.4209967901360778
2019-06-27,1.417313725872963
2019-06-28,1.417867923341487
2019-07-01,1.4112103294256286
2019-07-02,1.4054298513231103
2019-07-03,1.40240893546592
2019-07-04,1.4075080003103635
2019-07-05,1.3984199881689432
2019-07-08,1.4041587345940172
