,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,1.0
2018-03-27,1.0
2018-03-28,1.0
2018-03-29,1.0
2018-03-30,1.0
2018-04-02,1.0
2018-04-03,1.0
2018-04-04,1.0
2018-04-05,1.0
2018-04-06,1.0
2018-04-09,1.0
2018-04-10,1.0
2018-04-11,1.0
2018-04-12,1.0
2018-04-13,1.0
2018-04-16,1.0
2018-04-17,1.0
2018-04-18,1.0
2018-04-19,1.0
2018-04-20,1.0
2018-04-23,1.0
2018-04-24,1.0
2018-04-25,1.0
2018-04-26,1.0
2018-04-27,1.0
2018-04-30,1.0
2018-05-01,1.0
2018-05-02,1.0
2018-05-03,1.0
2018-05-04,1.0
2018-05-07,1.0
2018-05-08,1.0
2018-05-09,1.0
2018-05-10,1.0
2018-05-11,1.0
2018-05-14,1.0
2018-05-15,1.0
2018-05-16,1.0
2018-05-17,1.0
2018-05-18,0.9995
2018-05-21,1.0060396418111373
2018-05-22,1.004338792304373
2018-05-23,1.0034567862532773
2018-05-24,0.9951148021669778
2018-05-25,0.9965850823719228
2018-05-28,0.9912018151532451
2018-05-29,0.9951351591118831
2018-05-30,0.9915630806710934
2018-05-31,0.9970399708880208
2018-06-01,0.9943752784190751
2018-06-04,0.9936910779034723
2018-06-05,0.9976864814063143
2018-06-06,0.9984415978827265
2018-06-07,0.9984415978827265
2018-06-08,0.9984415978827265
2018-06-11,0.9984415978827265
2018-06-12,0.9984415978827265
2018-06-13,0.9984415978827265
2018-06-14,0.9984415978827265
2018-06-15,0.9984071784477904
2018-06-18,0.9975504540989195
2018-06-19,0.9968397965369558
2018-06-20,0.9982547763961916
2018-06-21,0.9974516240428424
2018-06-22,1.0008772722983508
2018-06-25,0.9971633214696054
2018-06-26,0.9994384550397165
2018-06-27,0.989733348905561
2018-06-28,0.9871371938731337
2018-06-29,0.9792496944763602
2018-07-02,0.979982676716028
2018-07-03,0.9878639566105909
2018-07-04,0.9981864367969792
2018-07-05,0.9981864367969792
2018-07-06,0.9979409101722916
2018-07-09,0.9967154085601703
2018-07-10,0.9897231064801945
2018-07-11,0.9995453708493298
2018-07-12,1.0019633481672303
2018-07-13,1.0019633481672303
2018-07-16,1.0019633481672303
2018-07-17,1.001917644794273
2018-07-18,1.001605321757975
2018-07-19,0.9991219830542715
2018-07-20,0.9994435203898413
2018-07-23,0.9972831602741759
2018-07-24,0.999934872048694
2018-07-25,0.9997422413642807
2018-07-26,0.9999176688900406
2018-07-27,0.9997595394776221
2018-07-30,0.9981571983552217
2018-07-31,1.0006140013636902
2018-08-01,1.000946754891276
2018-08-02,1.0008623867914743
2018-08-03,1.0005341157561596
2018-08-06,1.0050172859522843
2018-08-07,1.0047478826635865
2018-08-08,1.0052281611357723
2018-08-09,1.004935923242735
2018-08-10,1.0043987795258102
2018-08-13,1.0044424511785146
2018-08-14,1.0046822647984097
2018-08-15,1.0057827748148886
2018-08-16,1.0053812191242764
2018-08-17,1.0057692480990303
2018-08-20,1.0084695252352376
2018-08-21,1.009193496996078
2018-08-22,1.0091784296275494
2018-08-23,1.0091587635283847
2018-08-24,1.0091587635283847
2018-08-27,1.0086541841466206
2018-08-28,1.0037110110985308
2018-08-29,0.9996619551926665
2018-08-30,0.9974459715880802
2018-08-31,1.0024693066726957
2018-09-03,1.001494424860661
2018-09-04,1.0079384903651676
2018-09-05,1.0076649500988948
2018-09-06,1.0083438113559577
2018-09-07,1.0051929395743824
2018-09-10,1.0034669553590705
2018-09-11,0.9965184800011484
2018-09-12,0.9975080408707113
2018-09-13,0.9926946661580519
2018-09-14,0.9889822476146756
2018-09-17,0.9935944278426359
2018-09-18,0.9855628024573777
2018-09-19,0.9846459900789037
2018-09-20,0.9850620313936385
2018-09-21,0.9852341974183131
2018-09-24,0.987750402853421
2018-09-25,0.9963915573143519
2018-09-26,0.9935278949789107
2018-09-27,0.9893474617158301
2018-09-28,0.9887644130706467
2018-10-01,0.9899808173720761
2018-10-02,0.999213036963147
2018-10-03,1.0029106310452065
2018-10-04,1.0027709087152974
2018-10-05,1.002082557099231
2018-10-08,1.0026439743396633
2018-10-09,1.0053341377755263
2018-10-10,1.0048314707066386
2018-10-11,1.0065908516934006
2018-10-12,1.0043556120525092
2018-10-15,1.0053331034364306
2018-10-16,1.0042606935521836
2018-10-17,1.0036765666788312
2018-10-18,1.0123705580342193
2018-10-19,1.0129199694725897
2018-10-22,1.01274539001585
2018-10-23,1.0123935291463884
2018-10-24,1.011714541481711
2018-10-25,1.0116860770173133
2018-10-26,1.022811938252376
2018-10-29,1.022811938252376
2018-10-30,1.02230053228325
2018-10-31,1.015936233996209
2018-11-01,1.0227200199153643
2018-11-02,1.0253941589895215
2018-11-05,1.0248814619100268
2018-11-06,1.0219857881166292
2018-11-07,1.0284325543218156
2018-11-08,1.026533502012828
2018-11-09,1.0228311029706936
2018-11-12,1.0169518600615366
2018-11-13,1.0147492671729799
2018-11-14,1.0124408731056447
