,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,0.9995
2018-03-27,0.9951424324720247
2018-03-28,0.9896690218368757
2018-03-29,0.9767925991069686
2018-03-30,0.9725570703081323
2018-04-02,0.9673059994531684
2018-04-03,0.9683368103199875
2018-04-04,0.9686476412694272
2018-04-05,0.9761562747604917
2018-04-06,0.9778347465060591
2018-04-09,0.9927339299025895
2018-04-10,0.9891621495949884
2018-04-11,0.9805318485039225
2018-04-12,0.983937801108855
2018-04-13,0.9827685979844961
2018-04-16,0.9849869065228014
2018-04-17,0.996994409512248
2018-04-18,0.9947534408106286
2018-04-19,0.9913814524248564
2018-04-20,1.0030927585359855
2018-04-23,1.000228386778737
2018-04-24,1.0073190420932638
2018-04-25,1.003119064427267
2018-04-26,1.0072258170938075
2018-04-27,1.014692710455823
2018-04-30,1.014109663525695
2018-05-01,1.0140363188104742
2018-05-02,1.0057487674783674
2018-05-03,1.003465694477106
2018-05-04,1.0179540178895317
2018-05-07,1.0179976965658057
2018-05-08,1.0145155441669793
2018-05-09,1.005038900493667
2018-05-10,1.005905963061915
2018-05-11,1.0083175093927434
2018-05-14,0.9990673383033226
2018-05-15,1.0042036195809856
2018-05-16,1.0041529671745848
2018-05-17,1.0060083340896213
2018-05-18,1.0068745203099874
2018-05-21,1.0059621556011171
2018-05-22,1.0021316571789687
2018-05-23,0.9966620057072947
2018-05-24,0.9948867608587614
2018-05-25,0.9863821483178431
2018-05-28,0.9881028775770975
2018-05-29,0.9947225917157921
2018-05-30,0.9934488671916307
2018-05-31,0.9994208865012196
2018-06-01,0.9986718001472538
2018-06-04,1.0054116376210052
2018-06-05,1.0098225747157576
2018-06-06,1.0086590198395506
2018-06-07,1.0023758431475673
2018-06-08,1.0161067167335054
2018-06-11,1.0195936612002485
2018-06-12,1.0208586864491918
2018-06-13,1.0274889695061498
2018-06-14,1.0208659630345187
2018-06-15,1.0195038469679951
2018-06-18,1.0296853335738554
2018-06-19,1.0317957866105365
2018-06-20,1.0384966110390723
2018-06-21,1.0411066839989236
2018-06-22,1.0411744047608604
2018-06-25,1.050368799802666
2018-06-26,1.051142210728206
2018-06-27,1.0567584369630274
2018-06-28,1.0588541237042444
2018-06-29,1.053775695121542
2018-07-02,1.0635621647108102
2018-07-03,1.066437006941213
2018-07-04,1.0558006440207623
2018-07-05,1.0632064503645493
2018-07-06,1.0593928734154452
2018-07-09,1.0457790174050285
2018-07-10,1.0514250610480718
2018-07-11,1.0585262139006666
2018-07-12,1.069572019996584
2018-07-13,1.0630186365836534
2018-07-16,1.0557476498175087
2018-07-17,1.0636997766301037
2018-07-18,1.060029156596752
2018-07-19,1.048021422746942
2018-07-20,1.0469326524758877
2018-07-23,1.0439277787084462
2018-07-24,1.0615965124352373
2018-07-25,1.0620757812723258
2018-07-26,1.06495972283565
2018-07-27,1.0633316279596539
2018-07-30,1.0599350022542828
2018-07-31,1.0571243829709083
2018-08-01,1.0503324772356986
2018-08-02,1.0525042842937649
2018-08-03,1.0485344864039252
2018-08-06,1.0536873657629615
2018-08-07,1.0432983211947546
2018-08-08,1.0484643256317099
2018-08-09,1.040046570276648
2018-08-10,1.0370978615650794
2018-08-13,1.0437229249273106
2018-08-14,1.0488281987168133
2018-08-15,1.0509882282348317
2018-08-16,1.0500185252052727
2018-08-17,1.053318985162598
2018-08-20,1.0570784065001888
2018-08-21,1.053559833788245
2018-08-22,1.0474584750023976
2018-08-23,1.0460443792927732
2018-08-24,1.0498160479451295
2018-08-27,1.0605745372482391
2018-08-28,1.0663712118456317
2018-08-29,1.0698806224773874
2018-08-30,1.0647329015348899
2018-08-31,1.0616783084411558
2018-09-03,1.0639440021706015
2018-09-04,1.0638019210176748
2018-09-05,1.0693737481545604
2018-09-06,1.0604405522705107
2018-09-07,1.062440002964672
2018-09-10,1.0723642298297875
2018-09-11,1.0749867040775398
2018-09-12,1.074574773798407
2018-09-13,1.0676174697615382
2018-09-14,1.065435696217525
2018-09-17,1.0604382422930996
2018-09-18,1.0712430653589697
2018-09-19,1.074097621406629
2018-09-20,1.0724670765473443
2018-09-21,1.0642172480101806
2018-09-24,1.0677109775538056
2018-09-25,1.0674377625501652
2018-09-26,1.0640046231452567
2018-09-27,1.0733493757622392
2018-09-28,1.0767856324904312
2018-10-01,1.0891849309572947
2018-10-02,1.0805324988113403
2018-10-03,1.0831771762566256
2018-10-04,1.0774414512707469
2018-10-05,1.0757210078871906
2018-10-08,1.0748302471997686
2018-10-09,1.080851329490883
2018-10-10,1.0799364845357364
2018-10-11,1.070855304590819
2018-10-12,1.0673420300418481
2018-10-15,1.067965294117175
2018-10-16,1.0617281687829743
2018-10-17,1.070789570530118
2018-10-18,1.076137010836888
2018-10-19,1.0779545790028813
2018-10-22,1.0810458469684272
2018-10-23,1.0826372158894
2018-10-24,1.0912682581626272
2018-10-25,1.0910132111764175
2018-10-26,1.090119892847337
2018-10-29,1.0916901865000717
2018-10-30,1.0901510376073258
