,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,0.9995
2018-03-27,0.9909204467752621
2018-03-28,0.9959332972657868
2018-03-29,0.9990769153397537
2018-03-30,1.002464484304374
2018-04-02,0.9993905297814435
2018-04-03,0.9928994379527604
2018-04-04,0.9870766277969176
2018-04-05,0.9755735359117989
2018-04-06,0.9835015627755439
2018-04-09,0.9910139155317663
2018-04-10,1.0022632080631524
2018-04-11,1.007664762761735
2018-04-12,1.004565311007788
2018-04-13,1.015008405734277
2018-04-16,1.0143202295635376
2018-04-17,1.0216653712718888
2018-04-18,1.0212997239955914
2018-04-19,1.0255625514147146
2018-04-20,1.0266837185946758
2018-04-23,1.0222424170686983
2018-04-24,1.0235064946305787
2018-04-25,1.0259018097593775
2018-04-26,1.0308776789312661
2018-04-27,1.0348695354757205
2018-04-30,1.0340029652601879
2018-05-01,1.0375710149276416
2018-05-02,1.0340559273564887
2018-05-03,1.0348722574870788
2018-05-04,1.0370098474737082
2018-05-07,1.0438130605558757
2018-05-08,1.0472908440399284
2018-05-09,1.0510899000305274
2018-05-10,1.0609307040452138
2018-05-11,1.0606405022009928
2018-05-14,1.0647538586076901
2018-05-15,1.0583316920534107
2018-05-16,1.0661952253167934
2018-05-17,1.0695006209547753
2018-05-18,1.064528009696541
2018-05-21,1.0771616747080646
2018-05-22,1.0866900441784022
2018-05-23,1.09078256424128
2018-05-24,1.0883181923773235
2018-05-25,1.0845599221726707
2018-05-28,1.085003370338547
2018-05-29,1.0807737637489545
2018-05-30,1.0761110595604317
2018-05-31,1.0736926503343116
2018-06-01,1.079232961385434
2018-06-04,1.0767360711077605
2018-06-05,1.0830356745807894
2018-06-06,1.0943763332942587
2018-06-07,1.085722482801724
2018-06-08,1.0870982089705996
2018-06-11,1.0895163044477985
2018-06-12,1.094833501166002
2018-06-13,1.1017792258311951
2018-06-14,1.1047087934743234
2018-06-15,1.1091970955174295
2018-06-18,1.1111033171088656
2018-06-19,1.108057975588164
2018-06-20,1.1075175494162106
2018-06-21,1.1072133758889713
2018-06-22,1.1032726176323289
2018-06-25,1.1066394622887148
2018-06-26,1.1042836947192247
2018-06-27,1.1141944367446044
2018-06-28,1.119230511992215
2018-06-29,1.129277576303072
2018-07-02,1.1269018762216365
2018-07-03,1.114590145860336
2018-07-04,1.099621784169157
2018-07-05,1.0980053903417142
2018-07-06,1.0918407748178744
2018-07-09,1.0824844539962102
2018-07-10,1.079104440150099
2018-07-11,1.0882562631486625
2018-07-12,1.094212954518552
2018-07-13,1.0945132028289708
2018-07-16,1.0998194766247478
2018-07-17,1.1013058311872963
2018-07-18,1.0970365425027995
2018-07-19,1.0919878293038872
2018-07-20,1.0880962897582118
2018-07-23,1.0757069694208117
2018-07-24,1.0765476636456242
2018-07-25,1.0873421857393526
2018-07-26,1.092704482319457
2018-07-27,1.110666903865645
2018-07-30,1.112171913182197
2018-07-31,1.104183723183041
2018-08-01,1.1064547832035556
2018-08-02,1.0938898512849926
2018-08-03,1.0873540458128388
2018-08-06,1.0886651237525242
2018-08-07,1.090544178204269
2018-08-08,1.0852059659898186
2018-08-09,1.0831724991679652
2018-08-10,1.0784427396309821
2018-08-13,1.0776299954019057
2018-08-14,1.0753924654935665
2018-08-15,1.0901526304921534
2018-08-16,1.095728186368411
2018-08-17,1.092823619761293
2018-08-20,1.0852439720958398
2018-08-21,1.0793480054270488
2018-08-22,1.0798963068625445
2018-08-23,1.0838719825710965
2018-08-24,1.0812214563691918
2018-08-27,1.0735204706042232
2018-08-28,1.0756085354670943
2018-08-29,1.077079158786137
2018-08-30,1.0729821247083915
2018-08-31,1.081743146915102
2018-09-03,1.0789529601750052
2018-09-04,1.0881814057748158
2018-09-05,1.087414361588448
2018-09-06,1.0916404253345557
2018-09-07,1.0975858163634384
2018-09-10,1.0971652347496017
2018-09-11,1.1032045229659615
2018-09-12,1.1010352712275047
2018-09-13,1.1040430024246546
2018-09-14,1.1096459707404105
2018-09-17,1.1003959342691054
2018-09-18,1.1101637833990987
2018-09-19,1.1082959956989442
2018-09-20,1.1065066210739636
2018-09-21,1.111473482996138
2018-09-24,1.1066009992130648
2018-09-25,1.0949469324984613
2018-09-26,1.0971522516165302
2018-09-27,1.1047690397152432
2018-09-28,1.11124468572879
2018-10-01,1.1091336228145574
2018-10-02,1.1009834677117172
2018-10-03,1.0999151438417762
2018-10-04,1.1016940640627837
2018-10-05,1.0948588860625659
2018-10-08,1.0976816194659884
2018-10-09,1.1003753528785742
2018-10-10,1.1053616402086026
2018-10-11,1.1055304464972533
2018-10-12,1.1016342719562
2018-10-15,1.0982195810036082
2018-10-16,1.0903300665069307
2018-10-17,1.093644641042629
2018-10-18,1.084402822977698
2018-10-19,1.0822375859650677
2018-10-22,1.0863548174057511
2018-10-23,1.0899674990388162
2018-10-24,1.1074067814528046
2018-10-25,1.0981849022470218
2018-10-26,1.0953428852970244
2018-10-29,1.0883227156475432
2018-10-30,1.096873359700882
