,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,0.9999375
2018-01-31,0.9954634856177202
2018-02-01,0.9931581296292943
2018-02-02,0.9903469224585739
2018-02-05,0.9955913944519585
2018-02-06,1.0012016164380817
2018-02-07,0.9968843785765771
2018-02-08,0.9966758275853079
2018-02-09,0.996063556903202
2018-02-12,0.992168772214428
2018-02-13,0.9894673322077119
2018-02-14,0.9882677092921058
2018-02-15,0.9887524878562163
2018-02-16,0.9952804715255076
2018-02-19,0.9965635066752229
2018-02-20,1.002085932508606
2018-02-21,1.0046568351006084
2018-02-22,1.0055807054033152
2018-02-23,1.0042462372175338
2018-02-26,1.0072065202040847
2018-02-27,1.0147486973317486
2018-02-28,1.0108901639924526
2018-03-01,1.0078374934523806
2018-03-02,1.015989805291384
2018-03-05,1.0188947363626777
2018-03-06,1.0261491636933693
2018-03-07,1.0371519545798078
2018-03-08,1.0376945702244238
2018-03-09,1.0434001978106673
2018-03-12,1.0571707865938607
2018-03-13,1.0635296080067855
2018-03-14,1.0674344816145258
2018-03-15,1.0758304052167458
2018-03-16,1.0831481140473713
2018-03-19,1.0831456527180494
2018-03-20,1.085482408794507
2018-03-21,1.0874380729102302
2018-03-22,1.089324968525138
2018-03-23,1.0895580374578202
2018-03-26,1.0861161728169262
2018-03-27,1.0822255158488543
2018-03-28,1.0768034991222923
2018-03-29,1.0664103787185581
2018-03-30,1.0639856245825363
2018-04-02,1.0621341693566042
2018-04-03,1.0615406308512265
2018-04-04,1.0643498462530223
2018-04-05,1.0691369700063456
2018-04-06,1.0671487481133313
2018-04-09,1.0676884660107941
2018-04-10,1.066028181626154
2018-04-11,1.0615560487604783
2018-04-12,1.062909365785031
2018-04-13,1.0591520987380034
2018-04-16,1.057316773661193
2018-04-17,1.0586938506485764
2018-04-18,1.0562261913097137
2018-04-19,1.0557688677530368
2018-04-20,1.0625260719536707
2018-04-23,1.060074763354156
2018-04-24,1.0637471007888268
2018-04-25,1.0616255220564363
2018-04-26,1.0635317855602051
2018-04-27,1.0680777033083781
2018-04-30,1.068540231350164
2018-05-01,1.0717085014547212
2018-05-02,1.0690657036957927
2018-05-03,1.0693094262315928
2018-05-04,1.0738163455303011
2018-05-07,1.0769713152362126
2018-05-08,1.0742376584830124
2018-05-09,1.0728567498086155
2018-05-10,1.0759594061549478
2018-05-11,1.0775663039990153
2018-05-14,1.074291989525694
2018-05-15,1.076100615548903
2018-05-16,1.073631865898244
2018-05-17,1.07644360613348
2018-05-18,1.0761722088783017
2018-05-21,1.0764354743628468
2018-05-22,1.0772993238976833
2018-05-23,1.0761328282515266
2018-05-24,1.0775919742146394
2018-05-25,1.0714323127685217
2018-05-28,1.0717338759656827
2018-05-29,1.0755332338282846
2018-05-30,1.0781080036049067
2018-05-31,1.0805775958245232
2018-06-01,1.08023550425149
2018-06-04,1.079682215557736
2018-06-05,1.0812631056110737
2018-06-06,1.0777484885574995
2018-06-07,1.0747621578590199
2018-06-08,1.0809159265143993
2018-06-11,1.079276538843826
2018-06-12,1.0789603518909623
2018-06-13,1.0787587696578889
2018-06-14,1.0730652412890058
2018-06-15,1.0735514159751767
2018-06-18,1.0787874698708158
2018-06-19,1.0797043483894193
2018-06-20,1.0853737482538122
2018-06-21,1.0871057189923203
2018-06-22,1.0870621305619026
2018-06-25,1.0920134992399864
2018-06-26,1.091498033626616
2018-06-27,1.0967465057882213
2018-06-28,1.0974414226769065
2018-06-29,1.0954699444533618
2018-07-02,1.1017551992412067
2018-07-03,1.1026091014969064
2018-07-04,1.0950217755128897
2018-07-05,1.1018244578944574
2018-07-06,1.0991566582909964
2018-07-09,1.0944074650085138
2018-07-10,1.1003991785855618
2018-07-11,1.10044578105876
2018-07-12,1.1049998186448091
2018-07-13,1.1003467570567844
2018-07-16,1.0989310864466377
2018-07-17,1.0983288997327583
2018-07-18,1.1036984281553703
2018-07-19,1.1022063667846536
2018-07-20,1.1011332706443637
2018-07-23,1.0998173879289004
2018-07-24,1.1054964118412989
2018-07-25,1.1039887929666767
2018-07-26,1.102622313066161
2018-07-27,1.0969288727907307
2018-07-30,1.0963100830687618
2018-07-31,1.0924963005214834
2018-08-01,1.0907237038188038
2018-08-02,1.088827633884667
2018-08-03,1.0911004570177425
2018-08-06,1.0941619845071353
2018-08-07,1.0951693922638328
2018-08-08,1.0962694445988503
2018-08-09,1.0986248710114996
2018-08-10,1.0985664918719584
2018-08-13,1.1002670881353773
2018-08-14,1.0974106350757993
2018-08-15,1.0979129032093748
2018-08-16,1.0976265654635604
2018-08-17,1.0979253129837472
2018-08-20,1.0961640412069091
2018-08-21,1.0939066537096602
2018-08-22,1.0936031852978494
2018-08-23,1.095087633254833
2018-08-24,1.0941158012470342
2018-08-27,1.096144527992538
2018-08-28,1.097139879433567
2018-08-29,1.096773342802783
2018-08-30,1.09800660735226
2018-08-31,1.0959554697779619
2018-09-03,1.0985117671797406
2018-09-04,1.090970044470971
2018-09-05,1.0957099909497694
2018-09-06,1.0927898715729565
2018-09-07,1.0922753630801485
2018-09-10,1.094568895139835
2018-09-11,1.0976646145242297
2018-09-12,1.0996996457725157
2018-09-13,1.1025610584766605
2018-09-14,1.0998363015545012
2018-09-17,1.0995535009612936
2018-09-18,1.1036342766422702
2018-09-19,1.1051014561803745
2018-09-20,1.1046963630720672
2018-09-21,1.0955641327802599
2018-09-24,1.0930609320037268
2018-09-25,1.0932316802670323
2018-09-26,1.0927622918515427
2018-09-27,1.0938653261372353
2018-09-28,1.0963084849317903
2018-10-01,1.1004261464545786
2018-10-02,1.0967389908156944
2018-10-03,1.0963728225433473
2018-10-04,1.0947603680863642
2018-10-05,1.094375400879285
2018-10-08,1.0899038933547973
2018-10-09,1.087842214247553
2018-10-10,1.0893550317334622
2018-10-11,1.0826500508707344
2018-10-12,1.0830504770495923
