,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,0.9999375
2018-02-01,1.001519096350431
2018-02-02,1.001212283354491
2018-02-05,0.999332747076502
2018-02-06,0.998929882049822
2018-02-07,0.9983283288699432
2018-02-08,0.999116544546629
2018-02-09,1.0013234598916545
2018-02-12,1.0051757215418584
2018-02-13,1.0048855462544746
2018-02-14,1.006807389374732
2018-02-15,1.0070722040978657
2018-02-16,1.0036178884531521
2018-02-19,1.0052095552320495
2018-02-20,1.00480243670562
2018-02-21,1.0038992848516137
2018-02-22,1.0045705796147777
2018-02-23,1.0040755897094173
2018-02-26,0.9967090348053088
2018-02-27,0.9907527880541956
2018-02-28,0.9958403062621962
2018-03-01,0.9960922207953272
2018-03-02,0.9922886867722002
2018-03-05,0.9910131711158987
2018-03-06,0.9847211127196213
2018-03-07,0.9756921842814105
2018-03-08,0.9757756634648757
2018-03-09,0.9700334513252341
2018-03-12,0.9573678629074913
2018-03-13,0.9547535959147259
2018-03-14,0.9512392385395664
2018-03-15,0.9437483790743489
2018-03-16,0.9373200129817667
2018-03-19,0.9372583360583159
2018-03-20,0.9369320045211769
2018-03-21,0.9352347494105773
2018-03-22,0.9334843706884398
2018-03-23,0.9337289587792221
2018-03-26,0.9386464034072272
2018-03-27,0.9440192396197226
2018-03-28,0.9498245511934701
2018-03-29,0.955585863313676
2018-03-30,0.9547373790017907
2018-04-02,0.9539634555729181
2018-04-03,0.9542123346514935
2018-04-04,0.9552643689478219
2018-04-05,0.9553714023463707
2018-04-06,0.9588763037029524
2018-04-09,0.9682567634411832
2018-04-10,0.9714030081662635
2018-04-11,0.9764586391394846
2018-04-12,0.9763394799404375
2018-04-13,0.9775581145307252
2018-04-16,0.9793177542581349
2018-04-17,0.981091290435334
2018-04-18,0.978545559070994
2018-04-19,0.9832159309071485
2018-04-20,0.9812661819358612
2018-04-23,0.9811723490326426
2018-04-24,0.9823341607960612
2018-04-25,0.9861198418082815
2018-04-26,0.9882036452912564
2018-04-27,0.9869930860179146
2018-04-30,0.9865054593301664
2018-05-01,0.988116715913377
2018-05-02,0.9891351684788918
2018-05-03,0.9876441818441853
2018-05-04,0.9881592431570495
2018-05-07,0.9856888382762633
2018-05-08,0.988141157073979
2018-05-09,0.9892242560914954
2018-05-10,0.9899181922993394
2018-05-11,0.9859227238236884
2018-05-14,0.986897669730467
2018-05-15,0.989454713984554
2018-05-16,0.984378436831495
2018-05-17,0.9843148114735167
2018-05-18,0.9893757886944774
2018-05-21,0.987729700673019
2018-05-22,0.9793367766209192
2018-05-23,0.9726257959023854
2018-05-24,0.9681950724485104
2018-05-25,0.9721734399687676
2018-05-28,0.9721780429710722
2018-05-29,0.9714351758145313
2018-05-30,0.9708833306814701
2018-05-31,0.9708735268890765
2018-06-01,0.9665822902463362
2018-06-04,0.9644735307607415
2018-06-05,0.9633036595532074
2018-06-06,0.9635786428907603
2018-06-07,0.9632024086398591
2018-06-08,0.9603823048847807
2018-06-11,0.9645507376331576
2018-06-12,0.9651406534077627
2018-06-13,0.9657122403152034
2018-06-14,0.9686277771679522
2018-06-15,0.966645628605524
2018-06-18,0.9601928066175011
2018-06-19,0.9558448143156116
2018-06-20,0.953020317768955
2018-06-21,0.9529086671974847
2018-06-22,0.9546625136163639
2018-06-25,0.9456482107096921
2018-06-26,0.944503956846439
2018-06-27,0.9389248616167958
2018-06-28,0.9385769002313212
2018-06-29,0.9329052054582981
2018-07-02,0.9293647068698098
2018-07-03,0.9317014331248974
2018-07-04,0.9407201382284294
2018-07-05,0.9396939773412897
2018-07-06,0.9401743329819374
2018-07-09,0.9441740379642791
2018-07-10,0.9414859086277532
2018-07-11,0.937377215604855
2018-07-12,0.9333748932174372
2018-07-13,0.9364823550876914
2018-07-16,0.9406336177383688
2018-07-17,0.9437035561347814
2018-07-18,0.9366380555171454
2018-07-19,0.9347406117361642
2018-07-20,0.935054352933756
2018-07-23,0.937659582828469
2018-07-24,0.9410779084919056
2018-07-25,0.9412779317959986
2018-07-26,0.945235013426184
2018-07-27,0.9502214876567552
2018-07-30,0.947730644747707
2018-07-31,0.9502466000529372
2018-08-01,0.9544764999543758
2018-08-02,0.9532261077665699
2018-08-03,0.951937553970719
2018-08-06,0.949263388390561
2018-08-07,0.944978676110551
2018-08-08,0.9434529949787505
2018-08-09,0.9409208970610605
2018-08-10,0.9358357198358884
2018-08-13,0.9407019135198736
2018-08-14,0.9472302701142186
2018-08-15,0.9473483997412919
2018-08-16,0.9554019395842298
2018-08-17,0.9528762692962467
2018-08-20,0.9600682162555924
2018-08-21,0.9649573076825074
2018-08-22,0.9677478921522428
2018-08-23,0.9647798962132784
2018-08-24,0.9677916736955625
2018-08-27,0.963264778897358
2018-08-28,0.9622687450826901
2018-08-29,0.9625276708442986
2018-08-30,0.960403235579266
2018-08-31,0.9631089796383566
2018-09-03,0.9651402848297435
2018-09-04,0.9702250670371645
2018-09-05,0.9692574669916447
2018-09-06,0.9694052086162341
2018-09-07,0.9686599153737013
2018-09-10,0.9664765879903868
2018-09-11,0.9641063479991906
2018-09-12,0.9634069133552398
2018-09-13,0.9584288064937931
2018-09-14,0.9566170822950701
2018-09-17,0.959765807553392
2018-09-18,0.9563864493568217
2018-09-19,0.9552733418656272
2018-09-20,0.9562009065772271
2018-09-21,0.9649486647374058
2018-09-24,0.9670343755880235
2018-09-25,0.9668831629426162
2018-09-26,0.9671774938328463
2018-09-27,0.9676285942604559
2018-09-28,0.9689175864061181
2018-10-01,0.9658471109138487
2018-10-02,0.9659393903990039
2018-10-03,0.9658509254518609
2018-10-04,0.969407010333486
2018-10-05,0.9677410305718425
2018-10-08,0.9718061585396776
2018-10-09,0.9733047115179988
2018-10-10,0.9730011781640376
2018-10-11,0.979263485810932
2018-10-12,0.9797596304249757
