,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,0.999625
2018-02-13,0.9967590334845229
2018-02-14,0.9934769723566453
2018-02-15,0.993692307646664
2018-02-16,1.0001819210024108
2018-02-19,0.9997719182083815
2018-02-20,1.0083875342671422
2018-02-21,1.010895973360063
2018-02-22,1.0130581126295535
2018-02-23,1.01162387959604
2018-02-26,1.0126949102822351
2018-02-27,1.0197652002026267
2018-02-28,1.020960427508666
2018-03-01,1.0160057690334434
2018-03-02,1.0236363755356732
2018-03-05,1.026199940487854
2018-03-06,1.033506380132056
2018-03-07,1.044588058101236
2018-03-08,1.0451345641556302
2018-03-09,1.050946420483622
2018-03-12,1.0630682807619227
2018-03-13,1.0701253645619702
2018-03-14,1.071211042800535
2018-03-15,1.077204278755161
2018-03-16,1.0845313325591908
2018-03-19,1.0845966512949492
2018-03-20,1.084833983983493
2018-03-21,1.085095435578013
2018-03-22,1.0909761505028333
2018-03-23,1.0942088776777303
2018-03-26,1.0875334022877197
2018-03-27,1.0857186548566955
2018-03-28,1.0765553090251752
2018-03-29,1.0633681608132228
2018-03-30,1.0596136511142789
2018-04-02,1.0552210748664774
2018-04-03,1.0582639728407695
2018-04-04,1.0585685508149387
2018-04-05,1.070055680541319
2018-04-06,1.0674826353706262
2018-04-09,1.0715263474514862
2018-04-10,1.0643808264314427
2018-04-11,1.0519339204617455
2018-04-12,1.052657039355324
2018-04-13,1.0459839819712267
2018-04-16,1.0456358597080901
2018-04-17,1.0468284008578257
2018-04-18,1.0482205047072048
2018-04-19,1.0438920464965318
2018-04-20,1.0518253534464292
2018-04-23,1.0513745240315544
2018-04-24,1.053676250491548
2018-04-25,1.0515747574560228
2018-04-26,1.0534629737243544
2018-04-27,1.0579658537457297
2018-04-30,1.0583578800136775
2018-05-01,1.0598912518149752
2018-05-02,1.055927322165843
2018-05-03,1.055692066954148
2018-05-04,1.0588050744397144
2018-05-07,1.0623479193031224
2018-05-08,1.061682139597694
2018-05-09,1.053685275662328
2018-05-10,1.0521197944044676
2018-05-11,1.051363576644352
2018-05-14,1.0477795153773894
2018-05-15,1.049608992501411
2018-05-16,1.052672713346973
2018-05-17,1.055429563545506
2018-05-18,1.0551634644345558
2018-05-21,1.0554215905211124
2018-05-22,1.05633294231998
2018-05-23,1.0544607976787974
2018-05-24,1.056713165646258
2018-05-25,1.0495150538986326
2018-05-28,1.052296985026876
2018-05-29,1.0582182973388807
2018-05-30,1.0595824822401443
2018-05-31,1.0621017633612884
2018-06-01,1.062519302543398
2018-06-04,1.064784131068714
2018-06-05,1.0667154791533642
2018-06-06,1.0673336356745462
2018-06-07,1.0653235346088548
2018-06-08,1.0771645013938453
2018-06-11,1.0754089384488608
2018-06-12,1.0693967575763728
2018-06-13,1.069765000341462
2018-06-14,1.0617645380050749
2018-06-15,1.0569838926740411
2018-06-18,1.0629271053018623
2018-06-19,1.0658103543413673
2018-06-20,1.0684850811275417
2018-06-21,1.0732048046381666
2018-06-22,1.0726589846105536
2018-06-25,1.0814678309425145
2018-06-26,1.082482798660672
2018-06-27,1.0876879210330048
2018-06-28,1.0883770982512186
2018-06-29,1.086486403947096
2018-07-02,1.0955353380075532
2018-07-03,1.097705768217939
2018-07-04,1.0882290999001705
2018-07-05,1.0942676707232535
2018-07-06,1.0929096290869103
2018-07-09,1.0845203689772163
2018-07-10,1.0891033247191046
2018-07-11,1.0982772645099093
2018-07-12,1.1091420625401676
2018-07-13,1.102267315257917
2018-07-16,1.0951963377409366
2018-07-17,1.0954865117224883
2018-07-18,1.0972285450132997
2018-07-19,1.0910240686549466
2018-07-20,1.0902806115727186
2018-07-23,1.087661249758631
2018-07-24,1.0954624924590313
2018-07-25,1.0970155056961284
2018-07-26,1.0988811333372075
2018-07-27,1.0891502088518608
2018-07-30,1.0892940630958292
2018-07-31,1.0825712629943036
2018-08-01,1.0784030595306668
2018-08-02,1.0824919666904584
2018-08-03,1.0813048868998216
2018-08-06,1.0881752106691307
2018-08-07,1.0876831886111087
2018-08-08,1.0902538110298219
2018-08-09,1.0843273299053786
2018-08-10,1.0858172199640845
2018-08-13,1.0898653481998783
2018-08-14,1.0910386418381683
2018-08-15,1.0891173105665615
2018-08-16,1.0853275149668482
2018-08-17,1.0884975708695876
2018-08-20,1.0909151811302586
2018-08-21,1.0884903468618132
2018-08-22,1.082627186525322
2018-08-23,1.0841167586959293
2018-08-24,1.0823657531359068
2018-08-27,1.0884304290071558
2018-08-28,1.0968683374425434
2018-08-29,1.0977955619866178
2018-08-30,1.0964383975741563
2018-08-31,1.0913945517904022
2018-09-03,1.092796375862987
2018-09-04,1.0845536858800295
2018-09-05,1.0893253992451182
2018-09-06,1.0809664851427352
2018-09-07,1.078666429047282
2018-09-10,1.0845806819854606
2018-09-11,1.0831176912838885
2018-09-12,1.0846041810380285
2018-09-13,1.0831632156475217
2018-09-14,1.0792764031653286
2018-09-17,1.078998889132905
2018-09-18,1.0830033804311683
2018-09-19,1.08437544539258
2018-09-20,1.0827728961729908
2018-09-21,1.0758812122273829
2018-09-24,1.0757312517843882
2018-09-25,1.0758997321756631
2018-09-26,1.0759602497573897
2018-09-27,1.0826402746773427
2018-09-28,1.0885551766543544
2018-10-01,1.095711156126522
2018-10-02,1.0915075142062127
2018-10-03,1.0901518160169965
2018-10-04,1.087008627326756
2018-10-05,1.08536776486548
2018-10-08,1.0812535768898017
2018-10-09,1.0795979265773201
2018-10-10,1.0819447622359888
2018-10-11,1.0740920588503398
2018-10-12,1.076676465676591
2018-10-15,1.0749943282000245
2018-10-16,1.0740663252375244
2018-10-17,1.0772303137670856
