,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,0.9999375
2018-01-31,0.9954634856177202
2018-02-01,0.9931581296292943
2018-02-02,0.9903469224585739
2018-02-05,0.9955913944519585
2018-02-06,1.0012016164380817
2018-02-07,0.9968218034755496
2018-02-08,0.995658086541323
2018-02-09,0.9959856839695915
2018-02-12,0.9928068820781165
2018-02-13,0.9899250938215625
2018-02-14,0.9880433683200838
2018-02-15,0.9882948896758811
2018-02-16,0.9954500908637149
2018-02-19,0.9975637480802277
2018-02-20,1.006719330787147
2018-02-21,1.0093021205988555
2018-02-22,1.0102302626500534
2018-02-23,1.0088896242124061
2018-02-26,1.0118635948176022
2018-02-27,1.019440645112712
2018-02-28,1.0155642708666115
2018-03-01,1.0124974855306257
2018-03-02,1.0206874916495463
2018-03-05,1.0236058544058766
2018-03-06,1.0308938244199004
2018-03-07,1.0419474894985599
2018-03-08,1.0424926140641297
2018-03-09,1.0482246230655579
2018-03-12,1.062058883656021
2018-03-13,1.0684471066913341
2018-03-14,1.0723700354718546
2018-03-15,1.08080477975472
2018-03-16,1.088156323866731
2018-03-19,1.0882218609270708
2018-03-20,1.0883255014922755
2018-03-21,1.0902862878783568
2018-03-22,1.0921781256453444
2018-03-23,1.0924118050315679
2018-03-26,1.0889609254677715
2018-03-27,1.0850600781011026
2018-03-28,1.0795571707410825
2018-03-29,1.0708722487208993
2018-03-30,1.0678290341242826
2018-04-02,1.0664878765068277
2018-04-03,1.0676207654644039
2018-04-04,1.0706444744274217
2018-04-05,1.0784930810579814
2018-04-06,1.0782481145172447
2018-04-09,1.077116842287498
2018-04-10,1.0746888583906422
2018-04-11,1.0672469303602197
2018-04-12,1.0686075023638784
2018-04-13,1.0648300930342758
2018-04-16,1.0629849289878497
2018-04-17,1.0643693883288055
2018-04-18,1.0618885001480531
2018-04-19,1.061428724931648
2018-04-20,1.0682221537377523
2018-04-23,1.0657577039508077
2018-04-24,1.0694497283700324
2018-04-25,1.0673167760946392
2018-04-26,1.0692332588608864
2018-04-27,1.0738035467586122
2018-04-30,1.0742014416391081
2018-05-01,1.0757577679353714
2018-05-02,1.0718017333290222
2018-05-03,1.0715259697974397
2018-05-04,1.0746352877386238
2018-05-07,1.0777926635709356
2018-05-08,1.0749902422897657
2018-05-09,1.072753764995511
2018-05-10,1.0760302550337941
2018-05-11,1.073989578361855
2018-05-14,1.0707261321984254
2018-05-15,1.0725956753000039
2018-05-16,1.0757264923497367
2018-05-17,1.0785437182133883
2018-05-18,1.0782717914695765
2018-05-21,1.0785355705778927
2018-05-22,1.0794668811946329
2018-05-23,1.077419376265332
2018-05-24,1.078880266679772
2018-05-25,1.0727132411797096
2018-05-28,1.0730151649044208
2018-05-29,1.0768190650095635
2018-05-30,1.0793969129981453
2018-05-31,1.081869457686901
2018-06-01,1.0815269571334685
2018-06-04,1.0809730069670307
2018-06-05,1.0825557870202875
2018-06-06,1.0789693084033811
2018-06-07,1.0791536832708253
2018-06-08,1.0853325964953828
2018-06-11,1.083686510214738
2018-06-12,1.0833690313080888
2018-06-13,1.0832309175424422
2018-06-14,1.0775418246792894
2018-06-15,1.0761833714637952
2018-06-18,1.0814322622488315
2018-06-19,1.0823513886182725
2018-06-20,1.0880346877779095
2018-06-21,1.08977090467531
2018-06-22,1.0897272093820003
2018-06-25,1.0946907170054336
2018-06-26,1.0941739876588783
2018-06-27,1.099435327154928
2018-06-28,1.1001319477257026
2018-06-29,1.0981556361584968
2018-07-02,1.1044563000926482
2018-07-03,1.1053122958044181
2018-07-04,1.097706368471672
2018-07-05,1.1045257285427896
2018-07-06,1.1018513884702796
2018-07-09,1.0970905519025846
2018-07-10,1.1031655231297284
2018-07-11,1.105627474732858
2018-07-12,1.1132022392083778
2018-07-13,1.1085146379150885
2018-07-16,1.1070884587731502
2018-07-17,1.1064818020235279
2018-07-18,1.1118911884891978
2018-07-19,1.1103880515375961
2018-07-20,1.1093069897979466
2018-07-23,1.1079813392768578
2018-07-24,1.11370251861927
2018-07-25,1.112183708680314
2018-07-26,1.1108070853909517
2018-07-27,1.105071382672755
2018-07-30,1.1044479996708103
2018-07-31,1.1006059073918353
2018-08-01,1.0988201526927472
2018-08-02,1.0969768141761456
2018-08-03,1.0981239176869686
2018-08-06,1.101205152360765
2018-08-07,1.1022190448446127
2018-08-08,1.103326178263924
2018-08-09,1.1056967666579127
2018-08-10,1.105638011729334
2018-08-13,1.1073495548041978
2018-08-14,1.1044055052859845
2018-08-15,1.1024902757965056
2018-08-16,1.1018180040041783
2018-08-17,1.1034500346137681
2018-08-20,1.1031493009457307
2018-08-21,1.098196481159134
2018-08-22,1.0936456194000155
2018-08-23,1.0935690935611362
2018-08-24,1.0913245206559554
2018-08-27,1.0966300718189483
2018-08-28,1.099845053894875
2018-08-29,1.0998084208844274
2018-08-30,1.0978351255816765
2018-08-31,1.0953006470777247
2018-09-03,1.097100564585974
2018-09-04,1.0907258610975306
2018-09-05,1.093881891858204
2018-09-06,1.0876930071218127
2018-09-07,1.0871808983401614
2018-09-10,1.0894637331722046
2018-09-11,1.092545013859379
2018-09-12,1.0945705535496848
2018-09-13,1.0974186203827971
2018-09-14,1.0946409931226038
2018-09-17,1.0941187504504717
2018-09-18,1.0974420748212155
2018-09-19,1.0993280767689224
2018-09-20,1.099195924241276
2018-09-21,1.0928060447294095
2018-09-24,1.0903091457730474
2018-09-25,1.0904794641767668
2018-09-26,1.0900112574489038
2018-09-27,1.0911115148403991
2018-09-28,1.093616717440443
2018-10-01,1.0949206253434525
2018-10-02,1.091251916842775
2018-10-03,1.0908875805399427
2018-10-04,1.0892831933231668
2018-10-05,1.088900152138195
2018-10-08,1.0844510159279057
2018-10-09,1.082399651568167
2018-10-10,1.083969126559843
2018-10-11,1.0756764744774352
2018-10-12,1.0760743214271637
