,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,0.9995
2018-01-17,0.9946332979604104
2018-01-18,0.9966843045401736
2018-01-19,1.0119215354534192
2018-01-22,1.0062690900097493
2018-01-23,1.0127088626864291
2018-01-24,1.0017351958904384
2018-01-25,0.997960532731214
2018-01-26,1.003510088527641
2018-01-29,1.002317877067691
2018-01-30,1.006677805857859
2018-01-31,1.0063217812063803
2018-02-01,1.0078938667748607
2018-02-02,1.0052619374234628
2018-02-05,1.0183456541864044
2018-02-06,1.0304553216837111
2018-02-07,1.0245900830028063
2018-02-08,1.01987742102734
2018-02-09,1.02687573056221
2018-02-12,1.0258316557913265
2018-02-13,1.0212183114762476
2018-02-14,1.016283769330282
2018-02-15,1.014620836855679
2018-02-16,1.0218674649479123
2018-02-19,1.0240240154315674
2018-02-20,1.0329715481503445
2018-02-21,1.0372687993828866
2018-02-22,1.04114342596611
2018-02-23,1.0378421820783474
2018-02-26,1.0364432838814845
2018-02-27,1.0452546024231022
2018-02-28,1.0479420360303684
2018-03-01,1.040076191168888
2018-03-02,1.0503162937405375
2018-03-05,1.052123510928121
2018-03-06,1.0597217085316082
2018-03-07,1.072526500733382
2018-03-08,1.0810374735638273
2018-03-09,1.083964548164819
2018-03-12,1.1018052568913177
2018-03-13,1.1059361419733142
2018-03-14,1.1109705333361515
2018-03-15,1.1150839018304526
2018-03-16,1.123798867049464
2018-03-19,1.1234775000056367
2018-03-20,1.1245438104588148
2018-03-21,1.1243444892655998
2018-03-22,1.1256908195110167
2018-03-23,1.1282771655258108
2018-03-26,1.1235007746408077
2018-03-27,1.1229291130432904
2018-03-28,1.1137330586333383
2018-03-29,1.0982750171497497
2018-03-30,1.093491013829599
2018-04-02,1.0892806006586693
2018-04-03,1.0927059373808812
2018-04-04,1.0942253479466726
2018-04-05,1.1063575543836333
2018-04-06,1.1052751228588704
2018-04-09,1.1199008556393693
2018-04-10,1.11271448849603
2018-04-11,1.1039524237208833
2018-04-12,1.1091505480261916
2018-04-13,1.1052653250808975
2018-04-16,1.1082291430680284
2018-04-17,1.1187600797864237
2018-04-18,1.115603470548319
2018-04-19,1.1108919714994772
2018-04-20,1.124277561207357
2018-04-23,1.1214512969757349
2018-04-24,1.1274418144018121
2018-04-25,1.1211824149416327
2018-04-26,1.1253478204654317
2018-04-27,1.132794259069994
2018-04-30,1.1323118170487225
2018-05-01,1.1313358290492885
2018-05-02,1.1212039622205467
2018-05-03,1.1194582738837604
2018-05-04,1.1343631754233299
2018-05-07,1.132861938565325
2018-05-08,1.1272055750184127
2018-05-09,1.1148352332570708
2018-05-10,1.1145029478464026
2018-05-11,1.1175739245011238
2018-05-14,1.1054719416141938
2018-05-15,1.1107843406246265
2018-05-16,1.1104813441661852
2018-05-17,1.1120316608777132
2018-05-18,1.1147632236958194
2018-05-21,1.1110980324543458
2018-05-22,1.1043536227381188
2018-05-23,1.0980155038607187
2018-05-24,1.0964946232972514
2018-05-25,1.0873351503010484
2018-05-28,1.0908465861240313
2018-05-29,1.1006003274871141
2018-05-30,1.0991886982298618
2018-05-31,1.1065925732086892
2018-06-01,1.1043526005406938
2018-06-04,1.1127136622027776
2018-06-05,1.1174491855327544
2018-06-06,1.1156132260096843
2018-06-07,1.1127716384730855
2018-06-08,1.127548147693664
2018-06-11,1.1299186369700494
2018-06-12,1.1285402691966187
2018-06-13,1.1328302295513106
2018-06-14,1.1252486060427986
2018-06-15,1.1214078285265296
2018-06-18,1.1313887020253266
2018-06-19,1.1354574533266804
2018-06-20,1.141501286365292
2018-06-21,1.145673090863317
2018-06-22,1.1463760972485735
2018-06-25,1.1550957539826863
2018-06-26,1.156474558808187
2018-06-27,1.1588485341258583
2018-06-28,1.1625678260397458
2018-06-29,1.1543634416561666
2018-07-02,1.166658254768434
2018-07-03,1.173820233250404
2018-07-04,1.1656101861685757
2018-07-05,1.173611213790053
2018-07-06,1.1731113524252195
2018-07-09,1.1596559667323005
2018-07-10,1.1671595134380177
2018-07-11,1.1703339023581354
2018-07-12,1.1794248147821171
2018-07-13,1.1724952884514879
2018-07-16,1.1635024157148413
2018-07-17,1.1714854573353184
2018-07-18,1.1690222500659189
2018-07-19,1.156524609137081
2018-07-20,1.1562555405589003
2018-07-23,1.155905030181387
2018-07-24,1.1743735210426451
2018-07-25,1.1732340635326932
2018-07-26,1.1762293973526181
2018-07-27,1.1694821772613622
2018-07-30,1.1652020204973483
2018-07-31,1.1638269499763363
2018-08-01,1.1556944392005328
2018-08-02,1.160872347688264
2018-08-03,1.157366536133791
2018-08-06,1.1623465145639098
2018-08-07,1.1511612058335565
2018-08-08,1.157782080446394
2018-08-09,1.1485862180067634
2018-08-10,1.1464840233734297
2018-08-13,1.155095702314782
2018-08-14,1.1619384640888035
2018-08-15,1.1601535481786476
2018-08-16,1.1602214095439858
2018-08-17,1.1618404042956676
2018-08-20,1.169294082839473
2018-08-21,1.169008481092216
2018-08-22,1.1651108864098227
2018-08-23,1.1619784776272246
2018-08-24,1.1662973917555983
2018-08-27,1.1779166651700805
2018-08-28,1.1821615281681208
2018-08-29,1.1858435550066126
2018-08-30,1.1813761274465995
2018-08-31,1.1765539861412513
2018-09-03,1.1802524786487818
2018-09-04,1.1766173966941618
2018-09-05,1.1823887916436289
2018-09-06,1.1711619753035991
2018-09-07,1.1716278935249025
2018-09-10,1.1812019865345174
2018-09-11,1.1806855584441733
2018-09-12,1.181039239650232
2018-09-13,1.1715341693231391
2018-09-14,1.1676591760977546
2018-09-17,1.1663132065366915
2018-09-18,1.1750256473436291
2018-09-19,1.178829576891127
2018-09-20,1.1782138899405736
2018-09-21,1.1700164092431495
2018-09-24,1.1752684891805194
2018-09-25,1.1786609988942252
2018-09-26,1.173281196323045
2018-09-27,1.1795432250787068
2018-09-28,1.182258950250882
2018-10-01,1.1957204958803633
2018-10-02,1.1895048328784925
2018-10-03,1.1938202169717924
2018-10-04,1.1885821332951843
2018-10-05,1.1894244943757946
2018-10-08,1.1875691835340016
2018-10-09,1.1924734002067399
