,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,1.0
2018-03-27,1.0
2018-03-28,1.0
2018-03-29,1.0
2018-03-30,1.0
2018-04-02,1.0
2018-04-03,1.0
2018-04-04,1.0
2018-04-05,1.0
2018-04-06,1.0
2018-04-09,1.0
2018-04-10,1.0
2018-04-11,1.0
2018-04-12,1.0
2018-04-13,1.0
2018-04-16,1.0
2018-04-17,1.0
2018-04-18,1.0
2018-04-19,1.0
2018-04-20,1.0
2018-04-23,1.0
2018-04-24,1.0
2018-04-25,1.0
2018-04-26,1.0
2018-04-27,1.0
2018-04-30,1.0
2018-05-01,1.0
2018-05-02,1.0
2018-05-03,1.0
2018-05-04,1.0
2018-05-07,1.0
2018-05-08,1.0
2018-05-09,1.0
2018-05-10,1.0
2018-05-11,1.0
2018-05-14,1.0
2018-05-15,1.0
2018-05-16,1.0
2018-05-17,1.0
2018-05-18,1.0
2018-05-21,1.0
2018-05-22,1.0
2018-05-23,1.0
2018-05-24,1.0
2018-05-25,1.0
2018-05-28,1.0
2018-05-29,1.0
2018-05-30,1.0
2018-05-31,1.0
2018-06-01,1.0
2018-06-04,1.0
2018-06-05,1.0
2018-06-06,1.0
2018-06-07,1.0
2018-06-08,1.0
2018-06-11,1.0
2018-06-12,1.0
2018-06-13,1.0
2018-06-14,1.0
2018-06-15,1.0
2018-06-18,1.0
2018-06-19,0.9998355570160851
2018-06-20,0.9995212137891438
2018-06-21,0.9992122983299577
2018-06-22,0.9964271207167696
2018-06-25,1.0034830635052636
2018-06-26,1.0020098865150817
2018-06-27,1.007925841859204
2018-06-28,1.0068360357906116
2018-06-29,1.0105776058362945
2018-07-02,1.0110157112695044
2018-07-03,1.0110891473443242
2018-07-04,1.0110891473443242
2018-07-05,1.0110891473443242
2018-07-06,1.0110199067367833
2018-07-09,1.0126041273890751
2018-07-10,1.0120978253253807
2018-07-11,1.0214345179817612
2018-07-12,1.0202765977148889
2018-07-13,1.0165227246726831
2018-07-16,1.0397711718723999
2018-07-17,1.0397711718723999
2018-07-18,1.0397711718723999
2018-07-19,1.0392804020932098
2018-07-20,1.0380560003127741
2018-07-23,1.0355416537146689
2018-07-24,1.04631564289073
2018-07-25,1.0444433437536602
2018-07-26,1.0343220271882854
2018-07-27,1.0368752703084405
2018-07-30,1.0333153378871387
2018-07-31,1.038531065998757
2018-08-01,1.039550125819265
2018-08-02,1.0450683462521335
2018-08-03,1.0492597902327796
2018-08-06,1.0492597902327796
2018-08-07,1.049186891551636
2018-08-08,1.05012010718195
2018-08-09,1.049595047128359
2018-08-10,1.06690818736068
2018-08-13,1.0663747332669997
2018-08-14,1.0868176448949745
2018-08-15,1.0869201791187468
2018-08-16,1.0864467231151733
2018-08-17,1.0846673777185218
2018-08-20,1.0882623331148649
2018-08-21,1.0924818059927242
2018-08-22,1.0923559908157552
2018-08-23,1.0922433609351259
2018-08-24,1.094219214519804
2018-08-27,1.094219214519804
2018-08-28,1.094219214519804
2018-08-29,1.094219214519804
2018-08-30,1.094219214519804
2018-08-31,1.0940766867003746
2018-09-03,1.0951917824717416
2018-09-04,1.0951917824717416
2018-09-05,1.095026316738197
2018-09-06,1.090766633053623
2018-09-07,1.09181194597811
2018-09-10,1.1143117332478862
2018-09-11,1.1148523940289445
2018-09-12,1.1176622731619947
2018-09-13,1.1085483553411541
2018-09-14,1.121311884676878
2018-09-17,1.123619105051192
2018-09-18,1.1012891180916071
2018-09-19,1.1073921508907345
2018-09-20,1.103394604404638
2018-09-21,1.09189014778451
2018-09-24,1.0820813992367389
2018-09-25,1.0923905671485057
2018-09-26,1.087282127811324
2018-09-27,1.0987293951147734
2018-09-28,1.098500481522931
2018-10-01,1.1040106788266408
2018-10-02,1.1040106788266408
2018-10-03,1.1038966849317415
2018-10-04,1.1037660278773256
2018-10-05,1.105508595489471
2018-10-08,1.1075627155658985
2018-10-09,1.1070216324227242
2018-10-10,1.1219939111525077
2018-10-11,1.1142579840145463
2018-10-12,1.1157514778295083
2018-10-15,1.119099231335446
2018-10-16,1.1195923307505453
2018-10-17,1.1195923307505453
2018-10-18,1.1195923307505453
2018-10-19,1.1195923307505453
2018-10-22,1.1195923307505453
2018-10-23,1.1195030323146196
2018-10-24,1.1197495450087835
2018-10-25,1.1400181325090852
2018-10-26,1.1408699767344364
2018-10-29,1.139347921090529
2018-10-30,1.1389132567836102
2018-10-31,1.1342347885367865
2018-11-01,1.1384007274195385
2018-11-02,1.1323065103509375
2018-11-05,1.122736440766331
2018-11-06,1.1373525201877783
2018-11-07,1.1292390861233015
2018-11-08,1.1337081287046924
2018-11-09,1.1365857563804012
2018-11-12,1.1353562536608506
2018-11-13,1.1335572382204397
2018-11-14,1.134944586210412
2018-11-15,1.1255676552778653
2018-11-16,1.1244398682184709
2018-11-19,1.1206331208766076
2018-11-20,1.1205710683467616
2018-11-21,1.1219237766461536
2018-11-22,1.112874653245021
2018-11-23,1.1206807999426187
2018-11-26,1.1255091840606286
