,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,0.99975
2018-02-14,0.9977263088405809
2018-02-15,0.9976958083063961
2018-02-16,1.0015619685796897
2018-02-19,1.0036886032569103
2018-02-20,1.0129003995323818
2018-02-21,1.0154990471913496
2018-02-22,1.016432887861466
2018-02-23,1.0150234127185085
2018-02-26,1.0200215829349497
2018-02-27,1.0276597219841057
2018-02-28,1.0236878663590758
2018-03-01,1.0216246336859174
2018-03-02,1.030426321497844
2018-03-05,1.033308127996187
2018-03-06,1.0380502315389246
2018-03-07,1.0491806305406965
2018-03-08,1.0497295393304313
2018-03-09,1.0555013396169097
2018-03-12,1.069431636868599
2018-03-13,1.0757987478535482
2018-03-14,1.0799732986363402
2018-03-15,1.08720505150652
2018-03-16,1.0945337217093016
2018-03-19,1.094536746110103
2018-03-20,1.0962982353278643
2018-03-21,1.0967083165538056
2018-03-22,1.0996105809576504
2018-03-23,1.0998508774856002
2018-03-26,1.090412841449292
2018-03-27,1.0852947314797736
2018-03-28,1.0813955678530391
2018-03-29,1.0769174370760592
2018-03-30,1.076850129736242
2018-04-02,1.075642615818604
2018-04-03,1.073094300964572
2018-04-04,1.075631290653962
2018-04-05,1.0840110599243618
2018-04-06,1.0827339974753751
2018-04-09,1.082868140026103
2018-04-10,1.0768029875998053
2018-04-11,1.0723034603751842
2018-04-12,1.073522843079323
2018-04-13,1.0709902716641972
2018-04-16,1.0713183412823342
2018-04-17,1.0747407391809303
2018-04-18,1.073325455149731
2018-04-19,1.0695558335939424
2018-04-20,1.0800438455787562
2018-04-23,1.0764619564890796
2018-04-24,1.0781301219285395
2018-04-25,1.0719531972729484
2018-04-26,1.0765894219799246
2018-04-27,1.0802265429619844
2018-04-30,1.0799682376250888
2018-05-01,1.084322728607561
2018-05-02,1.078008293313634
2018-05-03,1.0781870747202487
2018-05-04,1.0813602049392048
2018-05-07,1.0832832947754678
2018-05-08,1.077904859659936
2018-05-09,1.0756623186124366
2018-05-10,1.0789476921869632
2018-05-11,1.0768340484045757
2018-05-14,1.0714466173682013
2018-05-15,1.0767623080884683
2018-05-16,1.0725211061759616
2018-05-17,1.0730971249630128
2018-05-18,1.0728265714360141
2018-05-21,1.0730890184726798
2018-05-22,1.073950182445369
2018-05-23,1.0728544351233522
2018-05-24,1.0747266764900278
2018-05-25,1.0708017581060745
2018-05-28,1.0707236041291186
2018-05-29,1.0701110483310683
2018-05-30,1.0742184885933324
2018-05-31,1.0761749505974358
2018-06-01,1.0748268779805008
2018-06-04,1.0731058136262488
2018-06-05,1.0750522559118734
2018-06-06,1.0756122640530754
2018-06-07,1.0738009453905224
2018-06-08,1.0825307097568666
2018-06-11,1.0822568155007215
2018-06-12,1.0827589653986707
2018-06-13,1.0860557069779035
2018-06-14,1.0803236664589402
2018-06-15,1.0807461404077667
2018-06-18,1.0852389559232474
2018-06-19,1.0862291450965442
2018-06-20,1.0921250978209356
2018-06-21,1.0948287660514189
2018-06-22,1.094786922015467
2018-06-25,1.0981114897201933
2018-06-26,1.097524513690413
2018-06-27,1.1035799995654474
2018-06-28,1.1041473451473385
2018-06-29,1.1062944526403518
2018-07-02,1.110250331819832
2018-07-03,1.1110414274812015
2018-07-04,1.1017407415891174
2018-07-05,1.1041770394788193
2018-07-06,1.1042566918005519
2018-07-09,1.102082615944158
2018-07-10,1.1105005053938726
2018-07-11,1.110478129381888
2018-07-12,1.1132290814207733
2018-07-13,1.1086921564801078
2018-07-16,1.1025716187992427
2018-07-17,1.1034750064461676
2018-07-18,1.1056481834049603
2018-07-19,1.0972488799300069
2018-07-20,1.0979150744231694
2018-07-23,1.096212080823095
2018-07-24,1.096784584435629
2018-07-25,1.0982255842916322
2018-07-26,1.1008071758004863
2018-07-27,1.0938154600033037
2018-07-30,1.091598958069303
2018-07-31,1.0861398074395225
2018-08-01,1.0826887734051014
2018-08-02,1.0860947981163112
2018-08-03,1.0884299444569037
2018-08-06,1.0919821840644075
2018-08-07,1.0875977889967108
2018-08-08,1.092321213916669
2018-08-09,1.0887071552848868
2018-08-10,1.0920840198042316
2018-08-13,1.0944311123992472
2018-08-14,1.0911021020700353
2018-08-15,1.0891124651628699
2018-08-16,1.0878640293175372
2018-08-17,1.0886572791245022
2018-08-20,1.0922782414300771
2018-08-21,1.0920147916027791
2018-08-22,1.0909303891071003
2018-08-23,1.0904067170918241
2018-08-24,1.08810147697703
2018-08-27,1.0899830391831549
2018-08-28,1.0953455517113164
2018-08-29,1.0953090685677158
2018-08-30,1.0933438460807603
2018-08-31,1.0907539426398905
2018-09-03,1.0933304048361236
2018-09-04,1.0882626942647098
2018-09-05,1.0897225453284611
2018-09-06,1.0885092487355172
2018-09-07,1.087928723822073
2018-09-10,1.0869297918840497
2018-09-11,1.0923232101511764
2018-09-12,1.0937466796452955
2018-09-13,1.0905274678560832
2018-09-14,1.088449905282103
2018-09-17,1.086178781135154
2018-09-18,1.089162051921826
2018-09-19,1.0910314622400896
2018-09-20,1.0909003070658305
2018-09-21,1.0844904706213612
2018-09-24,1.0840970689804341
2018-09-25,1.084029312913623
2018-09-26,1.0845578328325027
2018-09-27,1.0844074508638617
2018-09-28,1.087814595903923
2018-10-01,1.09122344363129
2018-10-02,1.088131484042969
2018-10-03,1.0893364380439414
2018-10-04,1.0864059118839402
2018-10-05,1.0841180038157716
2018-10-08,1.0795544986896082
2018-10-09,1.0786834717751697
2018-10-10,1.0833433481072325
2018-10-11,1.079117654000718
2018-10-12,1.0793528868807911
2018-10-15,1.0809800684914808
2018-10-16,1.0828327546119898
2018-10-17,1.0878144646157724
