,equity
2018-01-02,0.99995
2018-01-03,0.9990122503493976
2018-01-04,0.9984040736500819
2018-01-05,0.9982910284295324
2018-01-08,0.9985030661745791
2018-01-09,0.9977929463925752
2018-01-10,0.9971477470354522
2018-01-11,0.997951475445287
2018-01-12,0.9979896447551967
2018-01-15,0.9984723615008538
2018-01-16,0.9986601426189297
2018-01-17,0.9981738923548966
2018-01-18,0.9983797488977784
2018-01-19,0.9999057411855494
2018-01-22,0.9993472694092206
2018-01-23,0.9999868123784468
2018-01-24,0.9989031549485771
2018-01-25,0.9985266992587037
2018-01-26,0.9990819499737139
2018-01-29,0.9989632554021789
2018-01-30,0.9993485749319154
2018-01-31,0.999277902663938
2018-02-01,0.9995901488906593
2018-02-02,0.9990681520193454
2018-02-05,1.0016685690693958
2018-02-06,1.0040505864121194
2018-02-07,1.0029075663084484
2018-02-08,1.0019848911192413
2018-02-09,1.0033599804199784
2018-02-12,1.00315598871688
2018-02-13,1.0022537062731098
2018-02-14,1.0012848363196265
2018-02-15,1.000957093947808
2018-02-16,1.00238671686167
2018-02-19,1.00280980274595
2018-02-20,1.0045620318035344
2018-02-21,1.0053979239806252
2018-02-22,1.0061489604824172
2018-02-23,1.0055109799988464
2018-02-26,1.0052398904214737
2018-02-27,1.006900510686748
2018-02-28,1.0076772224545385
2018-03-01,1.0054081461561448
2018-03-02,1.008377249532783
2018-03-05,1.008897809530634
2018-03-06,1.0110836072859295
2018-03-07,1.0147483590386623
2018-03-08,1.0171641771246218
2018-03-09,1.0179904107592825
2018-03-12,1.0230163650730848
2018-03-13,1.024167052313459
2018-03-14,1.02556565735622
2018-03-15,1.026704699950794
2018-03-16,1.0291117807735723
2018-03-19,1.0290234941467797
2018-03-20,1.0293165177457326
2018-03-21,1.0292617805805768
2018-03-22,1.0296315210603082
2018-03-23,1.0303411817443124
2018-03-26,1.029032609373128
2018-03-27,1.028825893694116
2018-03-28,1.0254554866437864
2018-03-29,1.0197612757191574
2018-03-30,1.0179843473015353
2018-04-02,1.016416360271232
2018-04-03,1.0176947443649922
2018-04-04,1.0182607010257914
2018-04-05,1.022776999993306
2018-04-06,1.0223767250582787
2018-04-09,1.027787926820845
2018-04-10,1.0251496666309874
2018-04-11,1.0219204225056522
2018-04-12,1.0238451171773597
2018-04-13,1.0224104967355712
2018-04-16,1.023507149694172
2018-04-17,1.0273972429662988
2018-04-18,1.026237715735257
2018-04-19,1.0245042122777601
2018-04-20,1.0294416416715755
2018-04-23,1.0284064189018876
2018-04-24,1.0305550761137126
2018-04-25,1.0276942760761685
2018-04-26,1.0296031917537982
2018-04-27,1.0330095802553891
2018-04-30,1.0327896216639543
2018-05-01,1.0323445199893702
2018-05-02,1.0277214627229505
2018-05-03,1.0269213224293512
2018-05-04,1.0337577214248967
2018-05-07,1.033073633494429
2018-05-08,1.0304945814302233
2018-05-09,1.0248397385169359
2018-05-10,1.0246870082066168
2018-05-11,1.0260986895523132
2018-05-14,1.0205424444971876
2018-05-15,1.0229945709357289
2018-05-16,1.0228550551864646
2018-05-17,1.0235690459726938
2018-05-18,1.0248260969901832
2018-05-21,1.0231412998000107
2018-05-22,1.0199875561592855
2018-05-23,1.0164748920570579
2018-05-24,1.0156300895297379
2018-05-25,1.0105395573664038
2018-05-28,1.01249761226903
2018-05-29,1.0179295831409867
2018-05-30,1.0171462275449616
2018-05-31,1.0212568422028194
2018-06-01,1.020016441380155
2018-06-04,1.024650010363424
2018-06-05,1.0272664475418314
2018-06-06,1.0262538689220393
2018-06-07,1.0246854792497415
2018-06-08,1.0328491418527064
2018-06-11,1.0341520436325766
2018-06-12,1.0333951950880322
2018-06-13,1.035752043263373
2018-06-14,1.0315929014117597
2018-06-15,1.029480242557794
2018-06-18,1.0349778266294982
2018-06-19,1.0371627491897981
2018-06-20,1.0410270383883706
2018-06-21,1.0436902495667493
2018-06-22,1.044138548247271
2018-06-25,1.049697948573513
2018-06-26,1.0505750103982323
2018-06-27,1.0520846763081704
2018-06-28,1.0544481458639656
2018-06-29,1.0492391979161717
2018-07-02,1.057061541344674
2018-07-03,1.06160361643023
2018-07-04,1.0564058106575889
2018-07-05,1.0614816957388675
2018-07-06,1.0611652238560674
2018-07-09,1.0526452709326866
2018-07-10,1.0574130556006733
2018-07-11,1.0594262596502668
2018-07-12,1.0651868050695392
2018-07-13,1.0608058464736216
2018-07-16,1.0551105688385154
2018-07-17,1.060129480900366
2018-07-18,1.058346185426843
2018-07-19,1.0492946442543196
2018-07-20,1.0490993521937693
2018-07-23,1.0488449249753282
2018-07-24,1.0622506523649413
2018-07-25,1.061426118833763
2018-07-26,1.0635939673665382
2018-07-27,1.0587132114644426
2018-07-30,1.0556133340993334
2018-07-31,1.0546167516572642
2018-08-01,1.048721400632552
2018-08-02,1.0524803030450594
2018-08-03,1.0499375301617195
2018-08-06,1.053551708299611
2018-08-07,1.0454410221905137
2018-08-08,1.0502512613724386
2018-08-09,1.0435778454188769
2018-08-10,1.0420498831066367
2018-08-13,1.0483113535846433
2018-08-14,1.0532333625023216
2018-08-15,1.0517772280543474
2018-08-16,1.051832598633676
2018-08-17,1.0531535536938983
2018-08-20,1.0592343163670306
2018-08-21,1.0590014661375724
2018-08-22,1.0558236904199814
2018-08-23,1.053268961290163
2018-08-24,1.0567923733505689
2018-08-27,1.066267741312036
2018-08-28,1.069725957430202
2018-08-29,1.0727245637363099
2018-08-30,1.0690873723860783
2018-08-31,1.0651599303396184
2018-09-03,1.06817345991314
2018-09-04,1.0652125634448548
2018-09-05,1.069914989944273
2018-09-06,1.0607718935146426
2018-09-07,1.0611516954236018
2018-09-10,1.068955891793188
2018-09-11,1.0684869510727064
2018-09-12,1.0688070225352653
2018-09-13,1.0602052034134068
2018-09-14,1.056698444423084
2018-09-17,1.0554803801364063
2018-09-18,1.0633648920181924
2018-09-19,1.0668073403950975
2018-09-20,1.0662501611631614
2018-09-21,1.0588316735783638
2018-09-24,1.0635846569945966
2018-09-25,1.0666547820880707
2018-09-26,1.0617862133099212
2018-09-27,1.0674531717687707
2018-09-28,1.0699108260429473
2018-10-01,1.082093143124325
2018-10-02,1.076468144357917
2018-10-03,1.0803734445960544
2018-10-04,1.0756331273989355
2018-10-05,1.07639544029104
2018-10-08,1.0747164365880968
2018-10-09,1.0791546136137895
2018-10-10,1.0747712737163648
2018-10-11,1.064755264865532
2018-10-12,1.062905725061097
2018-10-15,1.063500649743561
2018-10-16,1.0610093214615408
2018-10-17,1.0683905876076838
2018-10-18,1.0745040447631646
2018-10-19,1.0771231199544795
2018-10-22,1.0800670317949188
2018-10-23,1.0836118765547162
2018-10-24,1.0888591572777082
2018-10-25,1.0899285017786027
2018-10-26,1.0915334604349904
2018-10-29,1.0936313315711468
2018-10-30,1.089309784779675
2018-10-31,1.0857717885746612
2018-11-01,1.091749989007712
2018-11-02,1.0861860640756744
2018-11-05,1.0830920249752185
2018-11-06,1.0773905312691074
2018-11-07,1.0764348604856748
2018-11-08,1.0794944198441299
2018-11-09,1.0842504077443258
2018-11-12,1.0823047985534822
2018-11-13,1.0768920957216128
2018-11-14,1.0743041939524371
2018-11-15,1.057584616593735
2018-11-16,1.057934841253248
2018-11-19,1.055816734974431
2018-11-20,1.0608225551156019
2018-11-21,1.0704867596472132
2018-11-22,1.0680858903192028
2018-11-23,1.069510221794657
2018-11-26,1.083180874168126
2018-11-27,1.0774213265121748
2018-11-28,1.078871615621136
2018-11-29,1.0821010010780994
2018-11-30,1.0779248919674038
2018-12-03,1.0828263397677615
2018-12-04,1.0883237998347461
2018-12-05,1.096609116426866
2018-12-06,1.0957340437646468
2018-12-07,1.100771509802262
2018-12-10,1.1061788384532494
2018-12-11,1.1147467720934385
2018-12-12,1.1112413874561042
2018-12-13,1.11116783770847
2018-12-14,1.1127800418596754
2018-12-17,1.1173147617529267
2018-12-18,1.1282159524968316
2018-12-19,1.1281628841152334
2018-12-20,1.1370802995182645
2018-12-21,1.1191532591612636
2018-12-24,1.12293318487079
2018-12-25,1.12632715544428
2018-12-26,1.1343846150441916
2018-12-27,1.1457681784276426
2018-12-28,1.1542563707888904
2018-12-31,1.1552156353089684
2019-01-01,1.156971005624546
2019-01-02,1.161364532280046
2019-01-03,1.1522938922760806
2019-01-04,1.155261490896259
2019-01-07,1.1451826385448225
2019-01-08,1.14231907521587
2019-01-09,1.1410915400262358
2019-01-10,1.1452541798025935
2019-01-11,1.150435539690243
2019-01-14,1.1490467014837327
2019-01-15,1.1512997808166963
2019-01-16,1.1528229245049137
2019-01-17,1.1407870508386437
2019-01-18,1.1322961943345993
2019-01-21,1.1378496035065664
2019-01-22,1.1351374912982837
2019-01-23,1.1423423968904414
2019-01-24,1.14428651291471
2019-01-25,1.1350074583307468
2019-01-28,1.139776166817498
2019-01-29,1.141596452986729
2019-01-30,1.1338500883461686
2019-01-31,1.1260088537020339
2019-02-01,1.1295593235351336
2019-02-04,1.1310844980595367
2019-02-05,1.1240484303692677
2019-02-06,1.1320893280823756
2019-02-07,1.141176997999355
2019-02-08,1.1422437442469697
2019-02-11,1.13492244154889
2019-02-12,1.1337880238121179
2019-02-13,1.1335755925551532
2019-02-14,1.1215361246772844
2019-02-15,1.121569383422866
2019-02-18,1.1223570617798513
2019-02-19,1.1178444156173453
2019-02-20,1.114780926543971
2019-02-21,1.1269553261167566
2019-02-22,1.1301372672290066
2019-02-25,1.1430888999488849
2019-02-26,1.144405986116388
2019-02-27,1.1496986296459286
2019-02-28,1.1551427585186236
2019-03-01,1.150182671253159
2019-03-04,1.1490776001158578
2019-03-05,1.1434969815420628
2019-03-06,1.1470793821189824
2019-03-07,1.148985045755265
2019-03-08,1.1482987094442438
