,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,1.0
2018-03-27,1.0
2018-03-28,1.0
2018-03-29,1.0
2018-03-30,1.0
2018-04-02,1.0
2018-04-03,1.0
2018-04-04,1.0
2018-04-05,1.0
2018-04-06,1.0
2018-04-09,1.0
2018-04-10,1.0
2018-04-11,1.0
2018-04-12,1.0
2018-04-13,1.0
2018-04-16,1.0
2018-04-17,1.0
2018-04-18,1.0
2018-04-19,1.0
2018-04-20,1.0
2018-04-23,1.0
2018-04-24,1.0
2018-04-25,1.0
2018-04-26,1.0
2018-04-27,1.0
2018-04-30,1.0
2018-05-01,1.0
2018-05-02,1.0
2018-05-03,1.0
2018-05-04,1.0
2018-05-07,1.0
2018-05-08,1.0
2018-05-09,1.0
2018-05-10,1.0
2018-05-11,1.0
2018-05-14,1.0
2018-05-15,1.0
2018-05-16,1.0
2018-05-17,1.0
2018-05-18,1.0
2018-05-21,1.0
2018-05-22,1.0
2018-05-23,1.0
2018-05-24,1.0
2018-05-25,1.0
2018-05-28,1.0
2018-05-29,1.0
2018-05-30,1.0
2018-05-31,1.0
2018-06-01,1.0
2018-06-04,1.0
2018-06-05,1.0
2018-06-06,1.0
2018-06-07,1.0
2018-06-08,1.0
2018-06-11,1.0
2018-06-12,1.0
2018-06-13,1.0
2018-06-14,1.0
2018-06-15,1.0
2018-06-18,1.0
2018-06-19,1.0
2018-06-20,1.0
2018-06-21,1.0
2018-06-22,1.0
2018-06-25,1.0
2018-06-26,0.9995
2018-06-27,1.0023496808857058
2018-06-28,1.0036083615460334
2018-06-29,1.0050576855191513
2018-07-02,1.0151233527975725
2018-07-03,1.0127533351562166
2018-07-04,0.9996712598754647
2018-07-05,1.0144355685554727
2018-07-06,1.0204503098898379
2018-07-09,1.0139559654864303
2018-07-10,1.0364922303579411
2018-07-11,1.042557850030692
2018-07-12,1.0601412510581307
2018-07-13,1.0535572327526546
2018-07-16,1.0454490874995868
2018-07-17,1.0472459070020856
2018-07-18,1.0554857670425248
2018-07-19,1.055434875368875
2018-07-20,1.0493242793494324
2018-07-23,1.0573777815314296
2018-07-24,1.0731537183543431
2018-07-25,1.0785065684520854
2018-07-26,1.0722911978400824
2018-07-27,1.0597933092718632
2018-07-30,1.0590112741774553
2018-07-31,1.0456829205284073
2018-08-01,1.037050124278266
2018-08-02,1.0322606416174578
2018-08-03,1.0362504700180437
2018-08-06,1.0504551972279947
2018-08-07,1.0487648186717808
2018-08-08,1.050953141135356
2018-08-09,1.0539334589852944
2018-08-10,1.050387920943188
2018-08-13,1.06150674336845
2018-08-14,1.0584210889117025
2018-08-15,1.0737695885319356
2018-08-16,1.0742726686311286
2018-08-17,1.0720516179807484
2018-08-20,1.070630774484742
2018-08-21,1.065156636808836
2018-08-22,1.0568942727833517
2018-08-23,1.0565229079696075
2018-08-24,1.0486354311391175
2018-08-27,1.0404152193797545
2018-08-28,1.0438463784931011
2018-08-29,1.0483841672272811
2018-08-30,1.0443868439401471
2018-08-31,1.0419160291134058
2018-09-03,1.0427517783870397
2018-09-04,1.0408999864881245
2018-09-05,1.0445993169911776
2018-09-06,1.046339261359213
2018-09-07,1.050755341350776
2018-09-10,1.0628429855073465
2018-09-11,1.0729502483910782
2018-09-12,1.0795368233405616
2018-09-13,1.0819003032935142
2018-09-14,1.086088842971543
2018-09-17,1.0801437138403216
2018-09-18,1.0934887381323763
2018-09-19,1.1008430756870724
2018-09-20,1.0988346743408681
2018-09-21,1.0833162868128314
2018-09-24,1.0750421295717363
2018-09-25,1.0696978693919945
2018-09-26,1.069239974771715
2018-09-27,1.0874123358123884
2018-09-28,1.090041174809285
2018-10-01,1.1052528752598325
2018-10-02,1.0921529040567994
2018-10-03,1.0907722397576034
2018-10-04,1.082810873892329
2018-10-05,1.0758532541909276
2018-10-08,1.0680125156314464
2018-10-09,1.0645142567444126
2018-10-10,1.0693990973275311
2018-10-11,1.0603084647215113
2018-10-12,1.062493910350113
2018-10-15,1.0648538666742586
2018-10-16,1.058028547759242
2018-10-17,1.069456399312861
2018-10-18,1.0715001672962448
2018-10-19,1.0760267177456215
2018-10-22,1.0798596703561656
2018-10-23,1.077821796016414
2018-10-24,1.0782973475574467
2018-10-25,1.0761300873487765
2018-10-26,1.078988945660609
2018-10-29,1.079384206208842
2018-10-30,1.0793004557500656
2018-10-31,1.074759197912982
2018-11-01,1.0701008267927485
2018-11-02,1.05489522390867
2018-11-05,1.0477912385364838
2018-11-06,1.0400542643343018
2018-11-07,1.0489469485459135
2018-11-08,1.0571409245823806
2018-11-09,1.0616192709717858
2018-11-12,1.0493052319836063
2018-11-13,1.0349799529359043
2018-11-14,1.0296351032091082
2018-11-15,1.0153909682684017
2018-11-16,1.0195601385284543
2018-11-19,1.0166088794301544
2018-11-20,1.0200680540777762
2018-11-21,1.0210976242729672
2018-11-22,1.0154782248302143
2018-11-23,1.0166210748690439
2018-11-26,1.0262455165593394
2018-11-27,1.0148612595547022
