,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,1.0
2018-03-27,1.0
2018-03-28,1.0
2018-03-29,0.9996285116307247
2018-03-30,0.9969111456972131
2018-04-02,0.9929874460248892
2018-04-03,0.9947055793463065
2018-04-04,0.9945731746315808
2018-04-05,1.002766543956105
2018-04-06,1.0019781059554387
2018-04-09,1.0101371296001915
2018-04-10,1.0048927281682942
2018-04-11,0.9983890151950764
2018-04-12,1.0017256168345083
2018-04-13,1.0002719467454855
2018-04-16,1.001769291625777
2018-04-17,1.0085884064332267
2018-04-18,1.0078441936955642
2018-04-19,1.0028734265481014
2018-04-20,1.0109101604115716
2018-04-23,1.0090373517490905
2018-04-24,1.0128222014683828
2018-04-25,1.0080185663125285
2018-04-26,1.0092825867754227
2018-04-27,1.0153284319063243
2018-04-30,1.0155793264570763
2018-05-01,1.0145152463825722
2018-05-02,1.006238732621215
2018-05-03,1.0057017429602892
2018-05-04,1.0125916884872395
2018-05-07,1.0128547441864084
2018-05-08,1.009005167273795
2018-05-09,1.0025992126704308
2018-05-10,1.0019872640486644
2018-05-11,1.0053540369385225
2018-05-14,0.9984611510448094
2018-05-15,1.0028134362255123
2018-05-16,1.002877241936925
2018-05-17,1.0038400830389071
2018-05-18,1.0031944311707135
2018-05-21,1.000694059679729
2018-05-22,0.9988286667753752
2018-05-23,0.9965471927097543
2018-05-24,0.9971813387664651
2018-05-25,0.9900641216995798
2018-05-28,0.9924071821776905
2018-05-29,0.9977612192144614
2018-05-30,0.99898205280804
2018-05-31,1.001174976332106
2018-06-01,1.0013437303773285
2018-06-04,1.0055734134870011
2018-06-05,1.0067841009117962
2018-06-06,1.005483808463076
2018-06-07,1.0041088220443253
2018-06-08,1.0156239266541365
2018-06-11,1.0137070435085065
2018-06-12,1.0127418241425457
2018-06-13,1.0162689988527591
2018-06-14,1.008993783968311
2018-06-15,1.007933417321041
2018-06-18,1.0131446082307334
2018-06-19,1.0155345273980916
2018-06-20,1.0211516480545153
2018-06-21,1.0242060841918346
2018-06-22,1.0253180738076426
2018-06-25,1.0311648856859914
2018-06-26,1.0304149703217982
2018-06-27,1.033264250118015
2018-06-28,1.0347822855722004
2018-06-29,1.0310380840983533
2018-07-02,1.039786612246322
2018-07-03,1.0429477195600916
2018-07-04,1.0347017080222747
2018-07-05,1.0405349663043997
2018-07-06,1.0408356153199732
2018-07-09,1.0329191933776443
2018-07-10,1.0395495728180362
2018-07-11,1.0424108854317347
2018-07-12,1.051656320315534
2018-07-13,1.0462862758129658
2018-07-16,1.039416694346786
2018-07-17,1.0432550343326341
2018-07-18,1.0440529687377142
2018-07-19,1.0384766488610784
2018-07-20,1.0380408712602236
2018-07-23,1.0387788107315754
2018-07-24,1.0493099444629652
2018-07-25,1.0513054379614488
2018-07-26,1.0527631631920722
2018-07-27,1.0458503772247012
2018-07-30,1.0441995345828143
2018-07-31,1.041630287578774
2018-08-01,1.0356222843760197
2018-08-02,1.038159130232267
2018-08-03,1.0382099429091185
2018-08-06,1.043925431984517
2018-08-07,1.038841807759817
2018-08-08,1.0432686390523809
2018-08-09,1.0382614134462635
2018-08-10,1.0374152810509887
2018-08-13,1.0410085979987562
2018-08-14,1.0419829387711996
2018-08-15,1.0446102656298488
2018-08-16,1.0441819093526616
2018-08-17,1.0445957527015124
2018-08-20,1.0510502474733783
2018-08-21,1.0497988314649587
2018-08-22,1.0446876847205468
2018-08-23,1.0446728993890186
2018-08-24,1.0446345144417486
2018-08-27,1.0519781674651718
2018-08-28,1.0593372803205445
2018-08-29,1.0627210095837698
2018-08-30,1.0595023204535883
2018-08-31,1.054115559800058
2018-09-03,1.0557922207054098
2018-09-04,1.0520226317834394
2018-09-05,1.0576644037777807
2018-09-06,1.0515438179690595
2018-09-07,1.0520593892467394
2018-09-10,1.0605252569963817
2018-09-11,1.0637990724751178
2018-09-12,1.0667933881367062
2018-09-13,1.0628434988112068
2018-09-14,1.0622699509133624
2018-09-17,1.0595433997632187
2018-09-18,1.065033798393699
2018-09-19,1.0684353564220461
2018-09-20,1.066916269163262
2018-09-21,1.0570122112490072
2018-09-24,1.0549936677044893
2018-09-25,1.0564123298356
2018-09-26,1.053582398616797
2018-09-27,1.0610822223813927
2018-09-28,1.0641212306427472
2018-10-01,1.0761735415889324
2018-10-02,1.07124237446666
2018-10-03,1.0728489522454858
2018-10-04,1.0674855947270168
2018-10-05,1.065100141173977
2018-10-08,1.0619908208194637
2018-10-09,1.062111350716877
2018-10-10,1.061258954612182
2018-10-11,1.0553939536366772
2018-10-12,1.0559685035875415
2018-10-15,1.055215080935445
2018-10-16,1.0532768330760351
2018-10-17,1.0593782900227697
2018-10-18,1.060101741783915
2018-10-19,1.0634170356324335
2018-10-22,1.0652848656188108
2018-10-23,1.0667880726482546
2018-10-24,1.0713200851107554
2018-10-25,1.0688718707190072
2018-10-26,1.0694782161518146
2018-10-29,1.0727065841844716
2018-10-30,1.0704952113081743
2018-10-31,1.0676744424944535
