,equity
2018-01-02,0.9995
2018-01-03,0.9901137395703403
2018-01-04,0.984304533587857
2018-01-05,0.9832574158204133
2018-01-08,0.9852064152663257
2018-01-09,0.978596742186133
2018-01-10,0.972802209140928
2018-01-11,0.9797620373221262
2018-01-12,0.9801071012316172
2018-01-15,0.9844714627546706
2018-01-16,0.986212247922388
2018-01-17,0.9816524244332474
2018-01-18,0.983531244283426
2018-01-19,0.9975982281814915
2018-01-22,0.9920338800328103
2018-01-23,0.9982193331525241
2018-01-24,0.9873872563442664
2018-01-25,0.9838236064809972
2018-01-26,0.9889689616619475
2018-01-29,0.9878359300873751
2018-01-30,0.9919534871344216
2018-01-31,0.9916106545949988
2018-02-01,0.9931200970144635
2018-02-02,0.990573131949466
2018-02-05,1.0030785801959199
2018-02-06,1.0150066991306912
2018-02-07,1.0092240440064146
2018-02-08,1.0046830794556245
2018-02-09,1.011286775873084
2018-02-12,1.0102712546855575
2018-02-13,1.0058064894857195
2018-02-14,1.0011127647985376
2018-02-15,0.9995639493353813
2018-02-16,1.0062567419877406
2018-02-19,1.0083085995583037
2018-02-20,1.0168945671639662
2018-02-21,1.0211249367612076
2018-02-22,1.0249392593621778
2018-02-23,1.0216861499119538
2018-02-26,1.0203267481875444
2018-02-27,1.0288405868521475
2018-02-28,1.0314858187059144
2018-03-01,1.0237338217148373
2018-03-02,1.0335008607284766
2018-03-05,1.0352791445940341
2018-03-06,1.0427556960004898
2018-03-07,1.0553554850743625
2018-03-08,1.0637301982901082
2018-03-09,1.0666104107913994
2018-03-12,1.0841654919938217
2018-03-13,1.0882302421202903
2018-03-14,1.093184033504604
2018-03-15,1.097231547481764
2018-03-16,1.105806987193349
2018-03-19,1.1054907651958568
2018-03-20,1.1065386719836712
2018-03-21,1.106342636938646
2018-03-22,1.1076665030979185
2018-03-23,1.1102114371032012
2018-03-26,1.1055109133447334
2018-03-27,1.1049581049348796
2018-03-28,1.0960680332279333
2018-03-29,1.0816103559884662
2018-03-30,1.077396399061853
2018-04-02,1.0737539216323557
2018-04-03,1.0766619539274265
2018-04-04,1.077969505343756
2018-04-05,1.0884642385925913
2018-04-06,1.087481397107888
2018-04-09,1.1006795297712741
2018-04-10,1.093816427899546
2018-04-11,1.085666521805412
2018-04-12,1.0903354572639408
2018-04-13,1.086770207046594
2018-04-16,1.089445782775472
2018-04-17,1.0990513227681253
2018-04-18,1.096051459156322
2018-04-19,1.0916244649254425
2018-04-20,1.1039524491461286
2018-04-23,1.101212970226067
2018-04-24,1.1069491638822142
2018-04-25,1.1008127375781211
2018-04-26,1.1047979212567711
2018-04-27,1.1120327942647734
2018-04-30,1.1115589278246232
2018-05-01,1.110602196945515
2018-05-02,1.1006939985504751
2018-05-03,1.0990490851387082
2018-05-04,1.1129755224849973
2018-05-07,1.11150232384132
2018-05-08,1.1059784642953974
2018-05-09,1.0941279448321126
2018-05-10,1.0938242402012486
2018-05-11,1.096625875852757
2018-05-14,1.0854329447165292
2018-05-15,1.0901134840022655
2018-05-16,1.0898406671925425
2018-05-17,1.091233269374123
2018-05-18,1.0937018923328083
2018-05-21,1.0903524515965375
2018-05-22,1.0842694746953836
2018-05-23,1.0786967906647535
2018-05-24,1.0773939702785384
2018-05-25,1.0695815252607084
2018-05-28,1.0724620315490108
2018-05-29,1.0805704064999335
2018-05-30,1.0793484984950525
2018-05-31,1.0857095440033224
2018-06-01,1.083725412737202
2018-06-04,1.0910549572314372
2018-06-05,1.0953428405828618
