,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,1.0
2018-03-27,1.0
2018-03-28,1.0
2018-03-29,1.0
2018-03-30,1.0
2018-04-02,1.0
2018-04-03,1.0
2018-04-04,1.0
2018-04-05,1.0
2018-04-06,1.0
2018-04-09,1.0
2018-04-10,1.0
2018-04-11,1.0
2018-04-12,1.0
2018-04-13,1.0
2018-04-16,1.0
2018-04-17,1.0
2018-04-18,1.0
2018-04-19,1.0
2018-04-20,1.0
2018-04-23,1.0
2018-04-24,1.0
2018-04-25,1.0
2018-04-26,1.0
2018-04-27,1.0
2018-04-30,1.0
2018-05-01,1.0
2018-05-02,1.0
2018-05-03,1.0
2018-05-04,1.0
2018-05-07,1.0
2018-05-08,1.0
2018-05-09,1.0
2018-05-10,1.0
2018-05-11,1.0
2018-05-14,1.0
2018-05-15,1.0
2018-05-16,1.0
2018-05-17,1.0
2018-05-18,1.0
2018-05-21,1.0
2018-05-22,1.0
2018-05-23,1.0
2018-05-24,1.0
2018-05-25,1.0
2018-05-28,1.0
2018-05-29,1.0
2018-05-30,1.0
2018-05-31,1.0
2018-06-01,1.0
2018-06-04,1.0
2018-06-05,1.0
2018-06-06,1.0
2018-06-07,1.0
2018-06-08,1.0
2018-06-11,1.0
2018-06-12,1.0
2018-06-13,1.0
2018-06-14,1.0
2018-06-15,1.0
2018-06-18,1.0
2018-06-19,1.0
2018-06-20,1.0
2018-06-21,1.0
2018-06-22,1.0
2018-06-25,1.0
2018-06-26,1.0
2018-06-27,0.9995
2018-06-28,1.0047329301909182
2018-06-29,1.0007905839281503
2018-07-02,1.001701782589051
2018-07-03,0.9903428758942255
2018-07-04,0.972306410712566
2018-07-05,0.9700094481646083
2018-07-06,0.9642704143696484
2018-07-09,0.9449674000507524
2018-07-10,0.9582642416458186
2018-07-11,0.9728539892292553
2018-07-12,0.9911585338708726
2018-07-13,0.9775884017413964
2018-07-16,0.9640812598306299
2018-07-17,0.9736225586430636
2018-07-18,0.9713890490852816
2018-07-19,0.9495614888012127
2018-07-20,0.9548896121663094
2018-07-23,0.953143649910327
2018-07-24,0.9535593448379888
2018-07-25,0.9499149790742621
2018-07-26,0.9541238200305319
2018-07-27,0.949653913596734
2018-07-30,0.9542632219529247
2018-07-31,0.9469066173742365
2018-08-01,0.9355235338906006
2018-08-02,0.9334114088255553
2018-08-03,0.9306685839469103
2018-08-06,0.9247799266232757
2018-08-07,0.8997636892885812
2018-08-08,0.9007208129916805
2018-08-09,0.8941816480011344
2018-08-10,0.8811445017140708
2018-08-13,0.8818621677078812
2018-08-14,0.8858114504292932
2018-08-15,0.8803641438743632
2018-08-16,0.8892872728920674
2018-08-17,0.878373849168137
2018-08-20,0.8918274517641188
2018-08-21,0.8960706553062613
2018-08-22,0.9052010438851951
2018-08-23,0.9012725537085192
2018-08-24,0.8941643818507846
2018-08-27,0.8856401243812995
2018-08-28,0.8895424089125745
2018-08-29,0.9069035505185323
2018-08-30,0.899752202430037
2018-08-31,0.8955447087767788
2018-09-03,0.8918528056896431
2018-09-04,0.8845210036669297
2018-09-05,0.8908542137422826
2018-09-06,0.8830099677582947
2018-09-07,0.8865981133405553
2018-09-10,0.9038545185454254
2018-09-11,0.909163037913611
2018-09-12,0.9150643769370808
2018-09-13,0.9147856656178782
2018-09-14,0.9177149807012971
2018-09-17,0.9127621045231856
2018-09-18,0.9233756775160767
2018-09-19,0.927755016156144
2018-09-20,0.924707922589688
2018-09-21,0.9149118392838478
2018-09-24,0.9099035870716593
2018-09-25,0.9063759296345391
2018-09-26,0.905333644156295
2018-09-27,0.9203567136519191
2018-09-28,0.9242689826963959
2018-10-01,0.9343067008998183
2018-10-02,0.921755643391555
2018-10-03,0.918841928403654
2018-10-04,0.9117264294702618
2018-10-05,0.910692641391637
2018-10-08,0.9057179435721817
2018-10-09,0.9039681753758118
2018-10-10,0.8986439545758836
2018-10-11,0.8904487437832408
2018-10-12,0.8954319402424515
2018-10-15,0.8886066239335471
2018-10-16,0.8925715681668003
2018-10-17,0.8886503477477484
2018-10-18,0.8952796982521732
2018-10-19,0.9002155042393877
2018-10-22,0.8939439739260382
2018-10-23,0.8875047469567183
2018-10-24,0.8939828339705842
2018-10-25,0.8902240227718604
2018-10-26,0.8877167533226182
2018-10-29,0.8905148055830537
2018-10-30,0.8837439008668101
2018-10-31,0.8864070628641948
2018-11-01,0.8847193807526788
2018-11-02,0.8762596133456885
2018-11-05,0.8722752594815127
2018-11-06,0.8611145677312433
2018-11-07,0.8683910547865933
2018-11-08,0.869473811849461
2018-11-09,0.8619776442620398
2018-11-12,0.8567421652887743
2018-11-13,0.8542753046972688
2018-11-14,0.8537018923594714
2018-11-15,0.8429463757212831
2018-11-16,0.8401941326367748
2018-11-19,0.8423909446112441
2018-11-20,0.8434617913974444
2018-11-21,0.8435231115313425
2018-11-22,0.8374968409150868
2018-11-23,0.8321442877172334
2018-11-26,0.8477920861189849
2018-11-27,0.8407382693054438
