,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,0.9999375
2018-01-09,0.9997417995330604
2018-01-10,0.9959335728600308
2018-01-11,0.9956166942924162
2018-01-12,0.9996560964938832
2018-01-15,1.0030705241983133
2018-01-16,1.0069170293498229
2018-01-17,1.0083768583855042
2018-01-18,1.0070734545328128
2018-01-19,1.0178473557923244
2018-01-22,1.011050537948991
2018-01-23,1.0146901555264285
2018-01-24,1.0099412799039664
2018-01-25,1.005985849973314
2018-01-26,1.0086372590866535
2018-01-29,1.0093850506572777
2018-01-30,1.015227178812359
2018-01-31,1.016576919425561
2018-02-01,1.0146350472156693
2018-02-02,1.0118371854383557
2018-02-05,1.0177186748201281
2018-02-06,1.0247411797340407
2018-02-07,1.0187219414874207
2018-02-08,1.0166691592492811
2018-02-09,1.019095200639513
2018-02-12,1.0173249821084502
2018-02-13,1.0152684142570865
2018-02-14,1.0115539394843667
2018-02-15,1.0120145695674756
2018-02-16,1.0147469774167652
2018-02-19,1.0137464656704165
2018-02-20,1.0189599851091486
2018-02-21,1.018878173316567
2018-02-22,1.018794808067551
2018-02-23,1.0178966643479623
2018-02-26,1.019521442805711
2018-02-27,1.02648458105093
2018-02-28,1.023890167890218
2018-03-01,1.0215868214732446
2018-03-02,1.028212386586179
2018-03-05,1.0278927430477878
2018-03-06,1.0353264016334185
2018-03-07,1.0458730214075869
2018-03-08,1.0512125327286572
2018-03-09,1.0539338571421937
2018-03-12,1.0699142577629748
2018-03-13,1.0744472011529704
2018-03-14,1.0780903319091684
2018-03-15,1.0836406148459534
2018-03-16,1.0908775302297975
2018-03-19,1.093607254971182
2018-03-20,1.0975540315614807
2018-03-21,1.0994667543709942
2018-03-22,1.1023731152136451
2018-03-23,1.1032255152025094
2018-03-26,1.09368956914356
2018-03-27,1.0896361108362034
2018-03-28,1.0810416576745996
2018-03-29,1.0740031883266994
2018-03-30,1.0708824937007573
2018-04-02,1.0698223611049502
2018-04-03,1.0681162544700935
2018-04-04,1.0691248948226533
2018-04-05,1.0812970677299216
2018-04-06,1.0779381471249976
2018-04-09,1.083518791311599
2018-04-10,1.0790975456868688
2018-04-11,1.0740609849450766
2018-04-12,1.074992243005598
2018-04-13,1.0768918650119081
2018-04-16,1.0786691322263307
2018-04-17,1.0850904951092206
2018-04-18,1.0849845708731096
2018-04-19,1.0815209751355845
2018-04-20,1.0850181624586335
2018-04-23,1.0824338400823772
2018-04-24,1.086628172854423
2018-04-25,1.0813829955129317
2018-04-26,1.085232691263879
2018-04-27,1.0872244171673737
2018-04-30,1.0874195108103
2018-05-01,1.0871175146216019
2018-05-02,1.0779623620381669
2018-05-03,1.0779638850455815
2018-05-04,1.0863199145566496
2018-05-07,1.0875466839066286
2018-05-08,1.0831107752668263
2018-05-09,1.0716941859280764
2018-05-10,1.0734931780939336
2018-05-11,1.076431424783705
2018-05-14,1.0708928137335936
2018-05-15,1.0709351862228633
2018-05-16,1.067186233235441
2018-05-17,1.0687913411058654
2018-05-18,1.0689152468376986
2018-05-21,1.0655090671626595
2018-05-22,1.0654981768991953
2018-05-23,1.0685054386238115
2018-05-24,1.0698894380568647
2018-05-25,1.0667370903113518
2018-05-28,1.0668373187961515
2018-05-29,1.0768244496107608
2018-05-30,1.0790868334110286
2018-05-31,1.0826199888727324
2018-06-01,1.079497609962834
2018-06-04,1.0865456505083004
2018-06-05,1.0903782416471486
2018-06-06,1.0919033636050222
2018-06-07,1.0881184436361389
2018-06-08,1.0969267713240658
2018-06-11,1.096193388285884
2018-06-12,1.0892170968611405
2018-06-13,1.09629909961756
2018-06-14,1.0912419031091385
2018-06-15,1.0927608989099813
2018-06-18,1.0987029459047393
2018-06-19,1.102817907500756
2018-06-20,1.1048169936131556
2018-06-21,1.1058107113215423
2018-06-22,1.10518120606649
2018-06-25,1.113812712427821
2018-06-26,1.1158654869345506
2018-06-27,1.1192806892157905
2018-06-28,1.121224645359138
2018-06-29,1.1218916065846123
2018-07-02,1.124323525451354
2018-07-03,1.127381269257342
2018-07-04,1.1213001953797128
2018-07-05,1.1220173409014078
2018-07-06,1.1252183234333544
2018-07-09,1.1165944228778868
2018-07-10,1.1207102065325212
2018-07-11,1.1228142454787808
2018-07-12,1.133928968648819
2018-07-13,1.1283108854289305
2018-07-16,1.1240934520943875
2018-07-17,1.1240067324682974
2018-07-18,1.1262739553113066
2018-07-19,1.1197756534298118
2018-07-20,1.1192875869141905
2018-07-23,1.1216710692610101
2018-07-24,1.1263932332811801
2018-07-25,1.1328866158018271
2018-07-26,1.134175239572439
2018-07-27,1.133588457362326
2018-07-30,1.1308484351391557
2018-07-31,1.1263575347081616
2018-08-01,1.1227424965936432
2018-08-02,1.1261892236766238
2018-08-03,1.1254712177550596
2018-08-06,1.129074004660038
2018-08-07,1.1274611760744853
2018-08-08,1.1303454036850924
2018-08-09,1.1266055380567068
2018-08-10,1.1300999527395656
2018-08-13,1.1324581174300132
2018-08-14,1.136739598111316
2018-08-15,1.1300679880626918
2018-08-16,1.1269286219346217
2018-08-17,1.1283265482275104
2018-08-20,1.1302633954875259
2018-08-21,1.1343364308689015
2018-08-22,1.1377200593755803
2018-08-23,1.134477926933788
2018-08-24,1.134615415582704
2018-08-27,1.1410954297272575
2018-08-28,1.1448832100236872
2018-08-29,1.1466110244361933
2018-08-30,1.1435298389657942
2018-08-31,1.1374964648138575
2018-09-03,1.1358425940744268
2018-09-04,1.1290564963747884
2018-09-05,1.1326895804710158
2018-09-06,1.1256907061252859
2018-09-07,1.1260172062164595
2018-09-10,1.1226415139009587
2018-09-11,1.1283381835691457
2018-09-12,1.130275525469246
2018-09-13,1.126948798756047
2018-09-14,1.1248018499481547
2018-09-17,1.1223171214138867
2018-09-18,1.1237323561993857
2018-09-19,1.1265605093327669
2018-09-20,1.1279773332116814
2018-09-21,1.1221104001844286
2018-09-24,1.126692686078795
2018-09-25,1.1268812434937365
2018-09-26,1.1220288781812582
2018-09-27,1.1245443420196914
2018-09-28,1.1278761005350049
2018-10-01,1.1363521366161344
2018-10-02,1.1282334165985095
2018-10-03,1.134279172554907
2018-10-04,1.1336689723122373
2018-10-05,1.1291434142302084
