,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,1.0
2018-03-27,1.0
2018-03-28,1.0
2018-03-29,1.0
2018-03-30,1.0
2018-04-02,1.0
2018-04-03,1.0
2018-04-04,1.0
2018-04-05,1.0
2018-04-06,1.0
2018-04-09,1.0
2018-04-10,1.0
2018-04-11,1.0
2018-04-12,1.0
2018-04-13,1.0
2018-04-16,1.0
2018-04-17,1.0
2018-04-18,1.0
2018-04-19,1.0
2018-04-20,1.0
2018-04-23,1.0
2018-04-24,1.0
2018-04-25,1.0
2018-04-26,1.0
2018-04-27,1.0
2018-04-30,1.0
2018-05-01,1.0
2018-05-02,1.0
2018-05-03,1.0
2018-05-04,1.0
2018-05-07,1.0
2018-05-08,1.0
2018-05-09,1.0
2018-05-10,1.0
2018-05-11,1.0
2018-05-14,1.0
2018-05-15,1.0
2018-05-16,1.0
2018-05-17,1.0
2018-05-18,1.0
2018-05-21,1.0
2018-05-22,1.0
2018-05-23,1.0
2018-05-24,1.0
2018-05-25,1.0
2018-05-28,1.0
2018-05-29,1.0
2018-05-30,1.0
2018-05-31,1.0
2018-06-01,1.0
2018-06-04,1.0
2018-06-05,1.0
2018-06-06,1.0
2018-06-07,1.0
2018-06-08,1.0
2018-06-11,1.0
2018-06-12,1.0
2018-06-13,1.0
2018-06-14,1.0
2018-06-15,1.0
2018-06-18,1.0
2018-06-19,1.0
2018-06-20,1.0
2018-06-21,1.0
2018-06-22,1.0
2018-06-25,1.0
2018-06-26,1.0
2018-06-27,1.0
2018-06-28,1.0
2018-06-29,1.0
2018-07-02,1.0
2018-07-03,1.0
2018-07-04,1.0
2018-07-05,1.0
2018-07-06,1.0
2018-07-09,1.0
2018-07-10,1.0
2018-07-11,1.0
2018-07-12,1.0
2018-07-13,1.0
2018-07-16,1.0
2018-07-17,1.0
2018-07-18,1.0
2018-07-19,1.0
2018-07-20,1.0
2018-07-23,1.0
2018-07-24,1.0
2018-07-25,1.0
2018-07-26,1.0
2018-07-27,1.0
2018-07-30,1.0
2018-07-31,1.0
2018-08-01,1.0
2018-08-02,1.0
2018-08-03,1.0
2018-08-06,1.0
2018-08-07,1.0
2018-08-08,1.0
2018-08-09,1.0
2018-08-10,1.0
2018-08-13,1.0
2018-08-14,1.0
2018-08-15,1.0
2018-08-16,1.0
2018-08-17,1.0
2018-08-20,1.0
2018-08-21,1.0
2018-08-22,1.0
2018-08-23,1.0
2018-08-24,1.0
2018-08-27,1.0
2018-08-28,1.0
2018-08-29,1.0
2018-08-30,1.0
2018-08-31,1.0
2018-09-03,1.0
2018-09-04,1.0
2018-09-05,1.0
2018-09-06,1.0
2018-09-07,1.0
2018-09-10,1.0
2018-09-11,1.0
2018-09-12,1.0
2018-09-13,1.0
2018-09-14,1.0
2018-09-17,1.0
2018-09-18,1.0
2018-09-19,1.0
2018-09-20,1.0
2018-09-21,0.9995
2018-09-24,0.9965226441189539
2018-09-25,1.000730733065974
2018-09-26,1.0059455364206276
2018-09-27,1.0185086494580917
2018-09-28,1.0110841260754242
2018-10-01,1.0045578741150538
2018-10-02,1.0088160349823776
2018-10-03,1.0092009352923208
2018-10-04,1.007300235227191
2018-10-05,1.0122966441167405
2018-10-08,1.0187204982326012
2018-10-09,1.0200002780087243
2018-10-10,1.0299549074807008
2018-10-11,1.0308647655405676
2018-10-12,1.036909286911543
2018-10-15,1.034178293343229
2018-10-16,1.0295008008364956
2018-10-17,1.027951623448081
2018-10-18,1.033855463083897
2018-10-19,1.0310942933793652
2018-10-22,1.0246553303208747
2018-10-23,1.0276543087415615
2018-10-24,1.0296746223613307
2018-10-25,1.0332041863486838
2018-10-26,1.0458456152218027
2018-10-29,1.0476237268708817
2018-10-30,1.051805669150919
2018-10-31,1.0483200717550916
2018-11-01,1.040290682812997
2018-11-02,1.0371545606261046
2018-11-05,1.0379817641362967
2018-11-06,1.0362669244328857
2018-11-07,1.0334930630916919
2018-11-08,1.0209171652785998
2018-11-09,1.0192709542843166
2018-11-12,1.0248710136707588
2018-11-13,1.0319540372873564
2018-11-14,1.030601387076917
2018-11-15,1.0333548044466794
2018-11-16,1.0397548572359467
2018-11-19,1.0461862425620096
2018-11-20,1.0509072728205127
2018-11-21,1.0596747969132558
2018-11-22,1.0714096638097568
2018-11-23,1.0654703549299767
2018-11-26,1.0601885274396894
2018-11-27,1.0673899337803763
2018-11-28,1.0740993403086234
2018-11-29,1.075381556645208
2018-11-30,1.0674494667098031
2018-12-03,1.0687426493253533
2018-12-04,1.0597737161850844
2018-12-05,1.0518347073405205
2018-12-06,1.0418699028278147
2018-12-07,1.0447075566853468
2018-12-10,1.0505502479927253
2018-12-11,1.0539509900767077
2018-12-12,1.0619807753568804
2018-12-13,1.0549495286310409
2018-12-14,1.0588255094688952
2018-12-17,1.0474821856868917
2018-12-18,1.0421473159941372
2018-12-19,1.0423366773403138
2018-12-20,1.0313399766995133
2018-12-21,1.0290329230908453
2018-12-24,1.018922983173986
