,equity
2018-01-02,0.9999
2018-01-03,0.9980246403423585
2018-01-04,0.9968094888726657
2018-01-05,0.9965837566145749
2018-01-08,0.9970071069922904
2018-01-09,0.995588994237871
2018-01-10,0.9943014667446023
2018-01-11,0.9959043360594606
2018-01-12,0.9959805190929634
2018-01-15,0.9969440213589259
2018-01-16,0.997319004233478
2018-01-17,0.9963478091767558
2018-01-18,0.9967587692344252
2018-01-19,0.9998059146963716
2018-01-22,0.9986890770647652
2018-01-23,0.9999673215896632
2018-01-24,0.9978001017231758
2018-01-25,0.9970480402683355
2018-01-26,0.9981569115242009
2018-01-29,0.9979197420675826
2018-01-30,0.998775742911221
2018-01-31,0.997699873178573
2018-02-01,0.9970129608157249
2018-02-02,0.9957111043628992
2018-02-05,1.0008521949109221
2018-02-06,1.007438363086692
2018-02-07,1.006477449816935
2018-02-08,1.005955865681355
2018-02-09,1.0073039446746381
2018-02-12,1.0070916888061172
2018-02-13,1.003639988028995
2018-02-14,1.0015907851968058
2018-02-15,1.0016763495152203
2018-02-16,1.0070225337198486
2018-02-19,1.0089711862478943
2018-02-20,1.018633327181559
2018-02-21,1.0201385435419055
2018-02-22,1.0223920134343785
2018-02-23,1.0217212621756193
2018-02-26,1.0259543173925023
2018-02-27,1.031864888552777
2018-02-28,1.0309025606992697
2018-03-01,1.0273664831371598
2018-03-02,1.0366966825416968
2018-03-05,1.0384697660144657
2018-03-06,1.0438056745276796
2018-03-07,1.0553229587745656
2018-03-08,1.0571003828700531
2018-03-09,1.059101494232257
2018-03-12,1.0692806036685394
2018-03-13,1.0725898846238735
2018-03-14,1.074643300488937
2018-03-15,1.0810898249329834
2018-03-16,1.0869534941155505
2018-03-19,1.0885724876111127
2018-03-20,1.0892705859380871
2018-03-21,1.0929192229200007
2018-03-22,1.0979111026322643
2018-03-23,1.1001815813610551
2018-03-26,1.0916626940773984
2018-03-27,1.0876037036837674
2018-03-28,1.083770501224955
2018-03-29,1.072787723882758
2018-03-30,1.068339607805036
2018-04-02,1.0633458704543073
2018-04-03,1.0665190228253558
2018-04-04,1.068637314008171
2018-04-05,1.077182660824393
2018-04-06,1.0771870484901518
2018-04-09,1.0896333024942428
2018-04-10,1.08493922132089
2018-04-11,1.0769702918885429
2018-04-12,1.08377143409783
2018-04-13,1.0816631222513766
2018-04-16,1.0847811018079745
2018-04-17,1.0930238669717147
2018-04-18,1.0921489621312144
2018-04-19,1.0876090467868593
2018-04-20,1.097951802682154
2018-04-23,1.094977494394926
2018-04-24,1.1017981999690527
2018-04-25,1.097608502504405
2018-04-26,1.0981121591449228
2018-04-27,1.1057169182678517
2018-04-30,1.1065395574303512
2018-05-01,1.105244567854207
