,equity
2018-01-02,0.9995
2018-01-03,0.9901324746210982
2018-01-04,0.9840850633654823
2018-01-05,0.9828924882636999
2018-01-08,0.9849417372282578
2018-01-09,0.9780182943443534
2018-01-10,0.9716576463006912
2018-01-11,0.979354608011365
2018-01-12,0.9799165736761283
2018-01-15,0.9847133194561728
2018-01-16,0.986809631318285
2018-01-17,0.9824740439632628
2018-01-18,0.9845064728298869
2018-01-19,0.9994343556667001
2018-01-22,0.9937045725909855
2018-01-23,1.000061726398415
2018-01-24,0.9896157836126306
2018-01-25,0.9858877423586825
2018-01-26,0.9913239855067565
2018-01-29,0.9900645588098643
2018-01-30,0.994183032951142
2018-01-31,0.9931984226603318
2018-02-01,0.9947555877263536
2018-02-02,0.9920535585173421
2018-02-05,1.0049992158190622
2018-02-06,1.0169206967793663
2018-02-07,1.0110731896404108
2018-02-08,1.0063479798166433
2018-02-09,1.0132264571166931
2018-02-12,1.0121418031906093
2018-02-13,1.007688267601703
2018-02-14,1.0028117534591658
2018-02-15,1.001099733268234
2018-02-16,1.0085211684442452
2018-02-19,1.010712691788954
2018-02-20,1.0198332488429818
2018-02-21,1.0237353028391785
2018-02-22,1.0272941605989552
2018-02-23,1.0240940952712483
2018-02-26,1.0230700434389808
2018-02-27,1.0319813191032656
2018-02-28,1.0342631265929367
2018-03-01,1.0267838257953497
2018-03-02,1.0368986809926681
2018-03-05,1.0386955917419476
2018-03-06,1.0462318271433535
2018-03-07,1.058902740233685
2018-03-08,1.0670939661905234
2018-03-09,1.0703980354766705
2018-03-12,1.0883864968767054
2018-03-13,1.0928680998227638
2018-03-14,1.0980101604905086
2018-03-15,1.1025361683454873
2018-03-16,1.1115592285382037
2018-03-19,1.111392941248451
2018-03-20,1.1128184445413822
2018-03-21,1.1132750218199152
2018-03-22,1.115775858618189
2018-03-23,1.118289264575639
2018-03-26,1.1124046555970672
2018-03-27,1.1109978129024114
2018-03-28,1.1013089935565339
2018-03-29,1.085810751779663
2018-03-30,1.0808787719818855
2018-04-02,1.076719907157946
2018-04-03,1.0801110298277161
2018-04-04,1.08170999365225
2018-04-05,1.093929856983999
2018-04-06,1.0926569143376559
2018-04-09,1.1069945504423473
2018-04-10,1.099893418288394
2018-04-11,1.0914221193951053
2018-04-12,1.0963150415059026
2018-04-13,1.092691424198785
2018-04-16,1.0952956389406718
2018-04-17,1.1053600828043546
2018-04-18,1.1020683062340304
2018-04-19,1.0974118764754193
2018-04-20,1.1106468035052557
2018-04-23,1.1077032905634494
2018-04-24,1.1136848687516376
2018-04-25,1.107587441494304
2018-04-26,1.111653734984997
2018-04-27,1.119094787124943
2018-04-30,1.1186521438563628
2018-05-01,1.1176935194117563
2018-05-02,1.107610867845757
2018-05-03,1.105906033525676
2018-05-04,1.1208323419897672
2018-05-07,1.1195034994278703
2018-05-08,1.1136573300447503
2018-05-09,1.1015378665282844
2018-05-10,1.1013448206935228
2018-05-11,1.104376442087472
2018-05-14,1.092464946863042
2018-05-15,1.0978549579956396
2018-05-16,1.097504379350848
2018-05-17,1.0991348639978813
2018-05-18,1.1017969514491353
2018-05-21,1.0979696085614457
2018-05-22,1.0920819135944473
2018-05-23,1.0865455736041885
2018-05-24,1.0854891276498342
2018-05-25,1.0759172381799404
2018-05-28,1.0793200755170531
2018-05-29,1.089188451866058
2018-05-30,1.0877980653778494
2018-05-31,1.0950620227683356
2018-06-01,1.0927681627021597
2018-06-04,1.1009975386243314
2018-06-05,1.1056087569367796
2018-06-06,1.1038115256971623
2018-06-07,1.1009406099954735
2018-06-08,1.1155545389224237
2018-06-11,1.1178359986453739
2018-06-12,1.1164646281881343
2018-06-13,1.1208589311893271
2018-06-14,1.113129852761349
2018-06-15,1.1095870353723452
2018-06-18,1.1197687605025533
2018-06-19,1.1240871156628525
2018-06-20,1.130126485088389
2018-06-21,1.1341047055500353
2018-06-22,1.1348560369291816
2018-06-25,1.1437826626120542
2018-06-26,1.1451088626305392
2018-06-27,1.1478046489627347
2018-06-28,1.1514955141601415
2018-06-29,1.1434107204545303
2018-07-02,1.1555416398587157
2018-07-03,1.1627174976965287
2018-07-04,1.154369596702463
2018-07-05,1.1620543179621368
2018-07-06,1.1617544884367321
2018-07-09,1.148544823638543
2018-07-10,1.1562676740674531
2018-07-11,1.1589259466664905
2018-07-12,1.1681736504158466
2018-07-13,1.1610111447105385
2018-07-16,1.1519894591386228
2018-07-17,1.1594871184239601
2018-07-18,1.1575594895329315
2018-07-19,1.1454777187665537
2018-07-20,1.1451303505846777
2018-07-23,1.1447158310755876
2018-07-24,1.1627600871947048
2018-07-25,1.1617242850308007
2018-07-26,1.1647607808137652
2018-07-27,1.1580889710811884
2018-07-30,1.1538360437640607
2018-07-31,1.152412951997925
2018-08-01,1.1443588699899094
2018-08-02,1.1492886522898158
2018-08-03,1.1457728656164188
2018-08-06,1.1507239175117294
2018-08-07,1.1397945276149992
2018-08-08,1.146436297397206
2018-08-09,1.1373857789540067
2018-08-10,1.1354215792662021
