,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,1.0
2018-03-27,1.0
2018-03-28,1.0
2018-03-29,1.0
2018-03-30,1.0
2018-04-02,0.9995
2018-04-03,1.0046438661133599
2018-04-04,1.0051962705577169
2018-04-05,1.0153023416706546
2018-04-06,1.013423467788274
2018-04-09,1.010047356272629
2018-04-10,1.0021629058260255
2018-04-11,0.985566991217778
2018-04-12,0.9799492075280909
2018-04-13,0.9777242059116308
2018-04-16,0.9854276474873226
2018-04-17,1.0008762038557633
2018-04-18,1.0082785518823156
2018-04-19,1.00522878570536
2018-04-20,1.0183973558113788
2018-04-23,1.014068979539921
2018-04-24,1.0295048474633492
2018-04-25,1.029208614337865
2018-04-26,1.0251066613238335
2018-04-27,1.034939922821129
2018-04-30,1.0331098289417624
2018-05-01,1.0254564660609895
2018-05-02,1.0131062894348806
2018-05-03,1.0095745766160529
2018-05-04,1.0108156203286098
2018-05-07,1.0104947411683134
2018-05-08,1.0106637072512323
2018-05-09,1.002145999277233
2018-05-10,0.9916256049749813
2018-05-11,0.9988024580558528
2018-05-14,0.9879430582653446
2018-05-15,0.9866172147803024
2018-05-16,0.9911624658373281
2018-05-17,0.9907756604795075
2018-05-18,0.9785745840784944
2018-05-21,0.988038590104756
2018-05-22,0.977655378035437
2018-05-23,0.965256809949775
2018-05-24,0.9736665218750524
2018-05-25,0.9631944934144923
2018-05-28,0.9686226133877607
2018-05-29,0.9716657619200159
2018-05-30,0.9825991529470232
2018-05-31,0.9791674063574778
2018-06-01,0.9880925642815851
2018-06-04,0.9954796334017691
2018-06-05,0.993067399726849
2018-06-06,0.983712025580493
2018-06-07,0.9844880823847086
2018-06-08,1.0079334257614285
2018-06-11,0.9963212278799632
2018-06-12,0.9822020076329386
2018-06-13,0.9908486368327736
2018-06-14,0.9782132514781364
2018-06-15,0.9780312402882257
2018-06-18,0.9883184024045232
2018-06-19,0.9910098272306118
2018-06-20,1.0029158998295378
2018-06-21,1.0156200579590602
2018-06-22,1.0111375638333737
2018-06-25,1.014958510484334
2018-06-26,1.0020311217080642
2018-06-27,1.005841417951513
2018-06-28,1.0065880645767478
2018-06-29,0.9943415000803724
2018-07-02,1.0148599876613835
2018-07-03,1.0266456798481822
2018-07-04,1.0085123618876457
2018-07-05,1.0164382755928956
2018-07-06,1.0305486499487353
2018-07-09,1.0175612214228464
2018-07-10,1.0321758722625909
2018-07-11,1.0379190604149806
2018-07-12,1.0507478770885756
2018-07-13,1.0438121888864489
2018-07-16,1.0398347612588326
2018-07-17,1.041621931385763
2018-07-18,1.0498175412919792
2018-07-19,1.0499394705673766
2018-07-20,1.0457006352241882
2018-07-23,1.0481663430695927
2018-07-24,1.0658273240214358
2018-07-25,1.0692693942572056
2018-07-26,1.0761394852458932
2018-07-27,1.0552279508447895
2018-07-30,1.0521435111423467
2018-07-31,1.0317932356129333
2018-08-01,1.0253581517499588
2018-08-02,1.037814930391603
2018-08-03,1.0394281680128443
2018-08-06,1.0498430846775966
2018-08-07,1.0496941936573245
2018-08-08,1.0518844553279763
2018-08-09,1.0546945129261929
2018-08-10,1.0526904186330406
2018-08-13,1.0638336140184612
2018-08-14,1.0607411956679973
2018-08-15,1.076300130090815
2018-08-16,1.0807834478557101
2018-08-17,1.0815266363379403
2018-08-20,1.0799129806879888
2018-08-21,1.0777388507178833
2018-08-22,1.0669651010781012
2018-08-23,1.0670935089548266
2018-08-24,1.0610576405415417
2018-08-27,1.052905892941022
2018-08-28,1.0700543766874113
2018-08-29,1.0771706469151727
2018-08-30,1.0677292939004395
2018-08-31,1.0592539667642558
2018-09-03,1.0541220439404162
2018-09-04,1.0426463939957422
2018-09-05,1.0597794730069785
2018-09-06,1.0469064864246636
2018-09-07,1.0477171521068656
2018-09-10,1.0622259689017506
2018-09-11,1.0717033735765806
2018-09-12,1.0790482815381979
2018-09-13,1.087823039800906
2018-09-14,1.0742520671807672
2018-09-17,1.0744660250321714
2018-09-18,1.085636801765447
2018-09-19,1.0922879210995025
2018-09-20,1.0915554894708581
2018-09-21,1.0610471563189592
2018-09-24,1.056682236203326
2018-09-25,1.0528062096462614
2018-09-26,1.0511528612149652
2018-09-27,1.0648045483982813
2018-09-28,1.0679808474900914
2018-10-01,1.0790374694365996
2018-10-02,1.0676288100591191
2018-10-03,1.0593979084142082
2018-10-04,1.0538875452243892
2018-10-05,1.049535208107238
2018-10-08,1.0497695243234817
2018-10-09,1.0500966666024207
2018-10-10,1.0541538625285618
2018-10-11,1.0484540151931832
2018-10-12,1.0472844274225477
2018-10-15,1.0461931248493408
2018-10-16,1.034513725296649
2018-10-17,1.038455307023884
2018-10-18,1.040304546659527
2018-10-19,1.0522138767182696
2018-10-22,1.0514293160446735
2018-10-23,1.0562129645289051
2018-10-24,1.0540502985881341
2018-10-25,1.0519317723066388
2018-10-26,1.0547263451246414
2018-10-29,1.0551127176774708
2018-10-30,1.0550308504668355
2018-10-31,1.0505917092689216
