,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,1.0
2018-03-27,0.9995
2018-03-28,0.9868650220298536
2018-03-29,0.9704406176608157
2018-03-30,0.964157797769719
2018-04-02,0.9555076476969862
2018-04-03,0.9614037290079214
2018-04-04,0.9607561957971523
2018-04-05,0.9740313043699013
2018-04-06,0.9753935448567881
2018-04-09,0.9808309430974093
2018-04-10,0.9733543696263607
2018-04-11,0.9626426703921649
2018-04-12,0.9505804462272034
2018-04-13,0.951224097579874
2018-04-16,0.9558260150854971
2018-04-17,0.9738286178698831
2018-04-18,0.9832515593728843
2018-04-19,0.984404330713184
2018-04-20,0.9824458099724951
2018-04-23,0.9778541992469866
2018-04-24,0.9862299131915848
2018-04-25,0.994625889642498
2018-04-26,1.0037530849796399
2018-04-27,1.0136056468765606
2018-04-30,1.0105765110424123
2018-05-01,1.0028556091690544
2018-05-02,0.9877329210828609
2018-05-03,0.9865318173213595
2018-05-04,0.9910015331789807
2018-05-07,0.9878301925927202
2018-05-08,0.9869546430126545
2018-05-09,0.9618075915404443
2018-05-10,0.9559228987310178
2018-05-11,0.9696220837005748
2018-05-14,0.9566169267140984
2018-05-15,0.9479646478917847
2018-05-16,0.9549086939229998
2018-05-17,0.961555121716611
2018-05-18,0.9554418185762341
2018-05-21,0.9545971261338273
2018-05-22,0.9522038784549852
2018-05-23,0.9487098272981138
2018-05-24,0.9634443594437755
2018-05-25,0.9555895035576085
2018-05-28,0.9627721444389677
2018-05-29,0.9588486587846621
2018-05-30,0.9744300095961266
2018-05-31,0.9659554737604703
2018-06-01,0.9774971490067861
2018-06-04,0.9756552131580873
2018-06-05,0.9682347202472104
2018-06-06,0.9374711504339729
2018-06-07,0.9451595777555051
2018-06-08,0.9626060536326332
2018-06-11,0.9784114158640187
2018-06-12,0.9795028839394626
2018-06-13,0.9906119656859912
2018-06-14,0.9666493469986622
2018-06-15,0.96328582310821
2018-06-18,0.9683536213470758
2018-06-19,0.9712073560393134
2018-06-20,0.98285604705262
2018-06-21,0.9961440256851998
2018-06-22,0.9807185088771098
2018-06-25,0.9831478600829352
2018-06-26,0.9664440073176358
2018-06-27,0.9729594439887883
2018-06-28,0.9718940063620783
2018-06-29,0.9660018511864079
2018-07-02,0.9933369139380193
2018-07-03,1.0185609854420352
2018-07-04,0.9958678617362273
2018-07-05,0.9837552995524773
2018-07-06,0.9862210622060674
2018-07-09,0.980528200145381
2018-07-10,0.9843289989560587
2018-07-11,0.9854775564509204
2018-07-12,0.9975896567612264
2018-07-13,0.983918261158508
2018-07-16,0.9833275229763994
2018-07-17,0.9830240829840781
2018-07-18,0.997262202448972
2018-07-19,1.0042842988996061
2018-07-20,0.9920658875469316
2018-07-23,0.9783232365565822
2018-07-24,0.9772483223800223
2018-07-25,0.9500536662712407
2018-07-26,0.9626351127294709
2018-07-27,0.9458335868818586
2018-07-30,0.9473338801865467
2018-07-31,0.9243413555537847
2018-08-01,0.9204198947017597
2018-08-02,0.9264543176056326
2018-08-03,0.9370016351758484
2018-08-06,0.9375263045088981
2018-08-07,0.92171424511618
2018-08-08,0.9267679903725071
2018-08-09,0.9287110014619603
2018-08-10,0.9404656411698152
2018-08-13,0.9448089422059766
2018-08-14,0.9335495727851267
2018-08-15,0.9351586427904788
2018-08-16,0.9234474481995127
2018-08-17,0.9297703890524044
2018-08-20,0.9330773112833957
2018-08-21,0.9336241152455701
2018-08-22,0.9262057526806414
2018-08-23,0.9199282786482987
2018-08-24,0.9106784864472725
2018-08-27,0.9116183850450762
2018-08-28,0.9257844568413669
2018-08-29,0.9313774751550992
2018-08-30,0.9237237959576654
2018-08-31,0.9206374887088875
2018-09-03,0.9151526228441652
2018-09-04,0.9008534098574309
2018-09-05,0.9009164118822464
2018-09-06,0.8876214993164395
2018-09-07,0.8909066831703064
2018-09-10,0.916066205816509
2018-09-11,0.9328681479981649
2018-09-12,0.9406405881737346
2018-09-13,0.9400447591458917
2018-09-14,0.9358856492797363
2018-09-17,0.9434403963508295
2018-09-18,0.9575363273907593
2018-09-19,0.9693911920107107
2018-09-20,0.9702335014584301
2018-09-21,0.9300058362160448
2018-09-24,0.9290610598938246
2018-09-25,0.9302226052782875
2018-09-26,0.9270288106154506
2018-09-27,0.9345182295400998
2018-09-28,0.942635072734732
2018-10-01,0.9459133191432156
2018-10-02,0.9282226299903688
2018-10-03,0.9185932674134492
2018-10-04,0.9189545087754368
2018-10-05,0.9202650409102449
2018-10-08,0.9219819603443384
2018-10-09,0.9231208151858329
2018-10-10,0.9255389813412573
2018-10-11,0.9270736011702468
2018-10-12,0.9286761640011462
2018-10-15,0.9327548611349067
2018-10-16,0.943912405675002
2018-10-17,0.941326026377716
2018-10-18,0.9496362265420694
2018-10-19,0.9588213494264012
2018-10-22,0.962461222488621
2018-10-23,0.9580635568733067
2018-10-24,0.9549840972621152
2018-10-25,0.954077800144803
2018-10-26,0.9580663131870648
2018-10-29,0.95930853577895
