,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,1.0
2018-03-27,1.0
2018-03-28,1.0
2018-03-29,1.0
2018-03-30,1.0
2018-04-02,1.0
2018-04-03,1.0
2018-04-04,1.0
2018-04-05,1.0
2018-04-06,1.0
2018-04-09,1.0
2018-04-10,1.0
2018-04-11,1.0
2018-04-12,1.0
2018-04-13,1.0
2018-04-16,1.0
2018-04-17,1.0
2018-04-18,1.0
2018-04-19,1.0
2018-04-20,1.0
2018-04-23,1.0
2018-04-24,1.0
2018-04-25,1.0
2018-04-26,1.0
2018-04-27,1.0
2018-04-30,1.0
2018-05-01,1.0
2018-05-02,1.0
2018-05-03,1.0
2018-05-04,1.0
2018-05-07,1.0
2018-05-08,1.0
2018-05-09,1.0
2018-05-10,1.0
2018-05-11,1.0
2018-05-14,1.0
2018-05-15,1.0
2018-05-16,1.0
2018-05-17,1.0
2018-05-18,1.0
2018-05-21,1.0
2018-05-22,1.0
2018-05-23,1.0
2018-05-24,1.0
2018-05-25,1.0
2018-05-28,1.0
2018-05-29,1.0
2018-05-30,1.0
2018-05-31,1.0
2018-06-01,1.0
2018-06-04,1.0
2018-06-05,1.0
2018-06-06,1.0
2018-06-07,1.0
2018-06-08,1.0
2018-06-11,1.0
2018-06-12,1.0
2018-06-13,1.0
2018-06-14,1.0
2018-06-15,1.0
2018-06-18,1.0
2018-06-19,1.0
2018-06-20,1.0
2018-06-21,1.0
2018-06-22,1.0
2018-06-25,1.0
2018-06-26,1.0
2018-06-27,1.0
2018-06-28,1.0
2018-06-29,1.0
2018-07-02,1.0
2018-07-03,1.0
2018-07-04,1.0
2018-07-05,1.0
2018-07-06,1.0
2018-07-09,1.0
2018-07-10,1.0
2018-07-11,1.0
2018-07-12,1.0
2018-07-13,1.0
2018-07-16,1.0
2018-07-17,1.0
2018-07-18,1.0
2018-07-19,1.0
2018-07-20,1.0
2018-07-23,1.0
2018-07-24,1.0
2018-07-25,1.0
2018-07-26,1.0
2018-07-27,0.9995
2018-07-30,0.9967109016607889
2018-07-31,0.9993663041872926
2018-08-01,1.0031330476490539
2018-08-02,0.9970035666290106
2018-08-03,0.9981941850519287
2018-08-06,0.9922364606795085
2018-08-07,0.9863096666600724
2018-08-08,0.9851747056579828
2018-08-09,0.9781076010576618
2018-08-10,0.9809376794685748
2018-08-13,0.98865044049225
2018-08-14,0.9987499970796528
2018-08-15,0.9981720236125529
2018-08-16,1.0029448761078137
2018-08-17,1.000567012092498
2018-08-20,0.9978909033240047
2018-08-21,0.9880992612402424
2018-08-22,0.9794350388247611
2018-08-23,0.9844964718470144
2018-08-24,0.9876532188304459
2018-08-27,0.9805329594841244
2018-08-28,0.9753003142760224
2018-08-29,0.9794322449472199
2018-08-30,0.980107881080579
2018-08-31,0.9779613560052387
2018-09-03,0.979680823577818
2018-09-04,0.9898710660780351
2018-09-05,0.9917404837454589
2018-09-06,1.002805761076553
2018-09-07,1.0037599216625395
2018-09-10,0.9926253686566112
2018-09-11,0.9918286211021943
2018-09-12,0.9918333876726914
2018-09-13,0.9959410389110476
2018-09-14,0.998422156607032
2018-09-17,0.9912787302461524
2018-09-18,0.99244498351179
2018-09-19,0.9883026890295545
2018-09-20,0.9869213726040332
2018-09-21,0.9901735288053883
2018-09-24,0.9821296270354061
2018-09-25,0.9789188371139724
2018-09-26,0.9850879346673088
2018-09-27,0.9815773309446479
2018-09-28,0.9803417337307774
2018-10-01,0.9873636358967871
2018-10-02,0.9912168721147846
2018-10-03,0.9897982905076612
2018-10-04,0.9880575912498347
2018-10-05,0.9859060450354665
2018-10-08,0.9831333396930075
2018-10-09,0.9863671526958181
2018-10-10,0.9959045707146377
2018-10-11,0.9945818523342825
2018-10-12,0.9979209222842298
2018-10-15,0.9995390473873512
2018-10-16,0.9985029938793835
2018-10-17,1.008091714831644
2018-10-18,0.9954996074064276
2018-10-19,0.9917511583301805
2018-10-22,0.9966315448725321
2018-10-23,0.998331044150143
2018-10-24,1.0020811251601207
2018-10-25,0.9901170785884157
2018-10-26,0.9935478945682228
2018-10-29,0.9991569766447368
2018-10-30,1.0021384195438399
2018-10-31,1.0038437794556956
2018-11-01,0.9972833946996861
2018-11-02,0.9960452791577669
2018-11-05,0.9954422942969547
2018-11-06,0.992337732954666
2018-11-07,1.0037228181838984
2018-11-08,1.0086447712142
2018-11-09,1.0003581035310933
2018-11-12,0.9941566515592916
2018-11-13,0.988440583458874
2018-11-14,0.9827974154874398
2018-11-15,0.9900306702788667
2018-11-16,0.9952398024432281
2018-11-19,0.9971051719667389
2018-11-20,1.0001270744221316
2018-11-21,0.9919693336684132
2018-11-22,0.9898521680323212
2018-11-23,1.0022967621837218
2018-11-26,1.0059952373029766
2018-11-27,0.9972146348366303
2018-11-28,0.9909562207125424
2018-11-29,0.9964576967927783
2018-11-30,0.9975925821312901
2018-12-03,1.0056562721574949
2018-12-04,1.0229829096504144
2018-12-05,1.0318131533492396
2018-12-06,1.0349608119136957
