,equity
2018-01-02,0.9999285714285714
2018-01-03,0.9985889718114692
2018-01-04,0.997717040941326
2018-01-05,0.9975637038286673
2018-01-08,0.9978353897147639
2018-01-09,0.9969314293213183
2018-01-10,0.9960961732203465
2018-01-11,0.997080642733852
2018-01-12,0.9971227138728038
2018-01-15,0.9977221072533196
2018-01-16,0.9979545667537068
2018-01-17,0.9973278887317849
2018-01-18,0.9975947284159461
2018-01-19,0.9995197733653178
2018-01-22,0.9987623413202414
2018-01-23,0.9995504222027122
2018-01-24,0.9973596695050294
2018-01-25,0.9965362065947777
2018-01-26,0.9975125232133236
2018-01-29,0.9976736996743762
2018-01-30,0.9986437042773411
2018-01-31,0.9985700839603193
2018-02-01,0.9981087420962425
2018-02-02,0.9973066776984184
2018-02-05,1.0021740176115117
2018-02-06,1.0072542946608063
2018-02-07,1.006360264420776
2018-02-08,1.0053107899653053
2018-02-09,1.0074324425500691
2018-02-12,1.0078545304346775
2018-02-13,1.0053386821052908
2018-02-14,1.0036126877657277
2018-02-15,1.0033959160952088
2018-02-16,1.0078979434050432
2018-02-19,1.0094985876508002
2018-02-20,1.0179484286153553
2018-02-21,1.0200152918699608
2018-02-22,1.0221259161659053
2018-02-23,1.021849733998523
2018-02-26,1.0254474203151667
2018-02-27,1.0298156956056583
2018-02-28,1.029386568717942
2018-03-01,1.026597730390766
2018-03-02,1.0352757068931318
2018-03-05,1.036404751922389
2018-03-06,1.0408078976246944
2018-03-07,1.0508958852041386
2018-03-08,1.053050932212063
2018-03-09,1.0538445209499006
2018-03-12,1.0619939556964315
2018-03-13,1.0641972088615956
2018-03-14,1.0657441245377186
2018-03-15,1.0716940062711786
2018-03-16,1.0767274357966878
2018-03-19,1.0784983442068452
2018-03-20,1.0788836930083507
2018-03-21,1.0835602107895559
2018-03-22,1.08909283825532
2018-03-23,1.0910759252317295
2018-03-26,1.080674998631476
2018-03-27,1.0759847116180579
2018-03-28,1.074480622300386
2018-03-29,1.0653839108077292
2018-03-30,1.061234541746532
2018-04-02,1.056250781493733
2018-04-03,1.0588911313173621
2018-04-04,1.0611422762923262
2018-04-05,1.0669048173266307
2018-04-06,1.0679895874669285
2018-04-09,1.0826856136237013
2018-04-10,1.0802478885897464
2018-04-11,1.0742668018525652
2018-04-12,1.0826691671656195
2018-04-13,1.0835298392829757
2018-04-16,1.0871130140583918
2018-04-17,1.094964145213024
2018-04-18,1.0953107953159351
2018-04-19,1.0913992266707242
2018-04-20,1.1007307406462479
2018-04-23,1.0980768537006036
2018-04-24,1.1074089664014044
2018-04-25,1.1048842038507347
2018-04-26,1.103231973950418
2018-04-27,1.1121649157227818
2018-04-30,1.1138312523482778
2018-05-01,1.1106428910087518
2018-05-02,1.1018676068442261
2018-05-03,1.1001003199307262
2018-05-04,1.1050412529242941
2018-05-07,1.1051686493557173
2018-05-08,1.1025667332370854
2018-05-09,1.0998941939176918
2018-05-10,1.098403469062781
2018-05-11,1.109182290916151
2018-05-14,1.0986188401160297
2018-05-15,1.1058539433019636
2018-05-16,1.1148691228213854
2018-05-17,1.1143338981930369
2018-05-18,1.1117753151309349
2018-05-21,1.1119055947829817
2018-05-22,1.1124219242246856
2018-05-23,1.1067463399261792
2018-05-24,1.1015622873629989
2018-05-25,1.0886932801194475
2018-05-28,1.0948002075531527
2018-05-29,1.101881804301054
2018-05-30,1.0979920659807094
2018-05-31,1.1001155144340216
2018-06-01,1.1010516550326068
2018-06-04,1.1088914026639172
2018-06-05,1.1093324821489685
2018-06-06,1.1131023503600812
2018-06-07,1.1161313589037622
2018-06-08,1.1325035183340244
2018-06-11,1.1250075034715898
2018-06-12,1.1369879246742458
2018-06-13,1.1448431191594635
2018-06-14,1.1439004550883964
2018-06-15,1.147993984673898
2018-06-18,1.1566939348210252
2018-06-19,1.16390674180273
2018-06-20,1.1688394640723165
2018-06-21,1.1752782372633497
2018-06-22,1.1796748336232405
2018-06-25,1.1862682362969985
2018-06-26,1.1822303903872753
2018-06-27,1.186928096498331
2018-06-28,1.1950998506078319
2018-06-29,1.1873076472950297
2018-07-02,1.191210393572023
2018-07-03,1.1812999174331786
2018-07-04,1.1728745775149214
2018-07-05,1.1864898792705356
2018-07-06,1.1900171095829255
2018-07-09,1.1785467102592555
2018-07-10,1.194255608783676
2018-07-11,1.1945275580174126
2018-07-12,1.211076603530909
2018-07-13,1.2093625269611057
2018-07-16,1.2009057879162361
2018-07-17,1.206706653850424
2018-07-18,1.2160502227061076
2018-07-19,1.216759919569122
2018-07-20,1.2129396720847923
2018-07-23,1.2295466200199108
2018-07-24,1.2485837722864304
2018-07-25,1.2487297142616258
2018-07-26,1.2323634069052436
2018-07-27,1.212164353135633
2018-07-30,1.212238633686771
2018-07-31,1.2182723334206036
2018-08-01,1.2027797187246256
2018-08-02,1.1958978872438308
2018-08-03,1.1943028540995333
2018-08-06,1.209300421271061
2018-08-07,1.208391473644986
2018-08-08,1.2130292288689792
2018-08-09,1.2002213972404292
2018-08-10,1.2018435715446463
2018-08-13,1.2116002428821457
2018-08-14,1.229008662534126
2018-08-15,1.2574981877649252
2018-08-16,1.2511590213110173
2018-08-17,1.2496913029648893
2018-08-20,1.2473597004811219
2018-08-21,1.2502063174406084
2018-08-22,1.2391978121039038
2018-08-23,1.2364870813791178
2018-08-24,1.2405012482948727
2018-08-27,1.2410429435745687
2018-08-28,1.2376356221950926
2018-08-29,1.242528362849281
2018-08-30,1.2393349516459888
2018-08-31,1.2278240202997999
2018-09-03,1.2330773694195265
2018-09-04,1.2394725675052136
2018-09-05,1.2446509523833407
2018-09-06,1.2475163309548032
2018-09-07,1.2534071003314773
2018-09-10,1.2611392720901033
2018-09-11,1.2640312918389156
2018-09-12,1.2680288168332015
2018-09-13,1.2671876526606016
2018-09-14,1.2731576245621135
2018-09-17,1.2653800521601586
2018-09-18,1.2775540734032125
2018-09-19,1.2834091592173793
2018-09-20,1.2822583087111188
2018-09-21,1.2659195009339772
2018-09-24,1.2538190361224713
2018-09-25,1.2525178472268628
2018-09-26,1.244640723632342
2018-09-27,1.2562773614702818
2018-09-28,1.2588473099880035
2018-10-01,1.2736521351732224
2018-10-02,1.2654015802749317
2018-10-03,1.2691834357270924
2018-10-04,1.269749527065653
2018-10-05,1.255029567747327
2018-10-08,1.2569413490904648
2018-10-09,1.2566994224444985
2018-10-10,1.256954737397881
2018-10-11,1.2566630425406422
2018-10-12,1.2592148032996235
2018-10-15,1.2587779634897154
2018-10-16,1.2515766646341853
2018-10-17,1.2709158937884264
2018-10-18,1.2768064441336613
2018-10-19,1.275509162288788
2018-10-22,1.2792818263840808
2018-10-23,1.2735384760054616
2018-10-24,1.2808246884490337
2018-10-25,1.2825036271555654
2018-10-26,1.2769466192078152
2018-10-29,1.2758634203222288
2018-10-30,1.2753897881380938
2018-10-31,1.2680956293131855
2018-11-01,1.2611836403793983
2018-11-02,1.242621617093147
2018-11-05,1.2304072799208798
2018-11-06,1.210354555995834
2018-11-07,1.2215546399374275
2018-11-08,1.2182778946988282
2018-11-09,1.2283770212272078
2018-11-12,1.2281581397130352
2018-11-13,1.2243192675603642
2018-11-14,1.216534825531201
2018-11-15,1.204939903149918
2018-11-16,1.1947788971844282
2018-11-19,1.1899094914554909
2018-11-20,1.188717854254654
2018-11-21,1.2031978572919038
2018-11-22,1.2164619037598348
2018-11-23,1.2195302809889523
2018-11-26,1.2257004727493679
2018-11-27,1.212221353092085
2018-11-28,1.212570905962351
2018-11-29,1.2255991896531713
2018-11-30,1.2261530861805916
2018-12-03,1.235948114265279
2018-12-04,1.2467325499111372
2018-12-05,1.2530891134460291
2018-12-06,1.2593124339958326
2018-12-07,1.2634379403172087
2018-12-10,1.260019357344962
2018-12-11,1.2891097995673786
2018-12-12,1.2775447521843537
2018-12-13,1.2875056862667522
2018-12-14,1.2902961734340195
2018-12-17,1.293525762577813
2018-12-18,1.2960107729587222
2018-12-19,1.3075845760278675
2018-12-20,1.328527972351763
2018-12-21,1.3088104233192686
2018-12-24,1.3383444114225758
2018-12-25,1.3465009152881784
2018-12-26,1.339693616132041
2018-12-27,1.3635133627602691
2018-12-28,1.3740726541353097
2018-12-31,1.3672717636984992
2019-01-01,1.3828195263821708
2019-01-02,1.3860302895168095
2019-01-03,1.3747485232616818
2019-01-04,1.3815261078613776
2019-01-07,1.3880102749818652
2019-01-08,1.384608502177648
2019-01-09,1.3839344545840464
2019-01-10,1.3929152893579932
2019-01-11,1.402862771371064
2019-01-14,1.4116804300648507
2019-01-15,1.4133283445944091
2019-01-16,1.4197312579522627
2019-01-17,1.38759341313739
2019-01-18,1.3807623585363777
2019-01-21,1.3905256888780446
2019-01-22,1.3891706854816277
2019-01-23,1.4093923337786896
2019-01-24,1.3992488368670462
2019-01-25,1.3788320052379466
2019-01-28,1.358461345703643
2019-01-29,1.354589720145393
2019-01-30,1.340265373489751
2019-01-31,1.328006074838262
2019-02-01,1.3306728329480388
2019-02-04,1.3497288625853658
2019-02-05,1.3450299359448548
2019-02-06,1.3596480987156794
2019-02-07,1.3723507288726307
2019-02-08,1.3656275021689075
2019-02-11,1.3536617328346379
2019-02-12,1.359112950244789
2019-02-13,1.3650051253205435
2019-02-14,1.3691256973530446
2019-02-15,1.3571180756095684
2019-02-18,1.3675226021310682
2019-02-19,1.3685606102967331
2019-02-20,1.3729658417178614
2019-02-21,1.4153676464674854
2019-02-22,1.418545073464948
2019-02-25,1.4202329870512527
2019-02-26,1.3984022120510347
2019-02-27,1.4020224146232783
2019-02-28,1.398044855092717
2019-03-01,1.401839477308235
2019-03-04,1.4041481111503769
2019-03-05,1.4020404957267953
2019-03-06,1.3896598057084157
2019-03-07,1.3706629135712995
2019-03-08,1.3769622567278945
2019-03-11,1.3727588980401673
2019-03-12,1.3654829410876115
2019-03-13,1.3582012123632319
2019-03-14,1.3773966965621856
2019-03-15,1.3640929258772208
2019-03-18,1.3453170988670928
2019-03-19,1.3474570308552254
2019-03-20,1.3371222009535588
2019-03-21,1.348740134892827
2019-03-22,1.344652835378464
2019-03-25,1.3501402257829986
2019-03-26,1.3404800784692206
2019-03-27,1.3335581357014556
2019-03-28,1.3338790031790078
2019-03-29,1.3239899154941484
2019-04-01,1.3170034622069282
2019-04-02,1.3142052144901948
2019-04-03,1.3004555994054996
2019-04-04,1.3011939571129705
2019-04-05,1.3015796440783143
2019-04-08,1.309868005229089
2019-04-09,1.3154408421119796
2019-04-10,1.3245304369385817
2019-04-11,1.3277843175698032
2019-04-12,1.326071573625405
2019-04-15,1.3090041730765287
2019-04-16,1.2936249115599923
2019-04-17,1.297153909505481
2019-04-18,1.300074068886754
2019-04-19,1.3039958299380565
2019-04-22,1.2866427375850076
2019-04-23,1.2765115759376278
2019-04-24,1.2666515456285385
2019-04-25,1.2730014854512814
2019-04-26,1.2740610731669588
2019-04-29,1.276820603870085
2019-04-30,1.276830497039295
2019-05-01,1.2781289726976963
2019-05-02,1.2645170210381977
2019-05-03,1.2425174029341504
2019-05-06,1.2403459334109108
2019-05-07,1.230422375650853
2019-05-08,1.2348019267845967
2019-05-09,1.243908134852196
2019-05-10,1.2516760932104873
2019-05-13,1.2404786076205745
2019-05-14,1.2402400939848344
2019-05-15,1.2429271047976047
2019-05-16,1.2608330253576179
2019-05-17,1.251537069864994
2019-05-20,1.231266445088817
2019-05-21,1.2216475989298996
2019-05-22,1.2317370508488852
2019-05-23,1.2189656226914196
2019-05-24,1.2225652419020951
2019-05-27,1.2224102509253232
2019-05-28,1.2154677244240557
2019-05-29,1.2078147498915883
2019-05-30,1.2151599875921548
2019-05-31,1.2186796708849388
2019-06-03,1.2352136648784777
2019-06-04,1.2229395487502488
2019-06-05,1.2303450663402928
2019-06-06,1.2256683243056476
2019-06-07,1.2399850401983001
2019-06-10,1.2518437154791724
2019-06-11,1.2527362906437332
2019-06-12,1.2558285701644822
2019-06-13,1.2675777964033306
2019-06-14,1.273940810637655
2019-06-17,1.2853470335694015
2019-06-18,1.2985151235302157
2019-06-19,1.2889744187330088
2019-06-20,1.2797543973783527
2019-06-21,1.271980538519178
2019-06-24,1.2843898097306123
2019-06-25,1.286152967541945
2019-06-26,1.279813121618085
2019-06-27,1.2732265480468972
2019-06-28,1.279360924706077
2019-07-01,1.2804005401732288
2019-07-02,1.2842486242017057
2019-07-03,1.2677294652946594
2019-07-04,1.2732057724371029
2019-07-05,1.2751887769835968
