,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,1.0
2018-03-27,1.0
2018-03-28,1.0
2018-03-29,1.0
2018-03-30,1.0
2018-04-02,1.0
2018-04-03,1.0
2018-04-04,1.0
2018-04-05,1.0
2018-04-06,1.0
2018-04-09,1.0
2018-04-10,1.0
2018-04-11,1.0
2018-04-12,1.0
2018-04-13,1.0
2018-04-16,1.0
2018-04-17,1.0
2018-04-18,1.0
2018-04-19,1.0
2018-04-20,1.0
2018-04-23,1.0
2018-04-24,1.0
2018-04-25,1.0
2018-04-26,1.0
2018-04-27,1.0
2018-04-30,1.0
2018-05-01,1.0
2018-05-02,1.0
2018-05-03,1.0
2018-05-04,1.0
2018-05-07,1.0
2018-05-08,1.0
2018-05-09,1.0
2018-05-10,1.0
2018-05-11,1.0
2018-05-14,1.0
2018-05-15,1.0
2018-05-16,1.0
2018-05-17,1.0
2018-05-18,1.0
2018-05-21,1.0
2018-05-22,1.0
2018-05-23,1.0
2018-05-24,1.0
2018-05-25,1.0
2018-05-28,1.0
2018-05-29,1.0
2018-05-30,0.9995
2018-05-31,1.0000529102802278
2018-06-01,1.0009999669958112
2018-06-04,1.0067107517299174
2018-06-05,1.0061444825557346
2018-06-06,1.0127116381845562
2018-06-07,1.0071971000947177
2018-06-08,1.0200494166301666
2018-06-11,1.0129000139453228
2018-06-12,1.0295730411085329
2018-06-13,1.0330057673870061
2018-06-14,1.0377968614574602
2018-06-15,1.0467260540619128
2018-06-18,1.0589202774904696
2018-06-19,1.06761304195878
2018-06-20,1.07145848857692
2018-06-21,1.0732978251242993
2018-06-22,1.0777650142530086
2018-06-25,1.089409340055696
2018-06-26,1.0904702399522925
2018-06-27,1.0925297909087115
2018-06-28,1.1099975179254868
2018-06-29,1.1075779439365963
2018-07-02,1.1007833000772327
2018-07-03,1.0824996212648137
2018-07-04,1.070994303014087
2018-07-05,1.086588218404178
2018-07-06,1.0979188175415562
2018-07-09,1.0857923110490346
2018-07-10,1.1022630711590466
2018-07-11,1.1026493250042477
2018-07-12,1.110494869995127
2018-07-13,1.106974588629799
2018-07-16,1.0900802052363037
2018-07-17,1.100296057822601
2018-07-18,1.1011423750977885
2018-07-19,1.0930187164509102
2018-07-20,1.0903122013981636
2018-07-23,1.0998476081340172
2018-07-24,1.107397411133281
2018-07-25,1.100061497556564
2018-07-26,1.0848965940140634
2018-07-27,1.072087963667478
2018-07-30,1.0677025961213646
2018-07-31,1.078354492131622
2018-08-01,1.0709338188925657
2018-08-02,1.0603883565494256
2018-08-03,1.042450668510017
2018-08-06,1.0433102334084834
2018-08-07,1.04088943875241
2018-08-08,1.0432050893227889
2018-08-09,1.0338862922471028
2018-08-10,1.034574073105057
2018-08-13,1.0445787683628747
2018-08-14,1.0633248716609636
2018-08-15,1.0673809960348688
2018-08-16,1.0677269183159455
2018-08-17,1.0714194078384034
2018-08-20,1.068494998492598
2018-08-21,1.0633899352565155
2018-08-22,1.0570925541869332
2018-08-23,1.0488684435225875
2018-08-24,1.0689074542411807
2018-08-27,1.0845838860541597
2018-08-28,1.0693282810895908
2018-08-29,1.063361641937821
2018-08-30,1.0581119747226648
2018-08-31,1.0532991386960202
2018-09-03,1.0606365833067073
2018-09-04,1.0736621387642853
2018-09-05,1.077891142098484
2018-09-06,1.071682593017379
2018-09-07,1.0786900154836285
2018-09-10,1.0923593034636931
2018-09-11,1.0977305569105629
2018-09-12,1.0879706747118083
2018-09-13,1.078273799814321
2018-09-14,1.0830256054716776
2018-09-17,1.0733144712440617
2018-09-18,1.0870719705932999
2018-09-19,1.088616777365603
2018-09-20,1.0891230211473548
2018-09-21,1.082492304335699
2018-09-24,1.0776996476970047
2018-09-25,1.0837302428001072
2018-09-26,1.0647059950597408
2018-09-27,1.0696400688544976
2018-09-28,1.067179485889655
2018-10-01,1.0789753999694458
2018-10-02,1.068480217709661
2018-10-03,1.0740048058408356
2018-10-04,1.0800313099148022
2018-10-05,1.0686098264155286
2018-10-08,1.0716989812037874
2018-10-09,1.0797404403894415
2018-10-10,1.088344953738332
2018-10-11,1.0920301453380752
2018-10-12,1.0836172859265958
2018-10-15,1.0811628023624964
2018-10-16,1.0665264920828683
2018-10-17,1.0787606935421516
2018-10-18,1.0940212878153632
2018-10-19,1.0977584597480587
2018-10-22,1.0974695429948562
2018-10-23,1.0968032636938463
2018-10-24,1.1132491146186356
2018-10-25,1.1041748898065082
2018-10-26,1.1054418127333583
2018-10-29,1.092703922312713
2018-10-30,1.0996730232408
2018-10-31,1.098186063879623
2018-11-01,1.103620091744203
2018-11-02,1.0981518932205812
2018-11-05,1.105946496286041
2018-11-06,1.1102842052739315
2018-11-07,1.105168586434521
2018-11-08,1.0968610611778082
2018-11-09,1.1068934886531583
2018-11-12,1.1104602215814565
2018-11-13,1.1119405021624298
2018-11-14,1.1105055233570773
2018-11-15,1.0931135160496224
2018-11-16,1.085974990187404
2018-11-19,1.0877939599822417
2018-11-20,1.0911917364131702
