,equity
2018-01-02,0.9999
2018-01-03,0.9980246403423585
2018-01-04,0.9968094888726657
2018-01-05,0.9965837566145749
2018-01-08,0.9970071069922904
2018-01-09,0.995588994237871
2018-01-10,0.9943014667446023
2018-01-11,0.9959043360594606
2018-01-12,0.9959805190929634
2018-01-15,0.9969440213589259
2018-01-16,0.997319004233478
2018-01-17,0.9963478091767558
2018-01-18,0.9967587692344252
2018-01-19,0.9998059146963716
2018-01-22,0.9986890770647652
2018-01-23,0.9999673215896632
2018-01-24,0.9978001017231758
2018-01-25,0.9970480402683355
2018-01-26,0.9981569115242009
2018-01-29,0.9979197420675826
2018-01-30,0.998775742911221
2018-01-31,0.997699873178573
2018-02-01,0.9970129608157249
2018-02-02,0.9957111043628992
2018-02-05,1.0008521949109221
2018-02-06,1.007438363086692
2018-02-07,1.006477449816935
2018-02-08,1.005955865681355
2018-02-09,1.0073039446746381
2018-02-12,1.0070916888061172
2018-02-13,1.003639988028995
2018-02-14,1.0015907851968058
2018-02-15,1.0016763495152203
2018-02-16,1.0070225337198486
2018-02-19,1.0089711862478943
2018-02-20,1.018633327181559
2018-02-21,1.0201385435419055
2018-02-22,1.0223920134343785
2018-02-23,1.0217212621756193
2018-02-26,1.0259543173925023
2018-02-27,1.031864888552777
2018-02-28,1.0309025606992697
2018-03-01,1.0270990293911633
2018-03-02,1.028220727354203
2018-03-05,1.0284721540221136
2018-03-06,1.0291285733358762
2018-03-07,1.0303877774127925
2018-03-08,1.030531224571765
2018-03-09,1.0308316824221961
2018-03-12,1.0319035714228126
2018-03-13,1.0323161948706872
2018-03-14,1.032504155492342
2018-03-15,1.033101312806993
2018-03-16,1.0336208381382965
2018-03-19,1.0337342650949493
2018-03-20,1.0338034011787078
2018-03-21,1.0340760626311785
2018-03-22,1.0345166220198276
2018-03-23,1.0347496415562445
2018-03-26,1.0340179831900658
2018-03-27,1.0333167619541876
2018-03-28,1.0291107174159588
2018-03-29,1.0184768206195214
2018-03-30,1.0142969629178082
2018-04-02,1.0099017944351154
2018-04-03,1.012701961845527
2018-04-04,1.0143119860628793
2018-04-05,1.0237427392065088
2018-04-06,1.0228597353711175
2018-04-09,1.0321563258048005
2018-04-10,1.0265529700686884
2018-04-11,1.0184912617348374
2018-04-12,1.023892321728078
2018-04-13,1.0206517599175744
2018-04-16,1.0234609630333138
2018-04-17,1.031006355253692
2018-04-18,1.0299310325827231
2018-04-19,1.0255017430408515
2018-04-20,1.034858917973594
2018-04-23,1.0320087544540926
2018-04-24,1.0374157475406045
2018-04-25,1.033265625749548
2018-04-26,1.0341892450853085
2018-04-27,1.0406928838822083
2018-04-30,1.0412001132122193
2018-05-01,1.0402917175354285
