,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,0.999875
2018-01-31,0.9962665439158389
2018-02-01,0.9949641315432285
2018-02-02,0.9922406638303372
2018-02-05,0.9981806427634198
2018-02-06,1.003653728116543
2018-02-07,1.0007865253577437
2018-02-08,0.9996181798991632
2018-02-09,0.9998846041649874
2018-02-12,0.9979279384022753
2018-02-13,0.9971688987200148
2018-02-14,0.995273403638908
2018-02-15,0.9955267655093468
2018-02-16,1.0027343250844338
2018-02-19,1.0048634490474653
2018-02-20,1.0140860279900334
2018-02-21,1.016687717439307
2018-02-22,1.0176226511962398
2018-02-23,1.0162115262229134
2018-02-26,1.021215546938424
2018-02-27,1.0288626266445533
2018-02-28,1.0248861218506014
2018-03-01,1.0228834910773386
2018-03-02,1.0336449022926155
2018-03-05,1.0366003130435069
2018-03-06,1.0439808022869703
2018-03-07,1.0551747912930873
2018-03-08,1.0557268360990888
2018-03-09,1.0615316117357982
2018-03-12,1.075541495322409
2018-03-13,1.0820108154906107
2018-03-14,1.0859835450177344
2018-03-15,1.0945253665855048
2018-03-16,1.1019702369866093
2018-03-19,1.102036606025993
2018-03-20,1.1022088776576429
2018-03-21,1.103913889195773
2018-03-22,1.1071212188220487
2018-03-23,1.1104017862738136
2018-03-26,1.1035599870943726
2018-03-27,1.0975559315642693
2018-03-28,1.0920571085074031
2018-03-29,1.0815167629144304
2018-03-30,1.0790577682876912
2018-04-02,1.0745522704205832
2018-04-03,1.0732150353200138
2018-04-04,1.076254588339696
2018-04-05,1.0840770552944123
2018-04-06,1.0827074495225522
2018-04-09,1.0829769272153802
2018-04-10,1.0791618078774867
2018-04-11,1.0756147365677293
2018-04-12,1.0751008885646547
2018-04-13,1.077950623352568
2018-04-16,1.0760939746772658
2018-04-17,1.0753656682893356
2018-04-18,1.0718613155249972
2018-04-19,1.069069923781557
2018-04-20,1.0734149698808446
2018-04-23,1.0688970051932536
2018-04-24,1.0711796041634418
2018-04-25,1.0662964614492694
2018-04-26,1.0681862402633133
2018-04-27,1.074224990252496
2018-04-30,1.0744177512532256
2018-05-01,1.074252060085709
2018-05-02,1.067645184531753
2018-05-03,1.067370490437306
2018-05-04,1.0704010394928993
2018-05-07,1.0727187108015326
2018-05-08,1.067524617150753
2018-05-09,1.0655955701945077
2018-05-10,1.0667041913252975
2018-05-11,1.0682972669148534
2018-05-14,1.0650511175225723
2018-05-15,1.0669107517555618
2018-05-16,1.0700249749890327
2018-05-17,1.0728272691183773
2018-05-18,1.0725567836285104
2018-05-21,1.0728191646666143
2018-05-22,1.0737455391925474
2018-05-23,1.0717088863571418
2018-05-24,1.0731620338256573
2018-05-25,1.0670276945178587
2018-05-28,1.067328017999971
2018-05-29,1.0711117568441961
2018-05-30,1.0736089973535572
2018-05-31,1.0755643492981475
2018-06-01,1.0742170415521015
2018-06-04,1.0724298151320943
2018-06-05,1.073667638504042
2018-06-06,1.070633571344551
2018-06-07,1.0687637221449597
2018-06-08,1.0775489686696131
2018-06-11,1.0759146875471464
2018-06-12,1.0755994854887738
2018-06-13,1.0753313061987468
2018-06-14,1.067676425076152
2018-06-15,1.0665909253320662
2018-06-18,1.0718766612497417
2018-06-19,1.0742571479436505
2018-06-20,1.080823421983651
2018-06-21,1.081863110353703
2018-06-22,1.0843574084149856
2018-06-25,1.0932623240654324
2018-06-26,1.094288361026178
2018-06-27,1.0995502504869696
2018-06-28,1.1002469438750853
2018-06-29,1.0982704257251867
2018-07-02,1.104571748264056
2018-07-03,1.1054278334525574
2018-07-04,1.0978211110766734
2018-07-05,1.104641183971513
2018-07-06,1.1019665643517984
2018-07-09,1.09720523013664
2018-07-10,1.1032808363769746
2018-07-11,1.105743045326466
2018-07-12,1.1132494926473555
2018-07-13,1.1078032510044733
2018-07-16,1.1024696347213805
2018-07-17,1.1034410656276636
2018-07-18,1.1070406419638272
2018-07-19,1.1053542810192793
2018-07-20,1.104642552575061
2018-07-23,1.101920651034285
2018-07-24,1.1076105353691506
2018-07-25,1.106030807703658
2018-07-26,1.1061868627398348
2018-07-27,1.0992301148379893
2018-07-30,1.0966387083301732
2018-07-31,1.0949167549672654
2018-08-01,1.0918702884811615
2018-08-02,1.091773838278823
2018-08-03,1.0928845896533534
2018-08-06,1.096932200487429
2018-08-07,1.0941580177777266
2018-08-08,1.0970729382195548
2018-08-09,1.0934431580124577
2018-08-10,1.0969030524825216
2018-08-13,1.0981694906560955
2018-08-14,1.0948291090311568
2018-08-15,1.0928326758850426
2018-08-16,1.0916452873374514
2018-08-17,1.0940127932527506
2018-08-20,1.1005146096541332
2018-08-21,1.0976562843323736
2018-08-22,1.0915428389204698
2018-08-23,1.0885005179780927
2018-08-24,1.0854812264633067
2018-08-27,1.0876281232366969
2018-08-28,1.09341304837996
2018-08-29,1.093376629603076
2018-08-30,1.0914148743315548
2018-08-31,1.0888952177151563
2018-09-03,1.0906175577559354
2018-09-04,1.0855663277547054
2018-09-05,1.090282796661272
2018-09-06,1.0873771410160435
2018-09-07,1.086865180950809
2018-09-10,1.089079423773689
2018-09-11,1.0946393348057242
2018-09-12,1.0973423431426865
2018-09-13,1.098060072371518
2018-09-14,1.0960336923683651
2018-09-17,1.0940562092520272
2018-09-18,1.099563168627668
2018-09-19,1.10109112450071
2018-09-20,1.0994638719381749
2018-09-21,1.0923990026601431
2018-09-24,1.0900903090986074
2018-09-25,1.0892303893865392
2018-09-26,1.0886385892633885
2018-09-27,1.0939175183079395
2018-09-28,1.096360793674213
2018-10-01,1.1004101291155433
2018-10-02,1.0961884598166418
2018-10-03,1.0946924001198315
2018-10-04,1.0916800161831708
2018-10-05,1.091296132166992
2018-10-08,1.0868372062239304
2018-10-09,1.0847813281096221
2018-10-10,1.0862898889469006
2018-10-11,1.0796037740398317
2018-10-12,1.080003073530532
