,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,1.0
2018-03-27,1.0
2018-03-28,1.0
2018-03-29,1.0
2018-03-30,1.0
2018-04-02,1.0
2018-04-03,1.0
2018-04-04,1.0
2018-04-05,1.0
2018-04-06,1.0
2018-04-09,1.0
2018-04-10,1.0
2018-04-11,1.0
2018-04-12,1.0
2018-04-13,1.0
2018-04-16,1.0
2018-04-17,1.0
2018-04-18,1.0
2018-04-19,1.0
2018-04-20,1.0
2018-04-23,1.0
2018-04-24,1.0
2018-04-25,1.0
2018-04-26,1.0
2018-04-27,1.0
2018-04-30,1.0
2018-05-01,1.0
2018-05-02,1.0
2018-05-03,1.0
2018-05-04,1.0
2018-05-07,1.0
2018-05-08,1.0
2018-05-09,1.0
2018-05-10,1.0
2018-05-11,1.0
2018-05-14,1.0
2018-05-15,1.0
2018-05-16,1.0
2018-05-17,1.0
2018-05-18,1.0
2018-05-21,1.0
2018-05-22,1.0
2018-05-23,1.0
2018-05-24,1.0
2018-05-25,1.0
2018-05-28,1.0
2018-05-29,1.0
2018-05-30,1.0
2018-05-31,1.0
2018-06-01,1.0
2018-06-04,1.0
2018-06-05,1.0
2018-06-06,1.0
2018-06-07,1.0
2018-06-08,1.0
2018-06-11,1.0
2018-06-12,1.0
2018-06-13,1.0
2018-06-14,1.0
2018-06-15,1.0
2018-06-18,1.0
2018-06-19,1.0
2018-06-20,1.0
2018-06-21,1.0
2018-06-22,1.0
2018-06-25,1.0
2018-06-26,1.0
2018-06-27,1.0
2018-06-28,1.0
2018-06-29,1.0
2018-07-02,1.0
2018-07-03,1.0
2018-07-04,1.0
2018-07-05,1.0
2018-07-06,1.0
2018-07-09,1.0
2018-07-10,1.0
2018-07-11,1.0
2018-07-12,1.0
2018-07-13,1.0
2018-07-16,1.0
2018-07-17,1.0
2018-07-18,1.0
2018-07-19,1.0
2018-07-20,1.0
2018-07-23,1.0
2018-07-24,1.0
2018-07-25,1.0
2018-07-26,1.0
2018-07-27,0.9995
2018-07-30,0.9977877238999519
2018-07-31,1.0062513810126206
2018-08-01,1.0059181666545125
2018-08-02,1.0004511346362335
2018-08-03,0.9909662352007299
2018-08-06,1.0014027177223819
2018-08-07,1.0157200079873019
2018-08-08,1.0136235692259072
2018-08-09,1.0038998549357923
2018-08-10,1.0148965743816039
2018-08-13,1.0046250152336773
2018-08-14,1.0039550108682933
2018-08-15,1.0218465588355274
2018-08-16,1.0160024257016862
2018-08-17,1.023974825859554
2018-08-20,1.0211617214553048
2018-08-21,1.01262503839075
2018-08-22,1.002808420184416
2018-08-23,1.0098204192809352
2018-08-24,1.010609365873975
2018-08-27,1.0247413547896924
2018-08-28,1.0275700910550472
2018-08-29,1.0214750970501456
2018-08-30,1.014471577965375
2018-08-31,1.0253428643514482
2018-09-03,1.0246281537895081
2018-09-04,1.0431086918203232
2018-09-05,1.052407507495425
2018-09-06,1.049297328269102
2018-09-07,1.0484584919859046
2018-09-10,1.0434263891792752
2018-09-11,1.0477807357943076
2018-09-12,1.0441086469200722
2018-09-13,1.0504073433379004
2018-09-14,1.0447928257582697
2018-09-17,1.0412370509012912
2018-09-18,1.0450679632867537
2018-09-19,1.0427116626414097
2018-09-20,1.0419589665632645
2018-09-21,1.0394228135888406
2018-09-24,1.0441718591655262
2018-09-25,1.0409412598296444
2018-09-26,1.0409726151120482
2018-09-27,1.047042196618745
2018-09-28,1.0469917079447195
2018-10-01,1.0377939701053558
2018-10-02,1.0262927422652846
2018-10-03,1.0253718466846766
2018-10-04,1.0228364532063636
2018-10-05,1.0240775373238202
2018-10-08,1.0288934313064524
2018-10-09,1.0335738794138971
2018-10-10,1.0363354617376506
2018-10-11,1.0312236531515822
2018-10-12,1.0270971372918445
2018-10-15,1.0237097785007647
2018-10-16,1.0212388257426643
2018-10-17,1.014111640153011
2018-10-18,1.0186008920959024
2018-10-19,1.0177345579008694
2018-10-22,1.0166894600905358
2018-10-23,1.0176297532456506
2018-10-24,1.0293396367758385
2018-10-25,1.0249258384203865
2018-10-26,1.0241708343400422
2018-10-29,1.0200321683241236
2018-10-30,1.0135277321473737
2018-10-31,1.016993681775274
2018-11-01,1.010674931740416
2018-11-02,1.0105561182722063
2018-11-05,1.0214039801379151
2018-11-06,1.030474732380117
2018-11-07,1.038844454190581
2018-11-08,1.0425455438063602
2018-11-09,1.0483572052368797
2018-11-12,1.0459419226166846
2018-11-13,1.0438432586794435
2018-11-14,1.0499738444870328
2018-11-15,1.0467543766909135
2018-11-16,1.0466091718241965
2018-11-19,1.055391820958563
2018-11-20,1.0623958564628118
2018-11-21,1.0621251546029207
2018-11-22,1.0589272262143672
2018-11-23,1.059807178592993
2018-11-26,1.0533649953454216
2018-11-27,1.0557677018789668
2018-11-28,1.0620129287929945
2018-11-29,1.0685635182423745
2018-11-30,1.072382312535453
2018-12-03,1.0757787190211563
2018-12-04,1.0844855877888038
2018-12-05,1.0925798828594002
2018-12-06,1.094372733948765
