,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,0.9995
2018-03-27,1.0009993569284903
2018-03-28,0.9951965276800984
2018-03-29,0.9812713740649945
2018-03-30,0.9867099398736002
2018-04-02,0.9789518155222243
2018-04-03,0.9713783243347882
2018-04-04,0.9707757258178303
2018-04-05,0.9751680026142107
2018-04-06,0.9829931164841988
2018-04-09,0.9906788422704693
2018-04-10,0.9923827809394842
2018-04-11,0.9849825076039802
2018-04-12,0.9800128062088205
2018-04-13,0.971160588508028
2018-04-16,0.9833665229346519
2018-04-17,1.0013710889491154
2018-04-18,0.9987136888147272
2018-04-19,0.9926809942466828
2018-04-20,1.0086239465203792
2018-04-23,1.0047701231012192
2018-04-24,1.0138166871445673
2018-04-25,1.0118893791142825
2018-04-26,1.0192925674185684
2018-04-27,1.0261493471807637
2018-04-30,1.0285288093110856
2018-05-01,1.023276199298656
2018-05-02,1.0156894991750078
2018-05-03,1.019543911859168
2018-05-04,1.0212559449654128
2018-05-07,1.0170578278107938
2018-05-08,1.0186637677719852
2018-05-09,0.9952219644949696
2018-05-10,0.9852081461670337
2018-05-11,0.978933607011194
2018-05-14,0.9730614940161975
2018-05-15,0.9789552727831885
2018-05-16,0.9825909218766089
2018-05-17,0.9867633948324696
2018-05-18,0.9885273641013254
2018-05-21,0.9759090751729537
2018-05-22,0.9642849170668402
2018-05-23,0.949400885614254
2018-05-24,0.9420799322328558
2018-05-25,0.9311245876117995
2018-05-28,0.9296490665858715
2018-05-29,0.9341555654475739
2018-05-30,0.9244990469758387
2018-05-31,0.9308651748364827
2018-06-01,0.9310195429552657
2018-06-04,0.9492700313250437
2018-06-05,0.9535766834958651
2018-06-06,0.9601751269076508
2018-06-07,0.9536813701733987
2018-06-08,0.9584119363739199
2018-06-11,0.9728194725150302
2018-06-12,0.9734430365572209
2018-06-13,0.9794399418535362
2018-06-14,0.984693673012592
2018-06-15,0.9899113724348286
2018-06-18,1.0002611815513447
2018-06-19,1.0071178414372537
2018-06-20,1.0065611663311087
2018-06-21,1.0040775055833682
2018-06-22,1.0004544098462405
2018-06-25,1.0194315920722223
2018-06-26,1.0200531920888418
2018-06-27,1.0321958065533785
2018-06-28,1.0403132826453922
2018-06-29,1.0458894614175898
2018-07-02,1.0518902194206066
2018-07-03,1.049747498085799
2018-07-04,1.0359687977062464
2018-07-05,1.0480226506864487
2018-07-06,1.046186828493925
2018-07-09,1.0233420116575165
2018-07-10,1.0248872728269267
2018-07-11,1.0360352247134978
2018-07-12,1.0534408820826262
2018-07-13,1.0465610587547234
2018-07-16,1.034727001762354
2018-07-17,1.0430747042939996
2018-07-18,1.037046149093768
2018-07-19,1.032081390786899
2018-07-20,1.0314735137393398
2018-07-23,1.020109952640021
2018-07-24,1.0403354948643728
2018-07-25,1.0482460980162756
2018-07-26,1.0507711755825766
2018-07-27,1.0556190051947238
2018-07-30,1.0525937231810758
2018-07-31,1.040549606565594
2018-08-01,1.0371742151999008
2018-08-02,1.0358601154998197
2018-08-03,1.033526036946662
2018-08-06,1.0431563061002038
2018-08-07,1.0307601930583898
2018-08-08,1.0366678259301714
2018-08-09,1.040181912192474
2018-08-10,1.035444793310918
2018-08-13,1.0304852275514016
2018-08-14,1.0318089127038135
2018-08-15,1.035221086501718
2018-08-16,1.0427879473978736
2018-08-17,1.0433519528389983
2018-08-20,1.0557677760512774
2018-08-21,1.0488924191772215
2018-08-22,1.0425045955671752
2018-08-23,1.0434279214762003
2018-08-24,1.0495087999834738
2018-08-27,1.0668831407801607
2018-08-28,1.0613598013424461
2018-08-29,1.062805375093285
2018-08-30,1.0556826304116878
2018-08-31,1.0690065421215804
2018-09-03,1.0688151353861939
2018-09-04,1.0740243246851104
2018-09-05,1.0864448807897449
2018-09-06,1.0713744267924648
2018-09-07,1.0676876744383943
2018-09-10,1.0747467024341055
2018-09-11,1.0780491778898502
2018-09-12,1.0762962400376055
2018-09-13,1.075921346935363
2018-09-14,1.0647839607548186
2018-09-17,1.0670406103100274
2018-09-18,1.0742559370176765
2018-09-19,1.084891696906422
2018-09-20,1.0843957161372042
2018-09-21,1.0503298322661136
2018-09-24,1.0507021400270442
2018-09-25,1.0507526498822886
2018-09-26,1.047656866150581
2018-09-27,1.070585826408584
2018-09-28,1.0773766753267369
2018-10-01,1.0931087462208733
2018-10-02,1.074421932415377
2018-10-03,1.086591231817164
2018-10-04,1.0694486776581151
2018-10-05,1.0773264415567345
2018-10-08,1.074613957255029
2018-10-09,1.0709239666145995
2018-10-10,1.067915492309819
2018-10-11,1.0579305114745883
2018-10-12,1.0535185256408954
2018-10-15,1.057842733804544
2018-10-16,1.0478959471701894
2018-10-17,1.0558539563779517
2018-10-18,1.060270142897359
2018-10-19,1.0745540493732622
2018-10-22,1.0801432081965918
2018-10-23,1.0901492979267562
2018-10-24,1.091400400640867
2018-10-25,1.0842104535833965
2018-10-26,1.0939091804346082
2018-10-29,1.1034922915707028
2018-10-30,1.0955136365830287
