,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,0.9995
2018-01-31,0.9944811285809696
2018-02-01,1.0007926357667785
2018-02-02,1.0112906870815028
2018-02-05,1.0058115204043308
2018-02-06,1.0076997779361911
2018-02-07,1.0080380932541304
2018-02-08,1.006611964884082
2018-02-09,1.013661749125049
2018-02-12,1.01695258662868
2018-02-13,1.0042461360295167
2018-02-14,1.0085756374117956
2018-02-15,1.0020275751025867
2018-02-16,0.9993982305850551
2018-02-19,1.0040482935208446
2018-02-20,0.9932668986876028
2018-02-21,1.001662703754411
2018-02-22,0.9969076300974096
2018-02-23,0.9886425884457203
2018-02-26,0.9763400211823834
2018-02-27,0.9712512552604974
2018-02-28,0.9792238337888549
2018-03-01,0.9672136313668358
2018-03-02,0.9633458593363011
2018-03-05,0.9653096198514663
2018-03-06,0.9650182522975073
2018-03-07,0.9650348020236853
2018-03-08,0.9737090031573311
2018-03-09,0.9634567498033272
2018-03-12,0.9511770582278809
2018-03-13,0.9439428936525156
2018-03-14,0.9406752407010787
2018-03-15,0.9401437542073294
2018-03-16,0.9345934968196261
2018-03-19,0.9259776287252136
2018-03-20,0.9178184725128065
2018-03-21,0.9063538478562658
2018-03-22,0.8963808955409092
2018-03-23,0.8981216946812893
2018-03-26,0.9112441154259665
2018-03-27,0.9079633742870971
2018-03-28,0.9102226938028292
2018-03-29,0.9080814029386249
2018-03-30,0.9128997260331447
2018-04-02,0.9134899500566876
2018-04-03,0.9182781162066096
2018-04-04,0.9100134151864322
2018-04-05,0.8974719246397033
2018-04-06,0.9020836480473859
2018-04-09,0.9008027816523599
2018-04-10,0.8914014326378443
2018-04-11,0.8850013866440083
2018-04-12,0.8881303823861124
2018-04-13,0.8802370061239959
2018-04-16,0.8823940924435498
2018-04-17,0.8745230766876442
2018-04-18,0.8711117677333644
2018-04-19,0.8734417987371115
2018-04-20,0.8737621917723498
2018-04-23,0.8757480792593122
2018-04-24,0.8799516300008712
2018-04-25,0.8739652625229593
2018-04-26,0.8720024027407998
2018-04-27,0.8711979194832493
2018-04-30,0.8689979833064518
2018-05-01,0.8626944182247848
2018-05-02,0.8700003737808976
2018-05-03,0.8693661516561642
2018-05-04,0.8618041361857378
2018-05-07,0.8607900625404458
2018-05-08,0.8635382076800002
2018-05-09,0.8643593884557748
2018-05-10,0.8599661293945978
2018-05-11,0.8574964201623922
2018-05-14,0.8636399610423205
2018-05-15,0.8656315211920983
2018-05-16,0.8715736477429519
2018-05-17,0.8676183909362739
2018-05-18,0.8718353604039508
2018-05-21,0.8752966437045798
2018-05-22,0.8706385407032293
2018-05-23,0.8645321481678466
2018-05-24,0.86074534855999
2018-05-25,0.8633216660153545
2018-05-28,0.8702870508177553
2018-05-29,0.8654767507861406
2018-05-30,0.8651055235622046
2018-05-31,0.8681026594628373
2018-06-01,0.8758084265322514
2018-06-04,0.8696274546398902
2018-06-05,0.8683159250748376
2018-06-06,0.8597573158210025
2018-06-07,0.8610481421136136
2018-06-08,0.8578577346032298
2018-06-11,0.863095082403906
2018-06-12,0.8596478240993439
2018-06-13,0.85137796753779
2018-06-14,0.8520967973367722
2018-06-15,0.8443362019506199
2018-06-18,0.8373368761015201
2018-06-19,0.8351460466949399
2018-06-20,0.8398108068798872
2018-06-21,0.8421768516017817
2018-06-22,0.8433264639844864
2018-06-25,0.8465484301962563
2018-06-26,0.8406656254439043
2018-06-27,0.8366913947002934
2018-06-28,0.8337808187757341
2018-06-29,0.8263734513756376
2018-07-02,0.8270459290037278
2018-07-03,0.8153238076325626
2018-07-04,0.8140697919436126
2018-07-05,0.8115805821547114
2018-07-06,0.8088946260358335
2018-07-09,0.8128299418572328
2018-07-10,0.8020404810283426
2018-07-11,0.8025305187421938
2018-07-12,0.7865506791796832
2018-07-13,0.7918467963759446
2018-07-16,0.7905688564835683
2018-07-17,0.7934453896295549
2018-07-18,0.7970294724044291
2018-07-19,0.7938041873373529
2018-07-20,0.7958588586167784
2018-07-23,0.7883952315411663
2018-07-24,0.7905366073381918
2018-07-25,0.783926438562935
2018-07-26,0.7836523943002246
2018-07-27,0.7783469094731643
2018-07-30,0.7779460607810111
2018-07-31,0.7836035152517724
2018-08-01,0.7867397831992264
2018-08-02,0.7846897340111818
2018-08-03,0.7814264160585002
2018-08-06,0.77949052898355
2018-08-07,0.7692277211151355
2018-08-08,0.7665184058608163
2018-08-09,0.764330912176081
2018-08-10,0.7702989850030658
2018-08-13,0.7704503612105705
2018-08-14,0.7633171595964487
2018-08-15,0.7639601732659663
2018-08-16,0.760053234959953
2018-08-17,0.7661356600214781
2018-08-20,0.7710069847881945
2018-08-21,0.7662328275953326
2018-08-22,0.7572028082321639
2018-08-23,0.7622197349977552
2018-08-24,0.7635845668081427
2018-08-27,0.7506539332032298
2018-08-28,0.7487353942881467
2018-08-29,0.7491863954545794
2018-08-30,0.749278869278714
2018-08-31,0.7550267507130229
2018-09-03,0.7575866043381135
2018-09-04,0.7548846258266081
2018-09-05,0.752203524570084
2018-09-06,0.7514442485622082
2018-09-07,0.7506295017794573
2018-09-10,0.7536744339915308
2018-09-11,0.7456942124141447
2018-09-12,0.7416489788666147
2018-09-13,0.7350842065302994
2018-09-14,0.7378681459445112
2018-09-17,0.741107667423832
2018-09-18,0.7437874670361653
2018-09-19,0.7431944058650641
2018-09-20,0.7411957589075947
2018-09-21,0.7445070497234387
2018-09-24,0.7411913833432344
2018-09-25,0.7412820752911908
2018-09-26,0.7438153252502151
2018-09-27,0.7469064912876009
2018-09-28,0.7453721989171619
2018-10-01,0.743850711230011
2018-10-02,0.7463618659338986
2018-10-03,0.7474889525607855
2018-10-04,0.7450459994057422
2018-10-05,0.750992199297005
2018-10-08,0.7516645172001643
2018-10-09,0.7468328635828373
2018-10-10,0.7386923988256604
2018-10-11,0.7426535886618836
