,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,1.0
2018-03-27,1.0
2018-03-28,1.0
2018-03-29,1.0
2018-03-30,1.0
2018-04-02,1.0
2018-04-03,1.0
2018-04-04,1.0
2018-04-05,1.0
2018-04-06,1.0
2018-04-09,1.0
2018-04-10,1.0
2018-04-11,1.0
2018-04-12,1.0
2018-04-13,1.0
2018-04-16,1.0
2018-04-17,1.0
2018-04-18,1.0
2018-04-19,1.0
2018-04-20,1.0
2018-04-23,1.0
2018-04-24,1.0
2018-04-25,1.0
2018-04-26,1.0
2018-04-27,1.0
2018-04-30,1.0
2018-05-01,1.0
2018-05-02,1.0
2018-05-03,1.0
2018-05-04,1.0
2018-05-07,1.0
2018-05-08,1.0
2018-05-09,1.0
2018-05-10,1.0
2018-05-11,1.0
2018-05-14,1.0
2018-05-15,1.0
2018-05-16,1.0
2018-05-17,1.0
2018-05-18,1.0
2018-05-21,1.0
2018-05-22,1.0
2018-05-23,1.0
2018-05-24,1.0
2018-05-25,1.0
2018-05-28,1.0
2018-05-29,1.0
2018-05-30,1.0
2018-05-31,1.0
2018-06-01,1.0
2018-06-04,1.0
2018-06-05,1.0
2018-06-06,1.0
2018-06-07,1.0
2018-06-08,1.0
2018-06-11,1.0
2018-06-12,1.0
2018-06-13,1.0
2018-06-14,1.0
2018-06-15,1.0
2018-06-18,1.0
2018-06-19,1.0
2018-06-20,1.0
2018-06-21,1.0
2018-06-22,1.0
2018-06-25,1.0
2018-06-26,1.0
2018-06-27,1.0
2018-06-28,1.0
2018-06-29,1.0
2018-07-02,1.0
2018-07-03,1.0
2018-07-04,1.0
2018-07-05,1.0
2018-07-06,1.0
2018-07-09,1.0
2018-07-10,1.0
2018-07-11,1.0
2018-07-12,1.0
2018-07-13,1.0
2018-07-16,1.0
2018-07-17,1.0
2018-07-18,1.0
2018-07-19,1.0
2018-07-20,1.0
2018-07-23,1.0
2018-07-24,1.0
2018-07-25,1.0
2018-07-26,1.0
2018-07-27,0.9995
2018-07-30,0.9952650682597733
2018-07-31,1.0025919389782145
2018-08-01,0.9932877178038974
2018-08-02,0.982887760026546
2018-08-03,0.9668823498802245
2018-08-06,0.9664900265494141
2018-08-07,0.9609598375430808
2018-08-08,0.9652729833853579
2018-08-09,0.9535566208113301
2018-08-10,0.9524074804363721
2018-08-13,0.9611675758408349
2018-08-14,0.9797549653993011
2018-08-15,0.9786828605538369
2018-08-16,0.9713746267551602
2018-08-17,0.9742802137701354
2018-08-20,0.9670152609694928
2018-08-21,0.9645029705435438
2018-08-22,0.9569440660152025
2018-08-23,0.9481783267862443
2018-08-24,0.959334302627815
2018-08-27,0.9670512426883341
2018-08-28,0.9474933305639807
2018-08-29,0.9320234414998818
2018-08-30,0.92675247191214
2018-08-31,0.9267973760006464
2018-09-03,0.935164812496698
2018-09-04,0.9504307573695867
2018-09-05,0.9570002419114177
2018-09-06,0.9529546237834077
2018-09-07,0.9588921243947662
2018-09-10,0.9478162803560023
2018-09-11,0.9415774106083242
2018-09-12,0.9300467140916014
2018-09-13,0.9231172197953595
2018-09-14,0.9220709420604907
2018-09-17,0.9137673652222406
2018-09-18,0.9321691554486035
2018-09-19,0.9340422167627305
2018-09-20,0.9367615411293978
2018-09-21,0.9365023061588604
2018-09-24,0.9443223986770316
2018-09-25,0.9343683784325939
2018-09-26,0.922192695445428
2018-09-27,0.9294386507862755
2018-09-28,0.9311423871269564
2018-10-01,0.9433786941162637
2018-10-02,0.9369609324030815
2018-10-03,0.9395940168344638
2018-10-04,0.9415549526956931
2018-10-05,0.9279847711502696
2018-10-08,0.9318586393445145
2018-10-09,0.9326624305039971
2018-10-10,0.9235369392100926
2018-10-11,0.9274797833025544
2018-10-12,0.9191949855255348
2018-10-15,0.9192686127521642
2018-10-16,0.9071721619629262
2018-10-17,0.9208555772846633
2018-10-18,0.9411556707117569
2018-10-19,0.9352603090131271
2018-10-22,0.9307282708281962
2018-10-23,0.9140361796215921
2018-10-24,0.9121525428361761
2018-10-25,0.91637039059367
2018-10-26,0.9049662621749925
2018-10-29,0.909302190732858
2018-10-30,0.9090589576401287
2018-10-31,0.9074796159946991
2018-11-01,0.900537687545952
2018-11-02,0.8893973221487106
2018-11-05,0.8816745825380846
2018-11-06,0.8650542267973335
2018-11-07,0.8614555804992394
2018-11-08,0.8547613565592441
2018-11-09,0.84994998867721
2018-11-12,0.850529242717683
2018-11-13,0.8511228208615096
2018-11-14,0.8483412429200122
2018-11-15,0.8404893619224834
2018-11-16,0.8352142397880561
2018-11-19,0.8323018273954429
2018-11-20,0.8318063648098118
2018-11-21,0.8452227985180742
2018-11-22,0.8579628941485951
2018-11-23,0.8766152612493993
2018-11-26,0.9013489638826859
2018-11-27,0.8923341155275304
2018-11-28,0.8952614113024846
2018-11-29,0.9035262817373072
2018-11-30,0.9083852326990194
2018-12-03,0.9300736482016994
2018-12-04,0.9614232112487383
2018-12-05,0.9790264133451422
2018-12-06,0.989079785304909
