,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,0.9995
2018-02-01,0.9978936021348044
2018-02-02,0.9967150465031844
2018-02-05,1.0035070189223303
2018-02-06,1.0189665613555141
2018-02-07,1.0228146570228196
2018-02-08,1.0260634218837135
2018-02-09,1.025553831115967
2018-02-12,1.029034669336017
2018-02-13,1.0225304265223196
2018-02-14,1.0240153449298
2018-02-15,1.0272528758075807
2018-02-16,1.036025298251571
2018-02-19,1.0397862550018857
2018-02-20,1.0639991904329613
2018-02-21,1.0632069796651673
2018-02-22,1.070623650490306
2018-02-23,1.073441275500013
2018-02-26,1.0928096595056036
2018-02-27,1.0991846859311738
2018-02-28,1.0941230231178876
2018-03-01,1.0922432570642095
2018-03-02,1.1113873058109154
2018-03-05,1.112949465904364
2018-03-06,1.1177982391913486
2018-03-07,1.1419841426995523
2018-03-08,1.1413397369998524
2018-03-09,1.1364132753011413
2018-03-12,1.1442070407316762
2018-03-13,1.143140869599021
2018-03-14,1.1435227006426765
2018-03-15,1.1581192332766677
2018-03-16,1.1683275258935242
2018-03-19,1.177286603778822
2018-03-20,1.1771410300858955
2018-03-21,1.1946639097677263
2018-03-22,1.2118879148354709
2018-03-23,1.2151081928080563
2018-03-26,1.1878460484186038
2018-03-27,1.1767051546390161
2018-03-28,1.1855645826294483
2018-03-29,1.1776360310592058
2018-03-30,1.1708748482566955
2018-04-02,1.1605921816201776
2018-04-03,1.1652676233139572
2018-04-04,1.1705087229191466
2018-04-05,1.1715234563038754
2018-04-06,1.1770806607295372
2018-04-09,1.214966971922902
2018-04-10,1.2178694471088063
2018-04-11,1.2127643999026239
2018-04-12,1.2322458193600707
2018-04-13,1.240989214424518
2018-04-16,1.2483417299755102
2018-04-17,1.2600668422854433
2018-04-18,1.2630885984373392
2018-04-19,1.2580878274803384
2018-04-20,1.2704914059451669
2018-04-23,1.2669670347027504
2018-04-24,1.2856597156005842
2018-04-25,1.2847936003719165
2018-04-26,1.2783173051435917
2018-04-27,1.2936420981938919
2018-04-30,1.297742934116978
2018-05-01,1.2906121843028322
2018-05-02,1.2770540222442999
2018-05-03,1.2730689418906913
2018-05-04,1.276001665376422
2018-05-07,1.2754952840192917
2018-05-08,1.2732513360027076
2018-05-09,1.2778426041041118
2018-05-10,1.2741845024351817
2018-05-11,1.2993684467818842
2018-05-14,1.2822894156021791
2018-05-15,1.2948081435600791
2018-05-16,1.315911347717075
2018-05-17,1.3129700196117164
2018-05-18,1.3073542293371092
2018-05-21,1.3088358419506028
2018-05-22,1.3141834128313545
2018-05-23,1.305474145910665
2018-05-24,1.293829282083832
2018-05-25,1.2714245325925944
2018-05-28,1.283115553247298
2018-05-29,1.2932896838197916
2018-05-30,1.2837571667686745
2018-05-31,1.2845225986451019
2018-06-01,1.287500123196735
2018-06-04,1.30187578880007
2018-06-05,1.300403829244699
2018-06-06,1.3105164531666038
2018-06-07,1.319255917994801
2018-06-08,1.3463188158963377
2018-06-11,1.3292195704608887
2018-06-12,1.3551571553847064
2018-06-13,1.3691396206977495
2018-06-14,1.3721992500590092
2018-06-15,1.3824721295534772
2018-06-18,1.3953239590160107
2018-06-19,1.4084020788746194
2018-06-20,1.414570538419908
2018-06-21,1.4243465754109657
2018-06-22,1.4321580147209265
2018-06-25,1.4414483454032918
2018-06-26,1.4339052409720094
2018-06-27,1.44074321559728
2018-06-28,1.4552422714633093
2018-06-29,1.443915664452569
2018-07-02,1.4461093728982726
2018-07-03,1.425969339542436
2018-07-04,1.4147816191358868
2018-07-05,1.4370499831107393
2018-07-06,1.4447034754923636
2018-07-09,1.4288963348965555
2018-07-10,1.4547349164550414
2018-07-11,1.4535085408320694
2018-07-12,1.4790790492761703
2018-07-13,1.4789155674739018
2018-07-16,1.4670574580153994
2018-07-17,1.4753914068748863
2018-07-18,1.4912498086933574
2018-07-19,1.4957679776579613
2018-07-20,1.4895397714475807
2018-07-23,1.5183800890059622
2018-07-24,1.5460283087764877
2018-07-25,1.5464950018769061
2018-07-26,1.5196312019184544
2018-07-27,1.4893326720417186
2018-07-30,1.4901025742771872
2018-07-31,1.5023596050457249
2018-08-01,1.478135426620672
2018-08-02,1.4658350641428846
2018-08-03,1.4639946246403641
2018-08-06,1.488086132343514
2018-08-07,1.4889114337572245
2018-08-08,1.495133660742438
2018-08-09,1.4758220775985686
2018-08-10,1.4785205919044653
2018-08-13,1.4924452088085325
2018-08-14,1.5207062686982575
2018-08-15,1.5689378818541315
2018-08-16,1.5586924861064204
2018-08-17,1.5561545635097334
2018-08-20,1.5504876162981638
2018-08-21,1.5553986096883718
2018-08-22,1.5391251569139601
2018-08-23,1.5352165748560243
2018-08-24,1.5413729258958153
2018-08-27,1.539534830151718
2018-08-28,1.5325004920421013
2018-08-29,1.5398556530944347
2018-08-30,1.5358173865693239
2018-08-31,1.5185961278372873
2018-09-03,1.5264890728442546
2018-09-04,1.538887885845448
2018-09-05,1.5454377292833246
2018-09-06,1.5532194243228254
2018-09-07,1.5626979347133652
2018-09-10,1.5725449798082358
2018-09-11,1.57685939144506
2018-09-12,1.5828992831397692
2018-09-13,1.5826756035200715
2018-09-14,1.5925385246838115
2018-09-17,1.5808860289820343
2018-09-18,1.5979827454378204
2018-09-19,1.6062536055310295
2018-09-20,1.6046307000025855
2018-09-21,1.5817959394276666
2018-09-24,1.5630506839176204
2018-09-25,1.5608964908956136
2018-09-26,1.5489957368439797
2018-09-27,1.565487788597
2018-09-28,1.5684036670425678
2018-10-01,1.589180956467238
2018-10-02,1.5781048380665947
2018-10-03,1.5833595313952034
2018-10-04,1.5852128913890893
2018-10-05,1.5625545871373316
2018-10-08,1.5662527633004844
2018-10-09,1.5651917736635783
2018-10-10,1.566112692794682
2018-10-11,1.5676505785955273
2018-10-12,1.571667503545873
