,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,0.9995
2018-03-01,1.0008894573665243
2018-03-02,1.0028067985363063
2018-03-05,1.0140667682586508
2018-03-06,1.0147859943125905
2018-03-07,1.0170308496626441
2018-03-08,1.0112030360728652
2018-03-09,1.0170258544599775
2018-03-12,1.016670978302102
2018-03-13,1.025903384265373
2018-03-14,1.0265502642573037
2018-03-15,1.0284361739890255
2018-03-16,1.0238308286458144
2018-03-19,1.0225216589793067
2018-03-20,1.0168763816217692
2018-03-21,1.0199823729162882
2018-03-22,1.0218844460769814
2018-03-23,1.025408519443849
2018-03-26,1.024485085012712
2018-03-27,1.014885969964592
2018-03-28,1.0183233994343175
2018-03-29,1.0212581265959462
2018-03-30,1.0231434239678197
2018-04-02,1.0190548679770342
2018-04-03,1.0131759269836564
2018-04-04,1.0069205976555893
2018-04-05,0.9994236332686297
2018-04-06,1.0066260867394765
2018-04-09,1.0056205034183985
2018-04-10,1.014496129204637
2018-04-11,1.0138247216831422
2018-04-12,1.0062568244845478
2018-04-13,1.0142052829291492
2018-04-16,1.0171725719555142
2018-04-17,1.0261472743080629
2018-04-18,1.0296592588830609
2018-04-19,1.0294820541444158
2018-04-20,1.0304716357323718
2018-04-23,1.0289704115281733
2018-04-24,1.0387848552881132
2018-04-25,1.0467049492243037
2018-04-26,1.0491289786036477
2018-04-27,1.0521392707251473
2018-04-30,1.054066775984443
2018-05-01,1.0541847974601193
2018-05-02,1.0547326061089575
2018-05-03,1.0569273526870346
2018-05-04,1.0480646546446881
2018-05-07,1.0553265274243235
2018-05-08,1.063748532895989
2018-05-09,1.0666164935665046
2018-05-10,1.0625290737128692
2018-05-11,1.0555292643592002
2018-05-14,1.0619034738418536
2018-05-15,1.0638527113728806
2018-05-16,1.0699120420473258
2018-05-17,1.0738557613125688
2018-05-18,1.0639057657603472
2018-05-21,1.0696701687293086
2018-05-22,1.0648966154323658
2018-05-23,1.0602928867577288
2018-05-24,1.065524084416287
2018-05-25,1.0635077817317784
2018-05-28,1.0758455638610864
2018-05-29,1.0680327934213818
2018-05-30,1.0684359497307545
2018-05-31,1.0620287079306654
2018-06-01,1.0703764711004196
2018-06-04,1.0723760845443622
2018-06-05,1.0682229092194975
2018-06-06,1.0665394644466157
2018-06-07,1.0611177069965114
2018-06-08,1.054588342520346
2018-06-11,1.0525325948626718
2018-06-12,1.061406099444957
2018-06-13,1.0693987441713462
2018-06-14,1.071140355642391
2018-06-15,1.0768680816714848
2018-06-18,1.0778706154697553
2018-06-19,1.0763684569478706
2018-06-20,1.0710648650963221
2018-06-21,1.0772238840495623
2018-06-22,1.069386469905811
2018-06-25,1.0677076831821146
2018-06-26,1.062152771013787
2018-06-27,1.0696478346531684
2018-06-28,1.0730629812698216
2018-06-29,1.0759337296225415
2018-07-02,1.0794433255016351
2018-07-03,1.0732824378112196
2018-07-04,1.0647859711208965
2018-07-05,1.0562316774213514
2018-07-06,1.0507267798973015
2018-07-09,1.0558139126922923
2018-07-10,1.0577318399562996
2018-07-11,1.0599600001883396
2018-07-12,1.0634383047239226
2018-07-13,1.0690414334227705
2018-07-16,1.0671987317574185
2018-07-17,1.0727327260370478
2018-07-18,1.0737390178106438
2018-07-19,1.0824670500965996
2018-07-20,1.0823714545045404
2018-07-23,1.0880364459415917
2018-07-24,1.079535562952211
2018-07-25,1.0865071659807344
2018-07-26,1.0817008467077307
2018-07-27,1.0845376118853853
2018-07-30,1.0874034223831974
2018-07-31,1.0813449011666112
2018-08-01,1.0818854815843657
2018-08-02,1.0725938652793783
2018-08-03,1.0695048749004668
2018-08-06,1.077873006268129
2018-08-07,1.090261896575776
2018-08-08,1.0868647452387283
2018-08-09,1.087229680333106
2018-08-10,1.0939118783411879
2018-08-13,1.0944450368039633
2018-08-14,1.091514011866132
2018-08-15,1.1083776111431851
2018-08-16,1.101215734803138
2018-08-17,1.1034524573896138
2018-08-20,1.0928174675233866
2018-08-21,1.0882128556043926
2018-08-22,1.0842548403432306
2018-08-23,1.080446265764263
2018-08-24,1.0769803159709337
2018-08-27,1.0680004209879366
2018-08-28,1.0626138008239912
2018-08-29,1.0544956693593268
2018-08-30,1.0512199794539627
2018-08-31,1.053033351561669
2018-09-03,1.051742716881512
2018-09-04,1.0630922161929621
2018-09-05,1.0646308455998799
2018-09-06,1.0676915852521016
2018-09-07,1.0730068073805916
2018-09-10,1.0828703890366944
2018-09-11,1.0948616037471535
2018-09-12,1.0961853040198553
2018-09-13,1.1063535941499465
2018-09-14,1.1062600014833976
2018-09-17,1.1008167878491915
2018-09-18,1.1115282290040915
2018-09-19,1.1118720937224413
2018-09-20,1.109751320571831
2018-09-21,1.105156154190009
2018-09-24,1.104460234679697
2018-09-25,1.0958932292858663
2018-09-26,1.1041468789769193
2018-09-27,1.1124390226870269
2018-09-28,1.1192599724007377
2018-10-01,1.1196448453781362
2018-10-02,1.1106699877467958
2018-10-03,1.1006446306553996
2018-10-04,1.0988963830952814
2018-10-05,1.0949407244793752
2018-10-08,1.0944064430150087
2018-10-09,1.0953184662278788
2018-10-10,1.1134237071776043
2018-10-11,1.1163192659378287
2018-10-12,1.1138263225051102
2018-10-15,1.110216052338697
2018-10-16,1.103420264044792
2018-10-17,1.1045988889013496
2018-10-18,1.109078927173274
2018-10-19,1.1126834349647368
2018-10-22,1.105764135945878
