,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,0.9999375
2018-01-30,1.0017273310328667
2018-01-31,1.007286539603002
2018-02-01,1.0066162108564365
2018-02-02,1.0117574052642477
2018-02-05,1.0117305751492733
2018-02-06,1.0099240392949398
2018-02-07,1.0132122403457218
2018-02-08,1.0149518945376146
2018-02-09,1.0149518945376146
2018-02-12,1.0149518945376146
2018-02-13,1.0149518945376146
2018-02-14,1.0149518945376146
2018-02-15,1.0149518945376146
2018-02-16,1.014888460044206
2018-02-19,1.0154119119667917
2018-02-20,1.0183137824823965
2018-02-21,1.0211347340238504
2018-02-22,1.0238154909929138
2018-02-23,1.0236096620394364
2018-02-26,1.0171309680463922
2018-02-27,1.014531729854051
2018-02-28,1.017258830677622
2018-03-01,1.0137814335085404
2018-03-02,1.0117798615278597
2018-03-05,1.0079799504129143
2018-03-06,1.0070378674380105
2018-03-07,1.0032876350941866
2018-03-08,1.0061500931878748
2018-03-09,0.9991536734951938
2018-03-12,0.9888635327814138
2018-03-13,0.9866413147959782
2018-03-14,0.9837418153638904
2018-03-15,0.974532180901098
2018-03-16,0.9647608515322854
2018-03-19,0.9620076531326235
2018-03-20,0.9592343149642165
2018-03-21,0.9570969272845902
2018-03-22,0.9512080209816258
2018-03-23,0.9503039318618638
2018-03-26,0.9572585612675093
2018-03-27,0.9625079192013473
2018-03-28,0.9669463571804305
2018-03-29,0.971563147402608
2018-03-30,0.9752406409296991
2018-04-02,0.9754682125356939
2018-04-03,0.9742742959301206
2018-04-04,0.9746732485635129
2018-04-05,0.9746085238689525
2018-04-06,0.9755308224030972
2018-04-09,0.9799665940124267
2018-04-10,0.9828568907273647
2018-04-11,0.986423059850652
2018-04-12,0.9888903911115872
2018-04-13,0.9880619888127641
2018-04-16,0.9906864889564234
2018-04-17,0.9949232709009542
2018-04-18,0.9929896999589262
2018-04-19,0.9929896999589262
2018-04-20,0.9929896999589262
2018-04-23,0.9929896999589262
2018-04-24,0.9929896999589262
2018-04-25,0.9929896999589262
2018-04-26,0.9929276381026788
2018-04-27,0.9923493394820992
2018-04-30,0.9925221320290198
2018-05-01,0.9892219915726579
2018-05-02,0.9934265977581851
2018-05-03,0.9947570690556198
2018-05-04,0.9995387864568931
2018-05-07,0.9953004074140237
2018-05-08,0.9968156698836813
2018-05-09,0.9974174347496341
2018-05-10,0.9952035444062104
2018-05-11,0.9984503892977771
2018-05-14,0.9959243755157073
2018-05-15,0.9975838431815524
2018-05-16,0.998872532657428
2018-05-17,0.9988545408953423
2018-05-18,0.9979226366848961
2018-05-21,0.9973608270343116
2018-05-22,0.9893707838850827
2018-05-23,0.985168397298077
2018-05-24,0.9839400751052767
2018-05-25,0.9853202871434715
2018-05-28,0.9856127915784132
2018-05-29,0.9853188779885712
2018-05-30,0.9822498940701815
2018-05-31,0.9827869322409183
2018-06-01,0.9800622560886106
2018-06-04,0.9815254636574985
2018-06-05,0.9811320535722619
2018-06-06,0.9841855517178357
2018-06-07,0.9819967635328528
2018-06-08,0.9808129156936531
2018-06-11,0.9847931788524551
2018-06-12,0.9878642856049483
2018-06-13,0.9868377379570347
2018-06-14,0.9932954719205067
2018-06-15,0.9914414578216472
2018-06-18,0.9866511360657065
2018-06-19,0.9826852021042896
2018-06-20,0.9793169047319802
2018-06-21,0.9777684382398816
2018-06-22,0.9778475535463433
2018-06-25,0.9699647112244933
2018-06-26,0.971014814258487
2018-06-27,0.9652791219102725
2018-06-28,0.9649213937529297
2018-06-29,0.9590905027263364
2018-07-02,0.9554506274729155
2018-07-03,0.957852942247893
2018-07-04,0.9671247893349052
2018-07-05,0.9661302708979804
2018-07-06,0.9644514090577161
2018-07-09,0.9695475566578016
2018-07-10,0.9705012024017697
2018-07-11,0.9641427033877152
2018-07-12,0.957530503071551
2018-07-13,0.9615585592122166
2018-07-16,0.9627931948580954
2018-07-17,0.9632598543213683
2018-07-18,0.9596720716914993
2018-07-19,0.9611744060011856
2018-07-20,0.960882516476326
2018-07-23,0.9628680786148608
2018-07-24,0.9693908566603684
2018-07-25,0.9710440997456579
2018-07-26,0.9701437979139067
2018-07-27,0.9717293975693531
2018-07-30,0.9701793320857429
2018-07-31,0.9708193262368754
2018-08-01,0.9707701074068775
2018-08-02,0.9714962835077614
2018-08-03,0.9691439357982095
2018-08-06,0.9666105421511387
2018-08-07,0.9607354760238711
2018-08-08,0.9617048313225143
2018-08-09,0.9596314427133558
2018-08-10,0.9575101676656902
2018-08-13,0.9610974825647753
2018-08-14,0.9679312698590189
2018-08-15,0.9643933595271774
2018-08-16,0.9666086785539383
2018-08-17,0.9635244469365981
2018-08-20,0.968323233152408
2018-08-21,0.9724684929837141
2018-08-22,0.9753379727260363
2018-08-23,0.9713624549560307
2018-08-24,0.971522772471078
2018-08-27,0.9669784252685001
2018-08-28,0.9659785514739613
2018-08-29,0.9641054752582515
2018-08-30,0.9653591795650903
2018-08-31,0.9625301743784601
2018-09-03,0.964531520055001
2018-09-04,0.967456263981041
2018-09-05,0.9632487393013269
2018-09-06,0.9657530294771706
2018-09-07,0.9668769053002586
2018-09-10,0.9642820950975838
2018-09-11,0.9615697836182672
2018-09-12,0.9611762117355275
2018-09-13,0.9553362653242892
2018-09-14,0.9565168710995724
2018-09-17,0.957397145249757
2018-09-18,0.9584146847292511
2018-09-19,0.9577552226031996
2018-09-20,0.9591925245538245
2018-09-21,0.9676322260741923
2018-09-24,0.9679227238340531
2018-09-25,0.9677713722799455
2018-09-26,0.9681264592625726
2018-09-27,0.9681264592625726
2018-09-28,0.9681264592625726
2018-10-01,0.9680659513588686
2018-10-02,0.9705513346611648
2018-10-03,0.9683522635984094
2018-10-04,0.9697744659949086
2018-10-05,0.9701146533505932
2018-10-08,0.9740145431574454
2018-10-09,0.9757439950428388
2018-10-10,0.9776926722176255
2018-10-11,0.981440784296087
