,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,1.0
2018-03-27,1.0
2018-03-28,1.0
2018-03-29,1.0
2018-03-30,1.0
2018-04-02,1.0
2018-04-03,1.0
2018-04-04,1.0
2018-04-05,1.0
2018-04-06,1.0
2018-04-09,1.0
2018-04-10,1.0
2018-04-11,1.0
2018-04-12,1.0
2018-04-13,1.0
2018-04-16,1.0
2018-04-17,1.0
2018-04-18,1.0
2018-04-19,1.0
2018-04-20,1.0
2018-04-23,1.0
2018-04-24,1.0
2018-04-25,1.0
2018-04-26,1.0
2018-04-27,1.0
2018-04-30,1.0
2018-05-01,1.0
2018-05-02,1.0
2018-05-03,1.0
2018-05-04,1.0
2018-05-07,1.0
2018-05-08,1.0
2018-05-09,1.0
2018-05-10,1.0
2018-05-11,1.0
2018-05-14,1.0
2018-05-15,1.0
2018-05-16,1.0
2018-05-17,1.0
2018-05-18,1.0
2018-05-21,0.9997083333333333
2018-05-22,0.99847982158826
2018-05-23,0.9969531556165433
2018-05-24,0.9983842259446241
2018-05-25,0.9926588197749443
2018-05-28,0.9952676036552754
2018-05-29,1.0004886415698515
2018-05-30,1.001886495330487
2018-05-31,1.004370835959453
2018-06-01,1.0036775735848844
2018-06-04,1.0052334528024338
2018-06-05,1.0081098910349071
2018-06-06,1.0057767995279865
2018-06-07,1.0041948515259267
2018-06-08,1.013400165443296
2018-06-11,1.0110579604597814
2018-06-12,1.00820712409315
2018-06-13,1.010488381808667
2018-06-14,1.0040714032767866
2018-06-15,1.0026868824256465
2018-06-18,1.0089302398953646
2018-06-19,1.0102933522076134
2018-06-20,1.0161792077117717
2018-06-21,1.0185379604641047
2018-06-22,1.0183555572019787
2018-06-25,1.0235071269817335
2018-06-26,1.0228606453245244
2018-06-27,1.026111287507487
2018-06-28,1.024538084074126
2018-06-29,1.0214083671773875
2018-07-02,1.029556206542249
2018-07-03,1.033256613520564
2018-07-04,1.0268180504800308
2018-07-05,1.0305935011487175
2018-07-06,1.0290995607744275
2018-07-09,1.0229065330113216
2018-07-10,1.028023614854411
2018-07-11,1.0331818621027
2018-07-12,1.0421505048019366
2018-07-13,1.0368960579868007
2018-07-16,1.0330322955322013
2018-07-17,1.0365583391153448
2018-07-18,1.0384054151842537
2018-07-19,1.0334494412944315
2018-07-20,1.0330568651592464
2018-07-23,1.0310078817127624
2018-07-24,1.037341444179977
2018-07-25,1.0358494283444784
2018-07-26,1.037991132354728
2018-07-27,1.032607229083088
2018-07-30,1.032577633199388
2018-07-31,1.0273712185196628
2018-08-01,1.0211389734772292
2018-08-02,1.0229930442218904
2018-08-03,1.0233438459846453
2018-08-06,1.0273663550616867
2018-08-07,1.0217100390664242
2018-08-08,1.0247016864610405
2018-08-09,1.021953911084114
2018-08-10,1.0191042646889317
2018-08-13,1.0235369901994118
2018-08-14,1.0232311632121796
2018-08-15,1.0237185774618403
2018-08-16,1.0230622700715344
2018-08-17,1.0238543629046308
2018-08-20,1.0294149780238275
2018-08-21,1.02927417046102
2018-08-22,1.0257829676900778
2018-08-23,1.0255604417474604
2018-08-24,1.0231437328599502
2018-08-27,1.0259168694922463
2018-08-28,1.0314073997905442
2018-08-29,1.0358084609586955
2018-08-30,1.034482168196046
2018-08-31,1.0299126967034251
2018-09-03,1.0303517375190425
2018-09-04,1.0239835916554418
2018-09-05,1.026954104740704
2018-09-06,1.0208204727596935
2018-09-07,1.0206768100902281
2018-09-10,1.0296837146596844
2018-09-11,1.031080808915683
2018-09-12,1.033405636096413
2018-09-13,1.0310526171002932
2018-09-14,1.0294007864126027
2018-09-17,1.0279439906946175
2018-09-18,1.0322305851283557
2018-09-19,1.034590240969597
2018-09-20,1.0327562835045616
2018-09-21,1.023633676274656
2018-09-24,1.0233393742511532
2018-09-25,1.0246326169257234
2018-09-26,1.0219530555545884
2018-09-27,1.028501069805549
2018-09-28,1.031761142794883
2018-10-01,1.0389721714942093
2018-10-02,1.03501138709597
2018-10-03,1.03538458637288
2018-10-04,1.0301868869875952
2018-10-05,1.0316765866362974
2018-10-08,1.028556128738612
2018-10-09,1.0288942385893034
2018-10-10,1.0292871488944992
2018-10-11,1.0240179589367027
2018-10-12,1.0256239985521376
2018-10-15,1.0241519696472787
2018-10-16,1.022650305566582
2018-10-17,1.0254308785518738
2018-10-18,1.025183821839247
2018-10-19,1.0277349565231872
2018-10-22,1.0281283242801644
2018-10-23,1.0301059377117208
2018-10-24,1.0352626069656423
2018-10-25,1.0325230064749675
2018-10-26,1.0336641995413547
2018-10-29,1.0367487379461342
2018-10-30,1.0350812445081268
2018-10-31,1.0338751486352848
2018-11-01,1.0351210586450776
2018-11-02,1.0307144001273356
2018-11-05,1.0273275380873725
2018-11-06,1.0226939078760517
2018-11-07,1.0243026920767808
2018-11-08,1.0275522945244184
2018-11-09,1.0282365996094531
2018-11-12,1.025253955367843
2018-11-13,1.020103383884222
2018-11-14,1.0180756656392702
2018-11-15,1.0092729369476348
