,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,0.99975
2018-02-08,0.9972253077436203
2018-02-09,0.9961492172916534
2018-02-12,0.9939852312328623
2018-02-13,0.9916086591593732
2018-02-14,0.9881970031580195
2018-02-15,0.9865556427431119
2018-02-16,0.9970313902609677
2018-02-19,0.9994482671658116
2018-02-20,1.0091117756690913
2018-02-21,1.0116220163664387
2018-02-22,1.0137857085218211
2018-02-23,1.0123504453972885
2018-02-26,1.0133610442714878
2018-02-27,1.02152642342501
2018-02-28,1.0221605033486367
2018-03-01,1.0201631984426793
2018-03-02,1.0308959903792967
2018-03-05,1.0337791104066194
2018-03-06,1.0385233754027479
2018-03-07,1.0495939399355154
2018-03-08,1.0512736620269045
2018-03-09,1.05531010280749
2018-03-12,1.0714597911679575
2018-03-13,1.0749619944413695
2018-03-14,1.0788423736340103
2018-03-15,1.0861339812151907
2018-03-16,1.0941499003644068
2018-03-19,1.0940845393358654
2018-03-20,1.0980330384227448
2018-03-21,1.1000113144350727
2018-03-22,1.1018526468103962
2018-03-23,1.100687533501241
2018-03-26,1.097697280522929
2018-03-27,1.094029533444043
2018-03-28,1.090098988091112
2018-03-29,1.0857177803283757
2018-03-30,1.0818731752147546
2018-04-02,1.0810614900219675
2018-04-03,1.0821812953936267
2018-04-04,1.084807404718059
2018-04-05,1.0892056853187781
2018-04-06,1.090063761750929
2018-04-09,1.0961234179998098
2018-04-10,1.0959487906473357
2018-04-11,1.0952019729142515
2018-04-12,1.0960748584979563
2018-04-13,1.0952426356433922
2018-04-16,1.0933562034223343
2018-04-17,1.0925499595678516
2018-04-18,1.0900033866287058
2018-04-19,1.0895314382622816
2018-04-20,1.0965047319785637
2018-04-23,1.0939750326611952
2018-04-24,1.0976964348147689
2018-04-25,1.095001359081897
2018-04-26,1.0970104486755032
2018-04-27,1.102431841168981
2018-04-30,1.1026296636613528
2018-05-01,1.102459621798123
2018-05-02,1.0956792638215225
2018-05-03,1.0952612295644373
2018-05-04,1.098621517081116
2018-05-07,1.1022902566737312
2018-05-08,1.0979985503675167
2018-05-09,1.0951416344249256
2018-05-10,1.0964565185168058
2018-05-11,1.0965479323453424
2018-05-14,1.0921601742224025
2018-05-15,1.0969492563841459
2018-05-16,1.0918982664466648
2018-05-17,1.0922953178848835
2018-05-18,1.0924902169066422
2018-05-21,1.091742927221264
2018-05-22,1.0965678444952236
2018-05-23,1.0996627972400441
2018-05-24,1.1011538478699048
2018-05-25,1.0948595035677289
2018-05-28,1.0951676605351859
2018-05-29,1.099050092503824
2018-05-30,1.1016811603984906
2018-05-31,1.104067040852083
2018-06-01,1.1044555185129066
2018-06-04,1.1088132122725327
2018-06-05,1.1119616052083712
2018-06-06,1.1058244405751139
2018-06-07,1.1054501442152735
2018-06-08,1.110696690748815
2018-06-11,1.111346365168034
2018-06-12,1.115878949439148
2018-06-13,1.1195940018790584
2018-06-14,1.1145942302123282
2018-06-15,1.1143368251315782
2018-06-18,1.1245221728789303
2018-06-19,1.1292183036283547
2018-06-20,1.1361205214509698
2018-06-21,1.1372134023685228
2018-06-22,1.1398353137338757
2018-06-25,1.149195822774006
2018-06-26,1.1502037698245478
2018-06-27,1.1536856584696746
2018-06-28,1.1531104819942493
2018-06-29,1.1553528024300528
2018-07-02,1.1594841040787045
2018-07-03,1.1613768773818884
2018-07-04,1.1519611247438826
2018-07-05,1.1554324482740295
2018-07-06,1.155986792003757
2018-07-09,1.1454168085813061
2018-07-10,1.1498756498660114
2018-07-11,1.145673115945006
2018-07-12,1.1504106961564746
2018-07-13,1.1451857625978294
2018-07-16,1.1343873691636732
2018-07-17,1.1341502512008899
2018-07-18,1.136317562615261
2018-07-19,1.133464347429671
2018-07-20,1.134316724780756
2018-07-23,1.1323517153414016
2018-07-24,1.1321254926507234
2018-07-25,1.131983976964142
2018-07-26,1.1307524921109948
2018-07-27,1.1290926923590217
2018-07-30,1.1269436249800346
2018-07-31,1.1264852305663076
2018-08-01,1.1226534508620212
2018-08-02,1.122221309929872
2018-08-03,1.1174862076110728
2018-08-06,1.1179976792621351
2018-08-07,1.1125468236028864
2018-08-08,1.1164283538848274
2018-08-09,1.1159657409661135
2018-08-10,1.114027309668662
2018-08-13,1.1164215624933091
2018-08-14,1.118878646551447
2018-08-15,1.1159125977398987
2018-08-16,1.1104809163596998
2018-08-17,1.1137593360408242
2018-08-20,1.1153744258573284
2018-08-21,1.1133890245775255
2018-08-22,1.111126079981578
2018-08-23,1.105341794134067
2018-08-24,1.105246172780288
2018-08-27,1.1094652163281138
2018-08-28,1.1087600192494822
2018-08-29,1.1097360758325208
2018-08-30,1.1068745079399613
2018-08-31,1.1037178033626545
2018-09-03,1.105928716567491
2018-09-04,1.0988180494588091
2018-09-05,1.1012170577028728
2018-09-06,1.0992660356456074
2018-09-07,1.0989083683269836
2018-09-10,1.094872624872773
2018-09-11,1.0963415083489663
2018-09-12,1.0959973337107507
2018-09-13,1.0950034582530677
2018-09-14,1.0929827189811308
2018-09-17,1.090942429064289
2018-09-18,1.0956984386169897
2018-09-19,1.0976473715872728
2018-09-20,1.0962269226446768
2018-09-21,1.0923128098289376
2018-09-24,1.0931645332910107
2018-09-25,1.0917234319527434
2018-09-26,1.0923432667285549
2018-09-27,1.0909932741915183
2018-09-28,1.090157524510335
2018-10-01,1.0942087193029792
2018-10-02,1.089088826264122
2018-10-03,1.0944219726594007
2018-10-04,1.0883459168785188
2018-10-05,1.0869753017577308
2018-10-08,1.0832897716051046
2018-10-09,1.0876140727076224
2018-10-10,1.0810311867865625
2018-10-11,1.0725955479771299
2018-10-12,1.0696012317456483
2018-10-15,1.0707471107616124
2018-10-16,1.0714692269717165
