,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,1.0
2018-03-27,1.0
2018-03-28,1.0
2018-03-29,1.0
2018-03-30,1.0
2018-04-02,1.0
2018-04-03,1.0
2018-04-04,1.0
2018-04-05,1.0
2018-04-06,1.0
2018-04-09,1.0
2018-04-10,1.0
2018-04-11,1.0
2018-04-12,1.0
2018-04-13,1.0
2018-04-16,1.0
2018-04-17,1.0
2018-04-18,1.0
2018-04-19,1.0
2018-04-20,1.0
2018-04-23,1.0
2018-04-24,1.0
2018-04-25,1.0
2018-04-26,1.0
2018-04-27,1.0
2018-04-30,1.0
2018-05-01,1.0
2018-05-02,1.0
2018-05-03,1.0
2018-05-04,1.0
2018-05-07,1.0
2018-05-08,1.0
2018-05-09,1.0
2018-05-10,1.0
2018-05-11,1.0
2018-05-14,1.0
2018-05-15,1.0
2018-05-16,1.0
2018-05-17,1.0
2018-05-18,1.0
2018-05-21,1.0
2018-05-22,1.0
2018-05-23,1.0
2018-05-24,1.0
2018-05-25,1.0
2018-05-28,1.0
2018-05-29,1.0
2018-05-30,0.9995
2018-05-31,1.001253073718014
2018-06-01,1.0022012669963052
2018-06-04,1.0079189052428292
2018-06-05,1.0073519564890445
2018-06-06,1.0139269933609434
2018-06-07,1.0084058372742732
2018-06-08,1.0212735778740272
2018-06-11,1.0141155951914491
2018-06-12,1.03080863165356
2018-06-13,1.0342454775466345
2018-06-14,1.0390423214087958
2018-06-15,1.0479822299367587
2018-06-18,1.0601910876521226
2018-06-19,1.0688942843065512
2018-06-20,1.0727443458449475
2018-06-21,1.0745858897800071
2018-06-22,1.0788813226684528
2018-06-25,1.0868814911166538
2018-06-26,1.0879399293171923
2018-06-27,1.0899947013227536
2018-06-28,1.1072422186545858
2018-06-29,1.0971375453674042
2018-07-02,1.0933592208912235
2018-07-03,1.0751988537962929
2018-07-04,1.0635934483200413
2018-07-05,1.0724781717118967
2018-07-06,1.0836616357339002
2018-07-09,1.0716925997255287
2018-07-10,1.0879494764248123
2018-07-11,1.0883307145154721
2018-07-12,1.0960795401098058
2018-07-13,1.0915863181268761
2018-07-16,1.079168878204739
2018-07-17,1.0892824736287288
2018-07-18,1.090120319559773
2018-07-19,1.0820779759351868
2018-07-20,1.0793985521650034
2018-07-23,1.0888385127669173
2018-07-24,1.0963127448410757
2018-07-25,1.0890502612300863
2018-07-26,1.0740371531436994
2018-07-27,1.0613567327709001
2018-07-30,1.0570178265090084
2018-07-31,1.0618141470294933
2018-08-01,1.0514946534157452
2018-08-02,1.041140608118086
2018-08-03,1.0235285178699864
2018-08-06,1.0243724802876977
2018-08-07,1.022166355681783
2018-08-08,1.0272918517394252
2018-08-09,1.0181152052661224
2018-08-10,1.0187924945914817
2018-08-13,1.0286445764329957
2018-08-14,1.0471047233083273
2018-08-15,1.0510989748333648
2018-08-16,1.0514396203539074
2018-08-17,1.0550757839787577
2018-08-20,1.0521959840977517
2018-08-21,1.0470013506853202
2018-08-22,1.0396007647611907
2018-08-23,1.0336408083957946
2018-08-24,1.0533888896413839
2018-08-27,1.0688377285801447
2018-08-28,1.0538036068601844
2018-08-29,1.0479235923032313
2018-08-30,1.0427501405728514
2018-08-31,1.0380071780478755
2018-09-03,1.045238096496979
2018-09-04,1.0580745449153885
2018-09-05,1.062242150921714
2018-09-06,1.0561237385213889
2018-09-07,1.063029426138855
2018-09-10,1.076500261270911
2018-09-11,1.0817935340251899
2018-09-12,1.0719950483911922
2018-09-13,1.064416583550421
2018-09-14,1.0691073223445657
2018-09-17,1.0595209887818486
2018-09-18,1.0731016864284344
2018-09-19,1.074626640430937
2018-09-20,1.0751263783237697
2018-09-21,1.0684016870898665
2018-09-24,1.0596166313899211
2018-09-25,1.0655460374930794
2018-09-26,1.046841002793985
2018-09-27,1.0516922864188816
2018-09-28,1.0492729902466749
2018-10-01,1.0608709774670502
2018-10-02,1.0505518967327276
2018-10-03,1.0559837862929418
2018-10-04,1.0619091700114576
2018-10-05,1.0506793306987712
2018-10-08,1.0537166517163403
2018-10-09,1.0616231810651908
2018-10-10,1.0700833169379127
2018-10-11,1.0737066737027505
2018-10-12,1.065434975953755
2018-10-15,1.0630216768387828
2018-10-16,1.0486309532010616
2018-10-17,1.060659873657456
2018-10-18,1.075664406257373
2018-10-19,1.0793388711629803
2018-10-22,1.0790548022227753
2018-10-23,1.0783997026038696
2018-10-24,1.0945696041107555
2018-10-25,1.0856476381915419
2018-10-26,1.0868933030730774
2018-10-29,1.0743691451897739
2018-10-30,1.0812213096727228
2018-10-31,1.0797593004082018
2018-11-01,1.082418549487802
2018-11-02,1.077055400014059
2018-11-05,1.0847002616897956
2018-11-06,1.0889546393564362
2018-11-07,1.0839360443057284
2018-11-08,1.0700382141789029
2018-11-09,1.0796469670806619
2018-11-12,1.0826810208597162
2018-11-13,1.0841242708378958
2018-11-14,1.0827251893690624
2018-11-15,1.065768259385908
2018-11-16,1.0588083104226456
2018-11-19,1.060581776987331
