,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,1.0
2018-03-27,1.0
2018-03-28,1.0
2018-03-29,1.0
2018-03-30,1.0
2018-04-02,1.0
2018-04-03,1.0
2018-04-04,1.0
2018-04-05,1.0
2018-04-06,1.0
2018-04-09,1.0
2018-04-10,1.0
2018-04-11,1.0
2018-04-12,1.0
2018-04-13,1.0
2018-04-16,1.0
2018-04-17,1.0
2018-04-18,1.0
2018-04-19,1.0
2018-04-20,1.0
2018-04-23,1.0
2018-04-24,1.0
2018-04-25,1.0
2018-04-26,1.0
2018-04-27,1.0
2018-04-30,1.0
2018-05-01,1.0
2018-05-02,1.0
2018-05-03,1.0
2018-05-04,1.0
2018-05-07,1.0
2018-05-08,1.0
2018-05-09,1.0
2018-05-10,1.0
2018-05-11,1.0
2018-05-14,1.0
2018-05-15,1.0
2018-05-16,1.0
2018-05-17,1.0
2018-05-18,1.0
2018-05-21,1.0
2018-05-22,1.0
2018-05-23,1.0
2018-05-24,1.0
2018-05-25,1.0
2018-05-28,1.0
2018-05-29,1.0
2018-05-30,1.0
2018-05-31,1.0
2018-06-01,1.0
2018-06-04,1.0
2018-06-05,1.0
2018-06-06,1.0
2018-06-07,1.0
2018-06-08,1.0
2018-06-11,1.0
2018-06-12,1.0
2018-06-13,1.0
2018-06-14,1.0
2018-06-15,1.0
2018-06-18,1.0
2018-06-19,1.0
2018-06-20,1.0
2018-06-21,1.0
2018-06-22,1.0
2018-06-25,1.0
2018-06-26,1.0
2018-06-27,0.9995
2018-06-28,1.0019503441077
2018-06-29,0.996746811270126
2018-07-02,0.9898629146516884
2018-07-03,0.9898629146516884
2018-07-04,0.9898629146516884
2018-07-05,0.9898629146516884
2018-07-06,0.9898629146516884
2018-07-09,0.9898629146516884
2018-07-10,0.9898629146516884
2018-07-11,0.9898629146516884
2018-07-12,0.9898629146516884
2018-07-13,0.9898629146516884
2018-07-16,0.9898629146516884
2018-07-17,0.9898629146516884
2018-07-18,0.9898629146516884
2018-07-19,0.9898629146516884
2018-07-20,0.9898629146516884
2018-07-23,0.9898629146516884
2018-07-24,0.9898629146516884
2018-07-25,0.9898629146516884
2018-07-26,0.9898629146516884
2018-07-27,0.9898629146516884
2018-07-30,0.9898629146516884
2018-07-31,0.9898629146516884
2018-08-01,0.9898629146516884
2018-08-02,0.9898629146516884
2018-08-03,0.9898629146516884
2018-08-06,0.9898629146516884
2018-08-07,0.9898629146516884
2018-08-08,0.9898629146516884
2018-08-09,0.9898629146516884
2018-08-10,0.9898629146516884
2018-08-13,0.9898629146516884
2018-08-14,0.9898629146516884
2018-08-15,0.9898629146516884
2018-08-16,0.9898629146516884
2018-08-17,0.9898629146516884
2018-08-20,0.9898629146516884
2018-08-21,0.9898629146516884
2018-08-22,0.9893679831943626
2018-08-23,0.9862730224930328
2018-08-24,0.9720210467895819
2018-08-27,0.9720210467895819
2018-08-28,0.9720210467895819
2018-08-29,0.9720210467895819
2018-08-30,0.9720210467895819
2018-08-31,0.9720210467895819
2018-09-03,0.9720210467895819
2018-09-04,0.9720210467895819
2018-09-05,0.9720210467895819
2018-09-06,0.9715350362661872
2018-09-07,0.9742478245433281
2018-09-10,0.985227886709845
2018-09-11,0.9944528870512336
2018-09-12,0.9969230102909007
2018-09-13,0.9949224154712865
2018-09-14,1.0066784339643589
2018-09-17,0.9983328599258263
2018-09-18,0.9946142208022818
2018-09-19,0.9933466604369063
2018-09-20,0.9892048518205231
2018-09-21,0.9869405786622666
2018-09-24,0.9766644439792453
2018-09-25,0.9745282243152307
2018-09-26,0.9677439743141822
2018-09-27,0.9852873669790293
2018-09-28,0.9881838489019898
2018-10-01,0.9858927807055703
2018-10-02,0.9754876895563699
2018-10-03,0.9802068305782602
2018-10-04,0.9861995421690929
2018-10-05,0.9777601356862697
2018-10-08,0.9787220752171949
2018-10-09,0.9724194367373571
2018-10-10,0.9724194367373571
2018-10-11,0.9724194367373571
2018-10-12,0.9724194367373571
2018-10-15,0.9724194367373571
2018-10-16,0.9724194367373571
2018-10-17,0.9724194367373571
2018-10-18,0.9724194367373571
2018-10-19,0.9724194367373571
2018-10-22,0.9724194367373571
2018-10-23,0.9724194367373571
2018-10-24,0.9724194367373571
2018-10-25,0.9724194367373571
2018-10-26,0.9724194367373571
2018-10-29,0.9724194367373571
2018-10-30,0.9724194367373571
2018-10-31,0.9724194367373571
2018-11-01,0.9724194367373571
2018-11-02,0.9724194367373571
2018-11-05,0.9724194367373571
2018-11-06,0.9724194367373571
2018-11-07,0.9724194367373571
2018-11-08,0.9724194367373571
2018-11-09,0.9724194367373571
2018-11-12,0.9724194367373571
2018-11-13,0.9724194367373571
2018-11-14,0.9724194367373571
2018-11-15,0.9724194367373571
2018-11-16,0.9724194367373571
2018-11-19,0.9724194367373571
2018-11-20,0.9724194367373571
2018-11-21,0.9724194367373571
2018-11-22,0.9724194367373571
2018-11-23,0.9724194367373571
2018-11-26,0.9724194367373571
