,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,0.999875
2018-01-23,0.9994555404168828
2018-01-24,0.9970007886249574
2018-01-25,0.9960116902783517
2018-01-26,0.9968670275720337
2018-01-29,0.9980193914630572
2018-01-30,0.9994354007577899
2018-01-31,1.0019350973054062
2018-02-01,1.0020874019479888
2018-02-02,1.0024377799475608
2018-02-05,1.006747184246269
2018-02-06,1.0084138326492282
2018-02-07,1.0077181217733087
2018-02-08,1.0055058579652025
2018-02-09,1.009234298872608
2018-02-12,1.0107661522330047
2018-02-13,1.0108707208143437
2018-02-14,1.0097442549926208
2018-02-15,1.0086579018687698
2018-02-16,1.0106829623184195
2018-02-19,1.0112248884060862
2018-02-20,1.0142556030160512
2018-02-21,1.0176802457744165
2018-02-22,1.0179163497822346
2018-02-23,1.0179860861419094
2018-02-26,1.0163233018935174
2018-02-27,1.0163100704159875
2018-02-28,1.0185713414035715
2018-03-01,1.017727976278618
2018-03-02,1.020478709448262
2018-03-05,1.0199025844819825
2018-03-06,1.0214406718645255
2018-03-07,1.0207580438324513
2018-03-08,1.024524618648885
2018-03-09,1.0249730886453339
2018-03-12,1.025675869826638
2018-03-13,1.0259328099977538
2018-03-14,1.0256332672098072
2018-03-15,1.0247226973516206
2018-03-16,1.022796922454776
2018-03-19,1.021069359100955
2018-03-20,1.020308077340203
2018-03-21,1.0192835072076856
2018-03-22,1.0182736492765307
2018-03-23,1.0178826795904572
2018-03-26,1.0189774690079523
2018-03-27,1.019512128022435
2018-03-28,1.0179841674013894
2018-03-29,1.0127031725348712
2018-03-30,1.0104978977088366
2018-04-02,1.0087919657662836
2018-04-03,1.0090806525305904
2018-04-04,1.0097224835892025
2018-04-05,1.0142913045678357
2018-04-06,1.0140084817917663
2018-04-09,1.0205483280245486
2018-04-10,1.0178398856427628
2018-04-11,1.0144117942767068
2018-04-12,1.016673712747987
2018-04-13,1.014586685738491
2018-04-16,1.0166294667855278
2018-04-17,1.0207702844724096
2018-04-18,1.0203896710281704
2018-04-19,1.0175231792688824
2018-04-20,1.0212285142443187
2018-04-23,1.0196442090916478
2018-04-24,1.0217082561286726
2018-04-25,1.0196344184713175
2018-04-26,1.0204198674355613
2018-04-27,1.023087943567296
2018-04-30,1.0229577251885
2018-05-01,1.020758625872083
2018-05-02,1.018202984813789
2018-05-03,1.0184272359441793
2018-05-04,1.0259021845444884
2018-05-07,1.0256373429913999
2018-05-08,1.0219093405101112
2018-05-09,1.0155497886676519
2018-05-10,1.0150956311291799
2018-05-11,1.01759866002849
2018-05-14,1.0102240615070917
2018-05-15,1.0135499904013463
2018-05-16,1.014003395811009
2018-05-17,1.0144943623069347
2018-05-18,1.0143750110233298
2018-05-21,1.012585283276987
2018-05-22,1.006157875293401
2018-05-23,1.0020300645331872
2018-05-24,1.0000689341464934
2018-05-25,0.9953900808059672
2018-05-28,0.9968081867267164
2018-05-29,1.0014596291419777
2018-05-30,0.9998281598049062
2018-05-31,1.0036500720901393
2018-06-01,1.0030037524159285
2018-06-04,1.007710241236775
2018-06-05,1.009044398048013
2018-06-06,1.0098965903144854
2018-06-07,1.008916248493814
2018-06-08,1.0156004944957229
2018-06-11,1.0177289172274502
2018-06-12,1.0176547498514295
2018-06-13,1.0217001834197277
2018-06-14,1.0190707926632552
2018-06-15,1.018225029930684
2018-06-18,1.021094231990951
2018-06-19,1.0189727850051609
2018-06-20,1.0224446360672976
2018-06-21,1.0238884856034103
2018-06-22,1.0243658235465256
2018-06-25,1.0244941645576429
2018-06-26,1.0240428045195373
2018-06-27,1.0235655221255746
2018-06-28,1.0231795820715885
2018-06-29,1.0183190170849525
2018-07-02,1.0215962736131383
2018-07-03,1.0238723221424348
2018-07-04,1.0223661232320038
2018-07-05,1.0252426812359343
2018-07-06,1.024785204293458
2018-07-09,1.017838873305923
2018-07-10,1.0198437357118053
2018-07-11,1.0198463372775033
2018-07-12,1.0233678372413755
2018-07-13,1.0210604877921823
2018-07-16,1.0178880795247063
2018-07-17,1.0210592404604877
2018-07-18,1.0226519987302027
2018-07-19,1.0199038708576196
2018-07-20,1.0194602968766309
2018-07-23,1.0193037925070512
2018-07-24,1.022065242971971
2018-07-25,1.0196762705949427
2018-07-26,1.02055740183187
2018-07-27,1.017690576986813
2018-07-30,1.0172228424564542
2018-07-31,1.014979565931434
2018-08-01,1.011824229173945
2018-08-02,1.0124582207500183
2018-08-03,1.0102643542059453
2018-08-06,1.0121326628184901
2018-08-07,1.007215269402404
2018-08-08,1.0103942999186302
2018-08-09,1.0066614912692535
2018-08-10,1.0027315545810327
2018-08-13,1.0090945666829871
2018-08-14,1.0139702662777317
2018-08-15,1.0120533213147176
2018-08-16,1.0125937564705185
2018-08-17,1.0111557300170582
2018-08-20,1.017008740294122
2018-08-21,1.01917899639659
2018-08-22,1.0193120180450161
2018-08-23,1.0179794528752817
2018-08-24,1.01984246259948
2018-08-27,1.025048951497698
2018-08-28,1.0270632304654306
2018-08-29,1.0289542116185657
2018-08-30,1.026944905920608
2018-08-31,1.0244968168465718
2018-09-03,1.023880529431005
2018-09-04,1.0218580385282596
2018-09-05,1.0237972721129869
2018-09-06,1.0178918938821848
2018-09-07,1.0180933681343758
2018-09-10,1.022554066173561
2018-09-11,1.0222609586034639
2018-09-12,1.0216043949613556
2018-09-13,1.0193697367860763
2018-09-14,1.018312106795149
2018-09-17,1.0175145246816604
2018-09-18,1.02039753975879
2018-09-19,1.0220796276766064
2018-09-20,1.0217548123624027
2018-09-21,1.0182129866510483
2018-09-24,1.019477389881421
2018-09-25,1.0191920974732933
2018-09-26,1.0191873639690192
2018-09-27,1.0231138024961008
2018-09-28,1.0253482907639253
2018-10-01,1.0278395584689948
2018-10-02,1.0235056122721538
2018-10-03,1.025915987527553
2018-10-04,1.0255880029128797
2018-10-05,1.0241333753283142
2018-10-08,1.0224444220909885
2018-10-09,1.024269036500051
2018-10-10,1.0197387449653625
2018-10-11,1.0183063973534325
