,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,0.9995
2018-03-08,1.003281627317835
2018-03-09,0.9875457485062837
2018-03-12,0.9666748298871076
2018-03-13,0.96581047879124
2018-03-14,0.9629809812321947
2018-03-15,0.9685247944617198
2018-03-16,0.9665499016519693
2018-03-19,0.9631077554445805
2018-03-20,0.9607481944361814
2018-03-21,0.9608834824071091
2018-03-22,0.9531035563352215
2018-03-23,0.949039647244938
2018-03-26,0.9579400155484387
2018-03-27,0.9623540916321718
2018-03-28,0.9628080547082773
2018-03-29,0.9635605298747426
2018-03-30,0.9831463808152414
2018-04-02,0.9831463808152414
2018-04-03,0.9831463808152414
2018-04-04,0.9831463808152414
2018-04-05,0.9831463808152414
2018-04-06,0.9831463808152414
2018-04-09,0.9831463808152414
2018-04-10,0.9831463808152414
2018-04-11,0.9831463808152414
2018-04-12,0.9831463808152414
2018-04-13,0.9831463808152414
2018-04-16,0.9831463808152414
2018-04-17,0.9831463808152414
2018-04-18,0.9831463808152414
2018-04-19,0.9831463808152414
2018-04-20,0.9831463808152414
2018-04-23,0.9831463808152414
2018-04-24,0.9831463808152414
2018-04-25,0.9831463808152414
2018-04-26,0.9831463808152414
2018-04-27,0.9831463808152414
2018-04-30,0.9831463808152414
2018-05-01,0.9831463808152414
2018-05-02,0.9831463808152414
2018-05-03,0.9826548076248338
2018-05-04,0.9724771870798704
2018-05-07,0.9631058645658186
2018-05-08,0.9791308056960193
2018-05-09,0.9786043167483996
2018-05-10,0.9606972344983219
2018-05-11,0.9490942514803732
2018-05-14,0.9544567874781941
2018-05-15,0.9650903524415636
2018-05-16,0.9593099875519647
2018-05-17,0.9532714141254726
2018-05-18,0.9466006161155215
2018-05-21,0.9397640121230528
2018-05-22,0.9253348266756164
2018-05-23,0.9235049864195334
2018-05-24,0.9154844399023456
2018-05-25,0.9180899018851453
2018-05-28,0.9257633802707177
2018-05-29,0.9303144841532591
2018-05-30,0.9207691585751396
2018-05-31,0.9278442789207924
2018-06-01,0.925772713136865
2018-06-04,0.9336995523053349
2018-06-05,0.9347846714062096
2018-06-06,0.9368704031451723
2018-06-07,0.9357084732934617
2018-06-08,0.9210938457241533
2018-06-11,0.92548301995344
2018-06-12,0.9535292648930915
2018-06-13,0.9535292648930915
2018-06-14,0.9535292648930915
2018-06-15,0.9535292648930915
2018-06-18,0.9535292648930915
2018-06-19,0.953052500260645
2018-06-20,0.9609259860015998
2018-06-21,0.965814905580158
2018-06-22,0.9647732028034766
2018-06-25,0.9547366920773541
2018-06-26,0.9447377643489111
2018-06-27,0.9373026989178987
2018-06-28,0.9291012517676357
2018-06-29,0.9130690314406902
2018-07-02,0.9175868477373669
2018-07-03,0.9355082317162349
2018-07-04,0.9548798792423505
2018-07-05,0.9572848207440765
2018-07-06,0.9647212228369858
2018-07-09,0.9561456814020328
2018-07-10,0.9457492808802344
2018-07-11,0.9248100475292437
2018-07-12,0.907182653383468
2018-07-13,0.9079692754829995
2018-07-16,0.9186660306090612
2018-07-17,0.919043847429728
2018-07-18,0.9227946249478042
2018-07-19,0.9147376810390546
2018-07-20,0.9100682675631995
2018-07-23,0.9092620313037169
2018-07-24,0.9089682752379341
2018-07-25,0.8892305500682464
2018-07-26,0.880799707247924
2018-07-27,0.8853828813466211
2018-07-30,0.8782988244650999
2018-07-31,0.8855204404105853
2018-08-01,0.8876394069552529
2018-08-02,0.8860771869681394
2018-08-03,0.8790300776565656
2018-08-06,0.8756783757912464
2018-08-07,0.878435975236307
2018-08-08,0.8836372630598635
2018-08-09,0.8860708335117855
2018-08-10,0.8894502295326041
2018-08-13,0.8897894808812479
2018-08-14,0.8947090244218476
2018-08-15,0.8752721462350646
2018-08-16,0.8624601905342703
2018-08-17,0.8707561950253988
2018-08-20,0.8511852668044081
2018-08-21,0.8474418889193956
2018-08-22,0.8419523928634589
2018-08-23,0.8306115871410766
2018-08-24,0.8424874954602317
2018-08-27,0.8422301046913183
2018-08-28,0.8259332430212735
2018-08-29,0.8098690061464628
2018-08-30,0.8085020962683805
2018-08-31,0.8060400079604966
2018-09-03,0.81284014550719
2018-09-04,0.8299698706939466
2018-09-05,0.826865288358937
2018-09-06,0.8213898958067456
2018-09-07,0.8238896086490092
2018-09-10,0.8078959309681845
2018-09-11,0.7958317454171164
2018-09-12,0.7822977986136449
2018-09-13,0.7716194438715636
2018-09-14,0.7702823997045937
2018-09-17,0.7644388872499922
2018-09-18,0.7691607683904433
2018-09-19,0.7653302945027384
2018-09-20,0.7673187262266916
2018-09-21,0.7842535503857955
2018-09-24,0.7946613643507797
2018-09-25,0.7889896080059963
2018-09-26,0.7949765633725158
2018-09-27,0.7869428033412279
2018-09-28,0.7843522784711998
2018-10-01,0.7859398720666455
2018-10-02,0.7846417517930595
2018-10-03,0.7903735877999388
2018-10-04,0.7906376078754007
2018-10-05,0.7933584532275025
2018-10-08,0.7914839462137157
2018-10-09,0.8068244157358504
2018-10-10,0.8068244157358504
2018-10-11,0.8068244157358504
2018-10-12,0.8068244157358504
2018-10-15,0.8068244157358504
2018-10-16,0.8068244157358504
2018-10-17,0.8068244157358504
2018-10-18,0.8068244157358504
2018-10-19,0.8068244157358504
2018-10-22,0.8068244157358504
2018-10-23,0.8068244157358504
