,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,1.0
2018-03-27,1.0
2018-03-28,1.0
2018-03-29,1.0
2018-03-30,1.0
2018-04-02,1.0
2018-04-03,1.0
2018-04-04,1.0
2018-04-05,1.0
2018-04-06,1.0
2018-04-09,1.0
2018-04-10,1.0
2018-04-11,1.0
2018-04-12,1.0
2018-04-13,1.0
2018-04-16,1.0
2018-04-17,1.0
2018-04-18,1.0
2018-04-19,1.0
2018-04-20,1.0
2018-04-23,1.0
2018-04-24,1.0
2018-04-25,1.0
2018-04-26,1.0
2018-04-27,1.0
2018-04-30,1.0
2018-05-01,1.0
2018-05-02,1.0
2018-05-03,1.0
2018-05-04,1.0
2018-05-07,1.0
2018-05-08,1.0
2018-05-09,1.0
2018-05-10,1.0
2018-05-11,1.0
2018-05-14,1.0
2018-05-15,1.0
2018-05-16,1.0
2018-05-17,1.0
2018-05-18,1.0
2018-05-21,1.0
2018-05-22,1.0
2018-05-23,1.0
2018-05-24,1.0
2018-05-25,1.0
2018-05-28,1.0
2018-05-29,0.9995
2018-05-30,1.0138480785538153
2018-05-31,1.0125666853412354
2018-06-01,1.0170127478383746
2018-06-04,1.0116557588813815
2018-06-05,1.0094833922859778
2018-06-06,1.0025133721525532
2018-06-07,0.995139191110528
2018-06-08,1.015357715082566
2018-06-11,1.0151615162393175
2018-06-12,1.023522719522573
2018-06-13,1.0284045003625986
2018-06-14,1.0118897803898683
2018-06-15,1.0128913496224259
2018-06-18,1.0237099804506604
2018-06-19,1.0272252794209538
2018-06-20,1.0412974873915049
2018-06-21,1.0460048710651233
2018-06-22,1.0490888369599378
2018-06-25,1.052965495950809
2018-06-26,1.04155572871809
2018-06-27,1.038080512667653
2018-06-28,1.0293335060283528
2018-06-29,1.0265642698096866
2018-07-02,1.034904172480121
2018-07-03,1.0364011785922864
2018-07-04,1.0153384175976519
2018-07-05,1.0111877288823934
2018-07-06,1.0160378634793168
2018-07-09,1.0116961248974847
2018-07-10,1.02296436157131
2018-07-11,1.0267333112435295
2018-07-12,1.0439495550806388
2018-07-13,1.029921338274307
2018-07-16,1.018345918372713
2018-07-17,1.0181064071213977
2018-07-18,1.0322547828507957
2018-07-19,1.0293592791741764
2018-07-20,1.025050846371441
2018-07-23,1.0215708408287238
2018-07-24,1.039757779046888
2018-07-25,1.0412274327114064
2018-07-26,1.0354606010976706
2018-07-27,1.0148331076304802
2018-07-30,1.0072542453172106
2018-07-31,0.9911332453282541
2018-08-01,0.9867221816736423
2018-08-02,0.979184221065926
2018-08-03,0.9785352441043879
2018-08-06,0.9916268641393534
2018-08-07,0.9884445265449975
2018-08-08,0.9918209774368023
2018-08-09,0.9916797460617766
2018-08-10,0.9998483144250033
2018-08-13,1.0064374457148766
2018-08-14,0.9980044175462732
2018-08-15,1.0001722301141083
2018-08-16,0.9970257163504145
2018-08-17,0.9948722523575688
2018-08-20,1.0055315518371937
2018-08-21,1.0003208267056634
2018-08-22,0.9950476941249362
2018-08-23,0.9978469190978503
2018-08-24,0.9890009012347368
2018-08-27,1.0005917175043135
2018-08-28,1.0090247979524976
2018-08-29,1.0110378980951311
2018-08-30,1.0017743494379052
2018-08-31,1.0108505818709186
2018-09-03,1.0055711267302498
2018-09-04,0.9991681898852631
2018-09-05,1.0157592235470485
2018-09-06,1.0102654416219667
2018-09-07,1.0060626290451324
2018-09-10,1.0156962517169814
2018-09-11,1.025883472914427
2018-09-12,1.0329143546618216
2018-09-13,1.0413143498924158
2018-09-14,1.041966915005231
2018-09-17,1.0442857714295946
2018-09-18,1.0570140338452103
2018-09-19,1.063489796702036
2018-09-20,1.0629534537382437
2018-09-21,1.035649910504641
2018-09-24,1.0293291359211931
2018-09-25,1.0265071038267275
2018-09-26,1.0248462127627256
2018-09-27,1.0430740457025092
2018-09-28,1.0507428412188276
2018-10-01,1.058745732947638
2018-10-02,1.053516083350293
2018-10-03,1.0589590968194789
2018-10-04,1.0524528691260937
2018-10-05,1.0499195693577854
2018-10-08,1.0416677422939562
2018-10-09,1.0352809856889975
2018-10-10,1.0398425690414492
2018-10-11,1.0304937665760732
2018-10-12,1.0319324800504481
2018-10-15,1.037768825210126
2018-10-16,1.0357141868275306
2018-10-17,1.0452264548786543
2018-10-18,1.037171164462184
2018-10-19,1.0479074112767777
2018-10-22,1.0515380350961463
2018-10-23,1.0509026437999167
2018-10-24,1.049008971431168
2018-10-25,1.047459910773659
2018-10-26,1.0500680269463007
2018-10-29,1.0532819049435644
2018-10-30,1.0484954077929531
2018-10-31,1.0378074059656759
2018-11-01,1.0447899526878874
2018-11-02,1.0298660156671737
2018-11-05,1.0152881120162234
2018-11-06,0.9939294087245512
2018-11-07,0.9935175793987239
2018-11-08,0.9999665790071035
2018-11-09,1.0040384259792945
2018-11-12,0.9953916732041936
2018-11-13,0.9782760977599162
2018-11-14,0.9715022676035705
2018-11-15,0.9579645167887357
2018-11-16,0.9500299767785332
2018-11-19,0.9500566402616927
