,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,0.9995
2018-01-30,1.003847671457803
2018-01-31,1.0034926477200306
2018-02-01,1.0050603135889595
2018-02-02,1.0024357835402506
2018-02-05,1.0154807535574992
2018-02-06,1.0273531119206338
2018-02-07,1.0221581051421262
2018-02-08,1.0179016490709432
2018-02-09,1.0243894490329684
2018-02-12,1.0234033675412846
2018-02-13,1.0189135548224104
2018-02-14,1.0139942368824009
2018-02-15,1.0123350507412276
2018-02-16,1.019565353284775
2018-02-19,1.0217170453888549
2018-02-20,1.030644420680045
2018-02-21,1.034931990860473
2018-02-22,1.0387978885005082
2018-02-23,1.0355040818121062
2018-02-26,1.034108335119685
2018-02-27,1.0428998031034973
2018-02-28,1.0455811823324186
2018-03-01,1.037733058020635
2018-03-02,1.04795009120181
2018-03-05,1.0497532370044949
2018-03-06,1.0573343170267673
2018-03-07,1.0700708140105797
2018-03-08,1.077839872782485
2018-03-09,1.0804572154341592
2018-03-12,1.097089426846841
2018-03-13,1.1002566515957841
2018-03-14,1.1042713580313446
2018-03-15,1.1076535554108269
2018-03-16,1.1151145472886907
2018-03-19,1.1148223121071217
2018-03-20,1.1157539296283585
2018-03-21,1.1155461857384827
2018-03-22,1.1168728169889968
2018-03-23,1.119438903084028
2018-03-26,1.1146999276475122
2018-03-27,1.114132744112107
2018-03-28,1.1050087262059392
2018-03-29,1.0896240728085278
2018-03-30,1.085293044643514
2018-04-02,1.0813590957758972
2018-04-03,1.084644088267515
2018-04-04,1.0861522888102768
2018-04-05,1.0981754019530106
2018-04-06,1.0971322695418155
2018-04-09,1.111556861818268
2018-04-10,1.1053678910608518
2018-04-11,1.0977366471369057
2018-04-12,1.1022184301239184
2018-04-13,1.098754667839819
2018-04-16,1.1014693588567046
2018-04-17,1.1115697075450295
2018-04-18,1.1086715127657054
2018-04-19,1.1041783085191805
2018-04-20,1.1172402295020734
2018-04-23,1.1147389925135005
2018-04-24,1.1202313856288364
2018-04-25,1.114378207576406
2018-04-26,1.1183191095387557
2018-04-27,1.125626830538028
2018-04-30,1.125148739722906
2018-05-01,1.124178925886281
2018-05-02,1.1141111538982504
2018-05-03,1.1123765088980742
2018-05-04,1.127142604270042
2018-05-07,1.1257694945337366
2018-05-08,1.1204171258562008
2018-05-09,1.1084315582434103
2018-05-10,1.1081164052946928
2018-05-11,1.1109749474017798
2018-05-14,1.0991354171432803
2018-05-15,1.1039072453372676
2018-05-16,1.1036083677661235
2018-05-17,1.1051015589960222
2018-05-18,1.107816098909753
2018-05-21,1.1041737488783032
2018-05-22,1.0974713698416958
2018-05-23,1.0911727496684278
2018-05-24,1.0896613471240004
2018-05-25,1.0805589553092776
2018-05-28,1.0840485081150222
2018-05-29,1.0937414648586092
2018-05-30,1.0923386327740598
2018-05-31,1.0996963673328546
2018-06-01,1.0974703540145319
2018-06-04,1.1057793101375417
2018-06-05,1.1104853220243696
2018-06-06,1.1086608040699104
2018-06-07,1.1058369251038742
2018-06-08,1.1205164824704508
2018-06-11,1.1228163836146647
2018-06-12,1.1214466797545668
2018-06-13,1.1257096749948454
2018-06-14,1.1181757067857865
2018-06-15,1.114359070985664
2018-06-18,1.12427720838119
2018-06-19,1.128320385006955
2018-06-20,1.1343262287319353
2018-06-21,1.1384718107998448
2018-06-22,1.139170398345288
2018-06-25,1.1478352465212698
2018-06-26,1.149205384686289
2018-06-27,1.1515644380674475
2018-06-28,1.1552603518790445
2018-06-29,1.1471075372409412
2018-07-02,1.159325069675801
2018-07-03,1.166442030592753
2018-07-04,1.1582835888500411
2018-07-05,1.166234324951924
2018-07-06,1.1657376055319524
2018-07-09,1.1523476701707704
2018-07-10,1.1594720844345423
2018-07-11,1.1624767159251952
2018-07-12,1.1714761157053273
2018-07-13,1.1647727874309535
2018-07-16,1.1559955187732605
2018-07-17,1.1636294611176758
2018-07-18,1.1612675059925381
2018-07-19,1.1488138787676911
2018-07-20,1.148542953172031
2018-07-23,1.1481966700005348
2018-07-24,1.1664458274684646
2018-07-25,1.1654987525877645
2018-07-26,1.1680483492011724
2018-07-27,1.162012316842217
2018-07-30,1.158104355572588
2018-07-31,1.1567889842634376
2018-08-01,1.148742683020779
2018-08-02,1.15380918681476
2018-08-03,1.1503247058665769
2018-08-06,1.1552743843340265
2018-08-07,1.1441571310062673
2018-08-08,1.1507160534513616
2018-08-09,1.1415717961572511
2018-08-10,1.1395251062123153
2018-08-13,1.1480845140716909
2018-08-14,1.1548857417193155
2018-08-15,1.1531116598737476
2018-08-16,1.1531791093348551
2018-08-17,1.1547882771285232
2018-08-20,1.1621967134094844
2018-08-21,1.1619128452048322
2018-08-22,1.1580389081033293
2018-08-23,1.154925512383965
2018-08-24,1.1592182116109249
2018-08-27,1.1707669584768332
2018-08-28,1.1749860560482637
2018-08-29,1.17864573375739
2018-08-30,1.17420542254412
2018-08-31,1.1694125506234287
2018-09-03,1.1730885940584417
2018-09-04,1.1694755762876048
2018-09-05,1.1752119400822205
2018-09-06,1.1640532681587727
2018-09-07,1.1645163583543559
2018-09-10,1.1740323386307896
2018-09-11,1.1735190451504594
2018-09-12,1.173870579585901
2018-09-13,1.1644232030388069
2018-09-14,1.1605717302082168
2018-09-17,1.1592339303996193
2018-09-18,1.1678934885212247
2018-09-19,1.1716743290155232
2018-09-20,1.1710623791554122
2018-09-21,1.162914655443642
2018-09-24,1.168134856359183
2018-09-25,1.1715067742516467
2018-09-26,1.16615962595185
2018-09-27,1.1723836455085326
2018-09-28,1.1750828867994498
2018-10-01,1.1884627236750485
2018-10-02,1.1822847884417724
2018-10-03,1.1865739790602297
2018-10-04,1.181367689451088
2018-10-05,1.1822049375769077
2018-10-08,1.180360888082149
2018-10-09,1.1852353371899933
2018-10-10,1.180421115691236
2018-10-11,1.169420534794064
2018-10-12,1.1673891855266822
