,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,1.0
2018-03-27,0.9995
2018-03-28,1.0028898902266334
2018-03-29,1.0044173891065018
2018-03-30,1.0033431549208076
2018-04-02,0.9993337222540204
2018-04-03,0.9935685528108023
2018-04-04,0.9874342790461801
2018-04-05,0.9799178264468777
2018-04-06,0.9820043134994988
2018-04-09,0.9778235767798334
2018-04-10,0.97609951155945
2018-04-11,0.9715209566723333
2018-04-12,0.9661881442644094
2018-04-13,0.9714422940700572
2018-04-16,0.9755380233244569
2018-04-17,0.9814560539000768
2018-04-18,0.9846531164692209
2018-04-19,0.9767502106735607
2018-04-20,0.9738792383543962
2018-04-23,0.9716317311506327
2018-04-24,0.9740187116074729
2018-04-25,0.9786893023966923
2018-04-26,0.9777831130257594
2018-04-27,0.979661548122945
2018-04-30,0.9780534954173087
2018-05-01,0.9700065044454944
2018-05-02,0.9672567679558475
2018-05-03,0.9679578501359944
2018-05-04,0.9542476774208106
2018-05-07,0.955995343933351
2018-05-08,0.9627802128575909
2018-05-09,0.9601979963383134
2018-05-10,0.9528594611267158
2018-05-11,0.9498578226980197
2018-05-14,0.9496999272853568
2018-05-15,0.949619318817093
2018-05-16,0.9506868156657441
2018-05-17,0.952328083809065
2018-05-18,0.9405156234941869
2018-05-21,0.9453000032923864
2018-05-22,0.9426624793474299
2018-05-23,0.9405597465999543
2018-05-24,0.9480695051265989
2018-05-25,0.9415007184691155
2018-05-28,0.9430452261249271
2018-05-29,0.9346507084581549
2018-05-30,0.9381950946799333
2018-05-31,0.9300081243062257
2018-06-01,0.9367402496717943
2018-06-04,0.9356601060280486
2018-06-05,0.9310316049848001
2018-06-06,0.9295341873030055
2018-06-07,0.9284650124140958
2018-06-08,0.9334010477253878
2018-06-11,0.9266104638690281
2018-06-12,0.9248399460499565
2018-06-13,0.9270297459741852
2018-06-14,0.9204938109573628
2018-06-15,0.9248208590580353
2018-06-18,0.9273616695800186
2018-06-19,0.9300580074649513
2018-06-20,0.9344731467644747
2018-06-21,0.9367680925571276
2018-06-22,0.9392784756143507
2018-06-25,0.9379518855227473
2018-06-26,0.9335731800605126
2018-06-27,0.9360556730726451
2018-06-28,0.9349532108988012
2018-06-29,0.9377725999468666
2018-07-02,0.9432031222459736
2018-07-03,0.9423943436278325
2018-07-04,0.9347784643696173
2018-07-05,0.9293743074802294
2018-07-06,0.9319348495648445
2018-07-09,0.9385512962135085
2018-07-10,0.945963626042821
2018-07-11,0.9485578512490388
2018-07-12,0.9573447286931202
2018-07-13,0.9585612964692024
2018-07-16,0.9596904472402448
2018-07-17,0.9606859748130226
2018-07-18,0.9683891911149333
2018-07-19,0.9746022118641221
2018-07-20,0.972659429136109
2018-07-23,0.9764723823941677
2018-07-24,0.9672893229457021
2018-07-25,0.9677342884879124
2018-07-26,0.9670613832020172
2018-07-27,0.9614349468945095
2018-07-30,0.967249388647648
2018-07-31,0.9575879171369885
2018-08-01,0.9559090533047544
2018-08-02,0.9503342133344069
2018-08-03,0.9525838832484751
2018-08-06,0.9564316555710846
2018-08-07,0.9665130816199929
2018-08-08,0.9650546513838315
2018-08-09,0.9638844067369318
2018-08-10,0.9616442452657545
2018-08-13,0.9663635144683829
2018-08-14,0.9628803942774921
2018-08-15,0.9762479818997135
2018-08-16,0.9758883075206749
2018-08-17,0.9741608903589889
2018-08-20,0.9762515183944236
2018-08-21,0.9724051527464423
2018-08-22,0.971579875084488
2018-08-23,0.9764349941268184
2018-08-24,0.9690801790017649
2018-08-27,0.9651291993687754
2018-08-28,0.9758840847258426
2018-08-29,0.9786402013221888
2018-08-30,0.9747605019150785
2018-08-31,0.9781053794293559
2018-09-03,0.9724456442643462
2018-09-04,0.9756263425154158
2018-09-05,0.9801439320870491
2018-09-06,0.9846104628922091
2018-09-07,0.9867917146196252
2018-09-10,0.9983176767001223
2018-09-11,1.0118524148421952
2018-09-12,1.0170430372065005
2018-09-13,1.0238823363149365
2018-09-14,1.0300969224384127
2018-09-17,1.025906391593744
2018-09-18,1.0264067912137345
2018-09-19,1.0286398343111987
2018-09-20,1.0251481234906157
2018-09-21,1.0177784049396392
2018-09-24,1.0069920200408842
2018-09-25,1.0032043730709586
2018-09-26,1.0035536034599626
2018-09-27,1.013657486631872
2018-09-28,1.0220441063446102
2018-10-01,1.0211536813869848
2018-10-02,1.0141608223057006
2018-10-03,1.0057756767018045
2018-10-04,1.0090448471720954
2018-10-05,1.0018999239513346
2018-10-08,1.0013611449412614
2018-10-09,0.9947076242458049
2018-10-10,0.9998449522389311
2018-10-11,1.0057337758021512
2018-10-12,1.004917886424484
2018-10-15,1.002800108321065
2018-10-16,1.0043552893044385
2018-10-17,1.0031168054037736
2018-10-18,0.9930711195825734
2018-10-19,0.9984545423236347
2018-10-22,0.9948976156078895
2018-10-23,0.9921578263431938
2018-10-24,0.9904950274525164
2018-10-25,0.9782240114753694
2018-10-26,0.9819077308710299
2018-10-29,0.9812210365448731
