,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,1.0
2018-03-27,1.0
2018-03-28,1.0
2018-03-29,1.0
2018-03-30,1.0
2018-04-02,1.0
2018-04-03,1.0
2018-04-04,1.0
2018-04-05,1.0
2018-04-06,1.0
2018-04-09,1.0
2018-04-10,1.0
2018-04-11,1.0
2018-04-12,1.0
2018-04-13,1.0
2018-04-16,1.0
2018-04-17,1.0
2018-04-18,1.0
2018-04-19,1.0
2018-04-20,1.0
2018-04-23,0.9998833333333333
2018-04-24,1.0011136013734385
2018-04-25,0.9999541949952286
2018-04-26,1.0008006286818636
2018-04-27,1.0061801251862657
2018-04-30,1.0057944410015836
2018-05-01,1.004991162358059
2018-05-02,0.9974778155154743
2018-05-03,0.9964094777807628
2018-05-04,1.0071673876609564
2018-05-07,1.0064177275033834
2018-05-08,1.002227132833771
2018-05-09,0.9923234561417086
2018-05-10,0.9920900355170813
2018-05-11,0.9941815929219338
2018-05-14,0.9853194788501372
2018-05-15,0.9871368750608679
2018-05-16,0.9869470256688069
2018-05-17,0.9879128752594363
2018-05-18,0.9896021811902282
2018-05-21,0.9863485025884023
2018-05-22,0.9803613275326166
2018-05-23,0.9747348266466943
2018-05-24,0.9733847043149337
2018-05-25,0.9652536193787583
2018-05-28,0.9683708055898469
2018-05-29,0.9769752042043452
2018-05-30,0.975821502939204
2018-05-31,0.9823602859367113
2018-06-01,0.9804918073497187
2018-06-04,0.9879151180354592
2018-06-05,0.992119519624483
2018-06-06,0.99048947567827
2018-06-07,0.9879665918654932
2018-06-08,1.0010858132309441
2018-06-11,1.0031904357163426
2018-06-12,1.0019666614356446
2018-06-13,1.0057754730231496
2018-06-14,0.9990441811034615
2018-06-15,0.9956341733878904
2018-06-18,1.0044956227936084
2018-06-19,1.0081080354552596
2018-06-20,1.0134740107573932
2018-06-21,1.0171779184859353
2018-06-22,1.0178020778358756
2018-06-25,1.025543764672592
2018-06-26,1.0267679269869434
2018-06-27,1.0288756445299523
2018-06-28,1.0321777920948907
2018-06-29,1.0248935862456818
2018-07-02,1.0358094509102573
2018-07-03,1.0421681638997031
2018-07-04,1.0348789304630752
2018-07-05,1.0419825874195547
2018-07-06,1.0415387889689605
2018-07-09,1.029585021964999
2018-07-10,1.0360550876095427
2018-07-11,1.0386634950663556
2018-07-12,1.0461376422781004
2018-07-13,1.039975031964027
2018-07-16,1.0322492278430875
2018-07-17,1.0383677401821854
2018-07-18,1.0365719638844855
2018-07-19,1.027178715740047
2018-07-20,1.0270487936957173
2018-07-23,1.0268210548084002
2018-07-24,1.037478601785973
2018-07-25,1.0372772762776643
2018-07-26,1.0377921865406137
2018-07-27,1.036401021461802
2018-07-30,1.0353760335325946
2018-07-31,1.0349207553036912
2018-08-01,1.0317017155384132
2018-08-02,1.033750815429506
2018-08-03,1.0318773239410064
2018-08-06,1.034097834502852
2018-08-07,1.026317423541386
2018-08-08,1.0303561580387333
2018-08-09,1.0249782673544632
2018-08-10,1.023650084367405
2018-08-13,1.0295117518236954
2018-08-14,1.0337111370713543
2018-08-15,1.0325122138077367
2018-08-16,1.0324444700713042
2018-08-17,1.033866499108128
2018-08-20,1.0403658949354868
2018-08-21,1.0400978410660402
2018-08-22,1.0366300477351313
2018-08-23,1.0338430605876363
2018-08-24,1.0376857130006232
2018-08-27,1.0480236886343566
2018-08-28,1.051800455793272
2018-08-29,1.0550764526978322
2018-08-30,1.0511016639469866
2018-08-31,1.0468112769719304
2018-09-03,1.0501019238188098
2018-09-04,1.0468676950221412
2018-09-05,1.0520026581331632
2018-09-06,1.0420138619642936
2018-09-07,1.0424284017592813
2018-09-10,1.0509467261602832
2018-09-11,1.0504872463955763
2018-09-12,1.0508019259422154
2018-09-13,1.0423450128519411
2018-09-14,1.0388973286365946
2018-09-17,1.0376997838306796
2018-09-18,1.0454514734208569
2018-09-19,1.0488359303977843
2018-09-20,1.0482881373933703
2018-09-21,1.0409946214664327
2018-09-24,1.0456675362419192
2018-09-25,1.048685942084214
2018-09-26,1.0438993890949508
2018-09-27,1.0494708821121548
2018-09-28,1.0518871348033834
2018-10-01,1.0638642288733544
2018-10-02,1.0583339886966538
2018-10-03,1.062173500343839
2018-10-04,1.0575130384126534
2018-10-05,1.0582625094006846
2018-10-08,1.0566117901524785
2018-10-09,1.060975201758072
2018-10-10,1.0566657034958438
2018-10-11,1.0468184240816947
2018-10-12,1.0450000415789327
2018-10-15,1.0455849441749514
2018-10-16,1.04313558474738
2018-10-17,1.0503925062670953
2018-10-18,1.0564029762749612
2018-10-19,1.0589779305905616
2018-10-22,1.0618722493651518
2018-10-23,1.065357377758045
2018-10-24,1.0705162629201206
2018-10-25,1.071567593270075
2018-10-26,1.0731455148327436
2018-10-29,1.0752080452837718
2018-10-30,1.0709592991623662
2018-10-31,1.0674809039536726
2018-11-01,1.0733583957704997
2018-11-02,1.0678882005798707
2018-11-05,1.0648462835853627
2018-11-06,1.0592408371008162
