,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,1.0
2018-03-27,1.0
2018-03-28,1.0
2018-03-29,1.0
2018-03-30,1.0
2018-04-02,1.0
2018-04-03,1.0
2018-04-04,1.0
2018-04-05,1.0
2018-04-06,1.0
2018-04-09,1.0
2018-04-10,1.0
2018-04-11,1.0
2018-04-12,1.0
2018-04-13,1.0
2018-04-16,1.0
2018-04-17,1.0
2018-04-18,1.0
2018-04-19,1.0
2018-04-20,1.0
2018-04-23,1.0
2018-04-24,1.0
2018-04-25,1.0
2018-04-26,1.0
2018-04-27,1.0
2018-04-30,1.0
2018-05-01,1.0
2018-05-02,1.0
2018-05-03,1.0
2018-05-04,1.0
2018-05-07,1.0
2018-05-08,1.0
2018-05-09,1.0
2018-05-10,1.0
2018-05-11,1.0
2018-05-14,1.0
2018-05-15,1.0
2018-05-16,1.0
2018-05-17,1.0
2018-05-18,1.0
2018-05-21,1.0
2018-05-22,1.0
2018-05-23,1.0
2018-05-24,1.0
2018-05-25,1.0
2018-05-28,1.0
2018-05-29,1.0
2018-05-30,1.0
2018-05-31,1.0
2018-06-01,1.0
2018-06-04,1.0
2018-06-05,1.0
2018-06-06,1.0
2018-06-07,1.0
2018-06-08,1.0
2018-06-11,1.0
2018-06-12,1.0
2018-06-13,1.0
2018-06-14,1.0
2018-06-15,1.0
2018-06-18,1.0
2018-06-19,1.0
2018-06-20,1.0
2018-06-21,1.0
2018-06-22,1.0
2018-06-25,1.0
2018-06-26,1.0
2018-06-27,1.0
2018-06-28,1.0
2018-06-29,1.0
2018-07-02,1.0
2018-07-03,1.0
2018-07-04,1.0
2018-07-05,1.0
2018-07-06,1.0
2018-07-09,1.0
2018-07-10,1.0
2018-07-11,1.0
2018-07-12,1.0
2018-07-13,1.0
2018-07-16,1.0
2018-07-17,1.0
2018-07-18,1.0
2018-07-19,1.0
2018-07-20,1.0
2018-07-23,1.0
2018-07-24,1.0
2018-07-25,1.0
2018-07-26,1.0
2018-07-27,0.9995
2018-07-30,0.9940826189817182
2018-07-31,1.0105958273312914
2018-08-01,0.9982306066421379
2018-08-02,0.9958535781750493
2018-08-03,0.9917896498975377
2018-08-06,0.9907710006143469
2018-08-07,0.9828643845257415
2018-08-08,0.991348299544874
2018-08-09,0.9762715039746798
2018-08-10,0.9797708306240588
2018-08-13,0.9881844930481801
2018-08-14,1.0072767560884937
2018-08-15,1.0023210678747332
2018-08-16,0.9982333850368299
2018-08-17,0.998655049378987
2018-08-20,1.0029879608497665
2018-08-21,0.9987429936411203
2018-08-22,0.9770764050313984
2018-08-23,0.981231260022518
2018-08-24,0.988778163729347
2018-08-27,1.0012887419536347
2018-08-28,0.9850119327275527
2018-08-29,0.9739996364780049
2018-08-30,0.9695702058433612
2018-08-31,0.9667189133025826
2018-09-03,0.9748426880071291
2018-09-04,0.988946496134957
2018-09-05,0.9966290458250799
2018-09-06,0.9963865978330083
2018-09-07,1.0024290276728685
2018-09-10,0.9925588490520543
2018-09-11,0.9877958598802172
2018-09-12,0.9793689314444997
2018-09-13,0.9737235314085351
2018-09-14,0.9750610765477002
2018-09-17,0.9655883428437837
2018-09-18,0.982465388593233
2018-09-19,0.9842851749859433
2018-09-20,0.9859984594370759
2018-09-21,0.9844473624395846
2018-09-24,0.9868981026367829
2018-09-25,0.977767846921812
2018-09-26,0.9669042774918748
2018-09-27,0.9749188682028673
2018-09-28,0.9757044125297583
2018-10-01,0.9897920168652927
2018-10-02,0.9834564858604948
2018-10-03,0.9847204573394605
2018-10-04,0.9851670922584538
2018-10-05,0.9710868917115822
2018-10-08,0.9747091264779014
2018-10-09,0.975194622510929
2018-10-10,0.9682654156823055
2018-10-11,0.9722021162747808
2018-10-12,0.9650813647504477
2018-10-15,0.9650921439076294
2018-10-16,0.9536594523525895
2018-10-17,0.9686025011721475
2018-10-18,0.987837770469472
2018-10-19,0.9821319279351248
2018-10-22,0.9785640211716176
2018-10-23,0.9620383742232073
2018-10-24,0.9617543010265359
2018-10-25,0.9546270888086174
2018-10-26,0.9370946225535874
2018-10-29,0.9513441006975273
2018-10-30,0.9488319237318675
2018-10-31,0.9559922206665218
2018-11-01,0.9493121691940768
2018-11-02,0.9486519098828471
2018-11-05,0.953307924502856
2018-11-06,0.9378997310883306
2018-11-07,0.945769762026353
2018-11-08,0.9392828128323927
2018-11-09,0.9371653072085643
2018-11-12,0.9337188468538907
2018-11-13,0.9372588830631257
2018-11-14,0.9423243766957966
2018-11-15,0.9338978531417677
2018-11-16,0.9419082508931433
2018-11-19,0.9410985417138382
2018-11-20,0.9447617559828271
2018-11-21,0.9560896895038559
2018-11-22,0.9580822278463085
2018-11-23,0.9790127424103904
2018-11-26,1.0068442206223445
2018-11-27,0.9973660132244576
2018-11-28,1.001272983305521
2018-11-29,1.0107811661178712
2018-11-30,1.0167707907908448
2018-12-03,1.0416073000402526
2018-12-04,1.077111319768829
2018-12-05,1.0970751676188804
2018-12-06,1.108747792857061
