,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,0.99975
2018-01-23,0.9989111844253502
2018-01-24,0.9940043442473798
2018-01-25,0.9920321666962533
2018-01-26,0.9937360082266838
2018-01-29,0.9960334993589672
2018-01-30,0.9988598867707357
2018-01-31,1.003856406158881
2018-02-01,1.0041615905256036
2018-02-02,1.004863863947257
2018-02-05,1.0135039641322239
2018-02-06,1.0168597921898241
2018-02-07,1.0154567140511412
2018-02-08,1.0109984833355226
2018-02-09,1.0184963467218136
2018-02-12,1.0215885572094034
2018-02-13,1.021799933973725
2018-02-14,1.0195228572009767
2018-02-15,1.0173292812882662
2018-02-16,1.0214146057659304
2018-02-19,1.0225100022831684
2018-02-20,1.0286393886400558
2018-02-21,1.0355860371791856
2018-02-22,1.036066553796635
2018-02-23,1.0362085134292578
2018-02-26,1.032823625440192
2018-02-27,1.0327967328432048
2018-02-28,1.037392644877583
2018-03-01,1.0356949917761933
2018-03-02,1.040498890834969
2018-03-05,1.0394867317956127
2018-03-06,1.042161376801578
2018-03-07,1.040970399060455
2018-03-08,1.047500747855416
2018-03-09,1.0482837990367766
2018-03-12,1.049494938509266
2018-03-13,1.0499368570967957
2018-03-14,1.0494229718598203
2018-03-15,1.04786256763407
2018-03-16,1.0445598415546937
2018-03-19,1.0415874805775422
2018-03-20,1.0402656685408904
2018-03-21,1.0384720908609493
2018-03-22,1.0366987091569078
2018-03-23,1.0360089327919144
2018-03-26,1.0379440675410976
2018-03-27,1.0391482661925449
2018-03-28,1.0394092204546448
2018-03-29,1.0377139769799035
2018-03-30,1.0368574265528776
2018-04-02,1.0370993763854064
2018-04-03,1.0358300268041651
2018-04-04,1.036254185707532
2018-04-05,1.0362501375215707
2018-04-06,1.037148729547547
2018-04-09,1.0423895206734424
2018-04-10,1.0439097433832933
2018-04-11,1.044836787368912
2018-04-12,1.044836787368912
2018-04-13,1.044836787368912
2018-04-16,1.044836787368912
2018-04-17,1.044836787368912
2018-04-18,1.044836787368912
2018-04-19,1.044836787368912
2018-04-20,1.044836787368912
2018-04-23,1.044836787368912
2018-04-24,1.044836787368912
2018-04-25,1.044836787368912
2018-04-26,1.044836787368912
2018-04-27,1.044836787368912
2018-04-30,1.0447714850697014
2018-05-01,1.0426848357187015
2018-05-02,1.0467768765431664
2018-05-03,1.0462488682859865
2018-05-04,1.0530912281250735
2018-05-07,1.0530912281250735
2018-05-08,1.0530254099233156
2018-05-09,1.0514731729344675
2018-05-10,1.0523540979047232
2018-05-11,1.0538604908777367
2018-05-14,1.0501985468502133
2018-05-15,1.0528840675821576
2018-05-16,1.0530171697076467
2018-05-17,1.0539245025431947
2018-05-18,1.0543520367144759
2018-05-21,1.0542499034178898
2018-05-22,1.0473769772573138
2018-05-23,1.0420988944372116
2018-05-24,1.0387702385818607
2018-05-25,1.0371695332095299
2018-05-28,1.037769794222951
2018-05-29,1.041209213606408
2018-05-30,1.0385315075058268
2018-05-31,1.0430574204794034
2018-06-01,1.040536026524473
2018-06-04,1.046131416297271
2018-06-05,1.0493762217327256
2018-06-06,1.0504933235479177
2018-06-07,1.0502654649051377
2018-06-08,1.0534070525918429
2018-06-11,1.058859179206013
2018-06-12,1.0609459424027972
2018-06-13,1.0655839300427885
2018-06-14,1.0673923891881305
2018-06-15,1.068270963908063
2018-06-18,1.0704120638773933
2018-06-19,1.0677980424011804
2018-06-20,1.069815063574034
2018-06-21,1.0701691578831865
2018-06-22,1.0713061491386704
2018-06-25,1.0699985585641512
2018-06-26,1.0697181118937236
2018-06-27,1.0685516181444048
2018-06-28,1.0689726611095107
2018-06-29,1.0645984580975831
2018-07-02,1.0644402556502612
2018-07-03,1.0663449401655518
2018-07-04,1.0695502784143074
2018-07-05,1.071015079877752
2018-07-06,1.0711253709587765
2018-07-09,1.067688871288439
2018-07-10,1.0678429886224807
2018-07-11,1.0639583836251234
2018-07-12,1.0621345517978396
2018-07-13,1.0616415890877522
2018-07-16,1.0610276484116485
2018-07-17,1.0626546695909458
2018-07-18,1.062013132783806
2018-07-19,1.0595130490094606
2018-07-20,1.0585107369267472
2018-07-23,1.056999235080653
2018-07-24,1.0590389358093564
2018-07-25,1.0561755790265326
2018-07-26,1.0551963476932724
2018-07-27,1.0569209569408173
2018-07-30,1.055234997147529
2018-07-31,1.0559310996142686
2018-08-01,1.0559435614609884
2018-08-02,1.055248201664424
2018-08-03,1.0518932714358364
2018-08-06,1.0519476524088407
2018-08-07,1.0508913266949462
2018-08-08,1.0519516467323053
2018-08-09,1.0497494373782186
2018-08-10,1.0473733151508804
2018-08-13,1.0529201283654113
2018-08-14,1.057741765469069
2018-08-15,1.0534192940330487
2018-08-16,1.0542341710429342
2018-08-17,1.0529008305609437
2018-08-20,1.0546594204093926
2018-08-21,1.0570929870497399
2018-08-22,1.0607309402807499
2018-08-23,1.0586003537307835
2018-08-24,1.0614458483610285
2018-08-27,1.063334930702928
2018-08-28,1.0592244249929945
2018-08-29,1.0552254584917182
2018-08-30,1.0540854773958668
2018-08-31,1.0551533177636094
2018-09-03,1.0565656954033515
2018-09-04,1.059381518291732
2018-09-05,1.0599911806859432
2018-09-06,1.0580084648596098
2018-09-07,1.0588913706858318
2018-09-10,1.0567539964193693
2018-09-11,1.055249298111927
2018-09-12,1.052312889471722
2018-09-13,1.0507347288749687
2018-09-14,1.049698579803676
2018-09-17,1.0487676199436666
2018-09-18,1.052346248123248
2018-09-19,1.052666139001337
2018-09-20,1.0534642068408349
2018-09-21,1.053887843027885
2018-09-24,1.057068141811365
2018-09-25,1.0553473758166894
2018-09-26,1.0568308373275095
2018-09-27,1.0557876211971866
2018-09-28,1.0571680576333955
2018-10-01,1.0583272081836215
2018-10-02,1.0544513707033631
2018-10-03,1.0561295650884273
2018-10-04,1.05860728519456
2018-10-05,1.0576463533919795
2018-10-08,1.0584479865965977
2018-10-09,1.0645979740435985
2018-10-10,1.059887482923586
2018-10-11,1.0607107327155367
