,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,1.0
2018-03-27,0.9995
2018-03-28,1.005259092963604
2018-03-29,1.0050763508558413
2018-03-30,1.0070647324060156
2018-04-02,1.0059678073699043
2018-04-03,1.0052639519216733
2018-04-04,1.004379258244666
2018-04-05,0.996489034525775
2018-04-06,0.9997234007187116
2018-04-09,1.0070634997702106
2018-04-10,1.011303887214402
2018-04-11,1.0197331374798289
2018-04-12,1.0250021613967653
2018-04-13,1.024290842828951
2018-04-16,1.0252936802386274
2018-04-17,1.0205924745330377
2018-04-18,1.024084705955182
2018-04-19,1.0238225071396045
2018-04-20,1.0236944748299304
2018-04-23,1.0273716520053648
2018-04-24,1.0309385756846523
2018-04-25,1.0292291112375878
2018-04-26,1.0306450198473378
2018-04-27,1.030437025682882
2018-04-30,1.029510078021444
2018-05-01,1.0327894040857764
2018-05-02,1.033909412828254
2018-05-03,1.035263961823687
2018-05-04,1.0408655703799379
2018-05-07,1.0336470856986255
2018-05-08,1.025176075250722
2018-05-09,1.0266362764401324
2018-05-10,1.0332919720737364
2018-05-11,1.0395896558126163
2018-05-14,1.0398060055810512
2018-05-15,1.0323572423239267
2018-05-16,1.032007213098573
2018-05-17,1.0320520785283664
2018-05-18,1.044975582090411
2018-05-21,1.0443318674410476
2018-05-22,1.0472035549971956
2018-05-23,1.0426208225829163
2018-05-24,1.0430518714650134
2018-05-25,1.0390762680330203
2018-05-28,1.0452731277847624
2018-05-29,1.0486642615052046
2018-05-30,1.0466485653568542
2018-05-31,1.0467318442056683
2018-06-01,1.047485075444004
2018-06-04,1.0479238893373373
2018-06-05,1.0567270241832811
2018-06-06,1.0561994208064276
2018-06-07,1.0531250800692835
2018-06-08,1.0491124677519033
2018-06-11,1.0525182517663128
2018-06-12,1.0620546849717152
2018-06-13,1.0586278453774998
2018-06-14,1.0658733061568062
2018-06-15,1.065497716288377
2018-06-18,1.0646052192383557
2018-06-19,1.0684247305738046
2018-06-20,1.0807488511166181
2018-06-21,1.0806365507523055
2018-06-22,1.092281578469857
2018-06-25,1.0913138019108715
2018-06-26,1.0803258339481792
2018-06-27,1.0809435527867821
2018-06-28,1.0809435527867821
2018-06-29,1.0804564582241458
2018-07-02,1.0794919901513742
2018-07-03,1.0789522441562986
2018-07-04,1.076753986146318
2018-07-05,1.076753986146318
2018-07-06,1.076635617093071
2018-07-09,1.0745825714143487
2018-07-10,1.0792214880432642
2018-07-11,1.0891833102990762
2018-07-12,1.09209252840737
2018-07-13,1.0898253078265123
2018-07-16,1.1019853341830188
2018-07-17,1.1060164022066268
2018-07-18,1.1038543688417208
2018-07-19,1.1006206466880786
2018-07-20,1.1033049010374008
2018-07-23,1.1124749720359375
2018-07-24,1.1183297874175229
2018-07-25,1.1207153130056633
2018-07-26,1.114173646005143
2018-07-27,1.1181707303168944
2018-07-30,1.1196839415447635
2018-07-31,1.1190020692863452
2018-08-01,1.114109953713771
2018-08-02,1.1143476506894732
2018-08-03,1.1111134865230923
2018-08-06,1.1029557298024166
2018-08-07,1.095478339968516
2018-08-08,1.094416159917489
2018-08-09,1.0954263120112258
2018-08-10,1.0967244468408917
2018-08-13,1.1001821433259207
2018-08-14,1.1022194368726737
2018-08-15,1.093034874243468
2018-08-16,1.093961514638921
2018-08-17,1.090921821928444
2018-08-20,1.0894250387466147
2018-08-21,1.096859424187278
2018-08-22,1.0908829730927299
2018-08-23,1.1032502490296243
2018-08-24,1.1107703893054002
2018-08-27,1.1110027955746777
2018-08-28,1.088322070405669
2018-08-29,1.0916795474580823
2018-08-30,1.0898934388497608
2018-08-31,1.0955439815109118
2018-09-03,1.0939376067098192
2018-09-04,1.0998672245470258
2018-09-05,1.090898003819635
2018-09-06,1.0972176224404724
2018-09-07,1.096351522511425
2018-09-10,1.1016010990899145
2018-09-11,1.0943542579467191
2018-09-12,1.1000328888959545
2018-09-13,1.101558921241734
2018-09-14,1.0970828609682743
2018-09-17,1.1040772994433716
2018-09-18,1.1064386694459023
2018-09-19,1.1038963929750385
2018-09-20,1.1061743784959057
2018-09-21,1.1153345782401036
2018-09-24,1.1161424928269628
2018-09-25,1.116184822733811
2018-09-26,1.1158627053485077
2018-09-27,1.1172601195019949
2018-09-28,1.1170301962070692
2018-10-01,1.1044676714790729
2018-10-02,1.1056731979319099
2018-10-03,1.1127229486398007
2018-10-04,1.108166489179432
2018-10-05,1.1166972067886616
2018-10-08,1.1237345147993818
2018-10-09,1.1239900316688638
2018-10-10,1.123591740789635
2018-10-11,1.1229212763742957
2018-10-12,1.1063648559790848
2018-10-15,1.112564615340663
2018-10-16,1.098204410051209
2018-10-17,1.1040155631062434
2018-10-18,1.116636431959675
2018-10-19,1.116629196217199
2018-10-22,1.1159331689366279
2018-10-23,1.111516987200994
2018-10-24,1.1184959193357689
2018-10-25,1.1213436519320878
2018-10-26,1.1225491605384146
2018-10-29,1.1238110445568539
2018-10-30,1.1254292606677774
2018-10-31,1.1241611892178924
