,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,0.99975
2018-02-13,0.9963243387245265
2018-02-14,0.9914157951391867
2018-02-15,0.9900363368159333
2018-02-16,0.9937626580734552
2018-02-19,0.995561017698861
2018-02-20,1.0022141372360625
2018-02-21,1.0036207741212633
2018-02-22,1.0030291577770953
2018-02-23,1.00160912319692
2018-02-26,1.002669551018123
2018-02-27,1.0096698473048609
2018-02-28,1.0108532422386587
2018-03-01,1.0059476333150246
2018-03-02,1.0135026992266862
2018-03-05,1.016103608826336
2018-03-06,1.0232052021356275
2018-03-07,1.0341764266625701
2018-03-08,1.0347174855748367
2018-03-09,1.0404714138941822
2018-03-12,1.0524724530118446
2018-03-13,1.0594591973560767
2018-03-14,1.0605340544086312
2018-03-15,1.0665338378836795
2018-03-16,1.0704514825382416
2018-03-19,1.070515953278211
2018-03-20,1.0707502048121957
2018-03-21,1.0710082621301944
2018-03-22,1.0768795691128519
2018-03-23,1.0824363507602164
2018-03-26,1.0728677070835193
2018-03-27,1.0699518288615153
2018-03-28,1.0609215533043364
2018-03-29,1.0479259090978652
2018-03-30,1.0442259224568569
2018-04-02,1.0399618402479802
2018-04-03,1.044505466169929
2018-04-04,1.0455299965217955
2018-04-05,1.057062935049897
2018-04-06,1.0545864108852931
2018-04-09,1.0600163764094177
2018-04-10,1.0514178096096187
2018-04-11,1.0420135412651017
2018-04-12,1.046917185881854
2018-04-13,1.0399300080705032
2018-04-16,1.0428260092765005
2018-04-17,1.0502008655974475
2018-04-18,1.0489606421556725
2018-04-19,1.0426755294632426
2018-04-20,1.0547400111856355
2018-04-23,1.0523476262507852
2018-04-24,1.0549266176639074
2018-04-25,1.047353225577745
2018-04-26,1.047806825779432
2018-04-27,1.0529455925051838
2018-04-30,1.0537191274088944
2018-05-01,1.0570784198742478
2018-05-02,1.0507797581946487
2018-05-03,1.050805808967095
2018-05-04,1.0543566064186163
2018-05-07,1.0551603843004558
2018-05-08,1.0535348159013813
2018-05-09,1.0455993197112252
2018-05-10,1.044045851919611
2018-05-11,1.043360690222494
2018-05-14,1.0384235311493404
2018-05-15,1.0432541038082113
2018-05-16,1.0463905232813115
2018-05-17,1.0491309210186852
2018-05-18,1.0488664099466098
2018-05-21,1.0491229955760841
2018-05-22,1.0500289085665315
2018-05-23,1.0481679365987897
2018-05-24,1.0504723732740755
2018-05-25,1.0454845938048034
2018-05-28,1.047819772166375
2018-05-29,1.0537158910434354
2018-05-30,1.0550742717408754
2018-05-31,1.0575828340649542
2018-06-01,1.0579985967411702
2018-06-04,1.06025378909006
2018-06-05,1.0621769198590612
2018-06-06,1.0627924463068268
2018-06-07,1.0607908976274583
2018-06-08,1.0725814845961756
2018-06-11,1.0709004273957787
2018-06-12,1.0684690190238466
2018-06-13,1.0722266308871369
2018-06-14,1.0641131434559918
2018-06-15,1.0593855588949168
2018-06-18,1.0642340727744193
2018-06-19,1.0671873816656154
2018-06-20,1.0701209962409632
2018-06-21,1.0752976840884312
2018-06-22,1.0742501458163978
2018-06-25,1.079737166578029
2018-06-26,1.081241686167132
2018-06-27,1.0864408406456425
2018-06-28,1.0871292276929114
2018-06-29,1.085240701150092
2018-07-02,1.0942792602234088
2018-07-03,1.0964472019433966
2018-07-04,1.086981399028257
2018-07-05,1.0930130463734788
2018-07-06,1.0916565617895375
2018-07-09,1.0832769203227879
2018-07-10,1.0878546215113145
2018-07-11,1.0971530585429004
2018-07-12,1.1104685399155816
2018-07-13,1.1040012231345446
2018-07-16,1.1003557628029519
2018-07-17,1.1006473037822384
2018-07-18,1.102397543720488
2018-07-19,1.0961638383282926
2018-07-20,1.095485389090115
2018-07-23,1.0908687079059949
2018-07-24,1.1038291754667957
2018-07-25,1.1066267886323908
2018-07-26,1.1072318486791373
2018-07-27,1.0984097519525509
2018-07-30,1.0985548291908882
2018-07-31,1.0917748743858227
2018-08-01,1.0875712344329758
2018-08-02,1.0918308503391
2018-08-03,1.0915711433956652
2018-08-06,1.0956904510411711
2018-08-07,1.0958185818750377
2018-08-08,1.0995217829116646
2018-08-09,1.0923172845790907
2018-08-10,1.0987053178820707
2018-08-13,1.1023690005950164
2018-08-14,1.1032708883292865
2018-08-15,1.106331004363948
2018-08-16,1.1051289495632322
2018-08-17,1.107525698173434
2018-08-20,1.1141078229838093
2018-08-21,1.1112141925188708
2018-08-22,1.1052286300398773
2018-08-23,1.1067492992323344
2018-08-24,1.1049617388418485
2018-08-27,1.1111530237903904
2018-08-28,1.1197670860423983
2018-08-29,1.1207136677700156
2018-08-30,1.1193971404401715
2018-08-31,1.1134973692118002
2018-09-03,1.1149008683782953
2018-09-04,1.1060018958806703
2018-09-05,1.112154059933085
2018-09-06,1.102272425665148
2018-09-07,1.1006864534068999
2018-09-10,1.108240417736406
2018-09-11,1.1071287994865588
2018-09-12,1.109102668970831
2018-09-13,1.1080804918216474
2018-09-14,1.1074397707686785
2018-09-17,1.1067437358918277
2018-09-18,1.1090660107148247
2018-09-19,1.1105404112402217
2018-09-20,1.1101333243935125
2018-09-21,1.1009546188164796
2018-09-24,1.1008011635460666
2018-09-25,1.1009735703720676
2018-09-26,1.1010354983157515
2018-09-27,1.1078712011850353
2018-09-28,1.1139239499247926
2018-10-01,1.1212466994648913
2018-10-02,1.1169450916894068
2018-10-03,1.1155577989602692
2018-10-04,1.1123413582723911
2018-10-05,1.1107996057752623
2018-10-08,1.1089284635763972
2018-10-09,1.1081294227892498
2018-10-10,1.1079759599584311
2018-10-11,1.1046424585437389
2018-10-12,1.1074366864601324
2018-10-15,1.1049449154095345
2018-10-16,1.1051395676867177
