,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,1.0
2018-03-27,1.0
2018-03-28,1.0
2018-03-29,1.0
2018-03-30,1.0
2018-04-02,1.0
2018-04-03,1.0
2018-04-04,1.0
2018-04-05,1.0
2018-04-06,1.0
2018-04-09,1.0
2018-04-10,1.0
2018-04-11,1.0
2018-04-12,1.0
2018-04-13,1.0
2018-04-16,1.0
2018-04-17,1.0
2018-04-18,1.0
2018-04-19,1.0
2018-04-20,1.0
2018-04-23,1.0
2018-04-24,1.0
2018-04-25,1.0
2018-04-26,1.0
2018-04-27,1.0
2018-04-30,1.0
2018-05-01,1.0
2018-05-02,1.0
2018-05-03,1.0
2018-05-04,1.0
2018-05-07,0.9995
2018-05-08,1.0081028518625528
2018-05-09,1.020055362286961
2018-05-10,1.019812893560671
2018-05-11,1.0248322739709534
2018-05-14,1.0248322739709534
2018-05-15,1.0248322739709534
2018-05-16,1.0248322739709534
2018-05-17,1.0247421922943158
2018-05-18,1.0225884206231397
2018-05-21,1.0209031955237253
2018-05-22,1.0119624270273724
2018-05-23,1.0095871827318774
2018-05-24,0.9975501806249735
2018-05-25,0.9964520218837734
2018-05-28,1.0050215975187977
2018-05-29,1.013089074038614
2018-05-30,1.0101305431226075
2018-05-31,1.0119845400205634
2018-06-01,1.0063080854860382
2018-06-04,1.0031236427874717
2018-06-05,1.005015259729767
2018-06-06,1.0207579571643495
2018-06-07,1.0207579571643495
2018-06-08,1.0207579571643495
2018-06-11,1.0207579571643495
2018-06-12,1.0202475781857674
2018-06-13,1.0137145579539686
2018-06-14,1.006734573521154
2018-06-15,0.9922144248781812
2018-06-18,0.9833902788630303
2018-06-19,0.9709900019035526
2018-06-20,0.9742804946568441
2018-06-21,0.9652862490751571
2018-06-22,0.9693928482959948
2018-06-25,0.9638179673026183
2018-06-26,0.975438304339514
2018-06-27,0.9718884980357041
2018-06-28,0.9774817693883034
2018-06-29,0.9757937388527951
2018-07-02,0.9690304764371004
2018-07-03,0.9688825211093255
2018-07-04,0.9690433292088514
2018-07-05,0.9662884220677886
2018-07-06,0.9649498789106565
2018-07-09,0.9759944344524207
2018-07-10,0.9755064372351946
2018-07-11,0.9844073886281576
2018-07-12,0.9836032332369918
2018-07-13,0.9806811168352438
2018-07-16,1.0029059270191243
2018-07-17,1.0061103540845175
2018-07-18,1.0061103540845175
2018-07-19,1.0056072989074754
2018-07-20,1.0043794887309687
2018-07-23,1.0019467123201236
2018-07-24,1.0124300331202007
2018-07-25,1.0099288560675979
2018-07-26,1.0004198367204964
2018-07-27,1.0028893916542891
2018-07-30,0.9989447963658992
2018-07-31,0.9987001134083163
2018-08-01,0.9991207858265584
2018-08-02,0.9980912257659554
2018-08-03,1.0002779372084722
2018-08-06,1.000881057746339
2018-08-07,1.0003276414014832
2018-08-08,0.9986939645445092
2018-08-09,1.0098222370629781
2018-08-10,1.0093173259444468
2018-08-13,0.9961449093477246
2018-08-14,0.9787964400818473
2018-08-15,0.9843069057816384
2018-08-16,0.989622264454347
2018-08-17,0.9899748460285379
2018-08-20,0.9801333900468903
2018-08-21,0.9862373124203084
2018-08-22,1.003098871797751
2018-08-23,1.002622495516617
2018-08-24,1.0036473062253672
2018-08-27,1.0036473062253672
2018-08-28,1.0036473062253672
2018-08-29,1.003616743825709
2018-08-30,1.0044438459599536
2018-08-31,1.0040685421219824
2018-09-03,1.0129296725289072
2018-09-04,1.01210345520236
2018-09-05,0.9947359618988622
2018-09-06,0.992558354102021
2018-09-07,0.9968001591154262
2018-09-10,1.000512905312611
2018-09-11,0.9925314856491666
2018-09-12,0.9837133115270802
2018-09-13,0.9622666154705244
2018-09-14,0.9716814504047905
2018-09-17,0.966312871739881
2018-09-18,0.9530912333889322
2018-09-19,0.9536776081998369
2018-09-20,0.9523806251059204
2018-09-21,0.9606231664582262
2018-09-24,0.963985492818511
2018-09-25,0.9746315947042112
2018-09-26,0.9726112464463764
2018-09-27,0.9723317875292219
2018-09-28,0.9613321208610306
2018-10-01,0.9741922198077386
2018-10-02,0.9788457367320733
2018-10-03,0.9806030637651085
2018-10-04,0.9806030637651085
2018-10-05,0.9806030637651085
2018-10-08,0.9801127622332261
2018-10-09,0.982148978996909
2018-10-10,0.9833764426901154
2018-10-11,0.9842305104314569
2018-10-12,0.9848465233225367
2018-10-15,0.9830597526557748
2018-10-16,0.9862627759546235
2018-10-17,0.9871892822238043
2018-10-18,0.9884407135699375
2018-10-19,0.9883152099147992
2018-10-22,0.9882947807432378
2018-10-23,0.9843396968726893
2018-10-24,0.9902969459708599
2018-10-25,0.9808171423299061
2018-10-26,0.9791227911171889
2018-10-29,0.9685095224786064
2018-10-30,0.9809712694911102
2018-10-31,0.9905448495431405
2018-11-01,0.9878402373904314
2018-11-02,0.9777274613431968
2018-11-05,0.9842479782133207
2018-11-06,0.9907552364448539
2018-11-07,0.9907552364448539
2018-11-08,0.9903922495622709
2018-11-09,0.9831927648710307
