,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,0.9995
2018-02-14,0.9929451664920886
2018-02-15,0.9829439964759458
2018-02-16,0.9911997757069101
2018-02-19,0.9924711975222517
2018-02-20,1.014927815732561
2018-02-21,1.0126234392797215
2018-02-22,1.0172600878029416
2018-02-23,1.0179484816626134
2018-02-26,1.0382841184082807
2018-02-27,1.0445326493157114
2018-02-28,1.0397234780843319
2018-03-01,1.0436953460758875
2018-03-02,1.0622947870714725
2018-03-05,1.06827962417572
2018-03-06,1.0821933131223889
2018-03-07,1.09366269712584
2018-03-08,1.0957711159842338
2018-03-09,1.0953892214626109
2018-03-12,1.107416253790033
2018-03-13,1.120580247770467
2018-03-14,1.1298474019546056
2018-03-15,1.1386925389064895
2018-03-16,1.1578009220622332
2018-03-19,1.1664720646216145
2018-03-20,1.171239028283045
2018-03-21,1.1870031114043988
2018-03-22,1.2036937392625886
2018-03-23,1.1957204072068937
2018-03-26,1.1809022609395259
2018-03-27,1.166576518848678
2018-03-28,1.1517577539574386
2018-03-29,1.132077209748085
2018-03-30,1.1275265324077703
2018-04-02,1.1242929568706128
2018-04-03,1.11882530830437
2018-04-04,1.1224704359110969
2018-04-05,1.1325606141488997
2018-04-06,1.1365879954002103
2018-04-09,1.1521218782698948
2018-04-10,1.1443723492550695
2018-04-11,1.1204461417127802
2018-04-12,1.0913183751628688
2018-04-13,1.0893980488312154
2018-04-16,1.1003317199229337
2018-04-17,1.111476007537926
2018-04-18,1.1109855757835523
2018-04-19,1.1050292010289355
2018-04-20,1.120563924386758
2018-04-23,1.1095101707911574
2018-04-24,1.115696902521951
2018-04-25,1.114367917119747
2018-04-26,1.101884884642592
2018-04-27,1.1058643603464773
2018-04-30,1.1019117748437373
2018-05-01,1.089664611685116
2018-05-02,1.0985868504468024
2018-05-03,1.086162646187391
2018-05-04,1.0971543333153149
2018-05-07,1.0937187939029098
2018-05-08,1.1066449414238904
2018-05-09,1.1094877510426568
2018-05-10,1.1211676118920493
2018-05-11,1.114200497291936
2018-05-14,1.1054724750633325
2018-05-15,1.1124724094910317
2018-05-16,1.1171266311031898
2018-05-17,1.1185156065787656
2018-05-18,1.111964523193725
2018-05-21,1.1151121264627395
2018-05-22,1.1267725649213427
2018-05-23,1.1207526341900294
2018-05-24,1.1305431789947633
2018-05-25,1.1123140909344307
2018-05-28,1.1281258561041239
2018-05-29,1.1387121201617183
2018-05-30,1.1211645493347395
2018-05-31,1.1277592281664355
2018-06-01,1.1291082337365563
2018-06-04,1.1427812692289303
2018-06-05,1.1542891535791755
2018-06-06,1.1194239654174432
2018-06-07,1.0904921971152155
2018-06-08,1.0890041168371212
2018-06-11,1.1089966187264368
2018-06-12,1.1125447016001992
2018-06-13,1.115106695861262
2018-06-14,1.1061152131168144
2018-06-15,1.1111325882457936
2018-06-18,1.1374257194376873
2018-06-19,1.136507381339004
2018-06-20,1.1579912078341288
2018-06-21,1.1511949612262753
2018-06-22,1.154385414873659
2018-06-25,1.166035856496926
2018-06-26,1.1627750528961547
2018-06-27,1.1600132749827863
2018-06-28,1.126457744102354
2018-06-29,1.1244189075648336
2018-07-02,1.1318149307091634
2018-07-03,1.146280438638129
2018-07-04,1.134216721563636
2018-07-05,1.1577980493023783
2018-07-06,1.169315177737821
2018-07-09,1.1568016645281523
2018-07-10,1.173232812530256
2018-07-11,1.1688221938449348
2018-07-12,1.203565656112956
2018-07-13,1.1805089546027154
2018-07-16,1.1726338543961174
2018-07-17,1.1858677796260693
2018-07-18,1.1891149780717571
2018-07-19,1.1863126145249003
2018-07-20,1.1809448507075901
2018-07-23,1.1787616330292339
2018-07-24,1.198000054377344
2018-07-25,1.1879174489270583
2018-07-26,1.1701653604862199
2018-07-27,1.1785483387294375
2018-07-30,1.1695879654941483
2018-07-31,1.1542019032931785
2018-08-01,1.1565604609211078
2018-08-02,1.1530545878274634
2018-08-03,1.1307003216858187
2018-08-06,1.1385643265960437
2018-08-07,1.1365341533629734
2018-08-08,1.14325756406
2018-08-09,1.140218774948541
2018-08-10,1.1448100190967403
2018-08-13,1.1575900029303454
2018-08-14,1.1549043891952702
2018-08-15,1.1465002847385308
2018-08-16,1.1376283228089146
2018-08-17,1.1482882516059425
2018-08-20,1.1319544248708986
2018-08-21,1.117848248754321
2018-08-22,1.1125990464318658
2018-08-23,1.0973647456723497
2018-08-24,1.1211678914101209
2018-08-27,1.1362630989413651
2018-08-28,1.1363468628113373
2018-08-29,1.1206766375128572
2018-08-30,1.1128868297344663
2018-08-31,1.1252585010900271
2018-09-03,1.1255206538892228
2018-09-04,1.1083554724382216
2018-09-05,1.1180949759303873
2018-09-06,1.1085801610265729
2018-09-07,1.1101912599568093
2018-09-10,1.1134712033476568
2018-09-11,1.121286012501005
2018-09-12,1.1232007773258437
2018-09-13,1.129661234781485
2018-09-14,1.1229961937462056
2018-09-17,1.129188757562369
2018-09-18,1.1500572085624958
2018-09-19,1.1630573769613297
2018-09-20,1.1638335935337643
2018-09-21,1.1218787669326409
2018-09-24,1.1154878105948123
2018-09-25,1.1199209372251824
2018-09-26,1.1182680941235978
2018-09-27,1.1235201426826964
2018-09-28,1.1422748529830486
2018-10-01,1.1549877180534922
2018-10-02,1.1544674765743799
2018-10-03,1.1500774497883763
2018-10-04,1.1554164136937217
2018-10-05,1.1565667466597533
2018-10-08,1.1414957878639636
2018-10-09,1.137027723248824
2018-10-10,1.1411201847011823
2018-10-11,1.1474258480205106
2018-10-12,1.1225609486096777
2018-10-15,1.1252627901127628
2018-10-16,1.1074190231754382
2018-10-17,1.1124251921430939
