,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,0.999875
2018-02-05,1.0010748800221416
2018-02-06,1.0051911279819745
2018-02-07,1.0051283035364758
2018-02-08,1.0056431585297967
2018-02-09,1.0062841362728439
2018-02-12,1.0062841362728439
2018-02-13,1.0062841362728439
2018-02-14,1.0062212435143267
2018-02-15,1.0043920548356648
2018-02-16,1.002019005142891
2018-02-19,1.0024731931621074
2018-02-20,1.0015396366979414
2018-02-21,1.0032149193184925
2018-02-22,1.0048164198201828
2018-02-23,1.0029904140298709
2018-02-26,1.00318936119027
2018-02-27,1.00543336232486
2018-02-28,1.0054797276794252
2018-03-01,1.0034680902488282
2018-03-02,1.0071085078318662
2018-03-05,1.0087611082298635
2018-03-06,1.0123360854269365
2018-03-07,1.016675829932476
2018-03-08,1.0245632209950661
2018-03-09,1.023961199629679
2018-03-12,1.0271406970520511
2018-03-13,1.030997428177343
2018-03-14,1.034085052021845
2018-03-15,1.0326632301206493
2018-03-16,1.0371285606068879
2018-03-19,1.0356094928059822
2018-03-20,1.0335715561673926
2018-03-21,1.035789053746757
2018-03-22,1.0398556084635515
2018-03-23,1.043006413991061
2018-03-26,1.0341213593428251
2018-03-27,1.0296458625266582
2018-03-28,1.0251518109895297
2018-03-29,1.0184534174149515
2018-03-30,1.0123805039487033
2018-04-02,1.00969785041281
2018-04-03,1.0135105350355986
2018-04-04,1.0143277522501521
2018-04-05,1.017677597978708
2018-04-06,1.0168727710858996
2018-04-09,1.0232161995511564
2018-04-10,1.0233696981987823
2018-04-11,1.0218805459091098
2018-04-12,1.0248481423483555
2018-04-13,1.0227559757551983
2018-04-16,1.0264529359657744
2018-04-17,1.030942221167755
2018-04-18,1.0322775497609438
2018-04-19,1.031732828091828
2018-04-20,1.0315593503452962
2018-04-23,1.0311053023383117
2018-04-24,1.0332431015365704
2018-04-25,1.034399278110403
2018-04-26,1.03149673474068
2018-04-27,1.031359509002822
2018-04-30,1.0302834956986167
2018-05-01,1.0279093598965012
2018-05-02,1.030418104085159
2018-05-03,1.0274387484037169
2018-05-04,1.0409184581335906
2018-05-07,1.0377205011702169
2018-05-08,1.0351806082828812
2018-05-09,1.0346676446826562
2018-05-10,1.035429449244376
2018-05-11,1.0356609077753383
2018-05-14,1.029328517621684
2018-05-15,1.0306138385459989
2018-05-16,1.031928362630146
2018-05-17,1.0317522537845645
2018-05-18,1.0354198518733726
2018-05-21,1.0335333400485058
2018-05-22,1.0256887338133553
2018-05-23,1.016802006084917
2018-05-24,1.011842466901117
2018-05-25,1.007353657969864
2018-05-28,1.0121882412900474
2018-05-29,1.0189139181496691
2018-05-30,1.0181519285150256
2018-05-31,1.0216392542392618
2018-06-01,1.021779617636058
2018-06-04,1.0307833648185154
2018-06-05,1.0288644089512404
2018-06-06,1.0287243113749807
2018-06-07,1.0292199114454985
2018-06-08,1.0329744378553412
2018-06-11,1.0353327898909481
2018-06-12,1.0352033732922117
2018-06-13,1.035169337039448
2018-06-14,1.032746884106357
2018-06-15,1.0299407410804713
2018-06-18,1.031997678339444
2018-06-19,1.0293068783774033
2018-06-20,1.0342236689645468
2018-06-21,1.032718567241074
2018-06-22,1.034401606983349
2018-06-25,1.0346939982144625
2018-06-26,1.0323105025634012
2018-06-27,1.0307779948088076
2018-06-28,1.0256314925711727
2018-06-29,1.0211363818464139
2018-07-02,1.0232797122964157
2018-07-03,1.0247608152093015
2018-07-04,1.02514134455
2018-07-05,1.030854174208765
2018-07-06,1.0322414587760584
2018-07-09,1.0313328840268545
2018-07-10,1.036415142676199
2018-07-11,1.0349839777511887
2018-07-12,1.035298332375468
2018-07-13,1.035301017168693
2018-07-16,1.0332975276051748
2018-07-17,1.0379131170274267
2018-07-18,1.035918617636786
2018-07-19,1.0333641661940196
2018-07-20,1.0344267080344458
2018-07-23,1.0405216462727944
2018-07-24,1.051771039510391
2018-07-25,1.0532094547220845
2018-07-26,1.0487824761615383
2018-07-27,1.0446577431639377
2018-07-30,1.0441189193333096
2018-07-31,1.045331974597696
2018-08-01,1.0426145918493888
2018-08-02,1.0479370026267123
2018-08-03,1.0468144071756778
2018-08-06,1.046949957079482
2018-08-07,1.0441472824555869
2018-08-08,1.0452862444743247
2018-08-09,1.0452318077082514
2018-08-10,1.0405547442150413
2018-08-13,1.0447996282266399
2018-08-14,1.0486239348632485
2018-08-15,1.049141504929364
2018-08-16,1.052329082287436
2018-08-17,1.0506251109160072
2018-08-20,1.0530924348849766
2018-08-21,1.0546684017257961
2018-08-22,1.053978848978657
2018-08-23,1.0547312732896497
2018-08-24,1.062571229407107
2018-08-27,1.0696665538331742
2018-08-28,1.0684932658682027
2018-08-29,1.0662406206508197
2018-08-30,1.0639108265481492
2018-08-31,1.0640755507246393
2018-09-03,1.0660540109711072
2018-09-04,1.0707473980246838
2018-09-05,1.0698992352658778
2018-09-06,1.0662229355169552
2018-09-07,1.067817071046778
2018-09-10,1.0749539322698716
2018-09-11,1.071904287667549
2018-09-12,1.0716675935714186
2018-09-13,1.0684708295142546
2018-09-14,1.067377976201481
2018-09-17,1.0691496117746315
2018-09-18,1.0737503187229547
2018-09-19,1.0773956542883498
2018-09-20,1.0785423153707343
2018-09-21,1.0723782952127041
2018-09-24,1.0768853219125123
2018-09-25,1.0803956137493653
2018-09-26,1.0741364061102152
2018-09-27,1.078518479471698
2018-09-28,1.0800225970537272
2018-10-01,1.0800225970537272
2018-10-02,1.0800225970537272
2018-10-03,1.0800225970537272
2018-10-04,1.0799550956414112
2018-10-05,1.0836496100491027
2018-10-08,1.0851784115147562
2018-10-09,1.0849369485311802
2018-10-10,1.0861766733825886
2018-10-11,1.087331733700538
2018-10-12,1.0827595147258908
2018-10-15,1.0844495560371434
2018-10-16,1.0786648291213543
