,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,0.9999375
2018-01-31,0.997521556109985
2018-02-01,0.995445997855983
2018-02-02,0.9937420824952096
2018-02-05,0.9976578782842964
2018-02-06,1.0009400063647986
2018-02-07,0.9992243153531871
2018-02-08,0.9985243856927662
2018-02-09,0.9987215038717998
2018-02-12,0.996809081829799
2018-02-13,0.9950731221898713
2018-02-14,0.9939381597566094
2018-02-15,0.994065132023183
2018-02-16,0.99744330136791
2018-02-19,0.9989198408835882
2018-02-20,1.0055875066990796
2018-02-21,1.0078082732532163
2018-02-22,1.0090078781103375
2018-02-23,1.0074962377759678
2018-02-26,1.0083079417221894
2018-02-27,1.0134511479476986
2018-02-28,1.0116804405957063
2018-03-01,1.0087159701418158
2018-03-02,1.0160239830777185
2018-03-05,1.0173714804081186
2018-03-06,1.022739219183565
2018-03-07,1.0290439692289828
2018-03-08,1.0305062023982672
2018-03-09,1.0334392022980907
2018-03-12,1.0421000728298246
2018-03-13,1.0460367319345578
2018-03-14,1.0481362290647833
2018-03-15,1.0524323726268392
2018-03-16,1.0571540058776567
2018-03-19,1.0570336650281127
2018-03-20,1.0578652409078977
2018-03-21,1.0582791568868928
2018-03-22,1.0586579949884634
2018-03-23,1.058512101681767
2018-03-26,1.0572966774813033
2018-03-27,1.0554882854809076
2018-03-28,1.0527988837916067
2018-03-29,1.0467550481845722
2018-03-30,1.043817636372032
2018-04-02,1.0426925690739852
2018-04-03,1.0434659475461394
2018-04-04,1.045673214450198
2018-04-05,1.0500124296255322
2018-04-06,1.0513241861039622
2018-04-09,1.0536669014506992
2018-04-10,1.0512316830042043
2018-04-11,1.0462259137524286
2018-04-12,1.049476501155344
2018-04-13,1.046240276215739
2018-04-16,1.046971932370249
2018-04-17,1.0502519125796326
2018-04-18,1.0492689305079883
2018-04-19,1.0489963372588083
2018-04-20,1.0530243905922352
2018-04-23,1.0515666489688937
2018-04-24,1.0537523107941549
2018-04-25,1.0524913565554848
2018-04-26,1.053559464045927
2018-04-27,1.0566019765907801
2018-04-30,1.0561661988626094
2018-05-01,1.0552247089162743
2018-05-02,1.0529987598537651
2018-05-03,1.0525862954669212
2018-05-04,1.0573391071832772
2018-05-07,1.0577793593903106
2018-05-08,1.0553947671413009
2018-05-09,1.0510187130257567
2018-05-10,1.0532706830005532
2018-05-11,1.0516621115091747
2018-05-14,1.047726174601228
2018-05-15,1.0486264035165305
2018-05-16,1.0472459976138782
2018-05-17,1.047213972890188
2018-05-18,1.047984340257224
2018-05-21,1.047179163222315
2018-05-22,1.0439178034608925
2018-05-23,1.039468421488529
2018-05-24,1.0389859078939911
2018-05-25,1.0347819056984988
2018-05-28,1.0351962055917
2018-05-29,1.0387445866461227
2018-05-30,1.0399125715117756
2018-05-31,1.0427555032342997
2018-06-01,1.0419567558256373
2018-06-04,1.043575415285547
2018-06-05,1.0452762180535027
2018-06-06,1.044425994251668
2018-06-07,1.043265600628109
2018-06-08,1.0480717922465284
2018-06-11,1.0483043190817
2018-06-12,1.0482563033713326
2018-06-13,1.048373954828298
2018-06-14,1.0441364696909106
2018-06-15,1.041992119469367
2018-06-18,1.0446306560823508
2018-06-19,1.0441428356281617
2018-06-20,1.048182164073076
2018-06-21,1.0496529013990425
2018-06-22,1.0520975849843062
2018-06-25,1.0544194803501816
2018-06-26,1.0549026260253276
2018-06-27,1.057485894913371
2018-06-28,1.0580545882099959
2018-06-29,1.055182166293337
2018-07-02,1.0587517145291394
2018-07-03,1.0600018617606102
2018-07-04,1.056873079314714
2018-07-05,1.0608122146266818
2018-07-06,1.0592710796978615
2018-07-09,1.0565251013570276
2018-07-10,1.0599691424398436
2018-07-11,1.0600430135587051
2018-07-12,1.0618121350790948
2018-07-13,1.0595295021539881
2018-07-16,1.055694754994269
2018-07-17,1.0581065873027269
2018-07-18,1.0601122359622128
2018-07-19,1.0577951858261572
2018-07-20,1.0569189270940034
2018-07-23,1.0560956844554183
2018-07-24,1.0638078239001032
2018-07-25,1.062128911244581
2018-07-26,1.0609462156494607
2018-07-27,1.0583529750129947
2018-07-30,1.0572533132544508
2018-07-31,1.0549867109728186
2018-08-01,1.052637012950529
2018-08-02,1.0528054345811193
2018-08-03,1.0509232145075542
2018-08-06,1.0533751486741372
2018-08-07,1.0503017818424536
2018-08-08,1.0507128522621956
2018-08-09,1.0511611984594498
2018-08-10,1.0501612177810684
2018-08-13,1.0542624334355775
2018-08-14,1.055183062798516
2018-08-15,1.0543198783884078
2018-08-16,1.0562123646338462
2018-08-17,1.0559903263321264
2018-08-20,1.0592072124686474
2018-08-21,1.056036926877131
2018-08-22,1.0534129015033327
2018-08-23,1.0544895922410877
2018-08-24,1.0562991193385731
2018-08-27,1.0600793875572256
2018-08-28,1.06309181256294
2018-08-29,1.062147487344554
2018-08-30,1.0605450586633418
2018-08-31,1.0595057294197234
2018-09-03,1.061117682534863
2018-09-04,1.0585228330100693
2018-09-05,1.060360495619138
2018-09-06,1.0567610459608807
2018-09-07,1.0563468058468606
2018-09-10,1.059418243447398
2018-09-11,1.0596396166453035
2018-09-12,1.0612559422542844
2018-09-13,1.0608352799254346
2018-09-14,1.0590515825872677
2018-09-17,1.0593821019614207
2018-09-18,1.0623451090538885
2018-09-19,1.0642257458274933
2018-09-20,1.0645558132598292
2018-09-21,1.0605103460052752
2018-09-24,1.0601455243085796
2018-09-25,1.0622174936842108
2018-09-26,1.0596911605698422
2018-09-27,1.0620886732206531
2018-09-28,1.0631720555701132
2018-10-01,1.0639323432949659
2018-10-02,1.0606811898473958
2018-10-03,1.0641366848384757
2018-10-04,1.0640865259421637
2018-10-05,1.065291383114643
2018-10-08,1.0627303784377582
2018-10-09,1.0614296251170194
2018-10-10,1.0628382154823406
2018-10-11,1.058411716665099
2018-10-12,1.0568396732763972
