,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,1.0
2018-03-27,0.999625
2018-03-28,0.9956026906366405
2018-03-29,0.9853427449410047
2018-03-30,0.981262826697691
2018-04-02,0.9768267084447356
2018-04-03,0.9792716803115845
2018-04-04,0.9802322244079994
2018-04-05,0.9911050354340785
2018-04-06,0.9892760037183683
2018-04-09,0.9973673110184609
2018-04-10,0.9895132598130838
2018-04-11,0.9807814866798766
2018-04-12,0.9857947968801933
2018-04-13,0.9810962362402842
2018-04-16,0.9856017174688205
2018-04-17,0.9949410971025079
2018-04-18,0.9941019926025453
2018-04-19,0.9879692640561021
2018-04-20,0.9958644970703684
2018-04-23,0.9924924743636035
2018-04-24,0.9966911428383468
2018-04-25,0.9924285478213879
2018-04-26,0.9940218250084173
2018-04-27,0.9995562255641726
2018-04-30,0.9993673174752461
2018-05-01,0.997057377341392
2018-05-02,0.9877672376643105
2018-05-03,0.9887328600961359
2018-05-04,0.9968758519924633
2018-05-07,0.99633777873175
2018-05-08,0.988846297368183
2018-05-09,0.9777517379673302
2018-05-10,0.9759416307036439
2018-05-11,0.9795010980022719
2018-05-14,0.9681355855628696
2018-05-15,0.9721422927318111
2018-05-16,0.9729506391254842
2018-05-17,0.9729790486651878
2018-05-18,0.9722441969945532
2018-05-21,0.9685343375795821
2018-05-22,0.9625965177959862
2018-05-23,0.9597985851164368
2018-05-24,0.9594375572469684
2018-05-25,0.9511717060870484
2018-05-28,0.9535157802269053
2018-05-29,0.9595679872446219
2018-05-30,0.9590798814666123
2018-05-31,0.9621607804111104
2018-06-01,0.9634400991364936
2018-06-04,0.9672095908618136
2018-06-05,0.9665673400348954
2018-06-06,0.9671274611881746
2018-06-07,0.9653060776250443
2018-06-08,0.9760353601680272
2018-06-11,0.9745056197300127
2018-06-12,0.97229306937361
2018-06-13,0.975712447855366
2018-06-14,0.9683902606409214
2018-06-15,0.9656883008872363
2018-06-18,0.9694469954202637
2018-06-19,0.9679054417066941
2018-06-20,0.973098650071309
2018-06-21,0.9758907056222436
2018-06-22,0.9755898362526316
2018-06-25,0.9774361196372516
2018-06-26,0.9767796496334271
2018-06-27,0.9771114389677157
2018-06-28,0.975739874909772
2018-06-29,0.9702577758756213
2018-07-02,0.977725321824058
2018-07-03,0.9804546269786851
2018-07-04,0.9736766485597647
2018-07-05,0.9781337684934236
2018-07-06,0.9770204934771544
2018-07-09,0.9662079099301344
2018-07-10,0.9701360033592072
2018-07-11,0.9743076579727583
2018-07-12,0.9835529534079271
2018-07-13,0.9795151967507488
2018-07-16,0.9740783871307749
2018-07-17,0.9786542722238205
2018-07-18,0.9823621774869286
2018-07-19,0.9794002643727466
2018-07-20,0.9794473980143324
2018-07-23,0.9804848562689713
2018-07-24,0.9838733767575066
2018-07-25,0.981925561873219
2018-07-26,0.9843678972467683
2018-07-27,0.9776129565680021
2018-07-30,0.9781862096293543
2018-07-31,0.9732835454699598
2018-08-01,0.9673545218582927
2018-08-02,0.9692352925289401
2018-08-03,0.9681724120055394
2018-08-06,0.9717242891716593
2018-08-07,0.9632880577355006
2018-08-08,0.9683289820644652
2018-08-09,0.9631087404915283
2018-08-10,0.9577862676405308
2018-08-13,0.9648518825717447
2018-08-14,0.969767016065649
2018-08-15,0.9698982468475302
2018-08-16,0.9702087335057358
2018-08-17,0.9686976640504505
2018-08-20,0.9778629954170189
2018-08-21,0.9797974222161507
2018-08-22,0.9770524445070162
2018-08-23,0.9763880535720232
2018-08-24,0.9773928463120504
2018-08-27,0.9853900372333583
2018-08-28,0.9927514636725194
2018-08-29,0.9995923174354464
2018-08-30,0.9969062022148822
2018-08-31,0.9917067612312239
2018-09-03,0.9894903353172461
2018-09-04,0.9837443905931542
2018-09-05,0.9867269555671784
2018-09-06,0.97761263173314
2018-09-07,0.9772894825058859
2018-09-10,0.9871893902083605
2018-09-11,0.9879646262216542
2018-09-12,0.9893138478039213
2018-09-13,0.9865369925274332
2018-09-14,0.9854714334422638
2018-09-17,0.9847914718947726
2018-09-18,0.9870666197820723
2018-09-19,0.9898880187747041
2018-09-20,0.9886044891379675
2018-09-21,0.9816995235310466
2018-09-24,0.9813027234890016
2018-09-25,0.9823233385410273
2018-09-26,0.9809150969097479
2018-09-27,0.9892025544941853
2018-09-28,0.992220714429953
2018-10-01,0.9958234016422554
2018-10-02,0.9911517599781798
2018-10-03,0.9941340204124463
2018-10-04,0.9915082868615838
2018-10-05,0.9896573153282605
2018-10-08,0.9859617477390099
2018-10-09,0.9841826386722511
2018-10-10,0.9798336184535696
2018-10-11,0.9764825432833812
2018-10-12,0.9789525866546187
2018-10-15,0.9766900567840361
2018-10-16,0.9741068768902368
2018-10-17,0.9768755266204189
2018-10-18,0.979158983162672
2018-10-19,0.981938288234423
2018-10-22,0.980616983413527
2018-10-23,0.9849641765429346
2018-10-24,0.9862537967477284
2018-10-25,0.9818580143404372
2018-10-26,0.9831839279800845
2018-10-29,0.9887559323261279
