,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,1.0
2018-03-27,0.9997707250285651
2018-03-28,0.9968522609911213
2018-03-29,0.9908545201553807
2018-03-30,0.9891348630405714
2018-04-02,0.9862582015585216
2018-04-03,0.9871014508967694
2018-04-04,0.9871353553222323
2018-04-05,0.9919974282811806
2018-04-06,0.9914357937345899
2018-04-09,0.9966574366766398
2018-04-10,0.9924638667208804
2018-04-11,0.9877189248654609
2018-04-12,0.9911331634892856
2018-04-13,0.9901029017963442
2018-04-16,0.9930859139791732
2018-04-17,0.9992800977340419
2018-04-18,0.9996606120979415
2018-04-19,0.9956818058018717
2018-04-20,1.0002916989486048
2018-04-23,0.9981712349344104
2018-04-24,1.0017719386760588
2018-04-25,0.9998256539261889
2018-04-26,1.0002352106092773
2018-04-27,1.0040993795100623
2018-04-30,1.004231413383556
2018-05-01,1.0026381989818756
2018-05-02,0.9980264030899163
2018-05-03,0.998813591128808
2018-05-04,1.0005704209937274
2018-05-07,1.001583061977139
2018-05-08,0.9991177789789151
2018-05-09,0.9934864983601784
2018-05-10,0.9904217167735807
2018-05-11,0.9926837755348109
2018-05-14,0.987076711898711
2018-05-15,0.9890776980400203
2018-05-16,0.9910241062301371
2018-05-17,0.9919752657048174
2018-05-18,0.9890335750071705
2018-05-21,0.9889380868871746
2018-05-22,0.9856003062703145
2018-05-23,0.9848672956024818
2018-05-24,0.9870145358474849
2018-05-25,0.9843691540197144
2018-05-28,0.985462986228855
2018-05-29,0.9875017525001881
2018-05-30,0.9893081116338056
2018-05-31,0.9891202236389888
2018-06-01,0.9893434617231651
2018-06-04,0.9894434751453668
2018-06-05,0.9887725218579343
2018-06-06,0.987160277787088
2018-06-07,0.9864272316796955
2018-06-08,0.9910140910266139
2018-06-11,0.9896473303780752
2018-06-12,0.9878099210659937
2018-06-13,0.9903451085365854
2018-06-14,0.9860948890907317
2018-06-15,0.9851607770302545
2018-06-18,0.9876480731354712
2018-06-19,0.9882899525416698
2018-06-20,0.9915813671555503
2018-06-21,0.9938956900974169
2018-06-22,0.993174364251703
2018-06-25,0.994585096368904
2018-06-26,0.9921320861183247
2018-06-27,0.9928715959421239
2018-06-28,0.990664809164441
2018-06-29,0.9881070244408996
2018-07-02,0.9934840320236608
2018-07-03,0.9959123920066252
2018-07-04,0.9921671069070942
2018-07-05,0.9932506493949971
2018-07-06,0.9930011230476936
2018-07-09,0.9904188565849978
2018-07-10,0.9932338333253588
2018-07-11,0.994480777043672
2018-07-12,0.9986516698830072
2018-07-13,0.9961513526143876
2018-07-16,0.9946474096251997
2018-07-17,0.9954813253076757
2018-07-18,0.9976158837059934
2018-07-19,0.9965438458135666
2018-07-20,0.9961070193512119
2018-07-23,0.9956653738077776
2018-07-24,0.9983806716638243
2018-07-25,0.9978271587710005
2018-07-26,0.9977837403698728
2018-07-27,0.9929908798545604
2018-07-30,0.993280871426629
2018-07-31,0.9900208324406683
2018-08-01,0.9876312696439697
2018-08-02,0.9879331883742709
2018-08-03,0.9887042312787963
2018-08-06,0.9903601291169016
2018-08-07,0.988034802325463
2018-08-08,0.9892161592898551
2018-08-09,0.9886904888645284
2018-08-10,0.9880808507301683
2018-08-13,0.9910073627437165
2018-08-14,0.9908408868234156
2018-08-15,0.9922807502761802
2018-08-16,0.9923985571467527
2018-08-17,0.9915932221418645
2018-08-20,0.9960403789554274
2018-08-21,0.9965509737478577
2018-08-22,0.996564773020383
2018-08-23,0.9955265220327022
2018-08-24,0.9934689567431573
2018-08-27,0.9955092625127642
2018-08-28,0.9999313468092491
2018-08-29,1.0025106280031992
2018-08-30,0.9998850706495949
2018-08-31,0.9995524486233696
2018-09-03,0.9983525205922288
2018-09-04,0.9973176704787143
2018-09-05,1.0003715910018107
2018-09-06,0.9956643687539407
2018-09-07,0.9957552908590758
2018-09-10,1.003346662187042
2018-09-11,1.0064465421744253
2018-09-12,1.0074061286022602
2018-09-13,1.0057879298684695
2018-09-14,1.0049925225688279
2018-09-17,1.0047108778854845
2018-09-18,1.0068127874274226
2018-09-19,1.0085430530996844
2018-09-20,1.0078140906138489
2018-09-21,1.0036944859149834
2018-09-24,1.0032521153688791
2018-09-25,1.0031685675391424
2018-09-26,1.002567784533605
2018-09-27,1.0055744067856514
2018-09-28,1.0070949817150472
2018-10-01,1.008920152452836
2018-10-02,1.006323072232009
2018-10-03,1.0058783100920956
2018-10-04,1.0044760534710822
2018-10-05,1.0040648395706104
2018-10-08,1.0020127147943847
2018-10-09,1.0014759490687426
2018-10-10,1.001598196101893
2018-10-11,1.0001920085655385
2018-10-12,1.0002366392659956
2018-10-15,1.0001520941294944
2018-10-16,0.9986302414820885
2018-10-17,0.9995533266392891
2018-10-18,0.999906902491827
2018-10-19,1.0022204762287086
2018-10-22,1.0025098240712131
2018-10-23,1.003142770994109
2018-10-24,1.0031974311745415
2018-10-25,1.0016470210643635
2018-10-26,1.0015992326485035
2018-10-29,1.0019178387999144
