,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,1.0
2018-03-27,0.999953231174018
2018-03-28,1.0002370268297085
2018-03-29,1.0004618518545534
2018-03-30,1.0003952600002175
2018-04-02,0.999950591880743
2018-04-03,0.999852017395315
2018-04-04,0.9994756525742962
2018-04-05,0.9986978259334821
2018-04-06,0.9990320557558322
2018-04-09,0.9990643944102097
2018-04-10,0.9994264157156885
2018-04-11,0.999436253720192
2018-04-12,0.9992880239851142
2018-04-13,1.00005622635196
2018-04-16,1.0001348510450012
2018-04-17,1.0007477972426861
2018-04-18,1.0011318989525282
2018-04-19,1.0011199072924954
2018-04-20,1.0009578964374468
2018-04-23,1.0008068813449023
2018-04-24,1.0012563329570134
2018-04-25,1.0015850213848914
2018-04-26,1.001498905928934
2018-04-27,1.0018436818519658
2018-04-30,1.0019667138698258
2018-05-01,1.001855634620426
2018-05-02,1.001752488239901
2018-05-03,1.0018641891082922
2018-05-04,1.0011869377045122
2018-05-07,1.0015123397445131
2018-05-08,1.001753557638862
2018-05-09,1.002040494533533
2018-05-10,1.0018993750597889
2018-05-11,1.0021308729101421
2018-05-14,1.0021860656169284
2018-05-15,1.0022894777334264
2018-05-16,1.0028240361763137
2018-05-17,1.002963850594846
2018-05-18,1.0023664663477412
2018-05-21,1.00262331755604
2018-05-22,1.0025412021064868
2018-05-23,1.0023479651598344
2018-05-24,1.0026309861464497
2018-05-25,1.0024755292110854
2018-05-28,1.002989861185522
2018-05-29,1.002746572905793
2018-05-30,1.0029840463510478
2018-05-31,1.0024622188214007
2018-06-01,1.0028436443969837
2018-06-04,1.002748644695653
2018-06-05,1.00236333974092
2018-06-06,1.0020905893095264
2018-06-07,1.0021473370045613
2018-06-08,1.00189409128298
2018-06-11,1.0014534235478023
2018-06-12,1.0021692120341767
2018-06-13,1.002413811102521
2018-06-14,1.0025316285636767
2018-06-15,1.0029542063991979
2018-06-18,1.0029442503357846
2018-06-19,1.0031985037867817
2018-06-20,1.0031688972279718
2018-06-21,1.0035879440630187
2018-06-22,1.0034777502612076
2018-06-25,1.0033857407651618
2018-06-26,1.002776255269623
2018-06-27,1.0030005186754367
2018-06-28,1.003034491499473
2018-06-29,1.0029419329797784
2018-07-02,1.0030766246104643
2018-07-03,1.0028549548673042
2018-07-04,1.0023539142184588
2018-07-05,1.0018549113123552
2018-07-06,1.0018353306158747
2018-07-09,1.0018025374684405
2018-07-10,1.001679923017074
2018-07-11,1.001733838011299
2018-07-12,1.0017015903188429
2018-07-13,1.0020000118625336
2018-07-16,1.0018173198165352
2018-07-17,1.0022264720635778
2018-07-18,1.0021923596415678
2018-07-19,1.0026151018236522
2018-07-20,1.002577736962157
2018-07-23,1.00272118229044
2018-07-24,1.002392369699615
2018-07-25,1.0027771854152512
2018-07-26,1.0029453723450443
2018-07-27,1.0034078002387807
2018-07-30,1.0035454802585722
2018-07-31,1.003320277186203
2018-08-01,1.0033124041117079
2018-08-02,1.002858845297597
2018-08-03,1.002709426582298
2018-08-06,1.002900266310621
2018-08-07,1.0032037059130587
2018-08-08,1.0030040402833198
2018-08-09,1.0028536390599507
2018-08-10,1.0030869893803263
2018-08-13,1.0031233049826065
2018-08-14,1.0031558866293375
2018-08-15,1.0040780500924031
2018-08-16,1.0038764904382833
2018-08-17,1.0039321136092811
2018-08-20,1.0036477177349827
2018-08-21,1.0033589315545737
2018-08-22,1.002898068401366
2018-08-23,1.0030351000260345
2018-08-24,1.0028915863357513
2018-08-27,1.002784159983611
2018-08-28,1.0028641887909786
2018-08-29,1.0025718355537845
2018-08-30,1.0024339361071888
2018-08-31,1.0023958385335472
2018-09-03,1.0023041733098832
2018-09-04,1.0027291373373697
2018-09-05,1.0029862881301368
2018-09-06,1.0033222760113267
2018-09-07,1.0036742706108575
2018-09-10,1.0039629448490939
2018-09-11,1.0043838815457877
2018-09-12,1.0043241402503
2018-09-13,1.0045334463785893
2018-09-14,1.0050628994540616
2018-09-17,1.0046354912786943
2018-09-18,1.0049386315181659
2018-09-19,1.005043882097053
2018-09-20,1.0049665470408675
2018-09-21,1.0047705647937357
2018-09-24,1.004173114405275
2018-09-25,1.0035694172138314
2018-09-26,1.0040935217510587
2018-09-27,1.004783878225625
2018-09-28,1.0046610617697005
2018-10-01,1.0050901525926308
2018-10-02,1.0045704115574872
2018-10-03,1.0040063718442755
2018-10-04,1.0038604723809386
2018-10-05,1.0033020537884592
2018-10-08,1.0032491391251213
2018-10-09,1.0033637140588076
2018-10-10,1.0045991339612705
2018-10-11,1.0051842462701366
2018-10-12,1.0055288200851875
2018-10-15,1.0053853018425596
2018-10-16,1.0052361329739528
2018-10-17,1.0056877263395616
2018-10-18,1.0053204312854254
2018-10-19,1.0053930243425713
2018-10-22,1.0053062517542408
2018-10-23,1.004719875384524
2018-10-24,1.005300425720391
2018-10-25,1.0038937828587515
2018-10-26,1.0040054066058852
2018-10-29,1.0040108296321522
2018-10-30,1.0051053312874603
