,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,1.0
2018-03-27,1.0
2018-03-28,1.0
2018-03-29,1.0
2018-03-30,1.0
2018-04-02,1.0
2018-04-03,1.0
2018-04-04,1.0
2018-04-05,1.0
2018-04-06,1.0
2018-04-09,1.0
2018-04-10,1.0
2018-04-11,1.0
2018-04-12,1.0
2018-04-13,1.0
2018-04-16,1.0
2018-04-17,1.0
2018-04-18,1.0
2018-04-19,1.0
2018-04-20,1.0
2018-04-23,1.0
2018-04-24,1.0
2018-04-25,1.0
2018-04-26,1.0
2018-04-27,1.0
2018-04-30,1.0
2018-05-01,1.0
2018-05-02,1.0
2018-05-03,1.0
2018-05-04,1.0
2018-05-07,1.0
2018-05-08,1.0
2018-05-09,1.0
2018-05-10,1.0
2018-05-11,1.0
2018-05-14,1.0
2018-05-15,1.0
2018-05-16,1.0
2018-05-17,1.0
2018-05-18,1.0
2018-05-21,1.0
2018-05-22,1.0
2018-05-23,1.0
2018-05-24,1.0
2018-05-25,1.0
2018-05-28,1.0
2018-05-29,1.0
2018-05-30,1.0
2018-05-31,1.0
2018-06-01,1.0
2018-06-04,1.0
2018-06-05,1.0
2018-06-06,1.0
2018-06-07,1.0
2018-06-08,1.0
2018-06-11,1.0
2018-06-12,1.0
2018-06-13,1.0
2018-06-14,1.0
2018-06-15,1.0
2018-06-18,1.0
2018-06-19,1.0
2018-06-20,1.0
2018-06-21,1.0
2018-06-22,1.0
2018-06-25,1.0
2018-06-26,1.0
2018-06-27,0.9995
2018-06-28,1.0041599855681203
2018-06-29,0.9845606723127789
2018-07-02,0.9873280628402311
2018-07-03,0.9870594721981979
2018-07-04,0.9846382560197829
2018-07-05,0.988435421063761
2018-07-06,0.9868028565867019
2018-07-09,0.9690489751445126
2018-07-10,0.9756681194881622
2018-07-11,0.9761239489289776
2018-07-12,0.9824101794848759
2018-07-13,0.9764203204038754
2018-07-16,0.9706068506192687
2018-07-17,0.9802127317591849
2018-07-18,0.9779641042129056
2018-07-19,0.9563111551030757
2018-07-20,0.9608990632698837
2018-07-23,0.9572762999057158
2018-07-24,0.9576937972077008
2018-07-25,0.9543524066924203
2018-07-26,0.9635167108540492
2018-07-27,0.9602771497019982
2018-07-30,0.9613158403560281
2018-07-31,0.9603641217034362
2018-08-01,0.9519426509112127
2018-08-02,0.9538734554109731
2018-08-03,0.9563451587628611
2018-08-06,0.9506128187187934
2018-08-07,0.9283108629179195
2018-08-08,0.932589584992918
2018-08-09,0.9240889759232688
2018-08-10,0.9057673730392171
2018-08-13,0.9126988230012038
2018-08-14,0.9188604607899703
2018-08-15,0.9104813464242152
2018-08-16,0.916025731856411
2018-08-17,0.9050895129592818
2018-08-20,0.9225652532692862
2018-08-21,0.9325979113910484
2018-08-22,0.9368540300385427
2018-08-23,0.9327881687817009
2018-08-24,0.9254314390296638
2018-08-27,0.9166091061155337
2018-08-28,0.9206478453703967
2018-08-29,0.9389229523810658
2018-08-30,0.9354027616724571
2018-08-31,0.9366329356467988
2018-09-03,0.9327723912611435
2018-09-04,0.9324767790450452
2018-09-05,0.9389383288699373
2018-09-06,0.930670687428909
2018-09-07,0.9344525042119236
2018-09-10,0.9526403289035748
2018-09-11,0.9585508877048864
2018-09-12,0.9590986350770878
2018-09-13,0.9448739730195865
2018-09-14,0.9537515453934986
2018-09-17,0.9434175181130984
2018-09-18,0.9454732913304877
2018-09-19,0.9442551804201322
2018-09-20,0.9398184069112693
2018-09-21,0.9390718991847461
2018-09-24,0.9342804041231844
2018-09-25,0.9332876451449506
2018-09-26,0.9232098441160262
2018-09-27,0.9443307976775425
2018-09-28,0.9537842980683228
2018-10-01,0.9572130686502661
2018-10-02,0.9421991629596018
2018-10-03,0.9472734455551072
2018-10-04,0.9486072465161154
2018-10-05,0.9444639582748496
2018-10-08,0.9446100173766054
2018-10-09,0.9445130851547013
2018-10-10,0.9389500616426244
2018-10-11,0.9300750362602496
2018-10-12,0.921593307255513
2018-10-15,0.9188039770495852
2018-10-16,0.908807517254478
2018-10-17,0.9086908484551783
2018-10-18,0.9280573623929772
2018-10-19,0.92975721368094
2018-10-22,0.9232798751745541
2018-10-23,0.9169305684256872
2018-10-24,0.9205392168893464
2018-10-25,0.9260513759051205
2018-10-26,0.9168314350406729
2018-10-29,0.919419295161973
2018-10-30,0.9170680938031776
2018-10-31,0.9156692953103268
2018-11-01,0.9143314017536099
2018-11-02,0.9072565144338256
2018-11-05,0.9073106780764106
2018-11-06,0.8993969073042571
2018-11-07,0.8912160899214328
2018-11-08,0.8811194388600061
2018-11-09,0.8738165749907394
2018-11-12,0.8684861422540346
2018-11-13,0.8629329037508688
2018-11-14,0.862353680201995
2018-11-15,0.8514891624605841
2018-11-16,0.8487090269425797
2018-11-19,0.8509281023690843
2018-11-20,0.8522921319178194
2018-11-21,0.8577929406565505
2018-11-22,0.8640180535686302
2018-11-23,0.8697667035553941
2018-11-26,0.8881782778882059
2018-11-27,0.8807884390673815
