,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,1.0
2018-03-27,1.0
2018-03-28,1.0
2018-03-29,1.0
2018-03-30,1.0
2018-04-02,1.0
2018-04-03,1.0
2018-04-04,1.0
2018-04-05,1.0
2018-04-06,1.0
2018-04-09,1.0
2018-04-10,1.0
2018-04-11,1.0
2018-04-12,1.0
2018-04-13,1.0
2018-04-16,1.0
2018-04-17,1.0
2018-04-18,1.0
2018-04-19,1.0
2018-04-20,1.0
2018-04-23,1.0
2018-04-24,1.0
2018-04-25,1.0
2018-04-26,1.0
2018-04-27,1.0
2018-04-30,1.0
2018-05-01,1.0
2018-05-02,1.0
2018-05-03,1.0
2018-05-04,1.0
2018-05-07,1.0
2018-05-08,1.0
2018-05-09,1.0
2018-05-10,1.0
2018-05-11,1.0
2018-05-14,1.0
2018-05-15,1.0
2018-05-16,1.0
2018-05-17,1.0
2018-05-18,1.0
2018-05-21,1.0
2018-05-22,1.0
2018-05-23,1.0
2018-05-24,1.0
2018-05-25,1.0
2018-05-28,1.0
2018-05-29,1.0
2018-05-30,1.0
2018-05-31,1.0
2018-06-01,1.0
2018-06-04,1.0
2018-06-05,1.0
2018-06-06,1.0
2018-06-07,1.0
2018-06-08,1.0
2018-06-11,1.0
2018-06-12,1.0
2018-06-13,1.0
2018-06-14,1.0
2018-06-15,1.0
2018-06-18,1.0
2018-06-19,1.0
2018-06-20,1.0
2018-06-21,1.0
2018-06-22,1.0
2018-06-25,1.0
2018-06-26,1.0
2018-06-27,1.0
2018-06-28,1.0
2018-06-29,1.0
2018-07-02,1.0
2018-07-03,1.0
2018-07-04,1.0
2018-07-05,1.0
2018-07-06,1.0
2018-07-09,1.0
2018-07-10,1.0
2018-07-11,1.0
2018-07-12,1.0
2018-07-13,1.0
2018-07-16,1.0
2018-07-17,1.0
2018-07-18,1.0
2018-07-19,1.0
2018-07-20,1.0
2018-07-23,1.0
2018-07-24,1.0
2018-07-25,1.0
2018-07-26,1.0
2018-07-27,1.0
2018-07-30,1.0
2018-07-31,1.0
2018-08-01,1.0
2018-08-02,1.0
2018-08-03,1.0
2018-08-06,0.9995
2018-08-07,0.9898817700350894
2018-08-08,0.9955750500446344
2018-08-09,0.9876675419192634
2018-08-10,0.9858598679513975
2018-08-13,0.9932650375751143
2018-08-14,0.9991491180170816
2018-08-15,0.9976142715407104
2018-08-16,0.9976726254255508
2018-08-17,0.9990647965501084
2018-08-20,1.0054742033932376
2018-08-21,1.005228614885158
2018-08-22,1.0018770791458234
2018-08-23,0.9991835255979113
2018-08-24,1.0028973532880379
2018-08-27,1.0128887488247915
2018-08-28,1.0165389000605727
2018-08-29,1.019705069338805
2018-08-30,1.0158635351746936
2018-08-31,1.011716983200471
2018-09-03,1.0148973112824662
2018-09-04,1.0117715098384743
2018-09-05,1.0167343235775053
2018-09-06,1.0070804012821648
2018-09-07,1.0074810436520243
2018-09-10,1.0157137916692542
2018-09-11,1.0152697159398298
2018-09-12,1.0155738458709875
2018-09-13,1.007400450353478
2018-09-14,1.0040683495726492
2018-09-17,1.0029109523942463
2018-09-18,1.0104027669929259
2018-09-19,1.0136737602252242
2018-09-20,1.013144331952874
2018-09-21,1.0060953307691354
2018-09-24,1.0106115863191172
2018-09-25,1.0135288002620877
2018-09-26,1.0089027162135524
2018-09-27,1.0142874252162997
2018-09-28,1.0166226731613648
2018-10-01,1.028198235773788
2018-10-02,1.0228533966122058
2018-10-03,1.0265641888305412
2018-10-04,1.0220599686439007
2018-10-05,1.0227843136559267
2018-10-08,1.0211889346849081
2018-10-09,1.0254060631427164
2018-10-10,1.0212410405862329
2018-10-11,1.0117238907037502
2018-10-12,1.0099664693800896
2018-10-15,1.0105317631469106
2018-10-16,1.0081645183671215
2018-10-17,1.015178151969242
2018-10-18,1.0209871212818051
2018-10-19,1.0234757503875156
2018-10-22,1.0262730372752908
2018-10-23,1.0296413269195557
2018-10-24,1.0346272607241194
2018-10-25,1.035643345278615
2018-10-26,1.037168367102728
2018-10-29,1.039161751327351
2018-10-30,1.0350554441993198
2018-10-31,1.0316936620096033
2018-11-01,1.037374111218086
2018-11-02,1.0320873040375311
2018-11-05,1.0291473671525062
2018-11-06,1.0237298429706483
2018-11-07,1.0228217704819262
2018-11-08,1.025728944928597
2018-11-09,1.0302480553207243
2018-11-12,1.0283993494581636
2018-11-13,1.0232562325852232
2018-11-14,1.0207972242731111
2018-11-15,1.0049103849078185
2018-11-16,1.0052431662208912
2018-11-19,1.0032305546884188
2018-11-20,1.0079870541362317
2018-11-21,1.017169921722722
2018-11-22,1.0148886304835443
2018-11-23,1.0162420214735202
2018-11-26,1.0292317911080389
2018-11-27,1.0237591044208232
2018-11-28,1.0251371601941832
2018-11-29,1.0282057023530369
2018-11-30,1.0242375892129625
2018-12-03,1.02889491470577
2018-12-04,1.0341185673811673
2018-12-05,1.04199122414549
2018-12-06,1.0411597354948274
2018-12-07,1.0459463046784112
2018-12-10,1.0510843150377982
