,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-19,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,1.0
2018-03-27,1.0
2018-03-28,1.0
2018-03-29,1.0
2018-03-30,1.0
2018-04-02,1.0
2018-04-03,0.999625
2018-04-04,0.9994930892004849
2018-04-05,1.0061106577247545
2018-04-06,1.0060230988640082
2018-04-09,1.0136245235847547
2018-04-10,1.007386036249309
2018-04-11,0.9985240806150968
2018-04-12,1.0045133660866268
2018-04-13,1.0011212890351335
2018-04-16,1.0051564825312092
2018-04-17,1.0154710704404966
2018-04-18,1.0159944666880238
2018-04-19,1.009632321556153
2018-04-20,1.0198094072789567
2018-04-23,1.0164319848209793
2018-04-24,1.0204834886682919
2018-04-25,1.0168550811202566
2018-04-26,1.0174041464971588
2018-04-27,1.023395611067903
2018-04-30,1.0231559068419653
2018-05-01,1.019449012289008
2018-05-02,1.0139441727283391
2018-05-03,1.014497072215856
2018-05-04,1.0222535290214236
2018-05-07,1.021136161969306
2018-05-08,1.0152518383435258
2018-05-09,1.0074357981665778
2018-05-10,1.0029661780938846
2018-05-11,1.0086680351041233
2018-05-14,0.9989445164836047
2018-05-15,1.000357431475014
2018-05-16,1.0017147806203293
2018-05-17,1.0022661437883635
2018-05-18,0.9992693498713157
2018-05-21,0.9961311119590115
2018-05-22,0.9891166165912685
2018-05-23,0.9838379467611265
2018-05-24,0.9862060806449726
2018-05-25,0.9805748740597546
2018-05-28,0.984793296435736
2018-05-29,0.9926756969992484
2018-05-30,0.9905877297021835
2018-05-31,0.9950504436313736
2018-06-01,0.9959525688766623
2018-06-04,1.0005454057566199
2018-06-05,1.001272234252985
2018-06-06,0.9989384911497841
2018-06-07,0.9968272463198169
2018-06-08,1.0068694147948478
2018-06-11,1.004594585870757
2018-06-12,1.0024845338474622
2018-06-13,1.0063949228484084
2018-06-14,0.999090031516728
2018-06-15,0.996747216054607
2018-06-18,1.0008681569910627
2018-06-19,0.9999570414718953
2018-06-20,1.0069102902232943
2018-06-21,1.0106774565011116
2018-06-22,1.0102312091722065
2018-06-25,1.011363031121525
2018-06-26,1.0069420047390316
2018-06-27,1.0081926474393899
2018-06-28,1.004088880602319
2018-06-29,0.9983579121455738
2018-07-02,1.0091554595139505
2018-07-03,1.0143925505574585
2018-07-04,1.0104645787343058
2018-07-05,1.0127324696983855
2018-07-06,1.0091166351262943
2018-07-09,1.0041468327485723
2018-07-10,1.0100912637962265
2018-07-11,1.0157350529049793
2018-07-12,1.023333535476153
2018-07-13,1.0175197610024806
2018-07-16,1.0126212568304276
2018-07-17,1.0160480546238013
2018-07-18,1.0182867044647363
2018-07-19,1.015582559877717
2018-07-20,1.0157033155577044
2018-07-23,1.0165286800939497
2018-07-24,1.0226022714053251
2018-07-25,1.021358436597725
2018-07-26,1.0214259090297937
2018-07-27,1.0143348778228805
2018-07-30,1.0143694678087736
2018-07-31,1.0110145693640356
2018-08-01,1.005573999629142
2018-08-02,1.0066987614194682
2018-08-03,1.0059162680329716
2018-08-06,1.010834099002741
2018-08-07,1.0080374477523255
2018-08-08,1.0106201149368954
2018-08-09,1.007656721956415
2018-08-10,1.0083178284348957
2018-08-13,1.015568847201016
2018-08-14,1.0188752643285741
2018-08-15,1.0208612395704242
2018-08-16,1.02197293294859
2018-08-17,1.020514518418253
2018-08-20,1.0271780807214506
2018-08-21,1.0281817605852934
2018-08-22,1.0233400861570525
2018-08-23,1.0223888307493714
2018-08-24,1.0204547702864994
2018-08-27,1.0236521813252015
2018-08-28,1.0288723551314576
2018-08-29,1.0349133124040875
2018-08-30,1.0318020243558699
2018-08-31,1.0257093713464283
2018-09-03,1.027720559732511
2018-09-04,1.0247068353355766
2018-09-05,1.030225524499745
2018-09-06,1.024491219637407
2018-09-07,1.0251970684416483
2018-09-10,1.036941032030665
2018-09-11,1.0390749133882375
2018-09-12,1.0419228457606728
2018-09-13,1.0362666995950716
2018-09-14,1.036429224461864
2018-09-17,1.0339079969145015
2018-09-18,1.0376954663151199
2018-09-19,1.0410065333908258
2018-09-20,1.0396008574505007
2018-09-21,1.0296819691438266
2018-09-24,1.032252477023144
2018-09-25,1.0349424398491434
2018-09-26,1.0335710917712115
2018-09-27,1.042345091547568
2018-09-28,1.041522058789404
2018-10-01,1.0505143682199665
2018-10-02,1.0444934196255162
2018-10-03,1.0476762589358972
2018-10-04,1.045972817850455
2018-10-05,1.0431962409619533
2018-10-08,1.0409164568019436
2018-10-09,1.0393410049265588
2018-10-10,1.0405506812182514
2018-10-11,1.0379751162194764
2018-10-12,1.0399361842165762
2018-10-15,1.0382724784471247
2018-10-16,1.0369376743848673
2018-10-17,1.0378183454179082
2018-10-18,1.0396647582147576
2018-10-19,1.0434694415659524
2018-10-22,1.0430688410793651
2018-10-23,1.0440995321625808
2018-10-24,1.0476235504445686
2018-10-25,1.0441585865315652
2018-10-26,1.0474890633163805
2018-10-29,1.0487828630598264
2018-10-30,1.047082808733646
2018-10-31,1.0437063125847774
2018-11-01,1.0450303722006484
