,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,0.9995
2018-01-30,1.003847671457803
2018-01-31,1.0034926477200306
2018-02-01,1.0050603135889595
2018-02-02,1.0024357835402506
2018-02-05,1.0154827172563465
2018-02-06,1.0275583401106125
2018-02-07,1.0217095907311096
2018-02-08,1.0170101777482157
2018-02-09,1.023988812510838
2018-02-12,1.0229476730107117
2018-02-13,1.01834729847044
2018-02-14,1.0134266291022336
2018-02-15,1.0117683717306019
2018-02-16,1.0189946269375596
2018-02-19,1.0211451145799824
2018-02-20,1.0300674925570976
2018-02-21,1.0343526626664958
2018-02-22,1.0382163962768964
2018-02-23,1.0349244333763925
2018-02-26,1.0335294679869145
2018-02-27,1.042316014734052
2018-02-28,1.0449958929961467
2018-03-01,1.037152161861619
2018-03-02,1.047363475811547
2018-03-05,1.0491656122597908
2018-03-06,1.0567424485893022
2018-03-07,1.069511241901774
2018-03-08,1.0779982873178617
2018-03-09,1.080917132856415
2018-03-12,1.0987076849159103
2018-03-13,1.1028269565900168
2018-03-14,1.1078471944629327
2018-03-15,1.1119489987947897
2018-03-16,1.1206394631032637
2018-03-19,1.120318999538107
2018-03-20,1.121382312208005
2018-03-21,1.1211835513785553
2018-03-22,1.1225260966040589
2018-03-23,1.125105171467364
2018-03-26,1.1203422087398838
2018-03-27,1.1197721542893035
2018-03-28,1.110601953305124
2018-03-29,1.0951873699515404
2018-03-30,1.0904168161902132
2018-04-02,1.0862182400093157
2018-04-03,1.0896339468745535
2018-04-04,1.0911490858292245
2018-04-05,1.103247184258056
2018-04-06,1.1021677958387197
2018-04-09,1.1167524104091744
2018-04-10,1.1095862467358486
2018-04-11,1.1008488152850797
2018-04-12,1.1060323257881102
2018-04-13,1.1021580256058345
2018-04-16,1.1051135112316162
2018-04-17,1.1156148416886056
2018-04-18,1.1124671068175929
2018-04-19,1.1077688534919172
2018-04-20,1.1211168114792238
2018-04-23,1.1182984928957318
2018-04-24,1.124272168816669
2018-04-25,1.1180303667860076
2018-04-26,1.1221840618525039
2018-04-27,1.1296095658323728
2018-04-30,1.12912848012963
2018-05-01,1.1281552359844809
2018-05-02,1.1180518534877488
2018-05-03,1.1163110729105108
2018-05-04,1.131174071395964
2018-05-07,1.1296770550562316
2018-05-08,1.1240365935873828
2018-05-09,1.1117010293184575
2018-05-10,1.111369678081927
2018-05-11,1.1144320211136345
2018-05-14,1.1023640612655337
2018-05-15,1.1076615252062758
2018-05-16,1.1073593805801638
2018-05-17,1.1089053387922485
2018-05-18,1.111629222202055
2018-05-21,1.1079743351351197
2018-05-22,1.1012488863871734
2018-05-23,1.0949285862479656
2018-05-24,1.0934119814283123
2018-05-25,1.0842782590143334
2018-05-28,1.0877798229247158
2018-05-29,1.097506143002855
2018-05-30,1.0960984823445903
2018-05-31,1.1034815423604283
2018-06-01,1.1012478670635142
2018-06-04,1.1095854227656046
2018-06-05,1.114307632831496
2018-06-06,1.1124768348528378
2018-06-07,1.109643236043706
2018-06-08,1.1243782031672855
2018-06-11,1.1267420281433287
2018-06-12,1.1253675354588577
2018-06-13,1.129645435187693
2018-06-14,1.1220851263573977
2018-06-15,1.1182551466520156
2018-06-18,1.1282079603155135
2018-06-19,1.132265272889445
2018-06-20,1.1382921145335
2018-06-21,1.1424521905843978
2018-06-22,1.1431532205651453
2018-06-25,1.1518483631991794
2018-06-26,1.1532232917070095
2018-06-27,1.1555905929238193
2018-06-28,1.1592994285666656
2018-06-29,1.1511181096667396
2018-07-02,1.1633783576248646
2018-07-03,1.1705202012021447
2018-07-04,1.162333235523857
2018-07-05,1.1703117693708855
2018-07-06,1.1698133132966382
2018-07-09,1.1563957555459803
2018-07-10,1.1638782070755342
2018-07-11,1.1670436716434611
2018-07-12,1.1761090262337157
2018-07-13,1.1691989813009382
2018-07-16,1.160231390773097
2018-07-17,1.1681919891842616
2018-07-18,1.165735706878924
2018-07-19,1.153273201326377
2018-07-20,1.1530048891970168
2018-07-23,1.1526553642305963
2018-07-24,1.1710719335028423
2018-07-25,1.1699356794189295
2018-07-26,1.1729225922751318
2018-07-27,1.1661943410531346
2018-07-30,1.161926217353548
2018-07-31,1.16055501265173
2018-08-01,1.152445365296945
2018-08-02,1.1576087168163531
2018-08-03,1.1541127613626332
2018-08-06,1.15907873927721
2018-08-07,1.1479248764840064
2018-08-08,1.1545271374302952
2018-08-09,1.1453571278767392
2018-08-10,1.1432608432707378
2018-08-13,1.1518483116765323
2018-08-14,1.1586718359791648
2018-08-15,1.1568919381114144
2018-08-16,1.1569596086939786
2018-08-17,1.1585740518674756
2018-08-20,1.1660067754325072
2018-08-21,1.1657219766147724
2018-08-22,1.161835339476813
2018-08-23,1.1587117370250977
2018-08-24,1.1630185091281138
2018-08-27,1.174605116574197
2018-08-28,1.178838045731316
2018-08-29,1.182509721064334
2018-08-30,1.1780548530545005
2018-08-31,1.173246268527608
2018-09-03,1.1769343632387304
2018-09-04,1.1733095008105834
2018-09-05,1.1790646702872252
2018-09-06,1.1678694165772068
2018-09-07,1.168334024934343
2018-09-10,1.1778812017153313
2018-09-11,1.177366225490614
2018-09-12,1.177718912371237
2018-09-13,1.168240564225115
2018-09-14,1.1643764650033166
2018-09-17,1.1630342794481527
2018-09-18,1.1717222264415854
2018-09-19,1.1755154617711268
2018-09-20,1.174901505738657
2018-09-21,1.1667270711161346
2018-09-24,1.1719643855624844
2018-09-25,1.175347357707777
2018-09-26,1.1699826797020076
2018-09-27,1.1762271036362537
2018-09-28,1.1789351939254642
2018-10-01,1.1923588942948808
2018-10-02,1.186160705763569
2018-10-03,1.1904639577557132
2018-10-04,1.185240600221588
2018-10-05,1.1860805931213787
2018-10-08,1.1842304982275342
2018-10-09,1.1891209273783563
2018-10-10,1.1842909232824783
2018-10-11,1.1732542788729732
2018-10-12,1.1712162701764175
