,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,0.9995
2018-01-30,1.003847671457803
2018-01-31,1.0034926477200306
2018-02-01,1.0050603135889595
2018-02-02,1.0024357835402506
2018-02-05,1.0154807535574992
2018-02-06,1.0273531119206338
2018-02-07,1.0221581051421262
2018-02-08,1.0179016490709432
2018-02-09,1.0243894490329684
2018-02-12,1.0234033675412846
2018-02-13,1.0189135548224104
2018-02-14,1.0139942368824009
2018-02-15,1.0123350507412276
2018-02-16,1.019565353284775
2018-02-19,1.0217170453888549
2018-02-20,1.030644420680045
2018-02-21,1.034931990860473
2018-02-22,1.0387978885005082
2018-02-23,1.0355040818121062
2018-02-26,1.034108335119685
2018-02-27,1.0428998031034973
2018-02-28,1.0455811823324186
2018-03-01,1.037733058020635
2018-03-02,1.04795009120181
2018-03-05,1.0497532370044949
2018-03-06,1.0573343170267673
2018-03-07,1.0700708140105797
2018-03-08,1.077839872782485
2018-03-09,1.0804572154341592
2018-03-12,1.097089426846841
2018-03-13,1.1002566515957841
2018-03-14,1.1042713580313446
2018-03-15,1.1076535554108269
2018-03-16,1.1151145472886907
2018-03-19,1.1148223121071217
2018-03-20,1.1157539296283585
2018-03-21,1.1155461857384827
2018-03-22,1.1168728169889968
2018-03-23,1.119438903084028
2018-03-26,1.1146999276475122
2018-03-27,1.1140298839499645
2018-03-28,1.105547540519642
2018-03-29,1.0906720645819363
2018-03-30,1.0861151491918672
2018-04-02,1.0811874568818387
2018-04-03,1.0843055607152738
2018-04-04,1.084997672808393
2018-04-05,1.0953436809599237
2018-04-06,1.0950085355306238
2018-04-09,1.1095279106321432
2018-04-10,1.1038859203055436
2018-04-11,1.0960117861719643
2018-04-12,1.100347516060579
2018-04-13,1.0983365126584106
2018-04-16,1.1013429099435403
2018-04-17,1.113130546181728
2018-04-18,1.111005096951202
2018-04-19,1.1064362437051742
2018-04-20,1.1193053719691775
2018-04-23,1.116465098400037
2018-04-24,1.1229784289295475
2018-04-25,1.1178013413813908
2018-04-26,1.1216040090629988
2018-04-27,1.1297701698111502
2018-04-30,1.1295667924504502
2018-05-01,1.128346876192739
2018-05-02,1.1180132847871198
2018-05-03,1.1165232090811863
2018-05-04,1.1298604538399968
2018-05-07,1.1291323095572787
2018-05-08,1.1241324357002906
2018-05-09,1.1124126988895826
2018-05-10,1.1117950857064123
2018-05-11,1.1152947493069438
2018-05-14,1.1033123552947237
2018-05-15,1.1084652610245302
2018-05-16,1.1092926784171424
2018-05-17,1.1111523351374875
2018-05-18,1.112563624009467
2018-05-21,1.1094802915216058
2018-05-22,1.1025693393188585
2018-05-23,1.095823634504834
2018-05-24,1.094927579200141
2018-05-25,1.085446102551625
2018-05-28,1.0900667474980028
2018-05-29,1.09928594559787
2018-05-30,1.098404916888445
2018-05-31,1.1046618525473855
2018-06-01,1.1032693623802605
2018-06-04,1.1114175182339916
2018-06-05,1.1152942945802318
2018-06-06,1.1128640181782972
2018-06-07,1.1101585275937473
2018-06-08,1.1243406598263839
2018-06-11,1.125721263889622
2018-06-12,1.1259663771605353
2018-06-13,1.1308001206876064
2018-06-14,1.1235041068035299
2018-06-15,1.1206216548185663
2018-06-18,1.1305742422906653
2018-06-19,1.1352156181076067
2018-06-20,1.141195817999355
2018-06-21,1.1463211975435479
2018-06-22,1.146779178244553
2018-06-25,1.1552920416036778
2018-06-26,1.1552743644062655
2018-06-27,1.1581631333287592
2018-06-28,1.1619641856793612
2018-06-29,1.1535584306294162
2018-07-02,1.1661578157120904
2018-07-03,1.17280665341986
2018-07-04,1.163438122539415
2018-07-05,1.1702713917000895
2018-07-06,1.1697325501524831
2018-07-09,1.1562263333228533
2018-07-10,1.1630988839831946
2018-07-11,1.1662472531830241
2018-07-12,1.1752233081201364
2018-07-13,1.1691668086689326
2018-07-16,1.1598456707938138
2018-07-17,1.168440529440651
2018-07-18,1.1660215197182007
2018-07-19,1.1546185833523344
2018-07-20,1.1542653523990825
2018-07-23,1.1542436131274614
2018-07-24,1.1718495832885414
2018-07-25,1.171638445220662
2018-07-26,1.1746136614520324
2018-07-27,1.1694126450174602
2018-07-30,1.1656653304725189
2018-07-31,1.1638074926852562
2018-08-01,1.1556626858498866
2018-08-02,1.1597982794005992
2018-08-03,1.1559561043945428
2018-08-06,1.161372226575926
2018-08-07,1.150907771538198
2018-08-08,1.1570723117135515
2018-08-09,1.147543512736907
2018-08-10,1.1459850539852132
2018-08-13,1.1546764638012437
2018-08-14,1.16159585897081
2018-08-15,1.1619489553467517
2018-08-16,1.1615553143949693
2018-08-17,1.1633098702213842
2018-08-20,1.1701184992004556
2018-08-21,1.1691637513347455
2018-08-22,1.164197215087798
2018-08-23,1.161387392613138
2018-08-24,1.165371793376589
2018-08-27,1.1767340232988774
2018-08-28,1.181170051682326
2018-08-29,1.1841645211682514
2018-08-30,1.1793802855643118
2018-08-31,1.1744826860930995
2018-09-03,1.1779617580171717
2018-09-04,1.1753442955321525
2018-09-05,1.1817150007019597
2018-09-06,1.1712932747117963
2018-09-07,1.1725835029675742
2018-09-10,1.18284007580707
2018-09-11,1.1833179648880092
2018-09-12,1.1835339318837301
2018-09-13,1.1745102620492673
2018-09-14,1.1718697257911261
2018-09-17,1.1695252883961924
2018-09-18,1.1789696239213459
2018-09-19,1.1830345923378693
2018-09-20,1.1822366184015989
2018-09-21,1.1735606642216554
2018-09-24,1.1774336202757094
2018-09-25,1.179417431228017
2018-09-26,1.1752750265435665
2018-09-27,1.183167251119466
2018-09-28,1.185604469206871
2018-10-01,1.2001190110980866
2018-10-02,1.1926461364441445
2018-10-03,1.1956395525522008
2018-10-04,1.1900557019679363
2018-10-05,1.1895771694196906
2018-10-08,1.1876016672674234
2018-10-09,1.1927813092147357
2018-10-10,1.190882610670206
2018-10-11,1.181183853150997
2018-10-12,1.1799455793465763
