,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,0.9999375
2018-01-18,1.0000037409944147
2018-01-19,1.0053062872673784
2018-01-22,1.0008061592962678
2018-01-23,1.00440889877591
2018-01-24,0.9995845107661048
2018-01-25,0.9982410799441225
2018-01-26,0.9997552766356788
2018-01-29,0.9993523049876439
2018-01-30,1.0019902335698607
2018-01-31,1.001247572793807
2018-02-01,0.9984525721289117
2018-02-02,0.9963125701608446
2018-02-05,1.0014154866488816
2018-02-06,1.0085403944110773
2018-02-07,1.0028430704448645
2018-02-08,1.0007619931441587
2018-02-09,1.0027733046008251
2018-02-12,1.000723435897362
2018-02-13,1.0044326765156768
2018-02-14,1.0007578455198332
2018-02-15,1.001276106764152
2018-02-16,1.005093561256737
2018-02-19,1.0049362037106115
2018-02-20,1.014096641878562
2018-02-21,1.0140760381158604
2018-02-22,1.0165674344707532
2018-02-23,1.0165226019431968
2018-02-26,1.0190809914771048
2018-02-27,1.0282611160282193
2018-02-28,1.0256622127214197
2018-03-01,1.023354879907037
2018-03-02,1.0299279521933373
2018-03-05,1.0319411959113214
2018-03-06,1.0350426056352429
2018-03-07,1.0439685485887407
2018-03-08,1.048661570153163
2018-03-09,1.0516404483252695
2018-03-12,1.0674215719338747
2018-03-13,1.0682983727464617
2018-03-14,1.0719206546551237
2018-03-15,1.077570876719947
2018-03-16,1.0819954147870978
2018-03-19,1.0847029136327169
2018-03-20,1.0886175548784602
2018-03-21,1.0905147039646792
2018-03-22,1.0933974007095675
2018-03-23,1.0943086848276078
2018-03-26,1.0877834268845998
2018-03-27,1.0869431241031735
2018-03-28,1.0813098995847774
2018-03-29,1.079461782318261
2018-03-30,1.0781798091909327
2018-04-02,1.0769708042520252
2018-04-03,1.0744193427745103
2018-04-04,1.0738696795474543
2018-04-05,1.0785058636398464
2018-04-06,1.0753671497766875
2018-04-09,1.0778191278272649
2018-04-10,1.0715257911043783
2018-04-11,1.069449960857216
2018-04-12,1.0703772209572777
2018-04-13,1.0722686877443297
2018-04-16,1.0740370704544457
2018-04-17,1.08401527433616
2018-04-18,1.0805483954781894
2018-04-19,1.0770989613413002
2018-04-20,1.0805818497178292
2018-04-23,1.0780080938580432
2018-04-24,1.082185277265627
2018-04-25,1.077027593350542
2018-04-26,1.0817297163984687
2018-04-27,1.0864846854640078
2018-04-30,1.0865585499819612
2018-05-01,1.0844525841682013
2018-05-02,1.0759556769607084
2018-05-03,1.0732944849658588
2018-05-04,1.0816143187885494
2018-05-07,1.0828357741600363
2018-05-08,1.0785567758798005
2018-05-09,1.0775556979790353
2018-05-10,1.0793645295322833
2018-05-11,1.0823188466352445
2018-05-14,1.076749942768542
2018-05-15,1.076725250138002
2018-05-16,1.073184383873225
2018-05-17,1.0731798707752849
2018-05-18,1.069924745602316
2018-05-21,1.065483900503684
2018-05-22,1.0596655739093876
2018-05-23,1.0628317932262257
2018-05-24,1.0604974662990894
2018-05-25,1.0573083133370933
2018-05-28,1.057032898889489
2018-05-29,1.062641564790897
2018-05-30,1.0648741506711148
2018-05-31,1.0684273254782364
2018-06-01,1.0677363186719044
2018-06-04,1.0747723402788847
2018-06-05,1.0781326690223476
2018-06-06,1.0763806425666167
2018-06-07,1.0738195528159913
2018-06-08,1.0825121308659498
2018-06-11,1.0817883851646348
2018-06-12,1.074903768713324
2018-06-13,1.081892707350856
2018-06-14,1.076901967119463
2018-06-15,1.078401001899298
2018-06-18,1.0842649648566764
2018-06-19,1.0883936185811787
2018-06-20,1.0934148137422535
2018-06-21,1.0924165812665743
2018-06-22,1.0911750236788103
2018-06-25,1.0979196306303696
2018-06-26,1.0999431139351015
2018-06-27,1.1033095844245375
2018-06-28,1.1052258021037318
2018-06-29,1.1059508681408017
2018-07-02,1.1111497347878
2018-07-03,1.1141928470682172
2018-07-04,1.1108094347551085
2018-07-05,1.1148872146336244
2018-07-06,1.1168091316994124
2018-07-09,1.1030225381166296
2018-07-10,1.105201377602718
2018-07-11,1.1087640707770674
2018-07-12,1.1201115066347198
2018-07-13,1.1144321803599615
2018-07-16,1.1130097355950128
2018-07-17,1.112254410035084
2018-07-18,1.109102962648628
2018-07-19,1.1035187639369708
2018-07-20,1.1019101928762804
2018-07-23,1.1017035847151162
2018-07-24,1.1063416868924878
2018-07-25,1.1065807504513991
2018-07-26,1.1078394521071901
2018-07-27,1.1072662951033372
2018-07-30,1.1046569892015456
2018-07-31,1.1039923241272762
2018-08-01,1.1004490670291738
2018-08-02,1.1038273551177407
2018-08-03,1.1031906467547066
2018-08-06,1.1098751422348305
2018-08-07,1.108357445356773
2018-08-08,1.1131710292299517
2018-08-09,1.1094184136208836
2018-08-10,1.108113832440031
2018-08-13,1.110495376097286
2018-08-14,1.1121023963611159
2018-08-15,1.1055075248574793
2018-08-16,1.1028220605160004
2018-08-17,1.1029258301493987
2018-08-20,1.1046883331799715
2018-08-21,1.111284167968979
2018-08-22,1.1145990335480387
2018-08-23,1.1114924509557602
2018-08-24,1.108270447675497
2018-08-27,1.118068145778729
2018-08-28,1.1194447007982977
2018-08-29,1.126524168787659
2018-08-30,1.1236611989448593
2018-08-31,1.119496133272613
2018-09-03,1.117798465729607
2018-09-04,1.112488449441325
2018-09-05,1.1148422975339514
2018-09-06,1.107630926552917
2018-09-07,1.1096656117215498
2018-09-10,1.1109798172006606
2018-09-11,1.1141366328575824
2018-09-12,1.1130745956140584
2018-09-13,1.108875518204385
2018-09-14,1.1095126600967427
2018-09-17,1.108915560006127
2018-09-18,1.1107777706202722
2018-09-19,1.1122302796083543
2018-09-20,1.1124702235602564
2018-09-21,1.1045668820595258
2018-09-24,1.1068857290411382
2018-09-25,1.1070709716669958
2018-09-26,1.1023039096430387
2018-09-27,1.1048440462921838
2018-09-28,1.107305114092282
2018-10-01,1.1151789217910943
2018-10-02,1.1077302663091502
2018-10-03,1.1100191336816154
2018-10-04,1.10481346377933
2018-10-05,1.1021385754245836
2018-10-08,1.0990600474152685
2018-10-09,1.0977432601880728
2018-10-10,1.0948759884781936
