,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,0.9999375
2018-01-30,1.000053144217189
2018-01-31,1.0003468615613083
2018-02-01,0.9991998052807479
2018-02-02,0.9963853866831666
2018-02-05,1.0003933327127785
2018-02-06,1.0023887283141966
2018-02-07,0.9979306765486179
2018-02-08,0.9938843957418497
2018-02-09,0.9984519403381188
2018-02-12,1.0001983897724407
2018-02-13,0.9977142029366575
2018-02-14,0.9939428807519517
2018-02-15,0.9927863181848599
2018-02-16,0.9969199519053069
2018-02-19,0.9996403028725231
2018-02-20,1.0041922079946082
2018-02-21,1.0057447130721242
2018-02-22,1.007526310223185
2018-02-23,1.0054695695385234
2018-02-26,1.005079060283781
2018-02-27,1.0114251935770928
2018-02-28,1.0133010036630736
2018-03-01,1.009655734419748
2018-03-02,1.0153783761828898
2018-03-05,1.01659092240006
2018-03-06,1.0224324209472475
2018-03-07,1.029750375892335
2018-03-08,1.0302891191898247
2018-03-09,1.0360184219441186
2018-03-12,1.0479680992176499
2018-03-13,1.054924941811669
2018-03-14,1.0559951987091991
2018-03-15,1.0619693044124607
2018-03-16,1.0659365554792513
2018-03-19,1.067423405966648
2018-03-20,1.065257690424217
2018-03-21,1.06551442401281
2018-03-22,1.0713556135713163
2018-03-23,1.0768838911819671
2018-03-26,1.0673643307674834
2018-03-27,1.0645301200891149
2018-03-28,1.0545936353569256
2018-03-29,1.0434768752042332
2018-03-30,1.0408386937959928
2018-04-02,1.0384553341972151
2018-04-03,1.0403740222789626
2018-04-04,1.038148772819288
2018-04-05,1.0451401282575055
2018-04-06,1.0427744854246372
2018-04-09,1.0475515302422653
2018-04-10,1.0431927773659937
2018-04-11,1.0396255135067038
2018-04-12,1.0390016629174028
2018-04-13,1.038130068045199
2018-04-16,1.0401581958670645
2018-04-17,1.0446915610585887
2018-04-18,1.0442422941129732
2018-04-19,1.0413112871510284
2018-04-20,1.0441887435017312
2018-04-23,1.0395907535107323
2018-04-24,1.0444425693743438
2018-04-25,1.0445882098365327
2018-04-26,1.046176165285165
2018-04-27,1.0499369250193877
2018-04-30,1.047725215070864
2018-05-01,1.0457586541744401
2018-05-02,1.0365551947523395
2018-05-03,1.0336783054690135
2018-05-04,1.035710762150341
2018-05-07,1.0362131698412727
2018-05-08,1.0324419841422046
2018-05-09,1.0231440434432888
2018-05-10,1.0224810066556047
2018-05-11,1.0233375935660323
2018-05-14,1.015318025199336
2018-05-15,1.0167078111989527
2018-05-16,1.0197413198708438
2018-05-17,1.0232417965337512
2018-05-18,1.0243113150065193
2018-05-21,1.0204360938679544
2018-05-22,1.016742442515174
2018-05-23,1.014443729303292
2018-05-24,1.0151479642687926
2018-05-25,1.0076306193257316
2018-05-28,1.0078511329545592
2018-05-29,1.0078695056802316
2018-05-30,1.0080627055481293
2018-05-31,1.0075269744623832
2018-06-01,1.0106896601130748
2018-06-04,1.0141615888125854
2018-06-05,1.0140196829044605
2018-06-06,1.0129806078210382
2018-06-07,1.0109195685769412
2018-06-08,1.0156124444250552
2018-06-11,1.0162363849812954
2018-06-12,1.0113877316827438
2018-06-13,1.0128509045196348
2018-06-14,1.005700276765848
2018-06-15,1.0057916636331747
2018-06-18,1.0094522801763752
2018-06-19,1.009530894518715
2018-06-20,1.0150043501401236
2018-06-21,1.0171540250343465
2018-06-22,1.020381904217588
2018-06-25,1.0250295566913383
2018-06-26,1.0246097740078666
2018-06-27,1.0260743009954663
2018-06-28,1.0267244387958099
2018-06-29,1.0249408455435687
2018-07-02,1.033477189940976
2018-07-03,1.0355246730635852
2018-07-04,1.0265848240205937
2018-07-05,1.032281331462197
2018-07-06,1.0310002180143156
2018-07-09,1.023086179404097
2018-07-10,1.0274095271386983
2018-07-11,1.036191309745347
2018-07-12,1.0487669353392568
2018-07-13,1.04265896581422
2018-07-16,1.0392808796896855
2018-07-17,1.0435874140637038
2018-07-18,1.0440992850764457
2018-07-19,1.036394478525523
2018-07-20,1.0357530223674005
2018-07-23,1.0313880700482
2018-07-24,1.0436418559782377
2018-07-25,1.046286926666115
2018-07-26,1.04679488019317
2018-07-27,1.0375251952183515
2018-07-30,1.037662230864439
2018-07-31,1.031258087128285
2018-08-01,1.0272874538059278
2018-08-02,1.0313109603495476
2018-08-03,1.0311301058270665
2018-08-06,1.035191908433158
2018-08-07,1.0317111184047512
2018-08-08,1.0338627524751842
2018-08-09,1.0309894292117665
2018-08-10,1.0342798944117955
2018-08-13,1.0366352391126765
2018-08-14,1.0347813478725458
2018-08-15,1.0399197111519882
2018-08-16,1.0391526887112816
2018-08-17,1.0401499276476558
2018-08-20,1.0449459457212256
2018-08-21,1.0446422046699593
2018-08-22,1.0437001749301773
2018-08-23,1.0433480903462078
2018-08-24,1.0397988725332432
2018-08-27,1.0420139152085726
2018-08-28,1.0500919859521018
2018-08-29,1.0509796686663104
2018-08-30,1.0497450594198088
2018-08-31,1.044212388775095
2018-09-03,1.0454642168129897
2018-09-04,1.0383485614562216
2018-09-05,1.041353037756948
2018-09-06,1.035589170746869
2018-09-07,1.0341433823074109
2018-09-10,1.037360120087453
2018-09-11,1.0364350392624657
2018-09-12,1.039491560110775
2018-09-13,1.038733152177327
2018-09-14,1.034801400935181
2018-09-17,1.0374503109021578
2018-09-18,1.0408016011989683
2018-09-19,1.0427644888155359
2018-09-20,1.0432696893539903
2018-09-21,1.038259039579084
2018-09-24,1.038929438446098
2018-09-25,1.0413776633307117
2018-09-26,1.04073614919429
2018-09-27,1.0395619280183572
2018-09-28,1.0412249507894398
2018-10-01,1.0476302881145136
2018-10-02,1.0469162658715556
2018-10-03,1.044598200352949
2018-10-04,1.037312358988315
2018-10-05,1.0394879325826811
2018-10-08,1.0391443979696473
2018-10-09,1.0384078679522175
2018-10-10,1.038170518061933
2018-10-11,1.0328649939495478
2018-10-12,1.0309426852162613
